SOS_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
SOS29,6,130,97,234,26,199,127,345,46,506,391,939,56,422,524,1008,81,366,467,912,57,290,295,644,36,225,132,392,5,61,30,90,0,4,6,15,316,2202,2062,4576,12,127,91,229,34,195,92,321,79,485,310,878,82,304,346,730,81,220,181,479,79,229,118,429,23,133,62,224,5,47,7,58,0,13,9,19,394,1754,1219,3373,22,255,187,459,56,392,215,671,128,991,698,1819,136,731,871,1736,157,586,645,1393,139,520,416,1074,60,353,199,613,12,102,37,152,6,17,13,29,714,3955,3282,7946
SOS30,4693,102192,6574,113461,5375,108171,9399,122950,13709,222837,21093,257639,21248,207428,16966,245647,26898,187529,14088,228516,26085,154648,10428,191162,17921,124388,8232,150538,9496,67138,5826,82459,2459,19959,3254,25668,127889,1194293,95858,1418042,5404,97948,6085,109435,6901,108405,8006,123314,21880,229867,17894,269637,36344,210589,14256,261186,45571,186058,11330,242960,43637,154356,9101,207093,27039,132371,8071,167478,11063,77335,7604,96003,1730,33824,6566,42120,199569,1230754,88904,1519229,10095,200142,12659,222896,12279,216580,17403,246265,35585,452706,38985,527278,57596,418020,31220,506832,72469,373585,25414,471471,69721,309002,19529,398262,44958,256764,16300,318021,20558,144470,13430,178459,4190,53783,9819,67791,327458,2425052,184761,2937275
SOS31,1268,24852,2591,28714,1208,21409,2921,25532,3195,46440,7157,56784,5068,42933,6182,54183,6458,43904,5676,56029,7394,45165,4932,57495,6041,42363,3729,52129,3393,23185,2622,29203,801,6623,1210,8636,34819,296879,37017,368711,1411,23072,2285,26765,1572,21177,2201,24952,5906,48008,5143,59061,9489,43860,4279,57630,11154,43468,4096,58721,12706,44382,3656,60747,8949,41506,3396,53847,3780,25172,3139,32094,593,10543,2132,13262,55557,301182,30332,387070,2682,47923,4877,55482,2776,42588,5121,50485,9100,94446,12303,115851,14563,86793,10459,111813,17611,87370,9767,114752,20100,89549,8592,118238,14983,83870,7123,105974,7177,48356,5762,61295,1391,17166,3344,21899,90375,598064,67348,755788
SOS32,195,3248,506,3955,157,2663,433,3252,454,5396,1056,6901,707,5710,1034,7451,1121,6923,1041,9082,1382,8580,1017,10979,1181,8088,825,10098,532,3920,524,4975,92,746,153,999,5829,45266,6594,57694,209,2956,429,3591,243,2458,330,3028,816,5695,744,7257,1344,5771,719,7830,1795,6706,766,9267,2331,8018,867,11218,1508,6941,725,9174,483,3460,504,4447,67,1010,187,1263,8789,43020,5274,57085,406,6208,936,7551,394,5115,769,6285,1269,11085,1800,14159,2052,11476,1753,15279,2916,13633,1800,18350,3714,16598,1884,22201,2691,15027,1550,19263,1017,7376,1033,9429,163,1760,338,2259,14618,88291,11867,114777
SOS33,675,11797,1648,14115,531,8566,1608,10707,1324,16234,3848,21406,2479,19517,3861,25861,4030,25754,4350,34129,5014,29271,3924,38217,3489,25069,2825,31383,1445,11290,1411,14142,266,2077,359,2696,19255,149572,23822,192653,700,10831,1369,12901,622,7422,1008,9058,2180,15840,2321,20340,4223,19189,2478,25889,6706,23807,2940,33453,7782,25219,2905,35907,4518,19954,2224,26694,1364,8700,1162,11227,203,1961,297,2454,28299,132911,16700,177913,1370,22627,3017,27016,1157,15992,2618,19762,3507,32072,6167,41750,6699,38710,6338,51750,10732,49560,7288,67583,12802,54493,6827,74122,8008,45018,5050,58073,2812,19987,2569,25367,458,4031,649,5145,47552,282485,40527,370559
SOS37,0,0,0,0,0,4,9,4,0,8,30,37,0,14,45,55,0,12,31,42,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,37,108,149,0,0,0,0,0,0,4,9,0,3,13,13,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,3,14,16,0,11,34,49,0,13,52,64,0,12,32,45,0,0,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0,46,135,183
SOS39,9,193,70,272,12,271,153,444,58,839,408,1301,66,652,467,1194,59,575,403,1042,102,879,313,1297,96,952,214,1253,29,207,42,283,0,16,8,23,445,4586,2077,7108,15,214,61,291,19,339,127,493,79,896,369,1345,89,527,270,885,112,556,222,887,156,827,195,1170,83,674,113,870,9,131,24,160,0,22,3,25,566,4176,1386,6127,24,406,133,566,37,615,278,934,138,1732,777,2649,159,1179,737,2077,177,1136,623,1929,259,1700,503,2468,181,1623,324,2124,37,336,70,444,0,31,16,44,1008,8758,3464,13234
SOS40,1510,32579,1557,35644,2235,38265,2041,42541,5453,78824,4843,89123,8311,70321,4128,82765,10834,62213,3523,76573,12259,56354,2869,71483,8100,47804,2316,58214,4006,26913,1725,32643,1221,10282,1004,12507,53937,423542,24004,501480,1707,30602,1423,33732,2726,36223,1741,40690,8396,77061,3964,89419,13144,68430,3289,84854,17149,58642,2711,78507,19596,55145,2471,77213,11934,52035,2502,66473,4855,33128,2395,40379,895,18117,1784,20793,80403,429388,22276,532069,3217,63178,2976,69374,4966,74482,3779,83229,13846,155884,8808,178542,21457,138748,7412,167621,27986,120861,6236,155078,31863,111501,5338,148698,20035,99836,4818,124690,8858,60042,4122,73023,2114,28397,2783,33293,134341,852932,46276,1033551
SOS41,434,8426,689,9544,483,7665,658,8804,1229,16247,1644,19118,1828,14855,1500,18184,2655,16008,1395,20062,3294,17080,1247,21617,2673,17098,1124,20893,1495,10185,916,12598,434,3291,461,4188,14511,110848,9631,134997,488,7837,592,8914,617,7217,445,8286,2076,16032,1116,19224,3246,14813,1031,19093,4489,15775,1047,21310,5430,16425,1062,22924,3996,17415,1174,22586,1637,11876,1121,14636,284,5479,733,6494,22267,112866,8328,143460,923,16259,1278,18465,1099,14888,1101,17089,3307,32275,2765,38345,5072,29671,2530,37268,7142,31778,2447,41370,8717,33509,2311,44540,6670,34514,2301,43474,3137,22059,2041,27229,716,8770,1194,10681,36783,223714,17963,278457
SOS42,79,1081,140,1300,73,963,77,1126,174,2060,201,2443,267,2018,234,2523,434,2415,274,3124,589,3217,321,4123,481,3287,332,4097,215,1603,208,2028,53,501,89,644,2376,17152,1889,21414,71,994,142,1205,78,868,87,1035,315,2050,200,2555,475,1958,189,2624,663,2239,249,3153,920,2929,286,4133,647,2873,299,3821,247,1613,210,2067,36,770,140,949,3449,16300,1800,21547,147,2076,280,2509,155,1835,162,2161,492,4112,398,4998,740,3975,428,5150,1098,4651,521,6274,1504,6144,610,8260,1128,6156,634,7919,460,3218,418,4099,93,1270,229,1592,5829,33448,3686,42961
SOS43,214,3887,455,4556,184,3018,375,3577,447,5389,831,6667,785,6387,954,8119,1385,8530,1049,10966,1954,10215,1051,13220,1240,8744,853,10839,486,3690,452,4625,82,686,106,878,6769,50550,6123,63446,234,3438,404,4075,210,2488,209,2908,642,5005,469,6110,1308,6165,496,7971,2266,7484,721,10470,2934,8195,788,11916,1513,6891,654,9060,443,2797,366,3608,52,678,130,859,9614,43130,4233,56981,446,7327,858,8627,399,5506,586,6493,1088,10391,1298,12777,2091,12545,1450,16088,3657,16012,1770,21437,4893,18409,1835,25136,2751,15643,1511,19900,925,6490,819,8239,135,1360,243,1738,16391,93678,10360,120427
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12
SOS49,9,50,14,74,6,78,27,108,23,216,88,320,24,169,95,289,28,176,95,299,20,194,102,311,17,149,46,214,4,24,5,40,4,0,0,7,138,1055,470,1668,13,76,19,112,13,75,19,95,32,196,74,305,32,131,82,245,23,111,45,178,29,143,27,197,23,101,17,141,4,20,4,26,0,4,0,10,166,850,288,1306,24,131,33,186,19,153,39,206,56,406,165,627,61,294,176,534,53,280,146,478,49,331,130,513,35,259,60,359,11,50,11,64,4,10,6,11,307,1907,763,2975
SOS50,2408,55408,2829,60648,2845,57688,4282,64814,7039,126064,11847,144955,11145,125344,10755,147237,14225,107433,8625,130284,15040,90247,6347,111637,10460,72122,4117,86701,5106,37945,3146,46197,1536,11872,1972,15377,69814,684119,53912,807849,2726,52419,2746,57892,3769,56352,3420,63540,11270,131026,8646,150941,18433,125222,7036,150691,24113,103772,5523,133403,25813,87728,4499,118041,16147,75242,4225,95610,6038,43213,4095,53346,1185,19851,3523,24562,109497,694824,43713,848032,5137,107825,5580,118535,6615,114036,7699,128352,18309,257091,20495,295897,29579,250566,17785,297929,38334,211207,14144,263686,40856,177975,10845,229678,26607,147370,8343,182320,11145,81157,7241,99540,2721,31725,5493,39936,179305,1378942,97628,1655875
SOS51,474,9888,1203,11569,375,8319,1199,9891,1140,20150,3401,24698,1898,20372,3289,25562,2274,19678,2973,24926,2631,18385,2362,23384,1820,14882,1505,18206,960,7532,902,9393,276,2197,436,2912,11854,121410,17281,150537,514,9235,1070,10821,477,7850,1021,9350,2029,21169,2662,25862,3461,20703,2421,26589,4065,19096,2044,25204,4462,17283,1678,23429,2813,14608,1367,18788,1204,8026,1047,10277,225,3484,727,4441,19249,121464,14047,154756,991,19119,2277,22391,853,16170,2220,19240,3175,41323,6066,50560,5362,41077,5712,52149,6339,38773,5022,50132,7096,35671,4039,46811,4627,29495,2874,36993,2163,15562,1951,19669,498,5682,1168,7350,31102,242866,31324,305293
SOS52,105,1293,212,1607,91,1180,173,1449,250,2644,445,3338,342,2543,463,3343,407,2885,564,3862,470,3381,547,4401,368,3076,413,3853,173,1449,254,1868,47,362,87,498,2250,18811,3158,24224,107,1207,213,1531,138,1140,179,1461,389,2770,410,3567,567,2590,403,3557,610,2721,403,3733,721,3054,447,4222,511,2610,350,3469,199,1343,275,1818,29,491,113,636,3274,17924,2790,23984,217,2496,419,3135,233,2326,355,2915,637,5412,858,6906,907,5127,863,6899,1020,5612,964,7596,1195,6436,994,8621,878,5678,761,7322,367,2784,531,3685,78,858,199,1134,5524,36733,5954,48211
SOS53,208,3984,549,4741,198,3386,1055,4644,420,6716,2927,10059,755,7876,2859,11495,1322,9911,2501,13733,1697,10813,1949,14468,1086,8830,1127,11045,435,3569,504,4509,97,650,98,841,6208,55743,13581,75535,196,3539,459,4187,192,2495,396,3081,635,5775,901,7309,1203,7116,988,9310,2144,8457,1080,11683,2663,8936,1056,12660,1360,6794,764,8919,384,2793,388,3563,55,670,84,805,8840,46570,6115,61530,401,7514,1006,8927,390,5878,1453,7726,1047,12491,3828,17368,1965,14994,3849,20805,3464,18370,3586,25420,4365,19756,3006,27127,2448,15629,1895,19970,815,6370,889,8074,150,1324,176,1649,15052,102312,19694,137066
SOS57,0,3,7,7,0,9,13,25,0,54,44,99,6,82,71,157,0,54,46,103,0,30,20,55,0,6,4,14,0,0,0,0,0,0,0,0,15,243,202,455,0,0,0,3,0,5,5,11,0,8,3,14,0,9,3,11,0,5,8,9,0,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,39,19,61,0,5,3,6,0,15,15,31,0,67,46,116,6,90,80,170,0,61,48,109,0,35,21,62,0,9,3,18,0,0,0,0,0,0,0,0,15,280,222,516
SOS59,12,65,44,118,14,157,133,295,27,402,391,822,38,359,531,926,36,297,514,842,29,303,331,667,25,269,152,444,3,64,48,118,0,7,9,14,175,1922,2149,4247,12,74,60,147,12,141,103,256,21,404,266,692,55,277,284,613,38,213,219,468,43,278,160,477,24,197,95,316,0,23,14,38,0,5,12,16,205,1613,1215,3030,22,137,104,261,24,297,237,562,51,803,659,1512,88,637,809,1543,67,508,737,1313,70,578,493,1144,50,467,243,758,5,92,61,155,0,12,23,30,380,3536,3360,7285
SOS60,228,4850,284,5357,319,5581,352,6254,991,15050,1100,17136,1078,10480,768,12326,1476,8978,594,11047,1781,8401,474,10655,1214,7700,443,9363,647,4262,368,5279,177,1460,167,1795,7912,66759,4547,79218,270,4579,278,5121,426,5442,306,6173,1424,14612,863,16898,1978,10448,573,12997,2524,8999,434,11958,2940,8663,442,12048,1960,8466,523,10946,824,5385,476,6683,143,2637,308,3084,12483,69226,4203,85913,495,9430,561,10486,751,11022,655,12423,2409,29659,1969,34039,3056,20922,1344,25323,4002,17979,1025,23007,4723,17064,917,22706,3175,16163,965,20305,1467,9645,844,11961,321,4091,468,4881,20399,135978,8752,165131
