SOS_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,1276,3107,2679,2068,2884,931,387,13324,373,849,713,525,663,219,93,3440,98,181,139,104,119,59,21,719,80,99,84,64,48,15,10,394,1825,4232,3606,2755,3720,1219,514,17873,130,209,202,150,154,43,20,903,53,137,111,66,44,14,13,430,186,346,312,217,195,55,30,1339,2009,4579,3917,2970,3914,1274,550,19216,563,1145,948,771,799,253,133,4608,72,102,65,56,31,19,4,341,2645,5820,4937,3794,4742,1548,687,24162,3744,9033,7669,6176,9026,3091,1453,40195,5854,11292,7874,5537,6677,1905,840,39976,1572,1930,1293,832,1120,370,165,7292,327,486,301,226,212,70,31,1645,11499,22745,17138,12769,17031,5431,2494,89115,541,1132,720,495,530,128,55,3596,1014,1569,796,519,572,142,47,4657,1553,2695,1520,1018,1105,270,99,8259,13049,25445,18663,13782,18135,5693,2595,97370,13161,13238,7461,5274,5181,1491,794,46596,343,404,247,161,94,28,9,1306,26559,39083,26367,19224,23410,7224,3403,145271,5022,12138,10344,8241,11916,4017,1840,53526
SOS31,365,814,672,557,775,100,34,3316,91,232,207,144,168,20,5,872,24,42,32,23,30,6,0,158,20,39,34,33,21,0,0,149,502,1118,949,755,998,130,50,4500,50,101,89,70,64,8,0,369,24,55,42,27,14,0,0,170,73,153,134,97,77,9,0,540,577,1271,1082,857,1079,133,50,5039,264,490,374,252,276,32,13,1695,14,34,35,26,7,0,0,113,855,1794,1486,1131,1356,166,63,6849,986,2413,2183,1723,2156,277,103,9844,1900,3848,2719,1793,1904,219,60,12439,357,427,247,181,188,30,4,1430,135,207,104,72,68,15,0,605,3387,6891,5255,3770,4309,538,175,24322,214,435,262,193,145,16,4,1270,392,593,325,198,155,21,0,1679,603,1031,587,392,303,35,6,2949,3993,7918,5839,4162,4604,569,180,27267,5522,5207,2869,1812,1394,154,49,17017,121,150,69,62,30,3,0,446,9638,13281,8783,6033,6028,731,233,44731,1350,3225,2855,2285,2930,376,144,13160
SOS32,61,78,76,74,85,12,5,388,16,36,27,19,13,0,4,112,5,11,10,6,8,0,0,35,3,8,9,8,10,0,0,43,82,134,120,103,117,13,0,577,15,16,13,3,7,0,0,65,6,0,3,0,0,0,0,14,22,22,15,12,12,0,0,84,102,156,143,115,122,16,3,659,51,88,59,53,42,3,0,298,7,9,4,8,0,0,0,24,158,254,204,170,171,14,9,973,113,322,242,167,201,28,4,1083,219,486,339,207,216,19,4,1479,47,45,34,34,17,0,3,176,19,33,23,16,12,0,0,97,395,879,640,424,440,56,20,2836,40,92,35,33,24,3,0,225,50,67,49,27,17,0,0,210,87,155,88,64,42,0,4,439,478,1038,726,486,481,57,17,3273,873,848,447,264,202,19,9,2666,39,33,21,18,0,0,0,116,1392,1918,1202,767,684,76,23,6056,170,401,317,242,285,44,10,1466
SOS33,112,215,229,227,254,51,16,1112,49,102,87,50,74,10,10,370,8,13,7,11,9,4,0,44,22,25,7,8,6,0,0,72,187,352,333,292,346,65,18,1592,8,13,22,17,11,0,0,83,5,18,13,8,7,0,0,56,18,31,34,27,22,4,0,134,206,385,363,320,369,67,18,1729,89,184,145,111,102,22,0,654,6,13,14,13,3,0,0,43,303,575,524,442,477,89,17,2430,216,553,496,396,467,87,34,2254,473,854,647,450,493,77,25,3018,77,102,67,48,47,9,3,349,26,48,27,23,27,8,3,157,791,1549,1239,925,1038,178,59,5772,31,92,47,46,37,9,0,257,64,115,56,32,36,3,0,312,92,204,104,79,78,17,3,574,879,1759,1343,1002,1108,189,62,6346,1190,1133,716,457,410,63,26,3994,29,53,17,18,3,0,0,124,2099,2938,2077,1476,1528,255,90,10467,333,771,729,623,720,142,44,3361
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,355,835,769,594,884,380,237,4057,84,274,219,179,242,115,66,1178,15,29,26,20,37,13,6,144,25,18,23,11,12,8,3,104,482,1154,1031,805,1176,517,312,5478,29,71,61,34,57,19,11,284,10,47,27,31,23,4,0,141,39,120,92,66,78,21,11,427,520,1270,1122,875,1257,534,328,5903,245,402,322,303,319,99,110,1795,14,10,11,17,11,4,0,68,776,1684,1449,1191,1592,637,432,7763,826,2382,2099,1689,2478,1224,771,11476,1887,3811,2679,1821,2220,918,513,13854,312,242,153,106,155,75,45,1091,91,117,88,51,50,14,8,428,3120,6555,5017,3679,4906,2233,1339,26845,127,258,171,123,164,67,27,936,273,534,347,194,219,69,39,1673,400,791,514,318,387,131,72,2609,3518,7342,5531,3999,5290,2368,1409,29460,4294,4339,2538,1781,1823,704,441,15913,73,83,67,56,31,18,8,323,7882,11767,8134,5830,7143,3086,1857,45697,1184,3210,2870,2283,3359,1603,1013,15524
SOS41,102,229,193,199,241,64,20,1056,34,88,78,61,62,13,8,339,0,15,13,8,8,4,0,62,10,5,7,13,11,4,0,41,144,338,294,273,329,84,36,1499,17,33,26,22,19,0,0,116,0,17,10,5,6,0,0,44,17,50,36,29,24,0,0,157,163,393,330,307,345,84,36,1659,88,183,135,87,86,24,6,615,7,17,8,5,5,0,0,40,259,597,475,402,440,107,41,2313,199,616,631,471,723,186,68,2892,709,1434,979,677,804,165,45,4811,106,86,54,53,61,14,4,380,33,54,26,21,20,6,3,159,1047,2186,1684,1222,1607,376,123,8241,37,98,64,45,48,11,4,299,69,143,85,49,45,7,6,392,103,245,142,93,94,14,7,690,1155,2429,1832,1313,1691,385,130,8936,1667,1438,803,529,482,102,27,5048,29,33,26,18,7,0,0,121,2852,3907,2655,1863,2190,488,155,14100,302,844,825,673,963,253,91,3950
SOS42,9,27,15,21,33,8,3,116,5,9,11,3,8,0,0,43,0,3,5,4,0,0,0,14,0,0,0,0,4,0,0,5,14,46,32,31,42,12,10,183,3,9,6,0,0,3,0,22,0,6,4,0,6,0,0,16,7,12,11,4,6,4,0,31,19,57,38,33,46,10,10,218,5,24,13,22,11,0,0,67,0,0,3,0,5,0,0,9,24,81,59,53,63,12,10,293,16,64,68,47,56,15,9,265,71,155,111,96,101,20,7,556,7,7,11,9,7,0,0,41,0,0,3,0,3,0,0,13,101,224,185,146,161,32,11,865,4,12,9,3,7,0,0,28,11,22,6,0,8,5,0,45,15,30,10,4,15,5,0,82,113,255,201,155,175,35,11,939,182,189,106,61,57,11,0,610,3,5,8,3,0,0,0,31,296,451,318,214,242,49,16,1582,28,91,79,61,84,20,7,378
SOS43,26,77,81,75,102,39,9,403,11,28,38,16,16,0,0,108,0,13,4,4,5,0,0,16,3,0,0,0,4,0,0,7,44,116,121,98,124,39,4,542,7,0,3,5,7,0,0,16,3,4,0,5,3,0,0,11,5,5,3,4,9,0,0,31,51,120,123,102,129,39,8,571,23,36,38,32,29,13,0,168,0,0,4,0,0,0,0,10,74,163,160,134,155,54,10,751,38,124,109,80,126,22,10,509,111,235,184,131,143,29,14,842,18,26,15,11,13,0,0,84,3,17,8,8,9,0,0,49,175,397,317,225,292,54,22,1478,4,25,15,7,7,3,0,64,8,15,12,8,9,0,0,43,14,36,24,10,15,3,0,110,189,436,335,240,305,60,26,1587,284,290,163,116,102,13,11,974,3,9,12,4,0,0,0,33,470,727,508,363,408,75,36,2590,67,199,187,153,223,56,16,912
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,589,1420,1261,1067,1497,560,364,6765,149,381,328,214,286,119,73,1549,27,52,56,44,53,12,13,254,26,40,30,24,30,8,9,164,791,1889,1683,1349,1866,708,457,8735,55,107,75,64,87,22,22,440,21,57,34,24,37,3,4,180,84,164,105,86,121,33,27,614,871,2051,1787,1431,1986,734,483,9351,249,510,374,326,350,119,76,1994,29,45,32,26,15,0,0,158,1151,2604,2201,1787,2361,852,552,11502,1598,4037,3666,2946,4205,1793,1154,19397,3049,6348,4356,3087,3607,1243,681,22379,414,340,199,163,203,82,56,1460,134,195,120,103,121,37,33,744,5199,10926,8348,6299,8132,3156,1919,43974,216,481,351,226,287,91,55,1703,514,963,517,346,347,69,54,2807,728,1441,868,570,633,161,112,4513,5920,12367,9216,6867,8766,3318,2028,48493,6652,6335,3443,2351,2317,700,439,22246,154,169,116,67,49,18,17,598,12725,18869,12777,9292,11136,4037,2488,71327,2190,5458,4930,4019,5701,2356,1514,26167
SOS51,138,298,284,244,302,21,11,1299,32,108,85,64,71,4,0,377,10,15,18,7,10,4,0,62,15,11,3,6,11,0,0,42,196,430,393,326,393,28,11,1778,8,30,28,23,16,0,0,104,7,22,11,9,11,0,0,65,15,53,37,28,27,0,0,164,212,476,436,355,423,28,17,1944,75,130,122,79,82,9,0,502,10,16,6,16,5,0,0,61,294,621,565,451,513,40,13,2501,316,935,868,688,902,67,26,3814,655,1443,1012,705,768,63,10,4658,92,73,75,57,50,3,0,354,40,58,29,27,20,0,0,173,1101,2507,1980,1475,1748,135,39,8989,39,109,70,49,47,8,0,322,81,187,98,64,49,3,5,485,123,292,166,113,89,9,4,804,1224,2797,2149,1588,1838,150,47,9792,1829,1720,826,546,443,48,15,5425,53,71,47,25,4,0,0,195,3107,4588,3025,2155,2288,195,60,15416,457,1231,1158,932,1207,93,41,5110
SOS52,9,32,31,25,23,0,0,122,3,9,8,6,6,0,0,36,0,6,5,0,0,0,0,10,0,0,0,0,0,0,0,5,16,46,40,31,31,0,0,166,0,3,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,10,16,45,48,36,39,0,0,180,37,48,31,21,23,0,0,167,0,6,5,4,7,0,0,32,53,104,76,65,68,6,0,373,43,100,80,49,73,13,0,361,88,183,140,87,80,3,5,581,9,12,10,13,9,0,0,42,3,6,8,6,6,0,0,28,144,303,236,151,165,16,4,1016,15,17,13,9,5,3,0,58,18,37,19,13,9,0,0,98,35,56,29,18,11,3,0,155,178,356,268,172,174,17,4,1170,439,437,244,174,110,11,0,1411,14,21,13,3,4,0,0,57,635,817,523,348,287,32,8,2639,53,140,110,73,97,14,0,485
SOS53,29,70,75,58,76,6,9,321,11,31,20,16,25,0,0,106,8,6,6,3,3,0,0,29,4,0,5,0,0,0,0,10,45,109,105,83,106,10,9,467,0,7,9,3,3,0,0,23,3,4,0,0,0,0,0,9,0,7,5,5,3,0,0,30,52,118,111,84,113,7,9,501,35,39,44,36,22,0,0,170,4,3,6,5,0,0,0,13,86,163,154,124,134,13,9,690,49,132,133,98,120,27,14,572,123,247,185,127,127,14,5,829,15,15,14,5,3,0,0,53,4,4,5,4,8,4,0,21,183,407,333,231,259,41,16,1478,3,5,7,15,6,0,0,41,13,25,19,16,10,0,0,92,16,37,29,28,14,0,0,127,206,439,363,260,275,45,20,1604,319,341,206,113,116,14,3,1115,7,25,10,11,0,0,0,50,529,799,575,386,391,58,24,2769,69,204,204,157,200,30,21,893
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,69,151,137,130,178,40,24,734,24,56,42,21,38,15,0,203,0,7,3,6,8,3,0,31,5,8,0,8,0,0,0,26,101,223,183,157,224,60,25,982,7,8,14,6,4,4,0,45,6,14,8,3,5,0,0,30,11,23,20,8,4,6,5,71,114,246,204,172,234,65,32,1059,39,57,49,43,35,18,14,244,4,6,0,3,0,0,0,15,156,299,255,216,269,85,41,1313,127,362,362,268,454,174,95,1844,373,719,531,356,404,123,45,2557,69,52,37,24,28,12,6,227,8,18,15,11,0,0,0,60,580,1148,950,663,891,312,150,4698,20,56,42,34,38,9,8,199,64,110,58,44,37,12,0,326,86,163,98,79,79,19,4,526,665,1314,1045,744,969,332,156,5224,860,872,461,341,311,92,57,2981,13,23,6,6,0,3,0,56,1535,2207,1515,1084,1279,427,209,8266,199,517,501,400,628,219,116,2576
SOS61,67,133,132,114,157,38,20,663,24,53,43,40,49,11,6,223,5,6,4,4,3,0,0,26,9,6,9,6,3,0,0,28,103,193,191,161,210,56,23,936,8,18,13,11,6,5,0,64,0,23,12,8,5,0,0,49,12,41,25,16,12,5,0,113,114,238,212,180,227,57,24,1049,65,123,96,65,78,19,5,456,5,8,7,7,0,0,0,20,182,364,316,252,305,74,28,1526,129,396,401,319,440,121,42,1844,477,913,680,485,532,124,29,3232,70,58,42,29,45,3,3,257,21,29,23,27,16,0,0,116,697,1394,1146,856,1035,255,73,5451,30,76,49,42,36,3,7,234,71,165,86,55,65,16,0,443,98,238,131,97,97,13,7,678,800,1631,1277,949,1130,267,76,6129,1307,1321,703,472,431,89,32,4357,15,24,19,14,8,0,0,79,2123,2978,2001,1425,1568,355,109,10568,200,529,536,427,596,164,60,2507
SOS62,6,30,16,17,21,8,4,93,9,10,8,3,8,0,0,37,0,0,0,0,7,0,0,3,0,5,0,5,5,0,0,14,12,42,26,22,36,7,4,144,3,0,7,0,0,0,0,13,0,6,0,0,0,0,0,3,3,6,7,0,0,0,0,17,13,44,32,20,36,7,4,158,8,12,7,8,3,0,0,39,0,0,0,0,0,0,0,3,17,59,46,26,37,13,3,205,12,34,27,32,38,3,4,150,48,102,90,58,47,9,8,356,11,7,5,3,0,0,0,24,3,8,4,3,0,0,0,15,74,147,124,97,82,19,10,549,0,7,0,3,5,0,0,20,8,16,12,4,10,6,0,42,9,18,11,3,16,3,0,60,84,169,134,99,96,20,10,609,112,113,47,46,33,9,0,365,5,0,5,0,5,0,0,13,201,282,185,143,124,31,11,984,17,64,45,47,56,13,9,245
SOS63,39,101,80,53,75,12,6,369,7,34,24,19,28,0,0,110,0,0,3,5,7,0,0,9,5,7,4,0,4,0,0,15,49,136,108,76,118,19,5,500,0,0,6,0,0,0,0,8,0,3,0,0,0,0,0,8,0,5,8,0,0,0,0,17,52,134,113,75,116,16,5,520,19,35,35,26,34,5,4,152,3,3,0,4,0,0,0,15,71,178,151,109,148,23,6,686,25,83,87,91,108,33,7,435,105,233,173,135,152,29,11,828,19,10,8,6,12,5,0,59,9,10,10,6,0,0,0,43,158,338,275,237,277,62,19,1369,11,23,13,9,7,5,0,67,9,35,18,10,10,0,0,87,22,52,33,18,23,9,0,156,182,388,313,249,298,68,19,1522,251,235,154,110,97,16,0,862,4,9,5,6,3,0,0,25,440,628,473,367,394,86,24,2409,67,184,162,140,186,44,14,801
