SOS_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
SOS27,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0,0,0,0,0
SOS29,48,35,12,18,318,7,154,1157,56,1797,19,58,8,0,14,13,0,8,147,4,57,249,20,485,368,385,106,18,165,177,54,120,924,50,464,850,83,2447,12,12,0,4,3,6,3,5,43,0,20,36,3128,3220,490,609,148,23,231,232,70,154,1428,68,697,2282,3286,7946,34,59,8,8,20,19,6,19,131,12,51,312,26,577,57,117,9,3,27,32,5,19,281,9,102,262,63,698,267,251,72,6,108,124,41,84,667,34,359,553,184,1793,47,66,22,0,23,17,3,14,141,8,71,392,25,672,50,59,7,0,25,23,9,10,111,3,67,430,15,691,6,15,4,0,4,3,0,0,29,0,20,171,10,244,4,15,0,0,3,0,0,0,14,0,9,81,6,128,21,25,7,4,15,9,0,8,53,0,19,76,2958,3132,490,609,148,23,231,232,70,154,1428,68,697,2282,3286,7946,122,127,30,9,62,56,33,52
SOS30,53177,33742,7078,12701,174718,5405,128727,1197654,56370,1780257,5157,10044,1391,58,3617,2023,494,1078,18274,415,8800,62064,3278,101655,189471,92327,69260,23324,91266,99687,22020,49507,135914,25369,136282,356738,30877,894531,3898,1785,1257,2238,1971,2454,673,1091,2737,845,3134,7978,141962,160828,290802,263775,106302,26111,150039,137905,30271,64376,331642,32032,276938,1624432,232491,2937275,16199,18919,6496,1751,10666,7879,1993,3589,26066,2211,22281,151526,8119,238932,22958,22000,8432,1857,12125,11007,2515,5529,32335,2795,25330,133580,7622,233769,126498,71089,42455,13288,60628,62811,14698,34020,106421,16316,91544,272777,18498,640551,43601,44645,15548,2044,21431,19200,3781,8384,54934,3809,40085,286097,14713,471788,45804,60448,17494,978,25296,19235,3621,7156,67939,3288,52837,433376,20027,670508,20010,31708,9030,269,11371,8396,1561,2425,29380,1223,27697,234261,9807,352072,7339,10716,3987,241,4323,4315,735,948,7587,604,9187,90684,3634,132390,8404,4250,2859,5677,4198,5060,1374,2323,6980,1789,7975,22124,150078,197263,290802,263775,106302,26111,150039,137905,30271,64376,331642,32032,276938,1624432,232491,2937275,61850,29978,21927,21523,31333,36406,11197,21112
SOS31,15147,9439,1907,4404,40144,1490,26929,259253,14338,398196,1728,2821,389,23,1167,739,126,515,4885,152,2242,13096,1011,23908,72181,31501,23190,7829,34034,36693,8564,20740,45528,9286,41921,92102,10277,273790,1917,806,522,561,1012,1095,337,550,1037,333,967,2720,52644,59890,102051,72578,32289,8585,51357,47967,10938,26209,91586,11263,72055,367171,78267,755788,5340,5134,1780,461,2999,2420,574,1323,7124,666,5484,30941,2325,54452,8811,6647,2873,566,4475,4027,923,2381,9414,1017,7135,31830,2444,62991,52250,24884,15710,5117,24155,25417,6094,15077,35762,6401,30366,74020,6306,205613,13834,12396,4457,613,6706,5909,1269,3094,14915,1223,9845,69059,4309,120801,12141,13844,4059,226,7124,5229,991,2301,14974,879,10746,90606,4758,145175,4542,6266,1749,50,3056,2006,361,698,5710,266,4849,48880,2295,73219,1420,1754,606,55,976,802,157,298,1281,105,1363,14502,614,21505,3716,1654,1056,1497,1864,2145,569,1031,2405,694,2269,7339,55212,72029,102051,72578,32289,8585,51357,47967,10938,26209,91586,11263,72055,367171,78267,755788,24430,11227,7865,7189,11820,13941,4289,8687
SOS32,2414,1622,277,678,4892,264,3572,35752,1972,55220,286,365,70,6,245,153,32,104,591,20,288,2181,154,3744,11221,4768,3615,844,5585,5682,1350,3250,6546,1409,6368,16605,2268,45739,273,135,86,49,174,157,52,68,101,43,114,605,8776,10073,16030,10125,5070,911,8425,7609,1712,4090,12130,1735,10346,55151,13173,114777,911,801,332,49,535,441,84,220,964,106,816,4707,346,8374,1494,1054,464,89,867,734,174,373,1385,171,1141,5632,387,10813,8272,3690,2445,563,4075,4049,948,2425,4990,992,4637,12943,1103,33763,2074,1610,666,61,1027,927,191,440,1796,188,1316,9869,625,17153,1901,1749,626,20,1055,773,153,329,1916,134,1460,12585,674,20236,639,738,281,13,395,272,40,85,685,39,562,5944,266,8976,214,194,92,0,120,108,12,55,152,19,164,1757,81,2651,517,281,169,110,347,303,113,160,239,89,252,1711,9691,12806,16030,10125,5070,911,8425,7609,1712,4090,12130,1735,10346,55151,13173,114777,3467,1503,1040,720,1750,1880,616,1246
SOS33,7231,5977,1008,2340,15661,918,12782,138033,7210,207163,732,858,167,8,334,242,51,183,1529,48,766,4917,344,8553,27791,12259,9225,1680,11773,13240,2751,7483,16422,3257,16489,45878,7335,120365,585,303,193,105,305,284,75,146,253,74,239,1413,31567,34482,45042,30694,14931,1945,19650,19746,3894,10146,33868,4295,30268,190251,46457,370559,3087,2507,1133,162,1466,1388,281,708,3091,334,2690,17495,1155,29719,4709,3066,1486,248,2024,2040,385,1092,3995,413,3447,17787,1162,32865,20104,9793,6260,1049,8311,9213,1933,5425,12397,2287,11778,38693,2942,90695,6258,4948,2134,183,2652,2508,474,1186,5226,485,4132,33674,1928,55476,6204,5920,2165,106,2870,2519,423,1003,5711,406,4620,45423,2349,70398,2413,2703,908,22,1152,984,172,307,2206,118,2165,23123,1052,34096,987,1022,439,23,505,498,86,123,642,78,804,9097,410,13395,1283,728,407,151,660,606,132,312,602,171,628,4948,35473,43919,45042,30694,14931,1945,19650,19746,3894,10146,33868,4295,30268,190251,46457,370559,8467,3788,2835,1464,3706,4401,1298,2936
SOS37,0,0,0,0,0,0,0,30,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,3,128,135,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,6,128,136,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0,0,0,0,0
SOS39,74,62,10,36,442,9,246,2140,105,3219,66,76,16,0,29,30,3,13,183,8,83,493,30,851,1069,637,323,40,468,496,97,314,1187,121,873,2501,197,5780,16,10,5,0,8,6,3,8,22,3,11,49,3278,3387,1344,998,389,42,579,589,109,373,1840,143,1214,5177,3603,13234,120,77,30,3,45,45,4,14,147,12,117,642,105,1149,138,132,28,4,60,53,13,41,279,14,134,560,294,1394,722,450,217,23,317,344,69,234,888,89,586,1441,515,4044,184,138,54,0,66,70,14,49,216,17,143,1000,60,1655,101,118,33,5,50,50,11,23,207,3,139,921,44,1456,36,44,8,0,20,18,0,6,55,5,47,340,18,522,14,15,5,0,4,9,0,4,19,3,16,130,5,192,28,13,10,0,18,8,3,8,30,0,28,149,2568,2817,1344,998,389,42,579,589,109,373,1840,143,1214,5177,3603,13234,263,174,69,30,115,114,38,87
SOS40,21425,11430,2324,3680,55040,1803,42686,407227,17607,599698,1739,3624,430,20,1481,678,174,386,6620,128,3111,22182,1156,36143,82382,37224,26276,11599,44211,41214,7976,18172,55346,10431,54904,136581,11577,358488,1602,668,446,465,842,797,186,356,834,237,738,2681,32784,39227,117119,94445,37781,12264,67949,54119,10661,22593,117845,12596,101433,568667,63119,1033551,5488,6292,1923,845,4271,2532,608,1069,8580,685,7535,54167,2664,83549,9910,9109,3195,767,5788,4311,909,2051,13275,1084,10339,51615,2943,92463,56425,28434,16192,7041,29813,26386,5420,12690,43956,6871,37752,107139,7215,260667,16910,15061,5640,1073,9621,7570,1323,2882,18053,1510,14054,99990,4999,166211,16196,21301,5950,504,10832,7292,1268,2138,21314,1204,18083,153877,6558,236479,6560,9856,2710,134,4313,2900,490,682,8146,452,8654,71254,2677,107686,2401,2882,1208,86,1427,1363,246,311,1977,216,2641,23607,986,35526,3222,1502,962,1816,1885,1761,389,765,2545,574,2374,7024,35083,50970,117119,94445,37781,12264,67949,54119,10661,22593,117845,12596,101433,568667,63119,1033551,27179,12295,8068,10368,14705,14731,4095,7811
SOS41,6001,3498,671,1333,15387,531,10755,92814,4461,145710,616,1008,117,12,406,224,47,171,1791,34,758,4098,239,7778,29520,13299,9134,3770,15392,14433,2730,7161,17767,3470,16030,35979,4520,109988,651,272,179,146,361,348,74,160,302,102,255,831,12674,14981,40908,29747,12332,3982,22162,18500,3522,8818,35245,4139,27797,133725,21899,278457,1760,1884,564,173,1004,718,162,335,2337,181,1852,10035,697,17846,3543,2962,1011,243,1852,1442,297,836,4063,382,2760,11979,800,24410,21259,10554,6112,2407,11021,9875,1878,5230,14290,2315,11648,29750,2400,83218,5883,4980,1879,375,3116,2589,493,1099,5742,511,4106,25881,1468,47009,4774,5661,1539,127,2916,2068,339,727,5590,346,4304,34369,1688,55850,1690,2437,589,24,1064,690,122,182,1883,106,1845,15360,627,23867,564,603,238,27,334,294,49,69,443,45,448,4129,198,6524,1438,666,405,609,847,829,175,344,900,255,832,2226,14019,19739,40908,29747,12332,3982,22162,18500,3522,8818,35245,4139,27797,133725,21899,278457,9229,4316,2687,3366,4736,4911,1289,2950
SOS42,988,628,110,208,2035,81,1381,13439,659,21143,105,103,22,0,68,38,4,17,224,5,97,645,35,1167,4529,1889,1364,502,2393,2200,411,1092,2584,520,2320,6152,622,17356,172,45,40,52,77,83,16,39,63,34,62,171,2820,3302,6571,4112,1917,567,3532,2947,541,1365,4896,638,3862,20408,4136,42961,307,247,102,25,161,144,22,71,346,29,276,1444,129,2673,638,410,143,37,346,247,46,139,629,74,460,2042,138,4086,3320,1514,960,299,1798,1548,316,802,2036,358,1645,5272,402,13560,884,703,294,24,462,396,59,155,716,54,505,3860,217,6925,746,745,216,14,435,316,46,89,719,42,543,4853,205,7810,275,305,98,5,129,87,12,22,245,13,216,1925,100,3032,67,61,20,3,43,39,6,9,42,5,40,482,32,751,329,119,79,161,159,173,32,78,162,60,181,526,2912,4129,6571,4112,1917,567,3532,2947,541,1365,4896,638,3862,20408,4136,42961,1372,544,388,455,711,736,173,435
SOS43,2889,2095,321,685,5494,315,4573,47617,2124,72129,223,278,45,0,123,78,13,51,408,18,197,1379,80,2433,8389,3854,2675,429,4136,3851,679,1926,4624,909,4609,14658,2170,37357,189,78,61,17,107,97,20,56,77,24,63,483,7565,8505,14466,10666,4616,493,7261,6118,1039,2713,10602,1270,9442,64130,11936,120427,868,806,277,26,459,343,64,167,825,63,756,5261,285,8689,1449,1117,462,50,742,596,135,314,1256,125,1048,5989,330,10891,6192,3210,1807,289,3045,2656,446,1376,3809,638,3397,13365,905,29836,2213,1858,725,58,1037,922,143,343,1758,151,1435,11783,557,19585,2197,2218,756,27,1126,899,116,284,1878,151,1657,16358,722,25294,859,941,323,10,458,364,61,89,673,61,703,7113,285,10757,336,319,135,9,175,172,31,42,221,26,285,2840,97,4226,358,197,122,22,218,174,40,93,186,43,165,1419,8754,11139,14466,10666,4616,493,7261,6118,1039,2713,10602,1270,9442,64130,11936,120427,2131,955,691,337,1045,1008,288,678
SOS47,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,0,0
SOS49,13,5,4,13,110,8,50,462,32,724,14,32,6,0,10,9,0,5,74,0,35,141,3,266,211,177,55,12,115,80,16,53,367,22,228,478,60,1266,8,3,3,0,0,0,0,0,6,0,6,13,702,719,264,306,70,8,149,95,22,69,559,35,311,1085,799,2975,24,23,11,0,5,7,4,3,44,0,30,130,22,252,28,62,10,0,24,13,3,13,116,0,40,152,77,419,136,122,26,6,78,54,9,40,256,17,160,297,140,925,35,37,7,0,17,13,0,3,54,7,36,188,14,332,22,37,7,0,11,9,0,8,47,7,21,159,11,268,7,17,0,0,0,0,0,0,15,0,12,92,5,137,7,8,3,0,0,0,0,0,8,0,4,32,0,48,7,5,0,0,8,0,0,3,20,3,8,33,540,599,264,306,70,8,149,95,22,69,559,35,311,1085,799,2975,51,53,8,6,25,24,3,21
SOS50,32443,18557,3747,6335,90169,2771,66966,710791,32467,1024680,2632,4948,785,24,2128,1113,266,538,9516,210,4641,36063,1974,57284,97537,42794,35209,12347,52301,50457,10568,23360,62558,12912,66513,208958,17640,490236,1789,764,534,1150,1092,983,266,455,1183,331,1304,4563,73843,83679,150438,128285,54907,13767,87969,71114,14853,30683,163426,16219,139424,960370,125925,1655875,9769,10782,3870,1181,7420,4570,1117,2008,15141,1326,13049,100057,5116,153387,13204,11750,4733,1115,7636,6112,1327,2919,17567,1580,14202,81716,4624,139505,63585,31937,20833,6653,33382,30677,6830,15492,49151,7891,43505,155219,10292,342032,20576,18010,7594,1174,11296,9379,1807,3780,23661,1837,18002,139246,7195,224892,22395,28396,8717,605,14639,9644,1749,3458,32580,1653,25424,241889,11056,362262,11769,18141,5190,186,7842,5378,942,1372,16973,681,15340,156912,6388,227632,5158,7406,2585,122,3441,2950,484,599,5266,400,6340,72661,2725,102654,3978,1868,1385,2722,2316,2404,593,1056,3085,852,3559,12666,78523,103516,150438,128285,54907,13767,87969,71114,14853,30683,163426,16219,139424,960370,125925,1655875,28123,12014,9908,11333,15585,16483,4853,8853
SOS51,6578,3467,782,1393,16656,537,10745,119022,6541,177243,518,805,150,9,405,205,61,128,1525,34,630,4726,368,8153,20572,9065,6911,2512,10829,9925,2366,5083,13148,2693,12051,35410,4463,92013,561,251,184,279,318,316,86,144,369,111,366,1091,25333,27884,32274,25024,10702,2856,18136,13912,3299,6746,31698,3386,23793,160255,36707,305293,1789,1897,690,180,1192,717,188,369,2658,176,1933,13469,957,22386,2858,2312,937,246,1601,1254,324,633,3325,342,2380,12664,973,23502,14596,6997,4588,1438,7531,6587,1612,3654,10410,1756,8561,27323,2431,67138,4461,3867,1481,218,2247,1701,345,768,4922,437,3255,25105,1562,42431,4399,5126,1494,95,2659,1689,388,667,5738,272,3861,40158,2200,61430,2278,3286,845,22,1689,927,195,258,2975,127,2297,28172,1339,40984,809,1032,320,18,577,390,75,104,799,45,705,10604,515,14897,1086,511,356,642,638,645,182,285,870,228,800,2762,26730,32527,32274,25024,10702,2856,18136,13912,3299,6746,31698,3386,23793,160255,36707,305293,6067,2694,1999,2316,3297,3254,1092,1993
SOS52,1090,655,119,294,2019,102,1367,14804,727,22648,94,151,16,0,99,47,13,18,203,10,96,964,56,1523,3843,1797,1230,313,2385,1998,463,1114,2262,521,2174,7829,758,18528,118,65,40,44,94,75,17,40,91,24,34,290,4888,5507,5798,3951,1836,375,3671,2775,611,1464,4576,657,3673,23887,6422,48211,360,314,128,40,229,138,35,81,360,44,292,2175,140,3621,580,436,178,29,538,354,109,148,551,71,475,2914,237,5228,2766,1334,837,192,1617,1371,302,811,1736,354,1537,5277,451,12764,707,579,232,29,399,301,52,156,630,79,423,3534,206,6085,755,686,226,17,438,285,52,128,694,46,485,5045,244,7975,321,383,123,3,213,143,15,64,347,15,279,3071,147,4617,91,102,39,3,63,54,8,21,99,9,83,1104,52,1587,217,110,77,62,169,121,29,61,166,42,94,759,4940,6326,5798,3951,1836,375,3671,2775,611,1464,4576,657,3673,23887,6422,48211,1070,471,353,272,635,629,211,382
SOS53,2750,2170,372,730,5857,308,4670,53796,2744,79789,206,230,42,3,126,81,20,37,417,10,185,1631,88,2649,7231,3029,2645,527,3450,3542,696,1643,3969,817,4231,16067,4390,39083,138,70,40,14,70,66,16,37,60,22,59,456,14727,15541,13448,9428,4814,578,6396,5871,1101,2450,10303,1159,9137,71947,21951,137066,1051,852,366,66,493,417,68,205,1063,96,891,6547,390,10688,1362,977,466,67,720,614,131,302,1215,129,1058,6281,370,11172,4996,2300,1750,322,2234,2308,459,1137,3054,508,2937,12687,892,26576,1885,1348,671,62,857,735,117,284,1509,143,1178,10376,578,16987,2125,1997,775,30,1011,909,134,279,1813,129,1581,16953,877,25793,1168,1249,433,12,623,457,95,135,1072,65,933,11960,522,17290,522,516,231,12,264,246,51,51,398,41,389,5492,223,7822,344,191,123,13,194,176,46,62,176,44,175,1658,18099,20737,13448,9428,4814,578,6396,5871,1101,2450,10303,1159,9137,71947,21951,137066,1766,688,654,422,874,963,296,546
SOS57,0,7,0,0,6,3,5,233,3,277,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,217,220,14,16,8,0,0,9,0,0,8,3,8,244,226,516,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,4,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,3,0,0,0,0,0,5,0,4,62,0,79,0,10,0,0,0,5,0,0,0,0,0,89,3,105,3,3,0,0,0,4,0,0,0,0,0,69,4,75,0,0,0,0,0,0,0,0,0,0,0,4,213,217,14,16,8,0,0,9,0,0,8,3,8,244,226,516,0,0,0,0,0,0,0,0
SOS59,39,19,7,9,198,5,110,1106,47,1614,25,33,10,0,20,13,0,9,78,0,23,242,12,392,296,179,102,11,139,140,31,79,388,38,276,903,63,1955,3,0,0,0,3,4,5,0,18,0,7,17,3277,3326,399,337,130,11,201,183,33,96,678,40,412,2268,3403,7285,35,35,6,0,16,20,3,8,57,3,40,250,77,472,44,41,15,0,33,28,3,13,130,8,65,229,674,1153,196,125,60,4,102,88,19,53,279,19,169,507,638,1796,41,44,20,0,18,21,0,6,77,8,53,349,60,602,54,38,22,0,27,11,0,10,85,3,53,506,38,749,11,32,3,0,5,4,0,0,22,0,22,260,13,359,7,10,0,0,5,0,0,6,11,0,4,115,3,152,10,11,4,0,3,8,5,0,13,3,6,50,1904,1991,399,337,130,11,201,183,33,96,678,40,412,2268,3403,7285,57,38,17,7,27,36,11,24
SOS60,2730,1621,401,582,11262,293,6965,62061,2954,94821,292,587,70,3,152,81,27,49,1271,21,479,4355,207,6673,14534,6055,4384,1734,5811,6077,1455,3039,9529,1809,8433,20217,2330,56557,310,111,73,72,147,140,43,92,172,51,98,409,5992,7073,21525,15114,6333,1833,8835,7924,1924,3762,22228,2174,15979,87041,11491,165131,831,935,282,117,430,317,99,161,1512,117,1058,7935,434,12226,1661,1377,470,139,685,649,164,320,2390,163,1539,7113,474,13486,9521,4555,2525,898,3925,3648,918,2085,7585,1107,5565,16661,1223,40960,3453,2379,1031,164,1302,1190,306,501,3470,285,2396,16309,843,27886,3459,3454,1153,84,1488,1195,240,379,4571,233,3091,23703,1135,38420,1409,1693,482,22,544,408,92,84,1805,64,1464,10940,489,17474,486,452,198,11,177,186,37,47,380,40,396,3375,175,5333,696,268,197,399,277,341,73,182,520,167,462,1008,6727,9336,21525,15114,6333,1833,8835,7924,1924,3762,22228,2174,15979,87041,11491,165131,4394,1912,1277,1529,1937,2208,608,1271
