SOS_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
SOS27,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,24,24,9,5,0,5,24,36,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS29,0,10,0,10,..,3,0,3,0,3,..,7,0,7,0,7,..,6,0,6,0,6,..,27,0,27,0,27,..,17,3,27,0,27,..,3,0,6,0,6,..,0,0,0,0,0,..,19,3,20,0,20,..,14,8,19,0,19,..,102,18,120,6,120,..,403,77,481,9,490,..,28,3,28,2206,2238,2445,428,84,510,2215,5170,2041,..,..,..,..,2041,..,0,0,0,0,0,..,37,3,38,0,38,..,0,0,0,0,0,..,7,0,15,0,15,..,51,16,61,0,61,..,4,0,4,0,4,..,60,18,78,0,78,..,0,0,4,0,4,..,14,0,15,0,15,..,12,0,9,0,9,..,14,0,14,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,4,0,4,0,4,..,5,0,7,0,7,..,9,0,9,0,9,..,0,0,4,0,4,..,0,0,0
SOS30,94,4088,50,4136,..,1887,114,1999,27,2028,..,5594,151,5746,40,5793,..,1443,62,1504,29,1529,..,12919,419,13344,145,13487,..,11400,1053,12452,139,12589,..,3197,144,3340,35,3376,..,2075,419,2495,34,2527,..,1168,157,1329,12,1336,..,10114,3144,13261,115,13375,..,40525,7187,47712,1026,48739,..,240481,33825,274310,3316,277626,..,7111,1059,8169,93097,101267,1387631,247594,34883,282479,96418,1766530,1441587,..,..,..,..,1441587,..,5406,70,5479,28,5502,..,6157,1179,7336,55,7395,..,2202,96,2299,30,2327,..,11004,2970,13968,103,14072,..,33051,9745,42797,357,43157,..,1417,511,1932,4,1939,..,45474,13225,58700,466,59166,..,1621,218,1836,13,1851,..,5141,228,5365,57,5428,..,5909,158,6064,70,6140,..,4446,516,4964,31,4998,..,1823,161,1984,16,1999,..,3908,385,4294,38,4335,..,9381,510,9890,89,9980,..,4778,542,5321,48,5366,..,11518,1302,12819,151,12965,..,3391,186,3578,11,3592,..,2969,289,3260,31,3290,..,1672,94,1762
SOS31,47,1248,15,1263,..,204,17,218,6,220,..,1457,51,1506,14,1524,..,325,57,383,4,387,..,3192,168,3357,44,3393,..,889,58,951,18,968,..,309,51,358,7,364,..,285,73,356,3,361,..,98,19,116,0,116,..,520,212,731,14,741,..,7312,1181,8496,248,8744,..,24445,3394,27837,509,28347,..,1530,166,1698,36985,38679,394662,25975,3558,29535,37484,461686,411251,..,..,..,..,411251,..,1478,24,1502,8,1508,..,279,52,336,3,339,..,3269,249,3520,99,3617,..,391,128,516,3,524,..,1480,647,2123,17,2142,..,60,33,94,0,94,..,1928,806,2734,20,2758,..,116,22,138,0,143,..,622,31,651,9,663,..,1101,35,1138,10,1154,..,262,12,273,5,281,..,173,18,194,0,194,..,259,32,289,3,295,..,587,29,617,5,622,..,437,45,479,6,484,..,932,124,1053,16,1073,..,276,17,297,11,309,..,211,19,227,4,229,..,76,8,90
SOS32,0,69,3,69,..,25,0,25,0,27,..,72,0,70,0,76,..,18,0,26,0,26,..,177,3,186,4,187,..,71,6,76,5,79,..,9,0,11,0,11,..,26,7,32,0,36,..,4,0,4,0,4,..,21,4,25,0,25,..,3003,554,3559,123,3687,..,4334,664,5000,153,5154,..,275,54,325,6594,6918,58999,4610,718,5323,6747,71072,58417,..,..,..,..,58417,..,135,4,138,0,140,..,13,0,15,0,15,..,2768,389,3157,126,3281,..,15,5,22,0,20,..,81,21,101,5,105,..,3,0,3,0,3,..,99,25,122,3,125,..,13,0,16,0,16,..,104,0,104,0,106,..,194,0,199,0,199,..,30,4,32,0,32,..,6,0,10,0,10,..,11,0,8,0,8,..,36,0,36,0,36,..,14,0,15,0,15,..,43,7,54,0,54,..,5,0,10,0,10,..,7,0,7,0,7,..,14,0,14
SOS33,8,112,5,118,..,49,8,59,0,59,..,149,3,152,0,158,..,63,17,79,0,79,..,366,33,398,6,405,..,327,21,347,3,348,..,31,5,33,0,34,..,99,38,138,0,140,..,16,0,11,0,18,..,160,102,259,8,260,..,2565,360,2926,73,2999,..,7352,906,8262,149,8413,..,483,61,544,24161,24700,199985,7836,965,8801,24311,233099,188673,..,..,..,..,188673,..,507,5,509,0,512,..,58,4,64,0,65,..,848,38,883,20,906,..,100,12,112,0,117,..,366,109,471,3,478,..,15,14,30,0,30,..,479,136,618,6,619,..,87,5,93,5,100,..,313,5,316,6,326,..,796,15,815,4,819,..,80,5,84,0,84,..,8,0,8,0,8,..,10,0,10,0,10,..,96,7,103,0,103,..,13,0,13,0,13,..,143,18,163,5,166,..,23,5,29,0,29,..,29,7,36,0,36,..,14,0,11
SOS37,0,8,0,8,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,15,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,16,0,18,..,0,0,0,109,109,27,14,0,16,109,149,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS39,0,0,0,0,..,8,0,8,0,8,..,6,0,6,0,6,..,6,0,6,0,3,..,22,0,24,0,23,..,55,0,63,0,63,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,4,10,0,10,..,146,12,160,7,163,..,484,61,546,10,551,..,29,4,34,2068,2109,5206,516,65,576,2082,7861,4768,..,..,..,..,4768,..,5,0,4,0,4,..,15,0,15,0,16,..,27,0,29,0,29,..,14,0,9,0,9,..,55,27,82,0,82,..,0,0,0,0,0,..,71,26,96,0,96,..,0,0,0,0,0,..,47,0,47,0,47,..,40,0,40,3,41,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,7,0,7,..,0,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0
SOS40,34,1508,20,1528,..,631,37,662,4,671,..,2047,52,2099,22,2122,..,630,43,673,8,681,..,4784,164,4945,53,4996,..,2864,265,3128,36,3169,..,1558,69,1626,16,1641,..,498,94,593,12,600,..,288,41,321,4,324,..,7094,2312,9406,67,9475,..,17655,4194,21849,477,22330,..,119257,18447,137703,1528,139228,..,2337,431,2771,21736,24511,446408,121598,18879,140476,23264,610146,462865,..,..,..,..,462865,..,973,14,988,6,999,..,4283,811,5094,50,5145,..,529,20,546,4,552,..,4062,1042,5107,36,5140,..,13313,3339,16652,135,16788,..,638,191,829,0,833,..,18011,4572,22589,173,22754,..,1176,182,1355,11,1370,..,1130,39,1168,8,1181,..,2123,59,2180,27,2208,..,8718,1713,10431,61,10494,..,1216,91,1305,3,1315,..,3036,346,3382,28,3409,..,4233,232,4472,25,4496,..,3689,944,4629,47,4668,..,7625,829,8455,88,8543,..,1804,115,1923,12,1938,..,1895,208,2108,28,2127,..,781,50,838
SOS41,16,297,0,297,..,55,9,62,0,64,..,358,10,365,3,367,..,163,35,199,0,204,..,859,63,928,7,928,..,193,9,201,4,202,..,87,4,91,4,102,..,68,14,84,3,86,..,46,12,59,0,58,..,204,73,273,3,274,..,1742,514,2251,55,2307,..,7591,1203,8790,151,8939,..,463,40,508,9497,10002,145709,8054,1237,9294,9648,164653,153551,..,..,..,..,153551,..,336,4,342,0,344,..,122,11,132,4,137,..,390,9,394,19,411,..,107,20,127,0,126,..,440,185,621,10,637,..,28,15,45,0,45,..,578,220,799,10,808,..,120,17,137,3,142,..,165,13,176,0,174,..,525,16,536,3,542,..,398,100,496,6,496,..,34,0,36,0,38,..,34,0,37,0,37,..,105,6,109,0,109,..,78,4,87,0,87,..,422,63,492,9,496,..,136,7,143,0,149,..,90,10,101,0,101,..,21,0,25
SOS42,0,34,0,34,..,7,0,7,0,7,..,26,4,29,0,29,..,11,0,17,0,17,..,78,9,82,0,86,..,13,0,9,0,12,..,5,0,5,0,5,..,0,0,5,0,5,..,6,0,6,0,6,..,4,0,9,0,9,..,878,142,1022,43,1063,..,1306,169,1485,49,1527,..,88,11,91,1807,1902,22130,1393,177,1576,1859,25555,22073,..,..,..,..,22073,..,40,0,38,0,38,..,5,0,5,0,5,..,823,109,928,36,966,..,6,0,5,3,8,..,56,5,61,3,64,..,0,0,0,0,0,..,58,11,70,3,73,..,0,0,0,0,0,..,14,0,14,0,14,..,67,3,71,0,73,..,18,3,16,0,16,..,6,0,6,0,6,..,4,0,5,0,5,..,0,0,0,0,0,..,16,0,16,0,16,..,10,0,10,0,10,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,4
SOS43,0,44,0,44,..,24,3,32,0,32,..,49,0,50,0,54,..,26,30,57,0,57,..,141,33,179,3,179,..,60,6,65,0,65,..,16,4,25,0,25,..,35,5,39,4,41,..,33,8,42,0,42,..,174,124,297,3,299,..,701,108,809,56,866,..,2797,505,3303,83,3393,..,152,15,166,6057,6223,66742,2949,520,3472,6140,76352,61211,..,..,..,..,61211,..,114,0,112,4,114,..,30,4,34,0,35,..,378,17,393,44,440,..,26,5,31,0,31,..,90,31,119,0,119,..,5,7,7,0,7,..,117,38,161,0,159,..,27,3,30,0,30,..,81,4,87,0,87,..,235,6,239,0,240,..,312,64,369,3,377,..,6,0,6,0,6,..,10,0,10,0,10,..,10,0,14,0,14,..,5,7,10,0,10,..,111,37,148,4,151,..,3,0,9,0,9,..,0,0,0,0,0,..,0,0,0
SOS47,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS49,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,41,9,44,3,48,..,126,19,141,6,148,..,21,0,22,472,491,1230,145,18,166,476,1873,1034,..,..,..,..,1034,..,0,0,0,0,0,..,6,0,7,0,7,..,12,0,12,6,26,..,4,0,9,0,9,..,6,0,6,0,6,..,0,0,0,0,0,..,11,7,16,0,16,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS50,95,4413,53,4462,..,4484,392,4877,54,4933,..,6142,160,6301,57,6360,..,3081,251,3330,25,3363,..,18025,899,18923,194,19115,..,4909,411,5319,68,5384,..,3941,248,4188,60,4252,..,1604,213,1817,16,1839,..,842,152,989,4,992,..,7278,2438,9716,80,9804,..,30221,4531,34748,721,35473,..,182042,22775,204816,2431,207247,..,4524,597,5121,50589,55706,744077,186565,23372,209938,53019,1007026,760255,..,..,..,..,760255,..,5774,88,5862,32,5890,..,6252,1203,7451,64,7512,..,959,26,981,8,996,..,8143,2126,10269,68,10342,..,20863,5894,26759,221,26979,..,1746,310,2055,11,2066,..,30756,8328,39081,299,39387,..,2213,322,2531,13,2550,..,4204,156,4358,61,4414,..,3648,92,3738,47,3788,..,1905,232,2130,19,2153,..,1612,164,1781,20,1792,..,4242,478,4722,42,4767,..,4994,369,5368,49,5410,..,2109,198,2301,28,2332,..,8264,901,9173,118,9286,..,2755,181,2934,19,2958,..,3035,298,3332,33,3369,..,1197,89,1290
SOS51,28,935,12,944,..,273,18,288,7,290,..,1057,32,1086,10,1097,..,543,91,639,16,648,..,2785,156,2944,37,2979,..,400,14,416,4,416,..,131,7,135,4,140,..,238,27,266,0,269,..,26,5,35,0,33,..,238,78,318,5,317,..,3550,562,4116,117,4226,..,13898,1446,15341,252,15592,..,901,132,1034,18492,19527,156203,14792,1580,16375,18745,191322,159584,..,..,..,..,159584,..,1165,16,1179,3,1185,..,168,30,201,0,199,..,1250,44,1288,19,1313,..,202,50,256,4,259,..,762,221,986,6,996,..,35,3,42,0,42,..,1002,282,1284,9,1296,..,81,7,92,0,92,..,423,11,435,9,442,..,615,20,633,4,638,..,105,10,116,7,122,..,60,5,67,0,64,..,115,23,139,0,142,..,224,17,233,0,235,..,101,8,109,4,111,..,248,27,276,11,283,..,140,18,154,0,154,..,147,11,158,4,165,..,51,9,55
SOS52,3,100,0,101,..,17,0,17,0,17,..,111,4,115,0,122,..,19,5,22,0,22,..,252,10,264,3,265,..,38,4,44,0,44,..,7,0,7,0,7,..,13,0,15,0,20,..,0,0,0,0,0,..,21,8,33,0,32,..,2059,206,2267,73,2339,..,2875,284,3158,92,3255,..,126,29,162,3287,3448,23342,3007,317,3321,3372,30040,22703,..,..,..,..,22703,..,89,4,94,0,94,..,13,0,13,5,16,..,2096,168,2265,63,2326,..,10,3,8,0,8,..,65,31,95,0,92,..,3,0,3,0,3,..,73,36,110,0,108,..,14,0,14,0,18,..,37,0,41,0,40,..,94,0,93,0,94,..,10,0,10,0,10,..,0,0,3,0,3,..,7,0,9,0,9,..,8,0,14,0,14,..,3,0,3,0,8,..,15,0,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
SOS53,0,120,0,123,..,53,0,54,0,54,..,155,6,155,3,158,..,85,32,112,0,117,..,407,33,445,5,452,..,130,12,135,0,135,..,20,0,20,0,20,..,38,3,50,0,50,..,7,0,7,0,7,..,140,74,217,5,222,..,1962,186,2151,55,2206,..,4950,475,5421,94,5515,..,226,19,245,13782,14026,69826,5172,493,5664,13875,89366,62474,..,..,..,..,62474,..,369,5,377,3,382,..,32,4,34,0,34,..,1242,75,1322,30,1348,..,32,5,40,0,40,..,193,36,228,3,234,..,7,0,10,0,10,..,232,51,281,3,288,..,77,7,84,0,84,..,179,5,190,0,190,..,364,7,374,3,378,..,42,10,48,0,48,..,10,3,14,0,14,..,7,3,10,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,29,0,31,0,31,..,12,0,12,0,12,..,8,3,8,0,8,..,6,0,6
SOS57,0,9,0,8,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,24,0,28,0,28,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,56,3,61,0,60,..,0,0,0,192,192,206,56,3,61,198,455,29,..,..,..,..,29,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS59,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,12,0,16,0,16,..,19,0,22,0,22,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,10,0,10,..,49,12,58,4,59,..,215,26,239,3,243,..,45,3,48,2165,2210,2185,260,28,285,2170,4639,1896,..,..,..,..,1896,..,10,0,10,0,10,..,3,0,8,0,8,..,12,0,15,0,15,..,5,0,5,0,5,..,13,3,18,0,18,..,0,0,0,0,0,..,20,3,25,0,25,..,0,0,0,0,0,..,27,0,25,0,25,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS60,0,115,0,115,..,102,3,109,4,109,..,154,6,157,0,157,..,59,0,59,0,61,..,425,9,435,3,441,..,407,22,423,5,426,..,147,7,153,3,152,..,79,9,86,0,86,..,25,3,26,0,29,..,397,55,448,11,460,..,1234,236,1469,64,1527,..,13313,1321,14629,192,14816,..,297,37,335,4360,4696,76333,13604,1359,14959,4550,95846,82189,..,..,..,..,82189,..,134,5,136,0,136,..,256,53,308,5,308,..,39,0,43,0,43,..,510,78,593,4,601,..,3004,344,3351,28,3374,..,51,9,65,0,65,..,3572,435,4006,36,4040,..,83,14,93,0,93,..,209,6,211,3,214,..,332,0,335,3,335,..,410,52,461,8,465,..,182,14,198,3,198,..,174,10,186,3,184,..,395,18,413,0,412,..,1783,224,2004,15,2023,..,691,41,730,5,736,..,292,20,315,7,316,..,267,35,303,3,305,..,52,0,57
SOS61,0,58,0,59,..,56,3,56,0,56,..,94,3,98,0,98,..,43,5,49,0,49,..,247,5,256,0,255,..,192,14,200,3,210,..,74,0,81,0,81,..,50,6,54,0,54,..,5,0,8,0,6,..,132,24,154,5,155,..,990,256,1244,42,1290,..,6187,807,6992,85,7081,..,306,33,342,5242,5578,93443,6493,841,7331,5332,106104,101367,..,..,..,..,101367,..,122,0,120,0,120,..,134,17,157,5,156,..,49,0,49,0,49,..,139,32,170,0,172,..,786,104,889,9,898,..,22,5,29,0,29,..,948,137,1086,8,1094,..,14,0,15,0,15,..,94,6,103,0,102,..,187,4,190,7,193,..,75,3,79,0,79,..,78,7,87,0,87,..,99,6,110,0,110,..,137,7,140,3,143,..,905,273,1181,18,1200,..,266,25,292,7,296,..,182,11,194,4,195,..,114,15,128,4,136,..,25,0,25
SOS62,0,9,0,9,..,3,0,3,0,3,..,9,0,7,0,7,..,10,0,10,0,10,..,24,0,29,0,31,..,17,3,22,0,22,..,0,0,0,0,0,..,6,0,12,0,12,..,0,0,3,0,3,..,4,0,4,0,4,..,100,9,110,4,111,..,451,33,477,5,491,..,41,3,42,978,1024,14114,487,34,525,988,15622,14070,..,..,..,..,14070,..,17,0,17,0,17,..,6,0,6,0,4,..,5,0,5,0,5,..,4,0,4,0,4,..,54,7,61,0,63,..,0,0,0,0,0,..,60,8,70,0,64,..,0,0,0,0,0,..,31,0,32,0,33,..,48,6,55,0,53,..,7,0,7,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,41,0,40,0,40,..,6,0,6,0,6,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0
SOS63,0,17,0,17,..,16,0,16,0,13,..,8,0,9,0,9,..,48,34,76,0,76,..,89,32,124,0,123,..,83,7,82,7,92,..,19,0,18,0,18,..,20,0,20,0,20,..,5,0,4,0,4,..,15,5,15,0,15,..,301,44,345,6,351,..,1486,150,1629,24,1656,..,96,3,94,3430,3524,50242,1579,151,1730,3447,55419,47127,..,..,..,..,47127,..,51,0,58,0,58,..,0,0,6,0,6,..,16,0,16,0,16,..,29,5,33,0,33,..,130,24,155,0,155,..,7,0,7,0,7,..,160,22,189,0,189,..,9,0,9,0,9,..,77,0,79,0,79,..,192,6,196,3,201,..,28,5,30,0,34,..,10,0,10,0,10,..,6,0,6,0,6,..,8,0,13,0,13,..,66,5,69,0,72,..,14,4,11,0,11,..,11,0,11,0,11,..,21,3,24,0,24,..,9,0,9
