SA1_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
10102100810,3,9,0,12,0,8,0,11,0,13,0,16,0,10,0,7,0,10,0,12,0,25,0,28,0,10,0,7,0,4,0,4,0,0,0,0,12,91,0,105,0,7,0,8,0,9,0,9,3,4,0,4,0,12,0,14,6,16,0,22,10,14,0,28,0,3,0,9,0,5,0,5,0,0,0,0,25,69,0,102,4,14,0,22,0,15,0,20,5,19,0,21,0,18,0,22,7,24,0,32,13,38,0,51,5,16,0,20,0,10,0,10,0,0,0,0,37,165,0,200
10102100811,4,3,5,8,0,9,0,9,0,24,3,33,0,20,6,26,5,12,0,20,0,15,0,23,3,12,3,22,0,17,4,15,0,0,0,0,13,116,21,150,0,3,3,9,0,9,0,8,0,19,6,28,4,22,0,29,3,8,4,17,5,20,0,24,0,15,4,20,5,7,0,12,0,0,0,0,16,119,14,144,4,10,7,19,0,16,0,19,0,46,8,57,5,41,4,49,7,24,3,34,8,34,0,43,4,29,5,45,4,23,4,30,0,6,0,6,32,226,38,295
10102100812,0,7,0,7,0,3,0,3,0,18,0,17,0,12,0,19,5,10,0,20,3,17,0,25,0,4,0,4,0,0,0,0,0,0,0,0,17,82,3,97,0,3,0,3,0,6,0,8,0,20,0,19,4,14,0,19,3,18,0,25,0,14,0,18,0,3,0,4,0,4,0,4,0,0,0,0,13,83,0,106,0,13,0,13,0,9,0,9,3,35,0,39,8,29,0,40,13,27,0,41,6,34,0,45,0,9,0,10,0,5,0,5,0,0,0,0,27,166,9,202
10102100813,0,14,0,14,0,18,3,19,0,21,0,25,0,17,0,19,3,37,3,44,7,29,0,37,4,12,0,15,0,3,0,4,0,0,0,0,20,150,8,181,0,15,0,18,6,5,0,14,0,18,0,18,4,25,0,28,13,37,4,51,11,15,0,32,3,8,0,10,0,4,0,7,0,0,0,0,35,136,6,174,0,30,0,37,6,25,3,31,0,36,0,38,8,41,0,45,12,79,4,97,15,50,0,69,8,20,0,26,0,3,0,10,0,3,0,6,55,286,13,349
10102100814,0,3,0,3,0,21,0,24,3,37,5,39,5,22,0,23,5,30,0,37,5,34,4,40,6,25,0,33,3,5,0,8,0,6,0,6,23,181,13,213,3,8,0,13,0,15,5,21,0,33,5,40,4,27,5,33,10,31,0,42,7,36,3,47,5,19,0,27,3,9,0,12,0,0,0,0,31,179,17,227,3,13,0,17,5,41,4,47,3,67,7,83,10,48,6,58,14,62,0,76,10,67,8,88,7,38,0,54,4,15,0,24,0,5,0,5,59,362,27,444
10102100815,3,8,0,17,0,15,4,18,5,54,13,66,4,23,0,26,8,19,0,30,3,24,9,36,3,9,0,16,0,10,3,14,0,3,0,3,29,169,32,224,0,3,0,3,3,10,3,13,7,54,3,63,5,22,0,22,0,16,0,24,0,14,7,22,9,11,6,23,0,22,0,23,0,0,0,4,24,150,23,199,5,13,4,15,3,25,6,35,6,108,18,132,7,43,3,53,10,34,8,49,8,39,10,55,6,23,6,37,0,33,3,36,0,6,0,8,54,320,51,427
10102100816,0,12,0,12,0,8,0,12,0,31,3,36,4,33,3,40,4,16,0,16,4,23,8,32,4,14,0,21,0,5,0,5,0,7,0,7,24,138,17,177,0,19,0,19,0,9,0,10,4,21,4,32,8,27,4,43,3,17,0,26,3,16,4,27,8,13,0,25,0,15,3,17,0,4,0,4,35,142,23,196,0,27,0,28,0,16,0,18,6,51,11,64,18,62,6,84,5,37,0,43,15,35,8,58,9,27,0,44,0,17,3,19,0,11,0,12,57,282,33,368
10102100817,0,3,0,3,0,9,0,14,0,33,3,36,6,21,0,29,8,13,0,22,4,15,3,22,0,6,0,13,0,7,0,8,0,0,0,0,16,115,7,139,0,3,0,7,0,6,0,7,3,34,3,38,4,12,0,22,0,9,0,18,5,15,0,23,5,5,0,5,0,8,0,12,0,6,0,6,15,107,11,130,0,11,0,10,4,15,0,17,4,62,5,72,10,38,0,46,6,22,0,36,7,32,5,43,6,14,0,19,0,19,3,22,0,8,0,8,34,222,17,272
10102100818,0,8,5,12,0,10,0,14,0,17,0,21,3,19,0,20,4,18,3,31,0,12,3,10,6,16,0,18,0,3,0,3,0,0,0,0,11,110,7,124,0,13,0,10,0,10,0,9,3,14,0,19,4,12,3,22,4,16,0,23,8,12,0,17,0,6,0,6,0,14,0,18,0,6,0,6,18,105,9,129,0,19,3,26,0,23,0,22,3,38,0,41,6,29,4,40,12,40,3,48,8,15,3,22,6,23,0,24,0,17,0,23,0,6,0,6,27,208,20,258
10102100819,0,16,0,16,4,20,0,20,0,31,0,32,7,26,0,34,0,27,0,28,0,34,0,37,0,16,0,16,0,9,0,9,0,0,0,0,16,167,9,188,3,10,0,13,5,10,0,14,0,22,0,22,0,27,0,28,10,28,4,37,5,26,0,32,3,18,0,19,0,3,0,3,0,0,0,0,24,144,7,173,3,29,0,32,6,27,0,29,0,51,0,50,10,53,0,63,13,52,3,68,8,58,0,72,3,25,0,35,0,19,0,19,0,4,0,0,41,312,12,363
10102100820,0,11,0,11,0,11,0,11,0,24,0,21,3,13,0,21,0,8,0,11,6,15,0,16,0,13,0,19,0,3,0,0,0,0,0,0,11,94,6,106,0,8,0,9,0,3,0,11,5,19,0,20,3,15,0,20,7,10,0,15,0,17,0,16,0,12,6,14,4,6,0,3,0,0,0,3,26,89,9,118,0,19,0,15,0,20,0,18,4,33,0,45,3,31,0,42,8,19,0,27,7,25,0,32,4,24,5,32,4,3,0,10,0,0,0,3,33,183,5,218
10102100821,0,21,0,21,0,17,0,13,0,23,5,27,3,22,0,28,9,30,0,42,0,35,0,33,0,14,0,18,0,4,0,8,0,0,0,0,15,169,8,194,0,12,0,10,0,14,0,14,0,22,3,30,4,19,4,23,6,35,0,40,3,21,0,29,3,21,0,21,5,10,0,13,0,0,0,0,25,152,10,186,0,36,0,35,0,27,0,31,0,52,3,52,4,42,4,52,13,70,0,81,8,53,0,61,4,39,3,42,5,14,0,19,0,0,0,0,35,331,13,379
10102100822,0,10,0,5,0,7,0,4,0,8,0,16,0,16,0,16,5,16,0,20,6,11,0,12,0,11,0,13,0,4,0,6,0,0,0,0,9,79,4,93,0,9,0,11,0,0,0,6,0,14,0,12,5,8,0,18,3,9,0,21,3,12,0,14,3,7,0,10,0,4,0,4,0,0,0,0,22,72,0,95,0,14,0,15,4,5,0,6,0,22,0,24,3,27,0,33,11,29,0,38,8,23,0,27,0,18,0,25,0,9,0,10,0,0,0,0,33,156,3,188
10102100823,0,10,3,9,0,0,0,3,0,8,5,12,0,18,4,15,0,6,0,6,0,7,0,13,0,6,0,6,0,0,0,0,0,0,0,0,4,60,7,75,0,8,4,7,0,5,4,6,0,7,0,14,3,15,0,14,3,20,3,26,0,11,0,13,0,4,0,4,0,0,0,0,0,0,0,0,9,65,11,88,0,10,9,21,0,5,4,14,7,17,8,27,5,30,5,37,3,27,3,35,0,18,0,24,0,10,0,12,0,0,0,0,0,0,0,0,11,127,23,165
10102100901,0,0,0,0,0,4,0,4,0,7,0,15,6,10,0,14,0,12,0,15,4,16,0,16,0,13,0,14,0,0,0,3,0,0,0,4,13,63,3,84,0,6,0,6,0,8,0,8,3,11,0,13,6,18,0,21,0,13,0,12,5,17,0,22,0,12,0,18,0,9,0,9,0,4,0,3,15,93,3,110,0,4,0,4,0,11,0,11,4,24,0,31,8,31,0,36,3,21,0,30,6,24,0,38,3,28,0,31,0,4,0,6,0,5,3,10,35,154,5,191
10102100902,0,14,0,14,0,18,0,18,3,20,0,28,0,26,3,27,3,30,3,33,0,13,0,16,7,17,3,20,0,13,0,18,0,3,0,9,12,146,11,164,0,10,0,10,4,9,0,13,0,19,0,22,4,20,0,28,3,23,5,27,6,14,0,19,5,19,0,29,0,10,0,7,0,5,0,3,17,123,12,156,0,22,0,22,4,24,0,29,5,35,3,45,4,49,7,53,8,52,7,63,3,26,0,33,8,35,3,44,0,22,0,25,0,6,0,7,29,268,25,325
10102100904,0,11,0,11,0,8,0,8,0,24,0,22,0,29,0,26,3,16,0,26,0,18,0,21,0,20,0,19,0,12,0,16,0,0,0,0,12,132,0,148,0,3,0,3,0,11,0,10,6,26,0,30,0,21,0,24,0,18,0,24,4,8,0,15,3,27,0,30,0,10,0,8,0,3,0,3,11,127,3,141,0,14,0,14,0,17,0,15,0,48,0,51,3,44,0,53,8,37,0,47,10,27,0,32,4,43,0,49,0,18,0,21,0,3,0,7,25,260,5,287
10102100905,0,5,0,7,0,5,0,8,4,25,0,33,9,14,0,20,4,25,0,25,10,16,4,27,6,9,0,16,0,10,0,16,6,9,0,11,29,123,9,166,0,0,0,3,0,10,0,12,5,25,3,31,0,29,0,25,8,18,0,24,4,26,0,30,7,14,3,27,0,18,0,20,0,3,0,7,27,146,11,186,0,8,0,15,0,18,0,20,11,55,4,66,7,39,0,52,10,45,0,53,12,38,4,52,13,20,3,40,3,31,0,36,6,16,3,24,62,266,23,349
10102100907,0,11,0,11,5,11,0,19,4,64,4,69,8,25,0,33,9,31,0,36,7,24,0,26,7,18,0,23,4,0,0,6,0,5,0,5,35,188,7,230,0,9,0,10,5,14,0,22,7,53,4,64,3,34,0,43,5,18,0,26,3,20,0,27,5,10,0,12,0,4,0,3,0,0,0,6,34,160,5,203,0,18,0,17,8,29,0,38,8,113,9,133,10,62,0,76,17,44,0,63,15,40,3,54,9,30,0,36,4,6,0,13,0,7,0,4,65,349,22,430
10102100908,0,14,0,14,3,24,0,23,3,78,3,89,4,40,3,43,0,24,3,25,6,26,0,27,6,13,0,20,0,7,0,11,0,0,0,0,17,220,7,245,0,10,0,9,0,17,0,13,3,74,4,80,0,28,0,34,0,28,0,31,3,21,0,26,0,8,0,16,0,0,0,6,0,4,0,4,20,192,16,218,0,18,0,20,3,35,0,38,5,148,11,171,7,63,3,75,3,51,3,59,7,46,0,55,3,27,0,35,0,10,3,17,0,0,0,0,33,410,21,468
10102100909,0,6,3,9,3,20,0,22,0,91,3,99,3,55,5,63,0,34,0,43,5,25,0,26,4,19,0,18,0,3,0,8,0,0,0,0,18,249,14,281,0,6,5,6,0,22,5,28,8,79,0,90,7,38,3,55,4,22,0,29,0,16,4,25,0,11,0,16,0,4,0,4,0,0,0,0,22,204,18,243,0,14,5,13,3,43,5,49,8,163,9,188,11,94,9,117,7,59,0,68,7,43,0,49,3,32,0,38,0,3,0,10,0,0,0,0,39,452,32,526
