SUA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
3017,51876,139688,4500,7106,3033,5160,7533,12264,1754,2740,1417,2289,1059,1878,587,1025,21,42,4845,7975,199,326,111,185,25,35,28,59,361,602,178,289,64797,160810,6685,..,71480,160810
3018,5301,12962,590,863,42,93,638,961,112,161,0,0,0,0,0,0,0,3,113,163,14,35,3,3,6,13,7,24,31,74,28,51,6109,14204,649,..,6753,14204
3019,6210,16032,390,572,126,206,516,782,421,683,82,148,104,184,8,14,0,3,624,1031,59,84,24,40,5,6,3,0,92,136,28,69,7473,18046,1167,..,8634,18046
4000,97474,230569,4118,6521,155,320,4276,6839,768,1044,46,52,0,0,3,11,25,57,848,1167,539,1012,317,545,69,147,221,510,1147,2211,432,825,104172,241607,32655,..,136830,241607
4001,395529,1044961,63777,117606,23733,51170,87507,168776,29836,50017,4352,7025,5599,9345,3677,6185,289,615,43757,73195,545,832,333,440,7,20,445,944,1328,2241,1244,2461,529364,1291628,39553,..,568921,1291628
4002,9334,23069,1443,2520,36,63,1484,2585,919,1309,0,0,18,25,0,0,0,0,934,1333,8,8,4,4,0,0,11,25,21,33,32,59,11808,27077,1264,..,13066,27077
4003,6263,14904,786,1343,16,26,806,1375,33,57,0,0,0,0,0,0,0,5,33,61,25,35,18,24,0,0,3,9,44,67,32,61,7177,16467,811,..,7994,16467
4004,3986,9587,554,1219,31,73,588,1291,357,521,0,0,0,0,0,0,0,0,361,523,32,52,4,8,0,0,5,16,42,78,25,37,4993,11517,870,..,5865,11517
4005,5239,12699,553,931,97,215,653,1148,339,440,0,13,0,0,0,0,11,26,352,475,10,22,20,47,3,11,8,14,41,93,16,28,6302,14436,804,..,7109,14436
4006,4885,11223,808,1359,15,28,818,1386,105,141,0,0,0,0,0,0,0,0,106,140,12,17,0,0,0,3,4,12,18,27,18,35,5847,12816,749,..,6603,12816
4007,11288,23799,854,1204,161,312,1012,1516,194,262,21,38,16,28,0,0,0,0,236,326,29,43,58,87,0,0,8,17,95,147,50,89,12684,25875,5699,..,18390,25875
4008,4998,12016,3494,6789,7,8,3497,6800,351,451,39,52,0,0,0,0,16,34,408,537,18,30,3,8,0,0,3,7,28,45,28,71,8952,19456,1411,..,10362,19456
5000,84481,208791,3340,5751,403,749,3742,6510,735,1183,35,52,0,0,3,5,39,75,809,1316,1307,2398,353,617,184,383,232,550,2075,3943,905,1844,92016,222408,28071,..,120088,222408
5001,12112,29393,962,1402,101,152,1061,1550,42,61,0,0,0,0,0,0,21,42,64,103,72,97,116,159,3,7,3,4,191,265,28,47,13451,31359,1927,..,15378,31359
5002,3469,10445,472,984,222,429,695,1407,118,261,0,0,0,0,0,0,3,10,124,268,142,286,4,9,14,30,18,40,182,360,63,111,4532,12592,722,..,5250,12592
5003,24294,62876,2775,4318,438,802,3206,5124,450,682,104,160,15,27,32,53,9,12,610,933,138,186,90,135,12,7,12,20,241,351,50,87,28400,69364,2894,..,31295,69364
5004,13208,32921,1166,1902,205,412,1366,2313,31,52,0,0,18,25,0,0,31,63,74,144,83,139,159,224,10,28,14,49,268,436,36,70,14957,35879,5103,..,20055,35879
5005,3778,9210,373,589,40,67,413,658,89,111,0,0,0,0,0,0,4,3,95,112,42,61,14,18,0,3,4,8,60,92,40,89,4379,10161,911,..,5287,10161
5006,12062,30543,1225,1953,295,591,1516,2542,198,315,15,14,0,3,0,0,12,15,227,343,93,139,29,46,16,35,16,25,159,246,55,94,14020,33765,1978,..,15999,33765
5007,8106,21812,1369,2540,202,447,1569,2985,127,201,0,0,0,0,0,0,3,6,125,205,34,51,101,151,0,0,16,24,148,225,18,37,9975,25261,1686,..,11659,25261
5008,4015,12152,534,1093,142,246,676,1342,91,141,30,46,40,73,137,198,0,0,298,465,41,74,15,22,0,4,7,12,60,113,13,34,5062,14104,1240,..,6307,14104
5009,600165,1637063,79334,148580,30977,62512,110312,211095,18894,30485,14370,22805,16121,26200,9300,16017,797,1643,59481,97151,949,1344,973,1373,93,189,403,838,2409,3743,798,1532,773166,1950581,72131,..,845299,1950581
5010,3347,9715,642,1436,249,604,883,2038,258,395,116,178,75,123,0,0,0,0,453,694,29,56,15,27,4,0,17,46,65,127,18,32,4766,12611,1462,..,6224,12611
6000,61349,143689,1389,2044,139,292,1528,2334,747,1169,0,0,0,0,0,0,20,40,769,1207,313,490,147,275,46,89,122,251,620,1097,173,340,64438,148677,18016,..,82456,148677
6001,10349,24019,815,1147,170,268,979,1413,69,94,43,44,46,70,0,0,0,7,156,222,41,56,6,8,3,5,21,50,68,120,15,22,11572,25788,994,..,12567,25788
6002,11453,27262,1206,1751,154,235,1361,1984,26,48,0,0,0,0,0,0,6,12,34,61,43,58,61,107,0,0,16,30,118,196,20,44,12982,29551,984,..,13968,29551
6003,73318,186659,3134,5251,2508,5061,5637,10310,5890,10541,1030,1716,593,1040,31,46,144,285,7689,13628,69,117,100,156,4,6,176,418,347,695,193,376,87197,211668,6014,..,93216,211668
6004,29618,73541,2359,3891,940,2013,3301,5902,2638,4152,112,178,31,44,9,18,112,209,2904,4605,25,40,14,26,5,12,102,175,142,250,68,130,36036,84429,2719,..,38755,84429
6005,5465,12877,569,800,21,42,590,844,17,21,0,0,0,0,0,0,6,6,26,30,44,67,34,46,0,0,19,34,97,146,9,17,6188,13911,452,..,6638,13911
7000,15375,58805,1399,3880,178,389,1582,4277,426,892,5,5,13,33,0,0,12,32,448,961,378,787,99,183,127,342,28,72,634,1385,382,747,18416,66172,4847,..,23264,66172
7001,5709,16703,1647,3445,840,1814,2482,5262,345,553,22,38,0,0,0,0,6,20,375,614,120,216,27,37,18,29,10,15,175,296,151,274,8891,23155,1179,..,10065,23155
7002,26134,78515,2714,5316,2192,4883,4898,10199,4033,8155,1919,4070,3253,6908,2592,5218,25,41,11820,24392,248,527,73,125,34,65,17,47,369,767,135,218,43351,114088,4378,..,47731,114088
8000,294,920,9,26,3,3,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,320,965,36,..,354,965
8001,115027,327978,15315,30006,16618,37895,31931,67898,6671,11864,8289,15179,13575,23837,6283,11125,467,912,35279,62919,48,81,105,181,0,0,35,78,194,336,226,468,182655,459602,13017,..,195672,459602
9000,1259,3052,95,233,14,33,106,258,78,136,51,136,5,13,0,0,12,14,141,296,0,0,0,9,0,0,3,7,5,14,23,35,1533,3657,331,..,1861,3657
