SUA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
1010,227,9219,481,9926,1877,18909,1146,21927,608,9282,506,10394,411,8392,479,9285,568,16839,1074,18485,568,18152,1018,19731,744,19247,1140,21128,1267,18699,1032,20998,1796,15994,894,18693,2015,9003,740,11760,1481,1915,520,3916,11566,145637,9034,166245,128,8731,502,9356,841,18577,1117,20537,345,8801,457,9608,250,8288,455,8999,476,17880,1013,19367,588,19622,1032,21243,898,20636,973,22507,1459,20901,966,23332,1899,18660,1048,21603,2762,9975,1035,13778,2991,2604,1007,6602,12639,154686,9609,176934,352,17950,977,19278,2718,37481,2263,42466,951,18085,965,20002,671,16682,936,18281,1049,34717,2092,37850,1154,37771,2049,40975,1640,39884,2110,43634,2731,39597,1999,44328,3702,34663,1943,40301,4780,18980,1779,25537,4473,4517,1530,10520,24207,300328,18645,343180
1011,45,1747,113,1907,325,4102,296,4721,125,1897,133,2147,80,1551,104,1740,125,3603,303,4035,132,3745,285,4171,168,3879,283,4331,326,4031,235,4588,421,3984,215,4612,425,1921,170,2516,331,451,109,896,2506,30911,2243,35658,18,1780,125,1927,161,4156,279,4592,67,1902,123,2091,37,1520,96,1652,105,3906,296,4306,148,4180,265,4588,190,4345,244,4781,298,4674,235,5203,425,4358,218,5004,571,2191,239,3002,671,490,215,1382,2688,33500,2343,38534,65,3528,238,3830,475,8264,572,9312,191,3797,255,4245,124,3067,201,3387,228,7510,598,8340,281,7926,556,8761,364,8227,527,9115,622,8706,470,9795,848,8340,434,9620,1001,4106,412,5513,1008,944,328,2277,5197,64412,4587,74195
1012,32,1373,141,1538,211,2352,290,2850,60,1044,128,1234,54,972,118,1140,62,2857,279,3199,61,2120,228,2401,95,1848,207,2146,125,1774,155,2055,171,1342,121,1646,205,693,81,982,138,163,35,337,1211,16519,1789,19522,9,1373,147,1525,94,2495,246,2832,40,961,97,1098,27,1127,103,1263,66,3051,303,3419,53,2308,222,2582,109,2007,185,2298,131,2035,144,2318,170,1581,113,1863,267,917,109,1293,295,211,69,572,1266,18063,1727,21062,42,2739,283,3066,298,4843,539,5682,105,2002,225,2327,84,2097,221,2400,124,5910,580,6620,108,4419,450,4981,200,3850,384,4442,263,3816,302,4373,344,2925,238,3507,476,1609,189,2274,434,370,104,909,2477,34585,3519,40578
1013,4,322,25,349,62,796,53,912,24,408,24,456,24,301,26,349,36,612,45,691,39,744,45,832,60,896,67,1022,120,1218,75,1413,196,1705,100,2004,243,1076,72,1393,233,261,27,524,1044,8337,567,9946,4,325,20,352,46,799,75,918,17,409,25,456,15,302,19,343,32,709,60,802,34,807,43,885,76,995,56,1127,139,1470,69,1679,180,1894,106,2188,308,1170,88,1572,432,340,57,829,1283,9245,611,11138,5,651,40,696,104,1595,127,1829,45,817,53,915,47,602,42,690,64,1323,107,1493,72,1553,93,1717,136,1888,127,2149,259,2693,141,3089,380,3603,200,4185,554,2251,167,2963,662,604,86,1355,2331,17575,1179,21087
1014,18,705,61,776,138,1295,107,1537,41,586,54,677,22,667,93,788,46,1438,266,1746,50,1229,175,1456,67,1199,176,1436,105,1299,106,1508,130,1057,73,1264,156,561,41,756,105,138,27,261,867,10174,1167,12212,5,641,32,680,75,1311,119,1500,30,550,37,613,14,588,29,635,37,1516,99,1650,45,1299,88,1432,72,1314,85,1467,116,1345,69,1527,154,1230,72,1460,222,664,45,933,283,154,28,470,1052,10598,703,12355,21,1341,90,1454,213,2601,224,3043,75,1133,89,1294,41,1250,127,1414,81,2956,358,3394,91,2529,262,2882,135,2510,252,2907,219,2643,172,3036,293,2282,148,2721,376,1226,89,1688,387,291,57,733,1927,20771,1870,24565
1015,12,524,49,582,108,1120,89,1317,58,511,42,610,22,457,41,521,39,890,93,1012,49,821,75,939,65,864,84,1020,109,986,70,1160,161,904,59,1130,154,524,33,711,111,143,14,269,884,7743,645,9273,11,493,40,539,57,1044,90,1191,17,424,35,478,13,494,43,550,40,1008,95,1141,50,938,77,1061,85,1001,80,1159,108,1092,48,1243,122,1040,54,1216,204,659,44,901,281,196,32,505,984,8373,633,9983,17,1010,95,1122,163,2162,181,2505,77,932,79,1089,38,945,83,1069,77,1892,189,2156,96,1755,146,2003,148,1870,158,2176,209,2075,117,2406,288,1948,111,2342,355,1180,77,1614,388,336,45,777,1866,16111,1280,19255
1016,11,639,58,707,61,1173,93,1324,19,553,33,611,18,571,45,632,25,1488,134,1646,19,1259,92,1372,41,1110,81,1230,53,1043,71,1165,75,659,55,791,87,359,47,500,94,98,29,217,502,8959,744,10202,11,614,54,670,31,1136,98,1271,10,545,26,579,8,514,49,574,26,1529,109,1661,20,1217,90,1327,51,1119,62,1233,53,1022,67,1137,93,746,59,899,142,453,35,630,191,149,39,385,637,9044,687,10369,21,1257,110,1380,91,2310,192,2595,29,1099,60,1185,28,1083,96,1204,53,3016,244,3312,40,2483,180,2701,87,2230,152,2467,110,2061,135,2305,165,1405,119,1694,228,811,83,1125,289,249,68,603,1138,18003,1435,20569
1017,13,365,64,443,118,777,112,1003,52,406,62,516,26,330,152,504,36,625,359,1022,42,577,276,891,69,665,150,885,110,766,109,983,159,736,55,948,129,356,33,516,67,74,8,154,823,5666,1384,7877,9,353,42,408,54,850,101,1002,17,415,49,481,23,342,31,397,27,693,99,818,42,686,93,821,69,752,76,901,119,860,64,1042,146,781,61,985,192,384,44,617,198,90,19,305,894,6208,679,7780,19,717,107,849,168,1625,212,2008,68,818,111,1002,44,665,192,906,60,1314,461,1841,83,1261,368,1709,140,1421,228,1783,227,1628,171,2033,304,1517,112,1933,320,741,80,1139,267,163,29,460,1716,11877,2063,15654
1018,19,693,61,774,199,1445,140,1783,74,778,62,913,65,732,78,869,85,1518,136,1732,59,1428,110,1601,84,1520,118,1726,131,1626,100,1854,155,1308,75,1542,103,625,44,780,123,145,30,303,1099,11827,947,13877,11,644,50,702,77,1476,133,1688,40,723,78,847,46,715,76,839,64,1598,142,1808,78,1597,126,1804,115,1674,90,1880,153,1743,100,1991,148,1503,68,1721,232,792,54,1088,308,198,62,563,1281,12672,987,14941,31,1342,110,1480,274,2917,275,3472,118,1505,140,1768,108,1450,151,1709,153,3110,277,3541,136,3025,238,3398,204,3201,206,3609,284,3368,200,3848,302,2811,148,3261,340,1422,96,1862,433,346,89,862,2385,24502,1931,28816
1019,8,259,21,295,64,628,66,751,24,284,34,343,16,283,53,354,31,595,166,787,27,509,128,662,45,622,72,735,44,737,75,855,78,686,56,821,82,378,32,491,57,75,6,137,475,5053,701,6226,3,262,20,284,41,576,49,664,18,258,24,301,3,250,14,272,17,612,44,678,28,547,40,614,54,647,46,745,61,792,37,892,72,729,41,844,132,435,46,606,137,98,18,258,573,5204,379,6163,11,522,45,575,107,1198,111,1420,38,545,55,639,23,537,67,627,47,1204,207,1468,52,1054,176,1276,101,1268,120,1486,108,1535,110,1748,151,1413,92,1664,211,816,77,1100,196,176,17,388,1049,10256,1077,12385
1020,7,442,19,463,106,1003,52,1158,35,451,20,504,23,377,28,427,17,701,36,758,20,824,35,878,28,936,51,1023,65,871,45,980,99,728,39,865,86,338,24,451,28,39,11,72,512,6695,372,7577,5,427,15,449,58,976,46,1075,17,418,12,443,22,329,25,373,22,757,33,814,27,898,30,963,47,914,38,1001,53,872,36,962,82,737,43,859,87,307,24,416,40,44,3,86,460,6681,305,7445,16,863,34,910,164,1973,93,2236,45,866,30,950,38,708,53,803,40,1459,67,1573,51,1726,70,1844,78,1845,97,2020,116,1744,81,1939,180,1462,85,1724,173,646,47,863,68,89,14,166,972,13378,672,15020
1021,24,726,30,786,146,1384,70,1604,48,685,21,757,29,773,42,845,58,1362,73,1495,54,1329,70,1446,77,1453,56,1585,108,1499,68,1678,198,1418,71,1687,231,896,56,1180,187,236,26,455,1150,11769,593,13517,12,732,33,780,64,1445,65,1579,34,684,34,750,27,701,31,754,36,1495,56,1585,45,1341,69,1455,67,1478,61,1610,128,1676,68,1871,182,1563,93,1839,326,1013,75,1414,386,257,44,683,1297,12382,632,14311,33,1459,68,1560,212,2830,140,3187,78,1367,59,1503,52,1473,78,1600,92,2861,132,3079,100,2667,139,2902,143,2925,123,3191,233,3181,138,3547,377,2979,166,3521,555,1910,130,2595,571,491,67,1138,2448,24145,1225,27828
1022,10,435,21,468,51,790,58,895,14,344,18,376,11,304,16,333,27,784,50,859,18,717,50,786,20,654,34,713,36,594,40,667,32,479,39,554,65,261,21,357,58,55,12,127,339,5424,371,6134,9,413,20,445,39,783,53,872,8,311,14,328,4,292,18,308,21,863,49,929,17,720,34,775,25,681,45,752,36,638,32,705,52,521,35,615,88,347,29,462,111,81,37,233,411,5654,369,6433,17,846,48,909,86,1579,109,1775,27,652,35,710,11,600,34,642,48,1642,95,1786,30,1444,95,1560,47,1337,79,1469,72,1234,75,1379,95,1005,73,1167,158,609,50,822,168,140,45,353,754,11084,733,12563
1023,14,394,31,442,95,805,75,974,22,369,34,422,15,310,48,367,27,779,150,952,27,694,125,843,30,642,98,779,54,622,56,726,45,430,28,506,30,191,21,243,15,37,8,60,376,5257,676,6308,9,356,15,379,34,793,76,904,11,313,27,354,7,300,17,327,14,842,49,906,19,679,55,756,43,661,47,753,52,588,38,682,60,431,26,516,57,198,18,271,54,58,15,122,361,5220,382,5968,19,747,52,822,127,1595,153,1879,34,677,58,770,19,606,64,696,40,1614,204,1860,48,1377,179,1603,78,1306,148,1528,105,1211,87,1404,107,861,64,1026,88,386,43,517,69,89,19,179,736,10482,1058,12272
1024,17,453,23,489,97,1245,66,1415,43,716,43,801,19,500,36,557,36,938,66,1040,26,1064,49,1141,61,1466,79,1608,102,1910,106,2116,200,2111,107,2417,239,1311,122,1668,148,225,58,434,981,11942,759,13682,3,484,22,508,54,1284,66,1405,26,615,30,669,11,500,27,537,28,964,46,1032,34,1224,53,1310,57,1652,70,1778,96,2181,111,2380,156,2383,131,2671,278,1364,131,1774,301,256,112,671,1041,12895,799,14735,15,935,43,993,153,2525,138,2816,67,1326,76,1471,29,1001,58,1097,61,1900,108,2069,55,2289,99,2450,120,3115,148,3381,191,4092,211,4501,352,4496,239,5085,515,2678,254,3440,452,482,168,1104,2028,24845,1555,28418
1025,330,14136,611,15073,2554,28744,1492,32792,949,13531,719,15194,675,15378,1030,17084,916,31567,2183,34662,891,28912,1888,31694,1272,27797,1609,30679,1889,25812,1417,29120,2626,21094,1174,24889,2738,10210,773,13719,1977,2103,401,4479,16818,219281,13287,249387,196,13585,627,14412,1192,28240,1351,30789,503,13400,690,14590,418,15526,779,16721,794,32854,1539,35189,960,30471,1318,32754,1401,29411,1146,31953,2143,27990,1115,31249,2795,23271,1086,27151,3790,11550,941,16285,4274,2885,796,7958,18473,229186,11386,259044,522,27724,1239,29485,3745,56987,2843,63576,1451,26931,1404,29785,1093,30908,1808,33805,1709,64422,3720,69849,1854,59384,3208,64445,2674,57206,2756,62634,4036,53803,2526,60368,5423,44363,2258,52045,6533,21756,1709,30001,6255,4985,1202,12437,35294,448471,24672,508437
