SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1018,0,11,6,5,3,0,21,0,16,0,5,0,0,20,11,188,26,35,7,4,269,66,74,87,50,25,3,307,107,16,29,80,47,6,287,272,39,34,129,39,10,525,569,36,23,233,18,4,881,675,15,8,257,17,4,973,241,6,0,71,3,4,324,68,0,0,28,0,0,96,10,0,0,8,0,0,20,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,4,0,0,6,33,28,8,26,9,10,125,2065,426,231,917,176,36,3855
1019,0,11,0,3,0,0,18,0,25,0,3,0,0,31,13,134,11,19,0,4,183,32,51,8,27,10,0,125,59,20,5,30,4,0,119,205,23,12,35,4,0,278,376,29,4,48,3,0,461,184,3,0,30,3,0,218,23,0,0,5,0,0,30,3,0,0,0,0,0,7,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,3,11,3,0,54,917,325,38,215,28,9,1534
1020,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,0,12,3,3,3,15,14,0,38,3,0,5,18,0,0,30,10,6,6,22,106,0,150,40,0,0,40,43,0,118,209,0,0,54,10,0,275,201,0,0,28,4,0,233,99,0,0,3,0,0,101,24,0,0,3,0,0,33,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,17,12,4,43,613,16,13,200,200,6,1061
1021,0,0,0,8,3,0,11,0,0,0,0,3,0,10,3,11,8,12,17,0,49,14,11,11,36,15,4,91,34,7,12,30,30,4,113,75,7,3,48,8,0,140,210,3,4,106,16,0,341,702,0,0,138,15,0,860,446,0,3,74,0,0,522,89,0,0,8,3,0,104,22,0,0,3,0,0,24,3,0,0,4,0,0,6,4,0,0,0,0,0,4,5,0,0,0,0,0,5,40,5,5,25,15,5,87,1640,57,53,498,123,18,2378
1022,0,0,0,3,4,0,11,0,6,0,0,0,0,5,3,17,6,9,4,0,38,19,40,19,26,5,0,107,18,16,7,15,5,0,59,58,28,10,21,3,3,122,206,48,5,43,9,0,308,394,10,4,67,5,3,480,296,0,0,26,6,0,323,56,0,0,3,0,0,58,10,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,0,0,5,21,13,0,8,11,3,60,1092,170,53,217,43,9,1587
1023,0,0,0,0,5,0,6,0,4,0,4,0,0,8,8,27,9,4,5,0,57,59,80,25,19,4,0,190,65,27,9,29,0,0,124,148,29,10,45,7,0,244,268,46,15,53,12,0,386,480,9,0,50,4,0,543,83,3,0,7,0,0,96,4,0,0,4,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,11,0,13,5,3,56,1139,227,75,227,48,7,1728
1024,0,0,3,8,0,0,11,0,0,0,4,4,0,6,0,13,39,17,25,0,100,10,29,36,19,37,0,129,34,3,10,47,6,5,96,76,11,14,39,53,8,202,252,11,8,97,22,0,393,694,5,3,135,13,0,847,495,0,0,75,3,0,578,152,0,0,25,0,0,179,56,0,0,3,0,0,67,3,0,0,0,0,0,5,5,0,0,0,0,0,4,5,0,0,0,5,0,9,32,3,7,25,17,6,98,1817,92,119,497,184,23,2732
1025,29,182,30,52,16,0,313,10,327,45,33,14,9,431,120,2616,206,287,81,23,3335,477,1538,583,468,151,20,3242,611,566,175,545,79,10,1986,1719,818,286,817,438,22,4103,5520,832,299,1773,250,24,8702,13823,556,187,2708,247,33,17554,9029,69,39,1223,110,14,10484,3173,15,8,403,24,8,3639,1036,6,0,131,11,6,1182,382,0,0,63,4,0,456,156,5,0,27,0,0,193,200,6,0,64,7,5,277,569,475,115,463,161,117,1897,36848,8014,1995,9056,1598,283,57794
1026,3,4,10,3,11,0,29,0,13,10,0,0,0,31,5,51,59,20,10,5,151,43,157,147,31,18,0,397,77,65,47,47,14,0,248,196,118,95,62,146,6,630,533,108,99,147,54,5,946,1066,37,41,193,29,8,1374,531,5,10,73,3,0,624,99,0,0,11,4,0,117,22,0,0,0,0,0,22,3,0,0,0,0,0,5,0,0,0,4,3,0,12,3,0,0,4,0,0,12,41,53,23,36,23,12,183,2622,622,537,628,320,36,4765
1027,0,21,4,8,0,0,27,0,39,10,0,5,0,52,26,219,26,21,5,0,295,69,167,43,37,9,8,329,118,52,21,69,10,0,270,385,77,22,95,18,0,598,838,70,24,156,22,5,1120,1231,26,13,148,12,9,1433,601,4,0,52,5,0,666,121,0,0,13,0,0,139,16,0,0,6,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,0,3,11,0,0,8,3,0,18,68,74,10,32,17,15,218,3492,738,176,652,107,28,5201
1028,4,6,7,0,5,0,22,7,4,3,4,4,0,23,3,36,48,24,18,9,129,20,124,170,30,30,3,382,48,34,31,57,4,0,170,254,56,69,91,11,6,484,726,36,62,169,12,10,1009,1607,29,75,339,32,0,2087,1123,4,8,149,4,4,1292,336,3,0,45,0,0,390,112,0,0,17,3,0,131,24,0,0,3,0,0,32,12,0,0,4,0,0,17,7,0,3,5,4,0,19,60,27,29,46,14,14,198,4346,357,506,981,147,40,6383
1029,3,3,0,0,0,0,9,4,0,0,0,0,0,5,4,29,4,6,3,0,49,26,80,23,7,7,0,148,33,33,6,20,10,0,101,110,52,9,21,43,0,231,225,34,8,65,30,0,357,424,41,11,60,12,0,545,153,8,0,12,0,0,180,27,0,0,5,0,0,35,6,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,15,0,12,8,4,59,1037,294,58,208,134,7,1732
1030,0,0,0,4,0,0,7,0,0,0,0,0,0,9,3,3,7,15,8,0,35,7,14,15,28,7,0,58,21,4,5,32,5,0,60,62,9,5,39,40,5,169,279,4,10,75,34,3,403,603,3,6,98,21,0,726,290,0,0,40,0,0,337,71,0,0,9,6,0,80,9,0,0,4,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,4,25,3,6,53,1367,39,41,370,134,10,1957
1031,385,1628,242,296,90,16,2660,87,3560,449,162,65,27,4360,766,20229,1947,1218,462,149,24767,1518,9924,3658,2189,514,122,17925,1978,4358,1420,2441,424,68,10694,7049,4731,1962,3562,1831,111,19240,30244,3705,1899,7094,1546,158,44643,104966,3788,1919,14880,2680,349,128582,114698,1481,690,13916,2145,236,133167,80022,396,241,8621,1089,121,90493,44806,132,95,5167,499,74,50782,23537,82,55,3132,281,38,27127,13048,31,18,1819,113,15,15051,24108,26,18,3923,243,43,28361,7662,3402,791,5365,1487,1417,20126,454878,57486,15402,73791,13480,2942,617981
1032,0,15,3,4,0,0,27,8,15,5,0,3,0,37,27,65,25,36,8,5,173,199,147,62,65,18,11,497,255,61,22,102,13,4,453,647,139,49,147,8,16,999,1392,106,31,280,12,5,1835,1347,24,13,199,31,4,1623,230,3,0,33,4,0,275,37,0,0,6,0,0,44,10,0,0,6,0,0,14,3,0,0,3,0,0,9,0,0,0,0,0,0,3,5,0,0,0,4,0,7,69,51,12,41,15,24,210,4232,626,233,938,123,69,6211
1033,0,7,0,5,0,0,15,0,6,8,0,3,3,21,16,35,24,19,4,0,97,76,111,101,46,14,5,349,128,36,20,65,14,4,271,318,70,36,95,10,4,536,653,49,23,147,11,5,893,572,37,36,99,21,5,768,86,4,3,19,0,0,119,14,0,0,0,0,0,22,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,6,45,24,23,23,14,9,144,1924,385,277,536,87,33,3242
1034,0,0,0,3,0,0,4,0,0,4,0,0,0,4,3,9,12,9,3,0,43,6,29,56,20,11,0,116,12,13,16,37,4,4,91,23,17,17,35,9,0,103,198,11,24,74,7,0,311,385,13,13,124,13,0,535,190,4,7,59,3,0,259,22,0,0,3,0,0,33,9,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,4,16,0,0,44,857,103,154,380,49,8,1555
1035,6,25,5,6,3,0,42,3,63,10,7,0,0,84,36,302,24,35,19,4,424,363,175,59,98,13,5,709,381,76,34,107,12,0,616,662,128,20,182,129,0,1125,1518,47,16,305,63,0,1951,1305,13,9,204,30,5,1568,435,5,4,43,4,0,493,64,0,0,8,3,0,80,14,0,3,3,0,0,20,4,0,0,0,0,0,5,5,0,0,0,0,0,3,8,0,0,5,0,0,16,80,55,8,52,29,17,242,4892,885,191,1062,309,46,7390
1036,27,190,25,32,5,0,275,4,346,15,18,0,0,391,52,2578,102,127,55,14,2927,158,1121,171,212,58,13,1736,239,526,77,275,34,0,1162,743,540,101,391,39,12,1819,2527,350,109,716,72,13,3786,5844,510,71,1187,97,16,7728,5614,173,22,925,69,9,6808,3183,33,8,376,32,6,3647,1065,6,4,146,5,0,1228,361,6,6,57,4,0,433,158,0,0,17,3,0,182,139,3,0,43,0,0,189,281,371,42,256,69,64,1084,20394,6757,746,4778,543,168,33382
2000,45,208,49,330,254,16,888,48,266,77,252,116,11,772,513,1532,263,1528,592,68,4484,1736,680,297,2184,436,64,5389,1706,294,79,2072,312,25,4490,4245,254,99,2281,439,32,7356,5931,124,65,2320,324,41,8810,5092,37,16,1352,155,20,6672,1224,12,0,353,43,5,1643,283,3,6,89,21,3,402,103,0,0,41,9,0,153,39,0,0,23,15,0,72,28,0,0,19,4,0,54,71,0,0,106,30,4,219,395,263,77,1085,721,139,2681,21455,3684,1024,14035,3468,433,44091
2001,0,7,0,0,0,0,14,0,13,0,0,0,0,16,6,68,7,3,4,0,96,4,42,20,14,7,4,89,23,16,5,23,0,0,67,96,10,17,53,7,0,180,339,24,8,96,15,5,493,584,3,0,83,6,0,679,71,0,0,18,0,0,88,7,0,0,0,0,0,12,5,0,0,5,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,12,0,35,14,3,92,1183,194,68,333,47,15,1837
2002,0,5,0,4,0,0,14,0,6,4,0,3,0,18,9,84,7,12,3,3,122,28,42,16,40,7,0,134,41,16,13,51,0,0,125,219,32,28,82,3,0,370,342,15,22,94,10,0,481,233,5,0,49,4,0,292,34,0,6,0,0,0,37,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,6,17,4,10,65,926,235,102,354,29,20,1666
2003,12,64,6,17,8,0,112,6,80,6,15,6,0,112,99,554,70,125,13,6,873,486,219,94,222,20,10,1053,428,137,48,224,17,3,857,1739,167,64,441,19,17,2442,3608,42,32,543,23,7,4259,2898,17,3,264,23,0,3199,477,9,0,56,9,0,542,58,0,0,23,0,0,80,26,0,0,10,0,0,34,20,0,0,3,0,0,23,3,6,0,0,3,0,6,8,0,0,10,3,0,26,150,90,12,99,42,29,426,10006,1393,338,2055,192,73,14054
2004,8,70,12,12,4,0,103,3,79,12,13,6,0,105,49,505,27,124,10,9,728,280,230,87,248,15,9,876,317,105,45,272,16,6,761,1353,172,71,452,37,10,2094,2891,79,58,614,32,9,3689,2221,10,11,297,22,0,2561,428,4,0,65,3,0,509,55,3,0,15,7,0,81,18,5,0,8,0,0,27,3,0,0,0,0,0,4,0,0,0,3,0,0,3,7,0,0,5,0,0,18,101,80,17,119,27,17,364,7726,1344,354,2250,183,62,11914
