RA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
RA23,3,0,0,0,3,0,0,0,3,0,0,3,49,4,0,0,51,0,0,0,51,0,0,52,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,0,63,0,0,0,63,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,0,63,0,0,0,63,0,0,65,14,0,0,0,22,0,0,0,18,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,86,0,0,0,89,6,0,97,18,0,0,0,16,0,0,0,16,6,0,19,69,8,0,3,82,0,0,0,82,9,0,89,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,89,8,0,3,94,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,25059,3470,866,155,29546,425,128,560,30105,1568,53,31726,40647,7069,1303,310,49332,402,175,574,49899,1438,82,51423,15170,2269,2112,135,19691,160,48,212,19893,538,30,20468,642,104,23,560,1328,15,4,22,1351,92,117,1562,81522,12917,4296,1164,99894,994,360,1350,101248,3641,287,105181,914,194,36,33,1163,136,17,151,1313,84,0,1401,1836,376,81,54,2348,139,50,187,2535,112,8,2651,2751,569,110,82,3511,275,65,336,3850,191,10,4047,84266,13486,4407,1250,103407,1271,420,1692,105101,3835,291,109231,27294,5609,1645,871,35419,1235,278,1518,36939,4045,153,41142,198,43,11,307,555,11,0,17,573,28,500,1102,111763,19140,6063,2424,139390,2516,707,3218,142612,7906,945,151468,39442,5157,1170,207,45981,673,189,868,46841,2405,78,49326,47097,7972,1267,343,56682,588,152,743,57421,1902,82,59409,6040,1059,866,75,8034,75,17,94,8123,345,4,8478,479,70,15,561,1122,27,5,28,1150,88,140,1376,93056,14254,3313,1187,111815,1361,368,1730
RA31,5069,649,133,44,5899,78,15,92,5993,360,4,6365,10472,1467,320,126,12384,115,46,161,12546,385,4,12935,3004,401,447,22,3869,24,3,31,3900,102,5,4014,156,22,8,174,352,3,0,3,357,19,30,407,18701,2540,908,366,22508,216,72,289,22801,869,51,23724,146,22,3,0,167,28,4,33,205,30,0,237,358,76,7,16,456,26,7,34,491,23,0,515,500,98,10,18,628,57,12,72,692,59,0,750,19199,2636,921,376,23132,275,85,359,23490,925,51,24473,7516,1328,421,280,9539,339,103,446,9983,1370,46,11395,46,11,0,63,121,3,0,3,121,9,137,274,26764,3969,1345,723,32797,620,185,810,33601,2306,234,36145,9132,1108,225,66,10534,138,40,173,10707,569,19,11297,12902,1872,401,153,15328,158,45,199,15531,569,14,16112,1055,175,192,17,1437,17,5,18,1453,94,0,1552,140,20,0,199,359,5,0,5,361,37,25,426,23228,3177,819,432,27658,312,87,398
RA32,4354,482,116,38,4996,47,25,68,5066,268,9,5349,7530,959,192,73,8756,76,16,88,8849,288,11,9145,2124,277,303,36,2739,19,0,24,2762,52,0,2820,109,20,8,115,241,0,0,0,243,17,17,274,14117,1735,619,266,16737,137,44,188,16921,627,40,17587,94,20,5,6,120,33,0,31,151,29,0,181,252,35,14,6,308,26,19,43,351,12,3,359,341,55,11,15,429,54,21,75,499,39,3,539,14458,1790,630,279,17160,190,66,260,17419,664,44,18128,5080,875,295,247,6495,228,58,290,6781,876,26,7693,27,7,9,37,83,0,0,0,83,7,115,205,19569,2676,931,565,23734,420,127,547,24284,1553,190,26025,7376,771,180,61,8396,89,35,126,8527,436,20,8980,9139,1307,258,113,10817,87,31,115,10930,434,13,11383,574,108,112,14,809,11,0,11,822,43,3,869,95,10,0,142,250,5,0,4,260,21,14,292,17190,2199,554,339,20277,187,74,259
RA33,607,30,9,3,654,5,0,5,661,41,0,698,802,80,15,7,903,4,0,3,912,23,8,933,236,28,41,4,297,0,0,0,303,7,0,307,25,0,0,23,52,4,0,4,56,3,0,55,1672,133,68,41,1910,15,0,19,1924,69,5,1999,8,0,0,0,8,5,0,5,10,0,0,10,19,0,0,0,22,5,0,8,28,3,0,34,28,5,0,0,28,10,0,11,39,3,0,46,1696,132,68,41,1940,23,0,28,1965,67,9,2040,766,61,35,26,887,34,9,36,927,185,7,1120,3,0,0,0,6,0,0,0,6,3,12,20,2463,193,102,73,2837,57,10,64,2904,261,24,3186,902,47,19,7,981,0,0,0,980,40,4,1020,996,104,29,13,1144,4,5,11,1153,25,5,1182,66,7,14,0,94,0,0,0,94,6,0,95,22,0,0,27,54,0,0,0,55,4,0,58,1985,157,64,52,2263,9,3,10
RA34,468,36,4,3,504,0,3,3,511,38,6,553,476,72,12,16,574,8,3,9,579,43,3,625,129,19,15,0,165,0,0,0,165,4,0,171,10,0,0,19,33,4,0,4,31,3,3,40,1079,120,29,37,1268,11,5,21,1285,86,7,1381,9,4,0,0,13,21,0,21,34,11,0,40,17,0,0,0,12,0,3,7,22,5,0,31,27,0,0,0,27,22,3,27,56,20,0,73,1107,128,29,37,1294,37,6,45,1339,101,7,1451,348,81,25,21,475,31,10,46,521,349,5,870,9,0,0,0,8,0,0,0,10,0,43,50,1463,206,54,61,1781,71,21,87,1871,445,59,2376,733,56,15,5,812,8,4,14,821,50,0,873,482,86,16,6,596,9,4,11,605,50,4,661,39,12,9,0,56,0,0,0,56,3,0,64,3,0,0,21,26,0,0,0,29,9,0,34,1261,158,36,36,1489,20,4,26
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,7492,1292,164,35,8987,113,47,164,9144,443,13,9604,18258,3121,340,122,21843,175,58,237,22082,544,32,22659,5428,835,619,58,6939,36,10,42,6980,148,10,7139,213,40,3,163,420,5,3,3,428,25,25,475,31401,5288,1122,376,38186,325,122,443,38636,1165,76,39868,292,74,8,3,376,45,5,52,430,27,0,459,702,158,16,15,892,66,17,78,970,38,0,1006,993,231,25,23,1272,106,20,127,1399,72,0,1470,32395,5522,1149,393,39455,436,135,573,40027,1232,73,41340,10473,2478,457,293,13697,450,146,594,14292,2072,36,16402,76,23,0,65,173,0,0,0,173,16,144,328,42944,8025,1608,745,53326,883,284,1170,54494,3320,254,58064,12680,1958,215,73,14921,230,82,303,15225,684,28,15937,21283,3417,355,103,25167,223,64,291,25460,717,32,26206,1154,237,154,6,1553,8,4,16,1570,56,4,1625,120,32,4,155,318,9,0,10,328,28,26,380,35241,5643,736,344,41954,473,153,626
RA41,701,108,19,6,835,9,4,7,840,52,0,903,2123,326,51,16,2511,11,13,15,2528,74,3,2602,535,69,66,10,680,5,0,5,687,20,0,703,31,12,0,19,60,0,0,3,63,10,8,74,3386,517,129,55,4085,19,15,36,4116,153,8,4284,11,0,0,0,15,0,0,0,17,6,0,19,45,12,0,0,53,0,0,6,58,3,0,62,56,12,0,0,64,9,0,3,70,7,0,84,3441,518,131,57,4150,29,13,43,4189,165,8,4363,1237,236,83,53,1604,44,17,59,1658,174,12,1849,5,0,0,5,16,0,0,0,18,5,17,32,4682,756,215,114,5766,74,28,99,5866,342,40,6248,1447,163,24,14,1649,16,6,16,1671,89,0,1755,2703,417,53,28,3199,32,11,40,3242,101,3,3345,122,22,32,3,180,0,0,0,181,8,0,195,29,4,0,27,59,6,3,4,64,3,4,76,4298,608,114,66,5089,47,22,67
RA42,752,84,16,0,859,8,6,17,872,64,0,936,2454,300,53,25,2830,34,4,36,2867,72,0,2935,581,65,77,11,748,6,0,6,750,16,0,763,49,6,3,35,93,0,0,0,93,0,0,93,3836,458,151,75,4522,45,8,55,4575,151,5,4734,23,4,0,0,29,7,0,7,33,11,0,48,48,12,6,0,58,5,3,8,63,3,0,64,68,13,6,0,92,14,3,12,99,13,0,113,3903,473,157,73,4609,56,14,66,4674,159,5,4845,1404,296,75,63,1835,69,27,93,1933,291,11,2234,7,4,0,0,14,0,0,0,14,0,29,36,5316,771,232,144,6463,117,35,162,6616,455,43,7117,1489,131,23,10,1652,5,14,18,1667,104,3,1775,3090,317,72,36,3521,23,11,39,3554,129,6,3688,162,24,32,0,220,0,0,0,222,8,0,230,23,6,9,38,73,0,0,0,73,5,7,76,4765,484,125,85,5456,32,26,59
RA43,202,24,13,0,238,0,0,0,238,11,0,249,670,78,15,3,776,3,0,3,775,9,0,787,154,28,22,0,206,0,0,0,208,3,0,215,15,0,0,14,27,0,0,0,27,0,0,27,1036,129,55,23,1245,5,0,5,1248,28,5,1282,7,4,0,0,9,0,0,0,12,0,0,15,12,0,0,0,12,0,0,0,16,0,0,12,23,4,0,0,23,5,0,5,24,4,0,27,1058,130,54,23,1272,3,0,3,1275,28,5,1307,401,63,15,16,490,15,4,17,511,34,0,541,0,0,0,5,5,0,0,0,5,0,5,7,1459,198,67,40,1769,21,4,24,1794,60,3,1857,387,47,11,0,450,0,0,4,450,15,0,460,859,114,28,7,1007,4,5,3,1014,13,0,1022,54,14,13,0,75,0,0,0,75,4,0,79,14,0,0,15,27,0,0,0,27,0,0,27,1312,175,48,22,1561,3,3,11
RA44,70,5,3,5,82,0,3,3,82,7,0,93,144,23,3,0,170,0,0,0,170,10,0,186,34,6,0,0,37,0,0,0,37,0,0,37,4,0,0,4,7,0,0,0,7,3,0,5,243,34,6,6,292,5,3,8,297,26,0,322,0,4,0,0,4,8,0,8,9,0,0,9,0,0,0,0,0,0,0,3,3,0,0,3,6,4,0,0,3,5,0,7,13,0,0,13,247,35,6,6,298,10,0,13,309,26,0,336,75,30,4,4,106,21,5,25,133,79,5,210,0,0,0,3,3,0,0,0,3,0,8,14,316,64,9,11,405,29,3,38,437,108,12,558,117,16,0,0,139,5,0,6,143,5,0,145,166,19,9,5,201,0,0,0,203,17,0,221,4,0,0,0,14,0,0,0,13,8,0,17,0,0,0,3,3,0,0,0,3,0,0,3,296,38,15,11,355,4,0,6
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,12626,1744,315,78,14760,190,71,259,15021,746,26,15792,30820,3965,791,239,35812,259,67,326,36140,737,71,36950,8160,999,1095,63,10319,80,12,91,10411,208,23,10643,396,27,12,336,775,6,0,3,777,18,56,853,51997,6733,2216,720,61665,533,156,689,62355,1714,172,64240,534,92,16,8,656,52,10,64,712,66,8,785,1483,200,49,42,1768,65,26,93,1856,58,6,1926,2014,294,64,53,2423,118,38,150,2571,124,10,2700,54018,7024,2274,765,64087,652,191,839,64924,1835,179,66944,23331,3452,1206,659,28644,715,180,895,29539,2316,113,31970,156,25,3,174,362,8,0,8,366,28,285,676,77503,10499,3487,1599,93093,1371,370,1741,94831,4178,580,99588,19825,2524,404,128,22880,294,95,395,23274,1099,30,24403,35941,4078,817,256,41097,364,86,449,41547,960,70,42571,1800,249,248,25,2319,30,9,37,2359,77,11,2441,292,42,5,313,648,7,3,8,661,36,65,757,57861,6891,1476,724,66944,697,198,893
RA51,850,123,39,9,1027,13,8,16,1048,81,4,1135,2701,345,130,27,3210,29,12,39,3243,84,4,3336,566,73,117,9,764,3,0,7,774,9,0,786,34,0,3,35,70,0,0,0,70,7,3,83,4157,544,294,80,5076,47,21,67,5140,178,7,5327,30,0,0,0,35,4,0,4,35,5,0,45,93,6,7,0,107,12,4,13,116,7,0,125,122,6,7,4,135,14,4,16,153,14,0,164,4278,550,298,81,5212,56,21,79,5292,188,7,5496,2256,270,164,69,2764,55,11,70,2835,206,4,3049,7,0,0,13,27,0,0,0,24,0,20,49,6542,822,464,168,7997,121,37,153,8152,399,36,8587,1646,218,47,11,1923,21,11,36,1957,120,3,2083,3858,424,193,51,4528,16,12,26,4550,123,3,4678,172,23,51,9,254,4,0,4,256,3,0,264,34,0,0,37,81,0,0,0,80,6,7,91,5714,666,294,102,6780,43,15,58
RA52,731,93,27,4,853,14,0,14,867,58,0,925,2302,297,61,28,2681,19,5,26,2706,64,9,2777,494,70,58,12,634,0,0,0,635,20,0,657,37,6,0,26,73,0,0,0,79,7,0,83,3555,459,145,73,4246,31,3,36,4278,154,4,4439,10,3,0,0,9,6,0,6,13,3,0,15,65,8,7,4,75,5,0,3,86,0,0,88,73,10,7,4,91,5,0,9,100,3,0,104,3633,470,153,77,4332,41,9,45,4383,159,4,4544,2002,238,108,72,2422,52,17,70,2489,175,10,2674,8,6,3,6,18,0,0,0,18,3,34,61,5646,708,264,156,6776,89,25,118,6892,335,50,7277,1497,184,37,15,1731,16,4,19,1749,100,0,1857,3005,360,73,28,3471,28,5,33,3506,94,6,3611,120,22,40,3,185,0,0,0,185,13,0,197,40,0,3,38,76,0,0,0,78,3,0,81,4660,569,153,84,5464,46,12,59
RA53,678,55,14,10,759,3,0,3,765,37,6,806,1430,111,58,18,1614,4,0,10,1618,26,5,1649,380,27,55,4,460,3,0,3,460,13,0,478,20,5,0,25,50,0,0,0,50,9,5,61,2505,195,132,55,2883,14,0,14,2900,79,15,2997,13,0,0,0,10,8,0,8,14,0,0,16,29,5,3,6,42,0,8,9,48,0,0,48,44,5,7,6,55,5,8,13,68,0,0,65,2548,195,137,58,2938,23,9,26,2967,80,15,3064,1149,88,77,41,1353,33,7,40,1391,110,6,1503,11,0,0,3,15,0,0,0,15,0,26,38,3710,286,216,96,4303,54,11,66,4371,190,43,4605,1116,87,41,14,1255,19,4,26,1282,46,0,1330,1797,152,69,26,2036,14,0,11,2046,27,3,2075,103,15,26,0,140,0,0,0,140,4,0,137,28,4,0,20,53,0,0,0,55,3,6,62,3039,247,132,65,3485,30,8,35
RA54,321,28,13,0,363,11,0,8,377,39,0,412,490,78,29,10,604,5,7,7,610,23,0,637,128,15,33,3,178,4,0,4,176,5,0,182,8,0,0,12,17,0,0,0,17,8,0,32,941,121,73,26,1164,11,5,21,1185,77,0,1267,19,0,0,0,15,18,0,18,32,4,0,37,18,0,3,0,23,4,4,8,32,0,0,33,39,0,3,0,42,22,4,28,61,4,0,73,977,123,79,28,1205,32,12,46,1251,85,0,1336,453,90,45,17,605,60,8,73,675,423,3,1114,7,3,0,3,8,0,0,0,8,3,27,40,1436,210,123,52,1820,91,20,114,1937,514,36,2487,526,54,17,7,595,5,7,12,606,45,0,652,591,64,38,12,704,12,0,11,720,44,0,766,37,8,18,0,67,0,0,0,67,3,0,70,10,0,0,21,24,0,0,0,24,4,0,31,1159,129,74,32,1390,10,12,25
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
