RA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA23,6,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21,65,0,5,14,4,0,4,0,114,0,0,0,3,0,0,0,0,0,6,4,9,0,3,7,4,0,4,0,37,4,8,0,24,6,0,0,3,0,46,20,0,12,36,22,8,6,9,4,120,3,0,0,3,0,0,0,0,0,17,3,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,66,111,12,89,64,19,10,27,9,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,34,80,4,8,14,3,0,9,0,157,0,0,0,3,0,0,0,0,0,6
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA29,5,13,0,7,0,5,0,3,0,25,0,10,0,0,0,0,0,0,0,11,29,66,5,35,19,10,9,25,5,204,0,0,0,0,0,0,0,0,0,0,5,4,0,4,4,0,0,0,0,20,6,3,8,15,6,0,4,6,0,52,8,15,21,35,16,7,6,11,3,120,0,0,0,0,7,0,0,5,0,10,0,0,0,0,0,0,0,5,0,7,0,0,0,0,3,0,0,0,0,4,0,4,0,0,4,3,0,4,0,19,57,166,37,104,70,27,15,60,8,546,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,27,17,71,7,8,11,0,3,4,6,119,0,0,0,0,0,0,0,0,0,3,5,12,0,5,0,4,0,3,5,34,0,7,0,0,0,0,0,0,0,14,55,137,21,51,30,20,20,50,3,385,0,0,0,0,0,0,0,0,0,4
RA30,2680,12983,314,4084,2345,448,50,249,164,23329,1421,5994,95,428,941,113,17,66,78,9142,24253,116428,5516,20423,27530,8931,1037,5444,2128,211693,83,93,48,352,167,76,17,54,22,907,4217,7027,1272,5957,6927,2135,290,1165,366,29365,9648,10900,3772,25013,19954,6930,938,3247,1043,81443,9697,7832,12709,36442,30455,12398,2451,8195,1504,121694,998,650,563,2221,3294,2522,332,1364,139,12073,1596,1339,717,3929,5161,2335,302,1288,223,16890,480,1146,252,776,978,467,77,370,121,4669,1042,1879,523,2329,2345,1250,208,1092,1938,12602,65771,209495,26937,105871,106139,39438,5934,23536,8486,591610,320,1393,40,66,144,41,15,16,19,2046,2367,17948,304,289,513,136,83,118,163,21934,20489,58621,3036,5246,8527,3442,1697,2149,1337,104546,701,2338,84,222,328,98,62,80,56,3964,5008,19854,792,4751,3104,726,255,455,290,35236,2654,8165,312,713,1367,244,66,146,120,13788,54679,197897,16599,29453,38653,16026,6347,11615,4129,375400,143,158,143,421,194,122,47,104,42,1380
RA31,450,2645,65,961,379,63,5,55,36,4669,225,1201,18,111,172,17,10,15,5,1778,3532,24670,920,3501,3961,953,154,1254,326,39269,17,25,18,98,28,11,4,8,0,210,1020,1795,270,1688,1467,363,85,283,91,7065,2081,2433,861,6494,4588,1178,246,857,202,18939,3149,2228,4646,14623,10355,4212,1052,3580,510,44357,350,203,286,929,1216,1098,129,683,43,4935,416,249,247,1268,1209,611,90,480,47,4624,88,225,42,210,180,78,15,121,19,974,350,437,162,853,586,451,92,596,505,4038,12774,41987,7670,31180,24647,9167,1889,8037,1869,139220,40,263,8,7,16,0,0,5,0,344,282,2166,39,45,47,18,13,21,20,2645,2028,7241,311,622,664,218,138,290,119,11639,73,395,23,27,35,11,3,10,7,571,772,3740,187,1128,476,91,53,103,55,6607,455,1543,81,167,227,35,20,31,22,2580,7245,35868,2540,4961,4938,1521,725,2312,559,60667,41,32,34,118,29,16,10,18,7,301
RA32,389,1941,38,761,277,64,16,69,23,3582,145,915,21,66,103,15,0,7,12,1284,2996,18541,748,3015,3080,855,159,1016,221,30631,18,25,6,79,36,7,4,18,12,202,784,1237,200,1237,1033,350,74,248,53,5216,1700,1718,553,4540,3215,833,204,661,180,13599,2429,1642,3034,8996,7319,2857,949,2284,393,29911,274,135,197,633,747,711,114,471,36,3317,313,170,152,859,782,415,80,319,48,3135,82,150,34,156,120,66,9,96,10,725,294,366,134,605,454,372,80,491,383,3185,10362,31484,5272,21325,17608,6678,1698,5798,1429,101665,27,172,0,9,11,0,0,0,0,224,239,1766,47,33,48,14,13,12,9,2168,1630,5313,278,529,541,197,114,215,100,8917,60,299,7,31,27,11,0,9,5,447,650,2719,106,875,348,81,44,92,35,4956,276,1105,53,99,138,21,7,18,21,1733,5986,26854,1988,4404,3818,1314,694,1838,381,47274,31,33,24,97,37,9,10,23,14,276
RA33,56,144,3,57,13,3,0,6,0,288,13,59,3,11,10,0,0,0,0,90,454,1519,60,254,245,69,33,165,29,2841,0,3,4,10,0,0,0,8,0,23,136,94,21,86,100,17,14,38,5,508,191,157,56,338,287,60,28,77,11,1219,314,164,288,644,694,209,152,258,44,2774,49,8,17,60,82,46,19,52,11,335,48,13,6,61,59,43,16,44,4,295,12,12,6,8,12,3,0,11,0,73,40,34,13,63,47,26,10,79,55,366,1405,2495,485,1621,1589,500,286,746,157,9274,4,14,0,0,0,3,0,0,0,25,17,56,0,3,3,0,0,0,0,84,156,384,16,47,28,18,6,22,0,679,8,17,4,0,4,0,0,0,0,30,80,190,6,59,18,3,3,12,0,377,14,72,11,20,11,0,3,0,0,126,776,2114,167,360,277,87,73,274,43,4169,0,6,3,10,0,0,0,8,0,32
RA34,46,123,0,52,19,0,0,9,0,251,13,47,0,11,3,0,0,0,0,79,331,1017,33,150,161,20,13,88,13,1822,0,4,0,8,3,0,0,4,0,23,94,68,16,72,49,8,8,16,5,335,185,92,42,203,213,29,14,64,16,863,276,155,156,547,480,109,77,249,38,2096,39,16,17,61,64,34,7,55,3,303,33,25,4,45,34,11,4,23,3,196,6,7,0,6,3,0,0,9,0,37,42,40,7,67,51,35,12,51,51,363,1142,1766,285,1243,1105,258,136,576,135,6646,5,8,0,0,0,0,0,0,0,8,9,24,0,4,0,0,0,0,0,34,101,227,9,23,21,9,4,11,4,402,0,9,0,0,0,0,0,0,0,14,63,158,3,64,23,0,0,9,0,321,24,49,0,17,3,0,0,0,0,93,528,1371,77,227,183,35,29,145,24,2611,6,4,4,13,0,0,0,4,0,33
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RA39,5,12,0,0,6,0,0,3,0,30,0,10,0,3,3,0,0,0,0,15,27,151,9,68,26,12,0,94,4,390,0,0,0,0,0,0,0,0,0,4,14,12,0,6,9,5,0,13,0,60,9,21,9,33,28,17,4,23,0,144,21,14,11,89,37,25,11,45,3,265,3,0,0,5,13,6,0,10,0,38,0,0,5,5,0,0,0,7,0,22,0,6,0,0,0,0,0,0,0,8,3,7,3,8,3,4,0,14,11,41,99,277,37,231,135,72,24,226,22,1118,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,0,14,26,60,3,14,12,7,3,14,0,144,0,0,0,0,0,0,0,0,0,5,4,18,0,6,6,0,0,5,0,45,0,15,0,5,5,0,0,0,0,30,66,232,17,90,35,15,13,139,8,627,0,0,0,0,0,0,0,3,0,8
RA40,1131,5506,121,1559,894,127,11,84,70,9498,519,1749,39,169,283,35,3,16,24,2829,8494,45643,2535,9497,10146,3188,320,2314,770,82904,18,29,16,96,35,27,9,13,0,244,1671,3435,505,3155,2959,730,67,446,118,13095,2916,3598,1240,8073,5302,1406,150,853,314,23853,3621,3268,5354,14850,12021,4423,644,2774,601,47554,389,292,305,896,1349,805,85,568,57,4745,557,461,337,1558,1900,712,76,435,70,6105,154,467,92,359,343,130,14,122,31,1725,348,684,175,875,807,444,39,408,515,4297,23457,82556,11389,44289,38718,12746,1516,8827,2883,226386,141,650,17,64,66,11,9,10,15,976,1148,7946,179,157,283,37,27,66,61,9905,7413,22459,1627,4363,4137,1399,1083,1709,547,44731,278,991,52,157,131,52,33,50,30,1772,2117,8322,315,1839,1251,231,93,185,115,14462,992,2407,103,273,433,69,15,44,33,4380,19477,77556,7263,14108,15108,5905,2783,5525,1562,149282,35,45,55,136,50,34,23,25,4,402
RA41,130,495,18,200,68,13,0,14,6,955,42,157,3,25,33,4,0,10,0,266,852,3818,198,637,621,208,23,222,59,6641,5,7,0,10,12,5,0,3,3,37,292,494,74,431,344,91,14,58,11,1806,430,412,147,1077,671,187,32,133,36,3127,683,394,919,2477,1738,705,107,663,86,7775,93,34,56,159,238,135,19,146,5,885,110,53,58,248,258,94,12,77,11,924,20,50,12,30,38,12,8,19,4,192,77,69,32,150,118,82,15,110,54,708,2984,6997,1545,5527,4239,1572,232,1490,291,24872,18,47,0,6,0,5,0,3,0,79,101,412,15,4,26,4,0,9,6,576,404,1074,51,109,102,59,14,56,21,1892,20,46,3,0,13,0,0,0,0,82,227,684,36,230,94,19,9,32,12,1334,85,194,9,26,36,7,0,11,8,375,1809,5644,459,861,817,323,114,434,110,10576,10,7,4,11,10,0,0,3,4,55
RA42,106,400,9,209,56,13,0,13,8,817,39,168,0,15,17,6,0,4,0,253,719,4295,109,513,490,125,25,236,47,6561,0,3,3,16,9,0,0,0,0,29,315,399,28,403,268,75,7,76,20,1591,390,415,114,1186,558,174,24,132,39,3031,792,508,841,3124,1906,838,131,698,85,8922,136,39,47,228,258,174,28,163,14,1083,113,30,33,297,209,99,11,96,8,896,26,48,3,31,33,14,0,18,6,187,108,89,38,210,124,112,13,160,87,942,2899,7110,1241,6310,3977,1645,249,1623,325,25380,6,48,0,3,6,0,0,0,0,61,42,165,0,0,5,0,6,4,3,222,277,881,38,117,72,43,16,43,10,1499,14,52,0,0,0,0,0,0,0,69,184,533,22,232,63,13,10,26,9,1088,61,197,9,18,27,6,0,5,5,330,1501,5811,280,722,580,181,120,439,72,9704,7,4,12,19,6,0,7,5,3,53
RA43,33,103,3,43,13,4,0,3,0,205,7,32,5,3,0,0,0,0,0,45,201,980,47,138,158,50,16,55,11,1651,0,0,0,5,8,0,0,0,0,11,95,106,6,87,61,18,0,14,5,392,83,84,38,264,143,45,14,39,8,715,213,84,185,577,447,209,45,148,23,1934,34,4,17,44,51,39,11,28,0,236,35,10,20,53,53,28,7,13,3,228,3,11,4,7,11,0,0,0,0,42,18,16,13,32,31,19,10,23,22,190,779,1609,346,1276,989,419,97,333,82,5931,0,7,0,0,0,0,0,0,0,9,16,47,3,0,6,0,0,0,0,72,79,203,26,12,27,9,4,16,7,380,3,8,0,0,0,0,0,0,0,14,40,131,10,49,13,3,3,3,0,247,6,39,6,3,6,0,0,0,0,63,408,1360,121,191,179,71,31,121,21,2505,4,0,0,5,8,0,5,0,0,19
RA44,8,26,0,13,9,3,0,0,0,54,3,18,0,0,0,0,0,0,0,21,57,283,5,45,48,12,0,13,0,463,0,5,0,0,0,0,0,0,0,5,17,34,0,40,20,5,0,12,0,126,45,25,9,70,28,8,0,16,0,204,44,43,39,124,93,34,4,44,11,428,9,10,3,9,5,3,0,9,0,48,8,0,5,21,14,3,3,9,0,57,0,0,0,0,0,0,0,4,4,6,14,13,7,30,10,8,0,12,10,105,221,500,60,362,232,78,17,117,23,1611,0,6,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,11,19,63,3,15,8,4,0,3,0,118,0,6,0,5,0,0,0,0,0,9,14,30,0,13,6,3,0,0,0,68,5,16,0,0,0,0,0,0,0,25,122,373,27,63,47,21,6,32,4,686,0,5,0,0,0,0,0,0,0,5
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,28,4,7,4,0,0,12,0,75,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,4,0,0,0,16,0,11,7,8,4,0,0,0,0,28,4,9,9,19,8,4,4,8,0,57,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10,19,63,18,41,30,15,3,23,3,228,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,18,0,6,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,56,12,12,9,5,4,24,4,135,0,0,0,0,0,0,0,0,0,0
RA50,1741,9480,296,2175,1436,274,42,152,100,15685,707,3047,78,244,460,85,10,32,33,4686,14029,72966,4260,13625,17226,5478,898,3656,1197,133330,52,55,31,194,106,48,11,31,14,537,2438,5588,1359,4374,5049,1437,260,865,211,21581,4411,5470,2716,12392,9333,3122,597,1789,448,40281,4935,4481,9140,23412,16006,6496,1848,4209,740,71270,625,425,507,1931,2508,1845,279,1034,93,9261,900,760,530,2729,3451,1257,227,782,125,10773,352,941,222,738,881,357,74,295,56,3906,651,1315,405,1802,1705,842,178,756,1094,8742,36445,129955,20547,66523,62153,22481,4622,14480,4474,361672,277,1185,46,73,126,28,12,17,13,1783,1485,11081,224,183,374,81,66,82,111,13676,12707,35912,2421,3899,5596,2060,1389,1837,705,66521,522,1770,71,171,242,74,48,61,47,3005,3451,14244,657,2547,1894,411,206,320,156,23892,1420,4052,205,482,665,130,64,63,60,7138,34495,126729,12622,19622,24666,9490,5496,7822,2455,243399,97,98,121,243,122,66,48,69,21,874
RA51,154,800,22,202,94,23,4,23,0,1331,47,265,0,22,26,0,0,6,0,368,1051,5403,312,806,904,308,54,394,80,9311,10,6,4,20,5,5,0,4,0,52,315,575,129,501,447,157,35,108,21,2290,440,458,302,1168,828,250,93,221,45,3806,810,573,1391,3269,2324,1008,365,878,111,10728,119,46,104,310,358,278,56,237,10,1521,124,69,78,353,373,160,36,135,9,1330,36,85,22,42,74,28,7,50,6,360,112,109,61,246,181,138,38,146,124,1161,3441,9486,2453,7046,5734,2394,693,2231,421,33902,22,73,0,4,4,0,0,0,0,111,72,355,7,16,14,0,6,9,3,489,442,1280,71,134,129,46,31,60,15,2205,24,89,3,0,7,3,0,6,6,134,262,1082,41,234,116,34,19,40,9,1833,108,328,15,35,33,3,0,4,4,534,2161,7896,797,1095,1112,434,241,726,122,14587,12,15,12,20,4,8,3,9,0,75
RA52,130,596,12,133,67,30,4,22,7,990,36,209,3,6,17,0,0,7,4,277,950,4233,170,602,643,163,52,289,46,7157,10,6,0,20,13,4,0,3,0,64,300,433,85,337,330,90,24,84,24,1706,395,392,133,940,662,195,72,171,26,2994,640,412,857,2272,1663,653,271,596,75,7444,92,37,84,260,355,227,58,173,8,1290,128,53,53,231,267,100,24,106,3,958,48,56,13,50,51,19,0,24,3,262,122,87,41,166,143,100,35,131,75,911,3063,7393,1483,5101,4302,1596,551,1638,290,25414,15,50,0,0,0,0,0,0,0,73,54,273,6,6,14,0,0,10,4,378,378,1131,42,104,104,31,33,44,8,1874,20,64,3,11,9,0,3,0,0,107,196,801,27,148,77,30,17,37,8,1333,72,253,9,27,15,0,6,11,4,392,1925,6088,463,810,774,244,231,507,82,11118,8,9,3,24,16,4,6,3,0,82
RA53,91,300,9,78,46,12,4,7,0,550,22,109,3,3,9,0,0,0,0,148,603,2108,133,352,495,124,34,173,42,4066,3,3,0,6,0,0,4,0,0,23,170,156,35,116,142,45,26,27,3,722,269,211,82,398,377,83,44,106,13,1574,384,195,410,774,845,233,168,252,51,3316,60,27,49,105,197,74,43,72,8,628,57,23,23,95,106,39,22,28,3,402,24,24,3,19,23,15,0,20,3,133,66,54,28,74,92,37,14,85,55,504,1890,3667,801,2057,2397,686,365,787,187,12834,5,21,3,0,3,0,0,0,0,32,31,98,0,3,12,0,0,0,0,150,241,557,52,51,73,30,16,27,8,1053,4,36,0,0,3,0,0,0,0,56,132,401,17,91,60,11,12,15,0,744,50,123,11,10,13,0,0,5,0,219,1196,2901,381,446,584,175,110,274,63,6135,4,3,9,8,3,0,4,5,0,37
RA54,32,123,9,38,13,0,3,6,0,233,9,54,4,0,10,0,0,0,0,80,279,973,74,212,219,71,52,155,31,2061,0,0,5,0,3,0,8,0,0,17,76,79,17,70,64,25,18,29,6,375,122,89,43,184,165,34,57,66,7,759,171,116,181,380,409,97,173,171,35,1748,37,39,20,68,61,23,29,48,6,332,39,18,8,50,44,14,17,28,6,207,9,4,0,8,9,4,4,9,5,57,28,52,9,64,44,36,22,36,45,334,898,1786,388,1126,1070,305,373,559,141,6652,5,10,0,0,3,0,0,0,0,17,14,49,6,0,0,0,5,0,0,75,154,349,42,51,39,13,16,33,3,697,3,13,0,5,0,0,0,0,0,27,55,183,10,48,19,0,6,4,0,342,12,68,7,9,10,0,0,6,0,117,560,1555,225,314,269,90,145,251,42,3444,4,5,3,4,3,0,6,7,5,30
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,6,0,0,0,0,14,0,35,0,0,0,0,0,0,0,0,0,0
