RA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA23,5,54,5,72,4,40,4,53,18,106,13,131,15,134,18,172,39,115,12,167,63,251,32,339,35,267,31,324,9,131,15,159,9,42,13,63,196,1142,142,1477,6,39,5,54,4,31,4,37,24,98,5,125,31,122,16,170,37,110,19,166,68,228,22,320,40,187,17,239,20,117,18,158,8,51,14,71,230,987,121,1340,11,95,11,122,5,75,7,89,40,202,16,258,46,260,34,342,79,224,34,335,129,481,49,657,70,451,40,566,33,246,38,311,14,92,31,133,430,2124,263,2817
RA25,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
RA29,6,130,97,234,26,199,127,345,46,506,391,939,56,422,524,1008,81,366,467,912,57,290,295,644,36,225,132,392,5,61,30,90,0,4,6,15,316,2202,2062,4576,12,127,91,229,34,195,92,321,79,485,310,878,82,304,346,730,81,220,181,479,79,229,118,429,23,133,62,224,5,47,7,58,0,13,9,19,394,1754,1219,3373,22,255,187,459,56,392,215,671,128,991,698,1819,136,731,871,1736,157,586,645,1393,139,520,416,1074,60,353,199,613,12,102,37,152,6,17,13,29,714,3955,3282,7946
RA30,4251,94358,5635,104246,4905,98982,7649,111539,12547,204667,17999,235209,19763,193110,14778,227650,25032,174537,12188,211755,24268,142858,8992,176122,16640,115601,7184,139422,8894,62652,5261,76805,2259,18466,2962,23683,118562,1105235,82646,1306440,4895,89935,5316,100150,6349,99163,6896,112406,20100,211180,15639,246916,33730,195015,12587,241334,42547,172371,9990,224915,40623,142571,8010,191204,25268,122889,7244,155397,10194,71463,6850,88507,1610,30749,6028,38383,185316,1135327,78554,1399201,9151,184292,10951,204395,11255,198143,14546,223940,32644,415846,33629,482124,53492,388124,27362,468983,67583,346905,22179,436674,64893,285425,16998,367325,41912,238490,14425,294820,19085,134115,12109,165311,3864,49216,8988,62072,303876,2240564,161197,2705645
RA31,1489,26918,2630,31037,1357,22069,2683,26108,3393,44600,6528,54517,5501,43963,6067,55532,7749,48230,5952,61935,9318,52427,5146,66894,7501,49883,4093,61475,3959,26527,2754,33236,901,6952,1205,9055,41174,321569,37057,399798,1597,25235,2173,29000,1688,21292,1951,24933,6120,45642,4309,56068,10282,44694,4036,59020,13299,48105,4155,65562,15946,50909,4035,70886,10666,47901,3786,62347,4210,27490,3268,34973,646,10723,1956,13324,64449,321990,29674,416111,3085,52150,4805,60040,3043,43354,4638,51039,9508,90244,10834,110592,15786,88658,10103,114549,21050,96341,10108,127493,25262,103343,9179,137784,18167,97777,7880,123830,8172,54019,6012,68209,1547,17668,3161,22375,105628,643558,66729,815909
RA32,936,17938,2459,21332,869,16572,3314,20756,2304,34510,6964,43772,3701,32674,5945,42321,4984,35172,5648,45799,5518,35766,4865,46147,3994,29714,3538,37249,1841,14238,1972,18042,409,3559,691,4663,24546,220143,35399,280083,1046,17056,2186,20283,1119,15778,2158,19055,3836,35353,5009,44196,6439,33984,4182,44603,8285,34027,4040,46347,8753,33059,3521,45335,5448,26349,2805,34606,2085,13952,1942,17979,299,5244,1060,6600,37311,214798,26890,278997,1978,34992,4645,41613,1985,32346,5473,39805,6136,69864,11974,87970,10140,66662,10123,86925,13267,69196,9682,92148,14274,68818,8393,91486,9442,56063,6343,71853,3926,28189,3913,36024,710,8805,1748,11258,61856,434945,62291,559083
RA33,68,1594,337,1997,70,1747,410,2225,210,4143,1008,5363,312,3454,756,4527,461,3616,826,4905,487,3981,766,5234,303,2924,487,3714,130,1330,223,1678,26,257,72,358,2075,23049,4881,30007,89,1402,257,1747,78,1757,289,2126,371,4173,652,5195,556,3246,525,4322,637,3189,521,4345,702,3103,539,4346,381,2219,353,2952,129,1062,220,1414,12,359,84,459,2968,20513,3433,26915,160,2995,585,3749,152,3502,702,4358,587,8316,1658,10558,866,6700,1283,8851,1103,6805,1344,9252,1189,7090,1302,9574,690,5144,837,6674,258,2393,447,3097,43,613,158,817,5042,43562,8321,56924
RA34,84,1285,262,1630,73,1444,293,1811,230,2973,664,3865,229,2385,497,3115,274,2548,533,3362,284,2639,533,3464,188,1782,306,2277,56,783,177,1016,18,176,38,231,1435,16022,3309,20769,98,1184,243,1517,103,1476,257,1838,357,3062,496,3915,399,2464,398,3253,451,2353,428,3229,431,2329,434,3192,249,1413,226,1885,74,689,131,893,21,262,52,333,2171,15244,2659,20069,179,2469,498,3147,177,2922,550,3652,585,6037,1159,7783,625,4845,895,6369,722,4899,963,6589,715,4969,966,6658,434,3197,532,4165,126,1473,310,1912,39,443,90,574,3606,31260,5972,40838
RA35,0,0,0,0,0,4,9,4,0,8,30,37,0,14,45,55,0,12,31,42,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,37,108,149,0,0,0,0,0,0,4,9,0,3,13,13,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,3,14,16,0,11,34,49,0,13,52,64,0,12,32,45,0,0,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0,46,135,183
RA39,9,193,70,272,12,271,153,444,58,839,408,1301,66,652,467,1194,59,575,403,1042,102,879,313,1297,96,952,214,1253,29,207,42,283,0,16,8,23,445,4586,2077,7108,15,214,61,291,19,339,127,493,79,896,369,1345,89,527,270,885,112,556,222,887,156,827,195,1170,83,674,113,870,9,131,24,160,0,22,3,25,566,4176,1386,6127,24,406,133,566,37,615,278,934,138,1732,777,2649,159,1179,737,2077,177,1136,623,1929,259,1700,503,2468,181,1623,324,2124,37,336,70,444,0,31,16,44,1008,8758,3464,13234
RA40,1645,35474,1700,38823,2382,40848,2156,45388,5802,83677,5103,94580,8879,75171,4400,88452,11718,67540,3781,83040,13348,61290,3121,77760,8848,52125,2545,63520,4373,29294,1887,35551,1330,11011,1105,13441,58325,456430,25789,540543,1856,33283,1550,36691,2925,38640,1842,43410,8957,81857,4200,95017,14175,73449,3511,91148,18686,63926,2936,85549,21339,59750,2709,83803,13060,56443,2746,72241,5283,35851,2614,43752,946,19289,1936,22172,87237,462501,24035,573770,3505,68760,3249,75510,5303,79487,3994,88794,14759,165537,9300,189595,23059,148625,7913,179592,30405,131468,6715,168590,34687,121048,5832,161563,21910,108565,5289,135765,9654,65147,4496,79299,2280,30292,3037,35608,145557,918933,49827,1114313
RA41,228,4317,379,4923,246,3577,326,4145,556,6838,681,8073,971,7289,730,8992,1558,8874,784,11210,2015,10351,770,13132,1647,10364,711,12720,857,5771,470,7104,208,1601,191,1998,8280,58984,5042,72302,282,4145,363,4796,288,3304,208,3800,955,6753,461,8164,1671,7281,459,9408,2583,8421,644,11646,3344,9631,654,13633,2336,9998,699,13027,855,5826,506,7190,154,2372,287,2813,12474,57730,4274,74478,511,8464,742,9716,529,6881,532,7952,1511,13585,1143,16241,2648,14569,1189,18405,4144,17289,1425,22857,5359,19984,1425,26765,3984,20361,1407,25754,1708,11605,978,14290,365,3980,476,4816,20752,116711,9319,146780
RA42,290,4903,561,5756,272,4344,515,5138,749,9128,1321,11199,1032,8428,1282,10741,1630,9848,1218,12695,2145,11834,1184,15160,1613,11427,1042,14075,778,5809,733,7314,199,1741,289,2229,8707,67461,8145,84306,288,4339,464,5085,345,3805,312,4463,1166,8750,763,10675,1839,8138,779,10754,2656,9191,810,12654,3352,10461,938,14754,2182,10227,909,13313,863,6376,816,8055,121,2777,461,3364,12804,64059,6256,83115,577,9244,1021,10840,617,8152,832,9595,1915,17876,2083,21873,2866,16565,2060,21495,4289,19032,2028,25351,5499,22295,2125,29912,3797,21652,1949,27394,1639,12185,1544,15370,318,4517,752,5592,21506,131518,14399,167427
RA43,42,983,126,1145,47,837,96,979,130,2130,270,2534,225,2055,298,2580,321,2210,315,2845,479,2567,294,3332,302,2349,233,2881,160,1209,155,1523,50,344,51,445,1746,14677,1843,18264,45,853,102,1002,49,768,78,895,234,2077,178,2490,342,1931,174,2449,499,1980,221,2699,681,2237,202,3119,428,2057,205,2686,160,1134,129,1429,38,504,82,622,2480,13549,1361,17398,89,1837,222,2149,92,1607,173,1874,364,4214,446,5027,573,3989,466,5028,821,4190,533,5550,1156,4799,498,6454,726,4406,436,5567,321,2344,287,2957,79,846,133,1066,4224,28234,3203,35664
RA44,29,296,77,403,32,303,63,393,73,740,156,966,83,638,103,817,86,701,145,936,114,826,114,1053,77,665,92,841,34,306,57,398,14,67,25,106,534,4544,831,5914,23,245,86,357,38,280,39,354,115,710,145,972,142,559,84,783,147,617,120,881,163,612,100,874,93,492,84,669,27,224,34,277,7,87,27,120,758,3828,708,5292,56,545,159,758,69,580,98,750,186,1449,295,1938,224,1200,183,1601,234,1320,267,1819,273,1439,219,1932,173,1166,183,1511,60,530,87,678,25,157,54,229,1292,8378,1541,11208
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12
RA49,9,50,14,74,6,78,27,108,23,216,88,320,24,169,95,289,28,176,95,299,20,194,102,311,17,149,46,214,4,24,5,40,4,0,0,7,138,1055,470,1668,13,76,19,112,13,75,19,95,32,196,74,305,32,131,82,245,23,111,45,178,29,143,27,197,23,101,17,141,4,20,4,26,0,4,0,10,166,850,288,1306,24,131,33,186,19,153,39,206,56,406,165,627,61,294,176,534,53,280,146,478,49,331,130,513,35,259,60,359,11,50,11,64,4,10,6,11,307,1907,763,2975
RA50,2481,56770,2928,62185,2902,58841,4351,66092,7168,127922,12034,147123,11363,127377,10972,149710,14555,109946,8838,133337,15472,92810,6558,114846,10731,74178,4259,89170,5239,38926,3254,47410,1569,12082,2014,15662,71484,698843,55206,825535,2797,53729,2822,59342,3834,57278,3483,64600,11500,132980,8798,153281,18836,127371,7189,153391,24757,106230,5680,136666,26633,89928,4640,121194,16568,77093,4347,98001,6181,44054,4178,54408,1203,20113,3577,24896,112313,708774,44709,865795,5280,110499,5753,121530,6738,116117,7837,130689,18664,260904,20835,300403,30197,254744,18157,303100,39315,216174,14511,270009,42110,182735,11199,236044,27305,151265,8608,187175,11415,82976,7428,101828,2772,32199,5591,40566,183799,1407615,99918,1691327
RA51,288,6118,570,6974,216,4706,789,5707,598,9826,2185,12603,1133,11137,2196,14470,1635,12303,1978,15915,1995,12363,1472,15831,1463,11441,1030,13931,707,5463,587,6760,169,1384,256,1810,8194,74741,11064,93996,333,5731,503,6562,245,4170,403,4817,1106,10268,879,12248,2154,11809,912,14876,2941,12243,947,16134,3478,11979,908,16363,2180,10739,843,13762,810,5486,675,6973,138,2150,388,2676,13391,74560,6455,94409,618,11844,1073,13537,464,8869,1188,10528,1701,20088,3056,24852,3291,22942,3114,29343,4573,24546,2926,32047,5466,24350,2377,32193,3649,22177,1872,27697,1518,10947,1269,13733,305,3534,641,4482,21584,149302,17521,188402
RA52,246,4642,600,5476,204,3834,560,4600,514,8506,1469,10485,844,8441,1473,10765,1267,9441,1457,12168,1631,10370,1318,13319,1136,9088,1021,11243,558,4499,622,5682,176,1260,245,1681,6569,60081,8776,75423,236,4273,541,5050,233,3491,446,4175,894,8347,1001,10247,1582,8476,1087,11148,2076,9074,1063,12213,2508,9483,1033,13017,1572,8185,922,10676,652,4433,649,5725,117,1794,362,2272,9863,57555,7110,74522,476,8915,1138,10528,438,7325,1007,8776,1408,16853,2473,20730,2428,16916,2567,21911,3346,18512,2522,24378,4139,19847,2352,26343,2708,17276,1946,21921,1210,8928,1267,11411,290,3056,606,3958,16436,117633,15879,149948
RA53,85,1881,389,2359,77,1751,441,2271,257,5073,1196,6525,440,5417,1187,7038,461,4807,1083,6343,475,4373,910,5758,259,2652,476,3385,116,1075,209,1405,33,277,61,368,2194,27299,5958,35449,89,1598,352,2048,89,1593,326,2004,419,5432,1027,6881,673,5066,924,6663,735,4077,763,5574,692,3483,579,4755,360,2119,366,2853,137,983,194,1313,27,344,81,447,3224,24695,4614,32531,176,3480,749,4404,172,3338,769,4280,674,10507,2224,13402,1112,10483,2104,13702,1195,8876,1845,11917,1161,7854,1491,10505,624,4772,843,6236,251,2059,409,2719,55,620,136,815,5420,51991,10567,67980
RA54,99,1158,305,1561,110,1449,565,2125,322,4253,1740,6320,364,3764,1528,5656,315,3419,1311,5044,264,2920,952,4137,145,1557,376,2079,53,528,132,709,12,79,19,111,1681,19119,6939,27745,92,1069,270,1425,168,1307,366,1834,398,3705,913,5020,419,2915,734,4069,423,2420,602,3442,365,2130,529,3019,151,1122,228,1496,48,431,106,577,6,101,42,147,2060,15202,3780,21036,193,2225,576,2991,279,2758,927,3963,719,7962,2659,11339,788,6673,2264,9719,730,5839,1913,8486,633,5048,1474,7161,293,2681,598,3574,95,955,236,1286,22,180,60,258,3743,34320,10720,48779
