RA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
RA23,..,0,0,0,0,0,..,6,0,6,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,7,0,7,0,7,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0
RA25,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
RA29,..,12,0,12,0,12,..,99,51,148,0,146,..,3,5,7,0,7,..,14,0,19,0,19,..,25,0,27,0,27,..,23,0,27,0,27,..,3,0,3,0,3,..,4,0,4,0,4,..,33,5,35,0,35,..,5,0,5,0,5,..,14,0,16,0,16,..,15,0,17,0,17,..,10,0,15,0,15,..,8,0,8,0,8,..,98,5,100,0,100,..,30,4,33,0,41,..,3,0,6,0,6,..,6,0,8,0,8,..,5,3,11,0,11,..,10,0,10,0,10,..,3,0,3,0,3,..,17,4,21,0,25,..,7,0,7,0,7,..,5,0,5,0,5,..,11,0,12,0,12,..,6,0,11,0,11,..,8,5,16,0,16,..,18,4,21,0,21,..,11,3,12,0,16,..,10,0,10,0,10,..,13,0,17,0,17,..,51,9,57,0,61,..,40,7,48,0,48,..,6
RA30,..,2547,843,3388,18,3403,..,81636,22815,104453,890,105344,..,2981,376,3355,29,3384,..,9028,394,9427,108,9532,..,9993,297,10290,133,10426,..,8287,859,9143,61,9209,..,3628,228,3853,24,3876,..,7970,573,8550,80,8631,..,18257,751,19016,151,19162,..,8375,519,8891,84,8980,..,23710,2257,25969,330,26297,..,6284,248,6541,44,6580,..,6316,474,6791,61,6847,..,3320,135,3453,36,3492,..,77864,5191,83056,811,83863,..,11426,1026,12450,112,12558,..,12237,1778,14014,115,14129,..,1876,679,2555,20,2573,..,14501,4719,19227,153,19379,..,1166,137,1304,7,1313,..,9302,500,9801,99,9905,..,6861,986,7852,77,7926,..,4421,361,4786,40,4825,..,12286,958,13245,187,13433,..,5982,717,6698,59,6761,..,14235,1373,15612,165,15772,..,4208,647,4855,30,4884,..,9252,257,9510,86,9599,..,4291,306,4598,51,4652,..,13441,339,13782,80,13862,..,3461,135,3596,32,3627,..,30447,1036,31481,254,31743,..,22987,2291,25281,251,25534,..,5763
RA31,..,120,60,182,0,182,..,3575,1446,5023,60,5082,..,230,20,251,0,252,..,1109,42,1152,16,1170,..,2199,72,2273,15,2292,..,369,34,407,4,413,..,475,35,510,4,512,..,764,73,843,5,848,..,1153,44,1199,15,1215,..,1336,83,1421,9,1432,..,1615,141,1761,33,1787,..,742,45,796,5,797,..,425,27,455,4,461,..,200,15,221,0,221,..,6721,465,7192,84,7272,..,1158,86,1244,18,1257,..,685,84,771,12,778,..,113,33,147,0,147,..,711,277,985,9,999,..,31,0,31,0,31,..,1378,99,1479,23,1500,..,321,50,368,5,374,..,368,31,393,4,400,..,675,162,844,14,850,..,469,57,521,4,526,..,267,41,306,8,311,..,188,22,207,3,213,..,2732,112,2851,30,2884,..,381,34,417,8,420,..,3408,122,3529,50,3575,..,797,106,901,6,911,..,7318,371,7696,96,7786,..,1392,111,1501,22,1519,..,603
RA32,..,136,43,179,0,182,..,3001,918,3918,38,3957,..,235,29,266,3,266,..,1314,69,1385,24,1407,..,2223,52,2278,27,2304,..,696,71,768,8,773,..,158,6,164,0,164,..,270,12,279,5,282,..,828,38,869,7,872,..,1093,473,1565,22,1588,..,2335,305,2638,41,2678,..,477,18,500,4,503,..,285,22,304,8,308,..,146,5,153,0,153,..,5590,883,6475,75,6551,..,3396,429,3829,51,3880,..,2534,366,2901,21,2925,..,107,14,126,0,126,..,1073,379,1451,8,1457,..,31,0,37,0,37,..,1382,94,1469,22,1491,..,163,17,177,3,181,..,323,28,360,6,367,..,539,45,583,4,588,..,372,47,414,0,422,..,356,46,407,10,412,..,129,9,140,0,140,..,1821,59,1883,17,1901,..,583,38,625,3,628,..,2642,100,2743,25,2768,..,580,45,621,5,633,..,5623,247,5866,58,5920,..,1950,132,2086,17,2107,..,405
RA33,..,4,0,6,0,6,..,169,37,209,0,206,..,16,4,15,4,16,..,101,5,104,0,105,..,105,3,104,4,107,..,41,0,42,0,42,..,11,0,6,0,6,..,15,3,21,0,21,..,58,0,60,0,60,..,41,3,47,0,47,..,75,5,75,0,75,..,57,3,58,3,58,..,29,5,37,0,37,..,5,0,5,0,5,..,288,22,312,3,312,..,172,23,198,3,200,..,45,7,48,0,46,..,3,0,3,0,3,..,12,9,24,0,24,..,3,0,3,0,3,..,66,8,70,5,72,..,9,0,9,0,9,..,26,0,28,0,28,..,33,6,42,0,42,..,20,0,20,0,20,..,67,14,79,4,84,..,18,0,18,0,18,..,252,12,262,0,264,..,53,0,54,0,54,..,308,10,312,0,313,..,75,8,86,0,84,..,690,30,717,5,720,..,273,5,274,0,274,..,30
RA34,..,3,0,3,0,3,..,65,21,84,0,84,..,3,0,3,0,3,..,33,3,38,0,40,..,55,3,63,0,63,..,21,5,24,0,29,..,14,0,15,0,15,..,7,0,7,0,7,..,16,3,18,0,18,..,7,0,7,0,7,..,17,0,18,0,18,..,11,0,11,0,11,..,9,0,10,0,10,..,3,0,3,0,3,..,88,7,87,0,89,..,26,0,30,0,30,..,22,0,23,0,23,..,12,4,9,0,9,..,14,0,14,0,14,..,0,0,0,0,0,..,30,0,29,0,29,..,0,0,0,0,0,..,7,0,7,0,7,..,13,0,13,0,12,..,8,4,8,0,9,..,13,0,16,0,16,..,5,0,5,0,5,..,34,0,38,0,38,..,30,5,30,0,30,..,61,0,68,0,68,..,12,5,16,0,16,..,143,8,151,0,153,..,50,9,58,0,58,..,7
RA35,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,15,0,18,0,18,..,0,0,0,0,0,..,0
RA39,..,5,0,5,0,5,..,100,45,146,0,148,..,4,0,4,0,4,..,95,0,95,0,95,..,67,0,71,3,71,..,15,0,15,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,11,0,15,..,0,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,15,0,17,0,17,..,0,0,0,0,0,..,48,8,56,0,60,..,57,0,57,0,57,..,15,4,19,0,19,..,0,0,0,0,0,..,17,14,30,0,30,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,10,0,10,..,8,0,8,0,8,..,25,0,25,0,25,..,10,0,10,0,10,..,10,4,10,0,10,..,3,0,3,0,3,..,10,5,12,0,12,..,22,3,23,0,23,..,12,0,12,0,12,..,15,0,15,0,17,..,54,3,63,0,61,..,141,10,150,0,150,..,0
RA40,..,1221,389,1612,7,1616,..,33728,8456,42181,360,42542,..,2272,306,2583,25,2606,..,2263,87,2350,29,2374,..,4191,118,4310,49,4362,..,17395,2803,20197,126,20321,..,2599,152,2751,16,2767,..,6729,531,7258,67,7327,..,9199,380,9585,60,9644,..,7669,1711,9385,95,9476,..,16915,1580,18495,229,18722,..,3739,196,3937,34,3971,..,4406,357,4760,58,4824,..,1669,78,1751,12,1760,..,52929,4983,57911,581,58496,..,19311,2938,22250,164,22414,..,1947,160,2106,26,2127,..,2991,1421,4410,31,4441,..,2855,715,3569,21,3591,..,518,52,571,9,581,..,4381,253,4631,39,4674,..,4273,1014,5287,40,5331,..,4302,554,4853,26,4884,..,2328,193,2525,16,2545,..,2916,447,3366,24,3389,..,175,12,185,0,190,..,3368,784,4153,16,4169,..,3797,93,3892,37,3924,..,1488,108,1595,6,1598,..,5237,161,5394,40,5437,..,1650,99,1747,24,1771,..,12180,453,12630,102,12736,..,6160,630,6784,68,6854,..,2988
RA41,..,10,8,14,0,14,..,369,201,570,8,578,..,46,0,49,0,45,..,160,13,173,0,172,..,618,12,635,10,643,..,282,30,309,7,316,..,31,0,30,0,32,..,4,3,10,0,10,..,46,5,49,0,49,..,41,0,41,0,41,..,143,5,148,5,155,..,50,4,52,0,52,..,25,0,25,0,25,..,6,5,5,0,5,..,341,19,360,4,362,..,502,45,550,7,556,..,93,4,95,6,97,..,57,30,85,0,85,..,33,0,38,0,38,..,9,4,11,0,11,..,25,3,25,0,25,..,20,6,27,0,27,..,137,18,146,0,156,..,40,3,44,4,42,..,101,7,109,0,109,..,6,0,6,0,6,..,45,7,55,0,55,..,303,15,315,0,320,..,49,6,52,0,56,..,415,23,436,0,436,..,99,8,110,0,110,..,863,54,918,3,925,..,157,3,164,0,164,..,29
RA42,..,20,19,33,0,40,..,486,191,677,20,692,..,106,17,118,5,127,..,127,5,131,4,132,..,296,14,306,0,309,..,870,187,1051,13,1064,..,54,0,56,0,55,..,48,6,52,0,52,..,151,8,160,0,159,..,113,11,120,0,124,..,831,167,1000,19,1017,..,90,7,93,0,99,..,151,18,170,0,173,..,32,3,35,0,35,..,1471,216,1684,27,1707,..,665,68,730,11,741,..,50,7,50,3,56,..,44,25,69,0,72,..,40,9,46,0,48,..,13,4,16,0,16,..,84,0,90,0,89,..,34,6,42,0,42,..,73,7,81,5,84,..,40,7,46,3,51,..,41,0,44,4,42,..,18,15,39,0,39,..,38,6,42,0,42,..,410,17,426,0,426,..,86,13,101,0,100,..,383,14,393,3,397,..,314,87,404,5,405,..,1194,133,1325,8,1334,..,159,22,180,0,184,..,127
RA43,..,0,0,0,0,0,..,73,19,95,0,95,..,81,3,83,0,83,..,50,0,49,0,49,..,82,5,86,0,86,..,63,4,69,0,69,..,8,0,8,0,8,..,19,0,19,0,19,..,20,0,20,0,20,..,20,0,20,0,20,..,60,5,59,0,59,..,28,0,31,0,31,..,13,3,17,0,21,..,5,0,5,0,5,..,176,4,186,0,181,..,71,4,81,0,81,..,10,3,14,0,14,..,0,0,0,0,0,..,11,0,11,0,11,..,4,0,4,0,4,..,7,0,7,0,7,..,5,0,5,0,5,..,4,0,4,0,4,..,29,4,29,0,35,..,9,0,11,0,11,..,0,0,0,0,0,..,9,0,9,0,9,..,75,0,78,0,81,..,37,0,36,0,37,..,143,0,143,0,140,..,21,3,24,0,24,..,272,3,277,4,287,..,44,7,51,0,51,..,6
RA44,..,0,0,5,0,5,..,28,0,33,0,30,..,23,9,29,4,33,..,9,0,9,0,9,..,42,0,38,0,38,..,96,12,107,3,111,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,39,0,43,0,43,..,66,0,70,3,73,..,6,0,6,0,6,..,0,0,0,0,0,..,121,3,125,5,128,..,21,0,19,0,19,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,5,0,5,..,0,0,0,0,0,..,12,4,16,0,16,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,16,3,27,0,27,..,17,0,17,0,17,..,4,0,7,0,7,..,20,0,20,0,20,..,4,0,4,0,4,..,48,0,50,0,50,..,3,0,3,0,3,..,5
RA45,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA49,..,0,0,0,0,0,..,34,5,40,0,40,..,5,0,5,0,5,..,10,0,10,0,10,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,6,0,6,0,6,..,4,3,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,20,0,20,..,20,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,11,0,11,..,18,0,18,0,18,..,0
RA50,..,3237,517,3764,19,3779,..,56991,14852,71845,654,72501,..,4298,554,4850,30,4882,..,8029,313,8348,116,8468,..,6805,208,7015,88,7103,..,3774,386,4163,44,4199,..,3392,242,3635,28,3665,..,8934,753,9691,81,9773,..,10611,600,11214,108,11323,..,4392,322,4712,58,4773,..,17963,1699,19670,260,19928,..,5643,287,5935,34,5969,..,7497,471,7967,89,8054,..,2450,144,2594,16,2610,..,60893,4517,65414,677,66089,..,20625,2253,22877,179,23064,..,4897,744,5639,55,5696,..,1120,409,1533,12,1540,..,4872,1664,6533,52,6584,..,5006,697,5707,33,5738,..,8382,491,8872,82,8958,..,6343,972,7318,58,7381,..,4765,444,5216,44,5259,..,6835,745,7578,98,7679,..,3171,339,3508,28,3540,..,721,70,788,10,795,..,4653,776,5430,29,5457,..,9730,257,9984,88,10076,..,10464,1010,11477,120,11593,..,13915,455,14369,104,14466,..,7181,559,7734,62,7799,..,41289,2279,43564,369,43934,..,10666,977,11645,134,11781,..,7777
RA51,..,21,5,28,0,31,..,840,293,1133,11,1146,..,74,4,75,0,75,..,490,18,504,8,512,..,737,20,752,14,762,..,129,8,136,4,138,..,51,4,55,0,55,..,84,13,92,0,92,..,132,10,141,0,141,..,92,6,98,0,97,..,274,27,302,3,302,..,95,9,106,0,106,..,130,4,139,4,142,..,37,0,36,0,36,..,898,77,970,5,976,..,1260,96,1359,20,1379,..,191,28,218,0,217,..,17,4,20,0,25,..,156,76,227,0,227,..,32,0,36,0,36,..,241,32,275,3,276,..,49,6,54,0,54,..,218,15,231,0,237,..,192,11,202,3,207,..,138,20,154,0,155,..,24,3,22,0,22,..,48,8,56,0,52,..,712,24,730,13,750,..,266,11,282,3,280,..,810,32,837,3,840,..,366,35,404,5,409,..,2152,103,2253,26,2281,..,416,16,434,5,441,..,86
RA52,..,22,7,29,0,29,..,600,196,795,9,803,..,51,0,54,0,54,..,299,16,316,0,319,..,532,24,551,6,564,..,64,7,73,9,73,..,43,0,48,0,48,..,82,14,95,0,95,..,200,12,208,0,208,..,73,4,77,3,78,..,202,9,214,5,221,..,73,7,80,0,80,..,115,13,126,4,127,..,36,4,43,0,43,..,822,69,893,6,903,..,565,49,613,11,622,..,75,12,78,0,78,..,18,0,19,0,19,..,45,21,59,0,65,..,84,10,89,0,89,..,294,20,312,3,319,..,74,7,84,0,84,..,112,5,116,0,121,..,116,7,129,3,128,..,72,8,72,0,76,..,69,3,73,3,72,..,29,0,29,0,29,..,862,23,890,12,902,..,261,18,275,0,276,..,972,30,1005,13,1016,..,613,148,760,11,770,..,2713,213,2928,43,2965,..,213,11,220,0,224,..,99
RA53,..,12,6,16,0,16,..,408,67,479,9,485,..,33,6,32,0,32,..,207,7,214,4,220,..,269,12,278,7,284,..,64,4,70,4,69,..,34,0,37,0,37,..,106,11,123,0,123,..,160,9,169,0,164,..,58,6,59,0,62,..,88,4,97,0,99,..,121,12,134,0,133,..,80,0,77,0,80,..,33,0,38,0,38,..,684,46,735,9,738,..,179,9,191,3,189,..,45,5,55,0,52,..,10,4,19,0,19,..,36,8,47,0,47,..,33,0,33,0,33,..,68,5,71,0,74,..,19,0,23,0,23,..,39,4,42,0,44,..,80,8,88,0,87,..,34,0,38,0,38,..,20,0,20,0,20,..,31,0,27,0,27,..,524,8,537,0,537,..,141,10,154,5,156,..,642,17,665,3,671,..,318,38,358,6,361,..,1635,74,1708,18,1732,..,239,15,252,5,254,..,56
RA54,..,8,4,10,0,10,..,274,44,324,4,330,..,60,10,73,0,73,..,179,4,183,0,186,..,142,9,150,0,150,..,27,0,31,0,35,..,23,5,23,0,25,..,20,0,20,0,20,..,52,0,52,3,55,..,15,0,17,0,17,..,61,3,58,0,58,..,46,0,46,0,46,..,34,0,36,0,36,..,11,0,11,0,11,..,251,9,258,3,263,..,125,13,141,0,138,..,36,8,44,0,43,..,8,3,11,0,11,..,35,7,40,0,41,..,20,0,20,0,20,..,72,0,73,0,73,..,22,0,24,0,24,..,26,3,32,0,32,..,93,13,107,0,110,..,17,6,24,0,24,..,21,0,20,0,22,..,21,0,26,0,26,..,208,5,213,7,224,..,106,6,114,0,114,..,268,8,279,4,286,..,97,19,114,0,118,..,686,43,731,16,743,..,207,7,216,0,219,..,35
RA55,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,26,0,22,0,25,..,0,0,0,0,0,..,0
RA59,..,0,0,0,0,0,..,27,8,32,0,32,..,5,0,5,0,5,..,47,0,50,0,50,..,31,0,31,0,31,..,3,0,3,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,23,..,29,0,39,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,4,0,4,..,3,0,3,0,3,..,6,0,8,0,8,..,4,0,4,0,4,..,10,0,10,0,10,..,10,0,10,0,10,..,0,0,5,0,5,..,0,0,0,0,0,..,7,0,8,0,8,..,9,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,31,0,33,0,33,..,46,0,44,0,44,..,4
RA61,..,138,32,170,0,171,..,7835,1049,8883,68,8952,..,173,25,194,0,194,..,563,17,584,3,588,..,873,24,901,17,919,..,909,102,1007,6,1015,..,619,26,645,0,642,..,664,28,694,4,699,..,1072,36,1111,5,1119,..,5570,902,6466,57,6526,..,2154,119,2270,21,2300,..,859,45,905,16,916,..,1150,67,1218,11,1234,..,147,10,160,0,157,..,12237,1226,13462,121,13590,..,738,58,805,6,810,..,395,32,434,8,440,..,72,0,69,0,73,..,497,112,611,0,607,..,19,4,22,0,22,..,497,30,530,5,534,..,358,89,450,0,453,..,451,52,502,3,512,..,391,23,419,4,415,..,241,26,265,3,265,..,33,0,32,3,34,..,104,16,120,3,121,..,433,8,442,3,447,..,305,17,318,4,325,..,583,17,607,3,613,..,228,6,233,0,229,..,1552,46,1598,17,1615,..,1141,79,1217,10,1227,..,379
