RA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
RA23,0,52,0,54,8,163,22,193,0,61,4,72,0,45,4,53,5,120,10,131,8,142,21,172,6,152,11,167,31,286,29,339,14,281,30,324,20,128,12,159,21,34,7,63,121,1462,145,1728,0,67,5,66,0,146,24,175,3,45,7,54,0,34,4,37,3,115,3,125,11,142,14,170,10,141,18,166,23,272,15,320,19,210,16,239,21,127,16,158,19,44,15,71,114,1338,126,1579,0,116,6,123,18,313,38,369,4,107,12,122,6,75,6,89,8,238,14,258,17,287,33,342,18,289,32,335,55,560,42,657,36,488,39,566,37,251,28,311,38,74,20,133,234,2802,271,3305
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,3,7,10,0,0,0,4,0,0,0,0,0,0,0,0,0,11,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,16,0,0,3,3,0,6,9,14,0,0,0,4,0,0,0,0,0,0,0,0,0,13,27,38
RA29,6,129,88,222,37,179,152,370,15,129,87,234,20,214,120,345,24,527,382,939,42,449,519,1008,63,397,458,912,46,315,283,644,21,232,134,392,12,61,25,90,4,3,8,15,287,2640,2243,5170,3,117,66,189,21,192,146,361,9,139,83,229,9,223,96,321,33,548,301,878,48,342,337,730,58,238,185,479,33,285,112,429,15,142,61,224,14,45,5,58,7,9,8,19,252,2271,1398,3915,11,247,154,414,59,373,301,730,27,267,173,459,27,431,208,671,59,1075,684,1819,90,791,858,1736,116,638,637,1393,78,599,397,1074,38,380,194,613,25,102,27,152,9,10,11,29,536,4909,3641,9089
RA30,1930,92484,5123,99545,14500,196378,11254,222131,4753,94636,4862,104246,3258,101505,6776,111539,4938,214363,15914,235209,5010,209363,13284,227650,6567,193716,11469,211755,9230,158193,8694,176122,13384,119374,6664,139422,15131,57578,4100,76805,10247,11309,2133,23683,88949,1448892,90277,1628118,1088,87743,4758,93589,7252,192458,10521,210229,2996,92522,4628,100150,2408,103878,6119,112406,4697,228148,14068,246916,5362,224331,11639,241334,8125,207405,9380,224915,10876,172626,7706,191204,14889,134103,6405,155397,20196,63376,4930,88507,20806,13638,3938,38383,98689,1520229,84102,1703021,3024,180230,9877,193133,21749,388835,21777,432357,7748,187154,9491,204395,5667,205380,12895,223940,9631,442506,29983,482124,10364,433693,24925,468983,14697,401121,20846,436674,20105,330817,16401,367325,28273,253476,13067,294820,35325,120952,9032,165311,31057,24944,6070,62072,187636,2969121,174376,3331137
RA31,580,24526,1712,26815,5145,57114,4267,66532,1819,27127,2088,31037,1262,22405,2443,26108,1831,46628,6059,54517,1955,47837,5744,55532,2930,53344,5664,61935,4979,56980,4932,66894,7196,50633,3649,61475,6606,24538,2097,33236,3760,4454,845,9055,38064,415584,39495,493146,331,23451,1556,25337,2718,56491,4001,63208,1241,26004,1755,29000,769,22370,1793,24933,1407,50707,3958,56068,1926,53314,3775,59020,3270,58312,3974,65562,5211,61864,3803,70886,6477,52579,3294,62347,7812,24893,2263,34973,7022,4978,1329,13324,38180,434973,31504,504663,911,47979,3267,52153,7866,113601,8276,129745,3060,53131,3840,60040,2033,44777,4230,51039,3237,97336,10013,110592,3878,101155,9520,114549,6205,111654,9638,127493,10194,118848,8740,137784,13674,103211,6946,123830,14419,49431,4358,68209,10780,9429,2167,22375,76247,850557,70999,997806
RA32,344,17620,1640,19602,2734,40211,4245,47186,917,18353,2058,21332,576,17046,3133,20756,929,36244,6603,43772,1122,35526,5675,42321,1714,38642,5450,45799,2828,38570,4747,46147,3762,30316,3168,37249,3436,13013,1599,18042,1913,2220,530,4663,20265,287762,38848,346876,211,16614,1598,18421,1271,39075,3865,44206,543,17952,1789,20283,387,16647,2017,19055,763,38693,4741,44196,1049,39550,4013,44603,1838,40612,3902,46347,2761,39206,3365,45335,3326,28855,2427,34606,4094,12416,1465,17979,3463,2382,761,6600,19700,291996,29936,341633,553,34237,3237,38032,4004,79281,8107,91394,1458,36305,3850,41613,962,33686,5153,39805,1688,74938,11345,87970,2166,75074,9683,86925,3549,79255,9345,92148,5592,77775,8108,91486,7086,59169,5594,71853,7529,25425,3071,36024,5371,4597,1291,11258,39967,579756,68782,688508
RA33,27,2228,243,2498,163,4333,498,4993,44,1723,233,1997,42,1794,388,2225,61,4329,971,5363,67,3732,724,4527,112,3990,806,4905,226,4263,741,5234,322,2944,455,3714,258,1236,187,1678,143,154,61,358,1467,30727,5312,37500,14,2087,213,2319,87,4110,429,4619,26,1532,185,1747,26,1822,278,2126,47,4526,619,5195,58,3750,518,4322,126,3742,482,4345,211,3625,507,4346,249,2397,302,2952,270,988,160,1414,207,180,64,459,1324,28764,3761,33851,39,4317,458,4815,246,8444,922,9618,74,3258,417,3749,66,3624,672,4358,106,8855,1597,10558,128,7479,1239,8851,234,7729,1289,9252,441,7886,1252,9574,569,5342,760,6674,529,2221,354,3097,355,336,123,817,2793,59493,9068,71351
RA34,19,1712,234,1964,119,3461,437,4017,23,1436,175,1630,25,1530,258,1811,44,3196,628,3865,34,2616,458,3115,71,2802,484,3362,151,2804,510,3464,205,1808,263,2277,177,685,153,1016,94,101,37,231,956,22148,3642,26748,6,1667,183,1856,53,3337,415,3806,16,1325,173,1517,12,1586,238,1838,25,3433,453,3915,48,2833,377,3253,74,2760,392,3229,177,2622,396,3192,193,1497,199,1885,203,588,103,893,155,137,48,333,973,21783,2978,25733,26,3381,416,3819,174,6795,849,7823,41,2760,345,3147,35,3114,497,3652,68,6628,1077,7783,81,5453,838,6369,147,5562,877,6589,324,5425,906,6658,398,3304,462,4165,384,1269,253,1912,253,232,83,574,1933,43926,6621,52481
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,14,24,37,0,11,42,55,0,16,29,42,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,43,110,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,13,13,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16,0,13,37,49,0,11,50,64,0,16,32,45,0,0,8,5,0,0,0,3,0,0,0,0,0,0,0,0,3,44,130,183
RA39,4,236,36,277,42,372,67,478,21,187,67,272,21,273,147,444,37,872,390,1301,45,698,453,1194,45,611,391,1042,92,897,306,1297,98,956,204,1253,23,220,38,283,5,9,5,23,421,5326,2113,7861,6,190,33,229,20,376,63,457,18,218,55,291,11,348,125,493,31,949,364,1345,34,589,260,885,60,610,218,887,85,890,193,1170,62,702,107,870,23,118,17,160,9,7,3,25,371,4993,1442,6807,8,420,77,504,62,745,129,932,37,403,123,566,33,623,273,934,69,1821,753,2649,80,1284,715,2077,106,1221,608,1929,178,1791,503,2468,161,1654,310,2124,45,340,62,444,19,16,11,44,793,10318,3558,14670
RA40,858,35074,1385,37315,6116,71486,3130,80737,1929,35454,1441,38823,1378,42089,1921,45388,2048,88048,4482,94580,2229,82180,4038,88452,3074,76404,3563,83040,4475,70168,3120,77760,6019,55265,2245,63520,6581,27472,1500,35551,5987,6667,783,13441,40687,590294,27620,658606,520,33300,1380,35199,2902,70899,2825,76626,1185,34208,1295,36691,897,40839,1665,43410,1886,89346,3783,95017,2347,85530,3269,91148,3606,79054,2891,85549,5263,75868,2670,83803,6891,62974,2377,72241,10170,31728,1851,43752,12637,8185,1351,22172,48315,611929,25350,685593,1379,68369,2765,72513,9021,142390,5956,157365,3112,69666,2733,75510,2280,82930,3588,88794,3936,177392,8263,189595,4579,167711,7303,179592,6679,155456,6454,168590,9734,146035,5788,161563,12909,118240,4619,135765,16747,59200,3351,79299,18623,14845,2140,35608,88999,1202229,52970,1344200
RA41,105,3861,197,4163,800,9114,585,10500,270,4393,257,4923,141,3697,309,4145,239,7185,647,8073,256,8028,713,8992,411,10055,745,11210,690,11689,760,13132,1018,11096,613,12720,1073,5661,366,7104,753,1114,133,1998,5758,75890,5317,86964,45,3716,219,3982,429,8945,510,9880,175,4357,263,4796,114,3508,183,3800,212,7516,442,8164,236,8716,453,9408,461,10557,628,11646,752,12235,642,13633,1020,11399,610,13027,1276,5570,348,7190,1504,1119,194,2813,6229,77629,4482,88342,151,7576,411,8144,1232,18057,1090,20380,448,8746,517,9716,253,7205,490,7952,450,14700,1087,16241,486,16745,1166,18405,871,20607,1377,22857,1449,23919,1397,26765,2039,22489,1220,25754,2349,11227,717,14290,2253,2235,324,4816,11981,153523,9805,175307
RA42,103,4698,360,5165,806,10474,867,12146,297,5029,430,5756,217,4437,482,5138,350,9583,1268,11199,335,9164,1244,10741,591,10945,1154,12695,996,13069,1100,15160,1351,11803,926,14075,1245,5545,525,7314,832,1193,208,2229,7125,85930,8574,101624,48,4567,351,4966,387,10311,854,11550,176,4541,361,5085,152,4013,299,4463,276,9683,712,10675,316,9661,772,10754,616,11267,773,12654,989,12897,871,14754,1187,11370,756,13313,1642,5826,592,8055,1663,1360,338,3364,7450,85499,6689,99636,151,9271,709,10135,1189,20788,1725,23701,479,9573,790,10840,369,8449,779,9595,622,19265,1981,21873,659,18823,2021,21495,1206,22209,1933,25351,1986,25959,1968,29912,2543,23173,1681,27394,2880,11373,1116,15370,2492,2550,553,5592,14574,171423,15258,201259
RA43,20,1146,90,1258,145,2476,207,2825,40,1009,101,1145,35,855,90,979,47,2234,249,2534,34,2252,294,2580,68,2446,330,2845,145,2910,281,3332,223,2456,202,2881,204,1184,132,1523,167,238,42,445,1131,19204,2024,22358,12,1143,75,1229,67,2334,208,2612,26,895,82,1002,17,804,77,895,46,2263,182,2490,42,2237,170,2449,68,2428,204,2699,162,2756,195,3119,184,2315,188,2686,221,1107,103,1429,301,261,58,622,1156,18543,1537,21242,39,2289,164,2491,211,4806,417,5438,69,1899,183,2149,52,1653,166,1874,92,4501,431,5027,78,4489,462,5028,141,4874,531,5550,308,5669,480,6454,412,4771,389,5567,423,2294,236,2957,467,499,105,1066,2289,37746,3564,43592
RA44,0,324,37,369,29,742,118,882,6,349,51,403,6,333,60,393,15,819,136,966,8,716,99,817,21,787,136,936,52,889,105,1053,68,685,84,841,68,286,45,398,32,48,20,106,296,5975,894,7163,6,381,52,439,15,746,111,875,3,314,37,357,9,309,37,354,3,834,132,972,19,683,84,783,24,758,100,881,41,739,96,874,63,537,69,669,51,197,31,277,53,50,21,120,287,5544,776,6607,11,707,90,805,38,1486,226,1756,7,663,87,758,11,640,99,750,18,1648,272,1938,24,1398,183,1601,42,1542,229,1819,99,1625,206,1932,134,1221,160,1511,114,486,76,678,87,100,41,229,582,11523,1665,13768
