RA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4,6,0,0,0,0,8,0,0,3,27,6,4,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,4,7,0,9,0,0,9,36,17,11,5,0,0,87,0,0,0,4,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,5,3,0,0,18
RA30,7,182,198,549,316,204,91,29,10,1580,29,322,284,2235,843,591,513,384,117,5330,7,105,153,1215,441,537,1014,950,540,4966,54,347,534,1008,588,291,211,75,13,3122,55,551,823,4210,1244,522,215,97,20,7731,3,19,32,221,156,181,114,76,14,817,39,306,726,2292,999,927,645,311,62,6309,0,5,10,32,32,131,265,247,57,781,0,6,48,220,90,121,139,69,12,702,0,58,242,871,269,158,120,58,18,1798,10,95,947,2975,162,57,31,6,0,4281,11,95,114,468,491,554,1330,1041,352,4462,608,5257,9741,26514,14974,12154,8317,3546,748,81859,0,3,14,123,76,113,106,53,16,503,31,344,390,1738,342,177,85,17,7,3137,17,164,545,1058,1277,912,431,148,48,4597,84,934,1700,4979,2078,1061,478,121,45,11482,3,36,49,581,278,315,449,191,89,1993,8,185,338,1279,828,852,509,149,24,4171,20,248,429,1444,1411,1761,1656,1149,334,8447
RA31,45,372,262,269,125,30,18,4,0,1131,3,43,39,182,111,107,117,112,29,738,5,5,11,95,38,85,200,134,86,659,8,21,32,79,18,11,21,0,0,195,0,40,43,325,26,9,7,0,0,458,0,0,0,8,5,6,14,9,0,40,0,19,40,242,97,104,55,16,4,585,0,6,7,7,12,50,117,97,32,322,0,0,0,21,7,18,20,8,0,80,0,6,8,145,22,17,6,8,0,217,8,18,80,509,28,13,4,0,0,661,0,9,29,78,123,206,546,441,129,1557,57,411,759,2507,2292,2443,2450,989,158,12074,0,0,0,0,4,4,0,0,0,16,0,34,41,148,30,19,7,0,0,274,0,33,83,194,226,169,88,8,9,802,49,426,551,1364,511,165,46,13,0,3131,0,5,0,28,16,39,68,32,9,200,0,4,13,64,21,17,13,3,0,140,0,26,36,159,198,337,502,336,88,1679
RA32,0,6,0,15,5,3,4,3,0,33,0,31,34,211,96,92,99,49,14,618,0,17,28,259,59,135,348,355,275,1481,10,69,67,155,151,54,25,10,4,540,3,52,45,414,75,26,7,0,0,627,0,0,0,4,4,5,7,0,0,29,5,21,40,182,83,112,38,16,5,504,0,0,0,3,11,33,69,43,7,161,0,7,7,21,8,21,13,0,6,92,0,5,13,102,25,20,8,3,0,171,8,70,104,311,13,11,0,0,0,511,0,14,14,97,84,133,293,189,47,877,42,293,479,1912,1564,1722,1449,507,63,8029,0,0,0,6,3,3,5,4,0,24,0,16,15,79,13,13,3,4,0,141,0,149,272,447,374,262,136,20,9,1667,24,251,380,767,419,154,59,7,0,2074,0,4,0,63,33,34,54,16,0,214,0,3,14,87,20,23,16,3,0,165,0,22,35,162,143,271,277,148,40,1107
RA33,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,4,10,0,41,0,5,0,6,5,3,19,16,15,69,0,0,0,3,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,19,3,0,0,0,0,27,0,0,0,0,0,0,5,3,0,11,0,0,0,5,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,29,0,0,0,8,9,3,23,9,0,52,6,50,84,258,154,183,104,29,3,882,0,0,0,0,0,0,0,0,0,0,4,5,0,18,0,0,0,0,0,25,0,6,15,40,23,12,9,0,0,108,0,32,50,113,48,28,3,0,0,278,0,0,0,5,0,0,0,0,0,3,0,0,0,28,3,3,4,0,0,39,0,3,0,6,6,15,15,11,0,56
RA34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,15,0,0,0,3,3,4,6,0,3,20,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,15,11,0,36,0,8,17,87,60,75,63,18,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,7,11,35,29,43,18,0,0,136,0,3,5,18,15,6,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,4,0,3,3,12,6,3,4,35
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,7,3,0,0,25,0,0,4,18,0,0,3,3,0,32,0,0,6,9,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,14,3,0,35,0,6,13,80,46,61,87,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,10,0,9,3,3,6,0,0,0,0,22,0,0,5,10,10,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,9,6,3,0,34
RA40,0,46,98,338,183,113,48,18,0,854,0,94,64,375,222,233,230,171,90,1478,3,44,62,454,320,935,2238,2129,1285,7466,5,62,73,145,86,18,30,10,0,430,20,129,314,808,276,101,19,6,4,1673,3,42,50,203,164,181,151,76,28,891,30,300,590,1428,504,330,377,193,37,3784,0,6,0,21,21,91,234,149,55,576,0,4,12,46,26,9,6,8,5,124,10,59,213,562,150,59,26,7,4,1089,9,218,775,2436,111,24,27,3,0,3599,0,24,50,137,150,247,795,585,152,2140,34,227,384,1412,979,911,718,262,46,4973,0,0,5,25,19,30,44,23,14,155,50,502,541,1583,235,89,37,17,4,3059,8,15,32,95,160,73,36,9,3,424,25,360,798,2036,806,420,154,33,12,4646,5,18,31,415,268,383,548,185,108,1962,0,3,9,18,17,6,7,0,0,63,7,77,158,514,564,1145,1042,665,224,4398
RA41,0,0,0,0,0,0,0,0,0,4,0,4,11,13,17,20,25,18,3,120,0,0,0,20,16,30,92,99,31,291,0,0,0,5,4,0,3,0,0,11,0,4,10,12,5,0,0,0,0,25,0,0,0,4,5,5,0,0,0,11,0,0,5,19,10,14,10,0,0,60,0,0,0,0,0,10,17,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,6,0,0,0,16,0,0,0,0,0,19,0,0,0,9,23,57,191,109,24,415,3,23,34,129,159,171,133,70,6,728,0,0,0,0,0,0,4,0,0,5,0,0,0,14,0,0,0,0,0,15,0,0,0,8,17,16,3,6,0,47,0,59,77,131,54,18,11,0,3,353,0,0,0,9,13,11,17,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,18,29,41,119,182,99,24,524
