RA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA23,0,0,0,3,0,4,0,0,7,0,0,0,0,0,3,0,0,6,12,26,17,17,38,39,18,0,163,0,8,11,5,8,6,3,3,48,7,10,29,19,28,12,0,0,115,0,3,0,3,0,0,0,0,10,0,0,5,6,8,3,0,0,26,0,13,5,0,9,9,0,0,25,0,4,3,0,4,15,4,0,33,0,0,4,0,4,3,0,0,12,7,3,4,5,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,11,12,8,19,17,37,34,23,13,172,32,85,101,85,158,136,47,23,667,0,0,0,0,5,3,0,0,11,0,0,0,3,5,3,0,0,9,0,4,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,9,10,0,3,0,0,31,6,22,27,16,41,22,7,0,139,0,22,12,10,31,25,14,0,113,0,4
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,6,16,3,9,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,9,0,14,7,5,0,0,34,5,25,24,15,7,0,0,0,66,20,97,68,71,59,49,17,0,378,21,33,38,33,22,21,0,0,165,8,14,8,15,0,6,0,0,52,8,27,19,10,3,0,0,0,69,0,5,3,5,6,11,0,0,37,19,52,51,33,37,20,0,0,214,12,47,19,18,23,14,0,0,141,13,13,25,11,7,4,0,0,80,8,24,21,12,13,0,0,0,86,0,0,3,0,0,0,0,0,4,3,15,8,3,4,0,0,0,38,219,393,534,479,290,135,28,11,2085,331,753,829,723,477,267,55,9,3447,4,18,10,12,0,0,0,0,40,0,13,8,5,3,4,0,0,29,5,11,11,8,3,0,0,0,34,0,5,5,6,4,0,0,0,12,6,9,7,8,6,0,0,0,36,16,70,35,37,41,21,0,0,211,5,22,27,19,27,8,4,0,115,19,78
RA30,2135,4858,4795,4422,3420,2951,1395,304,24277,3639,10528,13674,8248,3878,1476,274,20,41741,12611,38027,39669,37901,36552,28701,15257,3943,212657,6692,19240,18663,16822,13494,9838,4998,1336,91084,1160,2876,3584,3760,2832,1675,882,206,16961,3066,11718,10383,9132,6807,4250,2014,574,47938,847,4240,5202,5550,5363,5072,2534,513,29320,12580,29682,34407,30038,20717,13741,5531,1148,147839,8247,15862,14282,13088,9254,7034,2900,596,71250,4841,8631,6190,3836,2257,1487,587,172,28006,4568,8361,7739,6127,3692,2114,993,201,33794,603,299,160,121,99,91,53,19,1448,1076,2241,2898,2789,1980,1306,661,225,13181,13859,19479,16997,14667,11148,9312,7383,4133,96979,75932,176039,178632,156495,121500,89042,45467,13375,856479,2748,5870,6047,4292,2742,1680,550,127,24061,815,3233,3766,2451,1412,598,114,3,12396,1602,4891,4606,3124,2247,1278,717,339,18801,1023,3313,2712,1843,947,448,133,30,10457,804,1903,1957,1417,916,421,117,29,7551,12494,35779,30516,25888,21836,13606,6166,1929,148214,4078,16707,21759,22251,17644,14145,5884,1331,103798,17494,46844
RA31,193,489,586,716,708,732,325,66,3817,507,1102,1176,800,643,395,79,3,4710,4525,12240,12959,13431,14669,12849,5980,1260,77908,1678,4419,4386,4625,5086,4389,1925,386,26892,672,1188,1590,1992,1778,1147,532,113,9015,474,1889,2000,2074,1990,1444,543,119,10541,174,901,1448,1811,2001,1995,912,155,9388,1754,3305,4060,4555,4167,3223,1097,204,22364,1478,2302,2289,2524,2292,1928,726,140,13683,434,715,601,561,458,473,182,40,3458,1155,1880,1831,1572,1310,956,363,63,9125,158,62,32,28,29,45,17,6,369,322,569,694,839,777,535,257,65,4053,5181,5883,6148,6674,6233,5309,3943,1651,41022,18697,36936,39791,42210,42137,35412,16901,4285,236355,243,659,900,861,664,411,164,34,3931,120,324,332,342,295,182,42,3,1647,390,931,841,821,701,406,220,72,4389,133,312,293,287,198,87,34,5,1343,572,810,938,808,629,259,72,12,4096,2699,7513,6832,7025,7612,5398,2312,617,40006,1098,4191,6410,6650,6159,4837,1912,386,31648,3731,8701
RA32,134,620,626,672,585,511,226,18,3392,335,791,726,473,320,176,28,5,2839,3398,9375,9512,9858,9850,7331,3059,603,52988,939,3002,2950,3156,3235,2581,1121,218,17205,451,906,1221,1328,1159,641,262,42,6000,393,1615,1492,1516,1280,757,273,70,7398,197,818,993,1107,1139,1061,374,64,5762,936,2432,2931,3048,2658,1701,554,88,14340,919,2048,1746,1850,1476,1017,385,51,9490,254,512,434,359,337,270,80,12,2255,828,1534,1547,1417,1022,619,194,27,7186,102,44,19,16,21,24,8,0,231,215,443,535,544,511,295,127,29,2703,5742,6785,6082,6156,5671,4297,2573,896,38199,14846,30918,30811,31486,29264,21277,9261,2124,169989,228,897,842,690,493,284,98,17,3553,62,202,248,204,164,86,22,0,976,343,788,686,582,418,210,131,38,3191,57,269,234,182,105,56,10,3,925,354,650,765,526,407,131,34,4,2874,1942,5918,4942,4765,4563,2879,1129,262,26412,928,3378,4357,4506,3691,2705,941,192,20692,2329,6533
RA33,7,42,45,34,35,27,16,0,207,20,55,37,16,15,13,4,0,161,403,1313,1104,987,1050,605,212,25,5693,85,328,234,225,228,194,79,9,1378,101,175,230,249,162,81,15,3,1026,35,110,82,87,87,55,15,3,467,25,69,74,71,93,65,20,3,416,75,214,204,154,183,81,19,3,942,52,143,92,85,89,58,20,0,543,14,32,14,12,28,19,8,0,125,79,189,139,140,98,48,14,3,701,8,7,0,4,4,4,0,0,24,16,26,32,48,34,20,15,0,181,761,1073,850,937,880,601,280,92,5475,1674,3768,3144,3049,2986,1859,718,135,17338,11,68,55,48,34,25,8,0,245,7,14,19,12,6,3,0,0,71,55,126,89,54,46,18,9,5,392,8,33,22,8,8,3,0,0,82,68,142,121,83,43,19,4,0,485,167,514,429,345,400,208,68,17,2158,159,489,416,374,306,193,68,14,2017,258,687
RA34,3,26,26,15,16,5,8,0,104,9,13,13,4,14,5,0,0,62,290,747,556,494,466,268,72,14,2907,116,305,258,229,172,106,28,6,1224,109,149,146,163,147,71,20,7,818,21,65,69,85,83,30,6,0,360,13,88,76,64,56,31,7,0,325,53,131,117,130,124,66,8,0,627,41,113,94,88,74,35,13,3,466,10,26,19,18,12,7,4,0,95,42,102,67,63,54,35,6,0,355,3,4,0,0,0,0,0,0,18,14,25,19,22,19,15,0,0,115,616,751,589,626,648,363,220,60,3870,1345,2548,2041,2006,1875,1037,389,84,11331,14,25,34,27,16,10,0,0,123,3,9,4,9,6,3,0,0,29,29,64,39,27,29,9,0,0,199,5,9,9,9,4,0,0,0,35,116,117,79,78,41,7,0,0,447,124,327,266,294,322,145,41,11,1528,148,442,324,279,264,110,30,8,1596,220,474
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,49,28,3,0,0,0,113,4,35,55,43,3,3,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,4,15,15,7,14,19,0,0,84,0,24,19,14,22,5,0,0,87,40,133,129,122,216,248,43,0,925,8,72,64,56,91,86,19,0,393,3,24,23,12,20,12,10,0,103,6,31,16,27,20,20,3,0,130,0,9,6,6,27,40,3,0,94,23,90,52,47,83,69,15,0,383,12,57,39,27,31,29,10,0,207,5,37,30,0,10,7,0,0,93,20,34,28,18,24,24,0,0,150,0,5,0,0,0,4,0,0,8,0,11,15,7,10,12,3,0,65,238,426,481,421,331,240,50,5,2190,371,967,917,770,911,815,158,11,4920,8,34,17,5,8,5,0,0,74,0,7,9,6,7,4,0,0,34,4,26,11,16,13,3,0,0,72,5,12,5,4,11,5,0,0,32,15,21,19,13,6,3,0,0,69,33,106,63,65,117,67,11,0,470,6,51,24,40,75,50,10,3,248,59,178
RA40,748,2216,2337,2214,1815,1762,858,197,12141,1570,4647,5357,2695,1555,723,105,8,16668,4464,15573,14942,15275,15165,12871,6904,2208,87402,2517,6881,4931,4519,3936,3072,1852,614,28320,502,1465,1506,1471,1205,754,290,89,7282,1262,4719,4194,3551,3074,2168,1009,295,20268,410,2354,2126,2042,2386,3152,1424,251,14146,3319,11859,13626,11269,8602,6036,2480,657,57849,2481,6502,6176,5264,4486,3767,1540,338,30541,1641,3093,2526,1530,1071,746,289,70,10968,1310,3416,2845,2057,1497,875,388,97,12485,92,81,49,40,49,31,10,7,363,365,1038,1191,1081,794,614,335,117,5537,3943,5597,5219,4704,4090,3447,2882,1737,31619,24624,69432,67026,57717,49732,40015,20352,6690,335594,981,2624,2715,1871,1293,881,299,85,10755,345,1812,1628,875,496,249,56,7,5463,510,1898,1648,1187,872,584,436,251,7385,365,1316,917,675,389,228,65,13,3958,455,928,826,632,432,169,47,10,3504,4535,15497,12770,10629,10445,7135,2917,1084,65016,1635,7330,7325,6741,6593,6790,2991,733,40122,4432,16538
RA41,48,119,201,246,207,275,118,8,1220,70,130,183,133,137,87,15,0,755,580,1685,1870,2290,2652,2458,1266,284,13084,280,690,619,650,720,577,323,69,3928,195,376,501,581,552,371,134,23,2739,68,171,229,275,389,329,123,38,1619,28,171,222,238,339,611,263,36,1906,117,442,690,911,953,913,391,58,4471,184,331,400,463,546,550,252,36,2772,114,148,145,136,132,108,38,12,822,137,302,346,318,261,211,54,9,1649,7,6,5,6,7,3,6,0,38,33,90,113,137,120,120,55,24,682,729,651,751,916,968,926,702,312,5959,2593,5314,6271,7299,7981,7533,3740,915,41643,63,140,199,205,145,118,40,9,925,13,30,52,47,54,57,3,0,253,49,101,120,159,121,72,68,25,712,32,64,61,52,47,37,16,5,305,154,211,293,244,192,96,23,3,1215,389,1042,1167,1386,1878,1485,551,157,8054,161,710,849,886,999,1264,502,95,5466,304,1090
RA42,9,70,91,100,123,144,39,9,586,54,163,129,89,67,42,6,0,552,852,2299,2094,2464,2778,2439,1071,241,14239,313,805,543,523,647,552,281,54,3725,265,534,699,737,568,392,133,31,3359,62,228,227,288,317,254,72,17,1466,38,298,231,248,284,379,143,13,1627,199,559,657,711,677,571,194,42,3609,148,408,379,359,375,321,92,16,2099,63,84,66,54,66,57,25,9,430,167,351,347,296,258,156,65,22,1664,0,7,13,8,4,5,11,5,52,37,92,101,99,128,97,34,14,600,1063,1140,1118,1261,1431,1342,986,365,8703,3268,7051,6706,7238,7718,6757,3155,836,42730,13,92,126,92,91,51,12,6,489,12,55,40,41,28,21,3,0,195,30,95,103,134,90,63,40,26,588,15,31,37,52,24,12,0,0,165,143,246,255,218,158,59,4,0,1092,401,1324,1150,1192,1767,1201,461,135,7638,323,1033,1070,979,845,870,418,80,5619,437,1425
RA43,4,23,37,15,24,36,15,0,152,6,27,23,11,11,6,0,0,90,153,542,591,599,602,463,201,45,3195,69,264,177,148,179,137,63,15,1049,70,171,197,203,139,98,27,8,916,17,58,44,59,65,43,19,5,298,14,73,58,60,58,85,34,4,375,39,118,151,142,149,108,38,10,753,36,82,71,60,105,68,25,5,449,9,24,17,19,14,22,5,0,118,38,91,76,82,63,29,13,0,398,0,3,0,0,0,0,0,0,3,0,17,37,28,33,19,8,0,143,226,278,308,343,354,295,208,83,2102,682,1790,1784,1767,1799,1399,655,173,10048,4,39,33,24,22,21,3,0,147,4,14,8,19,4,5,0,0,49,17,54,33,25,23,11,3,3,172,0,12,13,8,6,6,0,0,55,34,63,93,54,30,18,0,0,291,97,310,258,307,396,266,96,27,1761,71,269,273,223,221,233,101,32,1424,84,347
RA44,0,7,4,4,6,4,0,0,27,0,9,4,4,4,0,0,0,15,43,149,122,130,142,135,36,7,762,8,55,40,49,55,30,19,0,257,26,32,42,30,29,18,6,0,180,4,14,16,13,25,14,0,0,83,0,31,31,24,32,27,6,0,143,11,36,33,33,25,20,4,0,164,13,24,24,19,27,21,5,0,124,3,12,12,7,16,8,5,0,53,11,21,26,29,19,14,0,0,116,0,7,0,0,0,0,0,0,8,3,7,3,5,8,6,0,0,40,151,178,126,154,144,122,75,27,973,269,571,481,506,523,414,151,44,2955,0,6,3,9,0,0,0,0,25,0,7,8,0,0,0,0,0,15,0,8,7,10,7,0,0,0,38,0,0,3,0,0,0,0,0,6,13,18,21,19,8,6,0,0,88,21,91,46,42,94,54,20,3,378,24,109,83,93,78,47,16,3,450,11,84
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,4,4,0,3,11,4,0,0,23,0,7,4,0,0,0,0,0,12,11,37,37,24,45,39,6,0,205,8,12,7,12,11,7,0,0,60,0,12,4,0,5,4,0,0,32,0,6,4,6,3,7,0,0,29,0,0,3,3,4,0,0,0,11,5,18,11,20,15,13,4,0,78,3,14,7,10,9,10,0,0,53,0,9,3,4,8,0,0,0,27,0,15,3,9,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,9,43,97,98,104,113,48,5,0,510,78,225,187,202,224,138,21,0,1081,0,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,0,4,5,0,0,0,0,0,14,0,0,5,0,3,0,0,0,13,0,4,0,0,0,0,0,0,0,7,30,12,12,19,16,0,0,106,0,6,3,9,14,6,0,0,39,15,32
RA50,1651,4044,4183,3923,3301,2534,1139,221,20999,2298,5527,7848,4311,2176,837,165,7,23167,9153,32770,34575,30412,27861,21274,9805,2529,168372,3363,10575,9494,8077,7061,5380,2760,837,47543,649,1768,2192,1998,1625,1088,572,159,10055,1741,6471,6085,5184,3977,2522,1246,345,27574,681,2761,2912,3023,3433,3133,1513,386,17840,6435,15751,20281,16975,12390,8423,3547,756,84560,4118,8152,7718,6828,5283,4153,1708,357,38316,2966,4229,3384,1993,1289,977,342,84,15271,1980,4775,4887,3353,2395,1311,625,118,19431,328,159,80,67,67,58,35,12,814,573,1580,1878,1726,1256,792,454,135,8390,7400,12778,12218,10351,7965,5640,4484,2691,63523,43325,111328,117728,98216,80082,58124,28395,8650,545854,2272,5201,5183,3649,2300,1207,390,102,20310,424,2125,2547,1376,891,325,67,7,7760,1125,4293,4065,2360,1492,893,457,283,14969,500,2028,1636,1051,654,293,74,22,6251,599,1614,1722,1094,674,280,73,29,6085,7138,22873,19322,15273,13317,8806,4122,1341,92185,3533,11721,13618,13911,11986,8873,3698,988,68325,8446,26501
RA51,53,141,255,256,229,240,95,11,1289,187,247,260,161,114,62,14,0,1048,1181,2948,3516,3817,3797,2984,1212,236,19687,407,1117,1087,1041,1140,881,373,95,6133,163,293,476,507,448,357,160,45,2456,77,263,398,466,472,312,145,34,2170,66,174,310,417,497,520,204,28,2212,348,601,821,992,911,747,311,47,4780,252,357,413,413,417,376,153,36,2412,144,156,167,142,121,126,47,7,912,195,399,491,456,337,207,76,8,2172,33,17,3,6,12,10,4,0,93,53,103,159,193,160,115,46,11,845,1222,1602,1675,1864,1555,1231,788,330,10273,4385,8422,10042,10733,10221,8161,3625,890,56490,54,228,345,312,206,116,30,5,1290,15,52,86,73,69,38,8,0,345,112,250,267,207,131,87,46,23,1124,24,101,117,111,62,20,9,0,449,152,233,369,302,197,78,22,0,1353,588,1442,1729,1611,1854,1341,584,167,9326,350,1001,1642,1793,1598,1196,435,94,8110,790,1914
RA52,58,148,183,179,148,148,62,15,939,101,170,130,96,72,45,7,0,622,961,2733,2538,2639,2667,1964,790,182,14469,291,811,645,605,687,587,257,64,3950,268,390,511,615,567,441,172,45,3010,68,243,274,336,313,215,80,19,1539,26,160,233,330,369,359,100,21,1600,249,390,584,601,620,451,165,43,3099,164,278,318,335,348,299,95,21,1864,81,115,117,82,78,78,35,3,590,112,289,286,277,245,125,79,10,1424,29,17,7,0,7,3,0,4,67,42,76,111,114,118,86,42,5,591,1156,1359,1417,1559,1515,1306,829,327,9470,3603,7182,7353,7769,7757,6103,2721,754,43232,58,187,255,184,132,73,13,0,918,16,44,73,55,43,35,9,0,265,78,190,145,119,97,53,40,21,746,11,54,70,57,41,26,3,0,255,184,297,329,288,215,87,15,5,1415,534,1265,1174,1220,1326,1007,477,142,7152,266,872,1196,1350,1254,903,343,76,6258,636,1375
RA53,16,65,77,55,36,26,7,0,282,35,59,76,30,22,7,0,0,229,502,1859,1963,1510,1120,549,154,33,7679,107,502,454,322,284,127,49,5,1856,101,169,273,244,199,109,56,12,1164,22,129,145,129,112,48,13,4,601,15,110,151,151,116,63,26,6,636,99,316,443,361,209,108,35,7,1574,52,162,190,145,127,55,23,5,754,30,75,54,27,14,21,0,0,224,49,132,148,130,103,40,5,0,616,12,0,3,4,4,0,0,0,25,27,63,89,73,60,26,9,6,353,845,1220,1217,1138,991,542,249,72,6276,1909,4853,5282,4329,3400,1731,628,143,22264,28,116,129,80,29,6,0,0,386,4,34,41,19,13,0,0,0,108,51,196,138,74,37,16,7,3,516,13,39,24,21,14,9,0,0,118,53,123,147,98,62,9,4,0,501,169,751,636,453,440,208,106,32,2798,136,635,713,566,424,250,81,19,2818,309,1018
RA54,21,107,76,46,34,13,3,0,290,9,35,36,7,3,3,0,0,95,291,1354,1198,899,705,300,66,8,4821,85,318,305,212,178,105,30,0,1238,44,125,143,126,97,38,17,0,594,23,114,85,86,83,35,6,0,432,21,85,96,90,91,56,6,0,453,73,185,207,191,139,48,8,3,864,55,158,125,87,75,37,8,4,544,12,46,38,28,15,11,9,0,150,44,121,130,120,66,18,10,0,514,0,6,6,3,0,0,0,0,12,14,56,49,46,33,15,8,0,225,940,1794,1588,1369,1042,444,162,24,7356,1633,4499,4082,3321,2567,1126,331,40,17597,25,106,62,28,18,3,0,0,247,3,22,11,7,9,3,0,0,60,38,109,70,38,19,6,0,0,286,4,24,20,6,6,0,0,0,64,37,105,85,52,28,10,0,0,322,85,360,260,226,232,117,29,3,1317,80,386,315,294,252,78,24,0,1422,168,477
RA55,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,18,46,27,15,5,0,0,116,0,7,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,12,14,45,75,46,20,3,0,0,207,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0
RA59,0,8,3,8,3,9,0,0,34,3,10,6,3,0,0,0,0,29,21,112,82,81,85,71,19,0,470,3,40,37,28,16,23,0,0,154,4,9,10,4,6,8,0,0,45,0,14,10,8,4,7,0,0,48,0,9,8,4,6,3,5,0,36,16,32,32,25,25,23,0,0,145,14,26,22,9,11,7,0,0,91,8,10,8,9,0,4,0,0,31,7,12,22,10,20,9,0,0,72,0,0,0,0,0,0,0,0,0,7,5,9,6,8,0,0,0,30,175,401,534,526,341,157,50,9,2194,258,676,786,712,533,320,81,13,3376,4,17,11,0,7,3,0,0,49,0,0,3,0,0,3,0,0,6,3,14,13,3,4,3,0,0,36,0,0,5,0,3,0,0,0,13,0,7,10,0,0,3,0,0,25,15,59,48,17,32,26,0,0,195,5,22,21,21,20,9,0,0,106,21,84
