RA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
RA23,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,13,0,5,7,0,5,0,0,12,5,9,8,8,5,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,18,6,9,5,0,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,9,18,13,9,9,0,0,54,8,6,9,4,3,0,0,23,0,0,0,0,0,0,0,0,16,20,14,11,13,0,0,79,0,4,8,0,3,0,0,17
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,1150,2720,2408,1849,2618,873,370,11991,336,763,630,453,612,213,93,3103,89,158,127,91,116,57,21,655,78,88,73,57,44,17,10,363,1649,3738,3236,2449,3394,1157,494,16119,114,181,171,132,137,39,21,793,52,113,86,49,26,12,8,358,169,300,260,182,166,49,32,1151,1819,4035,3489,2633,3562,1208,523,17272,500,1029,857,666,712,227,129,4115,71,87,57,48,25,14,4,299,2383,5145,4402,3347,4297,1453,656,21687,3295,7967,6801,5404,8004,2907,1368,35744,5137,9964,7047,4904,5922,1763,785,35524,1525,1891,1287,837,1088,361,160,7145,313,448,283,198,177,62,28,1502,10263,20265,15411,11343,15190,5096,2350,79919,460,1006,626,414,451,122,51,3137,878,1375,675,449,509,123,42,4048,1339,2378,1304,866,963,239,96,7182,11608,22645,16714,12208,16156,5335,2446,87103,11641,11870,6697,4714,4727,1383,745,41777,316,349,212,133,78,32,9,1133,23567,34864,23628,17054,20956,6751,3197,130017,4452,10687,9203,7253,10625,3779,1735,47735
RA31,367,754,639,585,733,139,43,3253,98,237,213,160,177,27,11,927,24,41,31,27,30,0,0,151,28,35,28,25,24,3,0,147,516,1065,914,798,962,169,52,4483,40,67,81,63,57,11,0,319,19,54,47,30,25,5,0,178,58,122,125,87,83,12,0,497,573,1190,1039,888,1051,182,60,4975,261,438,355,281,309,42,7,1688,14,35,24,24,9,0,0,106,848,1657,1417,1193,1368,225,65,6771,829,2130,1930,1587,2078,321,118,8993,1865,3721,2576,1832,1986,253,71,12297,337,384,225,173,172,33,7,1331,109,174,93,68,72,15,3,536,3144,6398,4822,3658,4309,621,204,23164,183,368,218,174,157,17,0,1125,355,540,307,195,151,23,3,1567,537,904,529,364,308,38,9,2687,3675,7306,5350,4023,4618,656,214,25849,4957,4772,2740,1839,1467,191,78,16046,95,129,75,75,37,5,0,413,8736,12208,8167,5929,6119,857,289,42312,1203,2885,2568,2173,2806,463,162,12248
RA32,253,646,535,415,570,76,27,2519,78,192,162,115,117,14,0,688,18,39,24,19,16,0,0,120,17,31,24,20,19,0,0,104,357,903,748,571,727,96,31,3432,29,77,63,49,44,3,0,274,15,27,39,19,11,0,0,107,47,103,98,67,55,3,0,381,409,1008,849,641,781,99,34,3812,158,342,268,215,171,37,17,1204,10,27,20,18,10,5,0,90,575,1380,1134,871,959,137,49,5105,744,1799,1570,1288,1581,241,108,7336,1255,2456,1707,1135,1277,189,68,8085,165,197,117,77,96,14,5,669,53,115,72,53,50,9,0,357,2216,4568,3470,2554,3005,461,187,16453,129,270,163,155,114,17,3,858,237,368,220,128,104,24,3,1087,370,630,380,280,221,39,10,1941,2590,5206,3851,2830,3227,495,200,18392,3132,2912,1600,1043,863,141,53,9743,87,125,66,44,13,6,0,332,5802,8241,5514,3915,4103,644,249,28469,993,2448,2114,1694,2155,321,134,9858
RA33,25,54,37,42,52,0,0,211,5,10,10,10,8,0,0,39,3,6,0,0,0,0,0,13,8,16,0,9,0,0,0,27,44,82,56,56,59,4,0,300,3,5,3,0,3,0,0,12,0,9,0,0,0,0,0,18,6,17,3,0,3,0,0,34,52,98,60,56,58,4,0,333,18,42,29,15,12,0,0,115,0,4,6,0,0,0,0,15,74,145,93,70,71,4,0,460,89,187,155,120,101,5,5,675,110,190,136,64,61,5,0,571,19,14,10,9,0,0,0,59,13,14,5,10,3,0,0,56,229,413,314,211,173,11,3,1351,16,48,26,13,7,0,0,115,30,36,19,9,6,0,0,106,50,87,48,18,12,0,0,219,281,501,364,221,181,15,3,1571,533,450,234,116,72,9,0,1411,14,14,0,7,0,0,0,36,829,966,599,340,258,16,3,3012,116,247,196,159,153,8,4,882
RA34,19,37,41,28,31,4,0,159,10,8,8,3,4,0,0,32,0,0,7,0,6,0,0,13,0,3,4,6,0,0,0,14,29,50,61,39,35,4,0,216,7,8,3,0,0,0,0,29,0,5,3,0,0,0,0,5,7,14,9,5,0,0,0,33,38,60,70,37,35,4,0,248,29,57,21,14,8,0,0,132,6,0,9,0,0,0,0,18,74,112,92,54,49,3,0,393,93,232,128,65,89,8,4,617,79,150,111,52,36,4,0,436,16,18,8,3,8,0,0,49,19,16,6,3,7,0,0,54,212,418,257,129,135,8,4,1156,24,61,21,9,7,0,0,132,11,17,11,8,3,0,0,52,36,80,32,19,15,0,0,185,241,495,293,141,144,8,4,1344,486,427,218,110,57,0,4,1299,31,25,14,9,0,0,0,75,757,950,523,262,205,9,5,2719,113,267,174,99,115,7,3,776
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,392,907,856,652,969,422,258,4454,92,295,240,194,270,119,76,1290,18,38,23,20,39,14,5,161,25,18,25,13,18,8,3,113,531,1261,1140,888,1289,567,344,6016,32,77,68,39,62,19,11,303,12,50,29,31,24,4,0,151,41,129,99,68,82,21,11,453,571,1389,1236,953,1370,586,355,6467,246,428,341,314,339,105,112,1886,12,16,13,17,15,8,0,75,831,1831,1593,1287,1722,699,471,8429,898,2563,2301,1845,2713,1319,829,12461,2053,4156,2932,1998,2435,985,539,15099,340,257,168,117,173,77,45,1181,100,136,85,58,59,19,15,472,3386,7111,5489,4020,5382,2408,1422,29216,131,273,179,136,181,70,29,998,280,565,362,207,230,69,42,1758,413,842,547,338,407,141,77,2755,3793,7951,6032,4360,5787,2544,1497,31969,4589,4630,2695,1874,1912,737,451,16894,78,86,68,57,32,18,7,345,8462,12670,8795,6291,7729,3302,1958,49211,1294,3468,3152,2496,3679,1738,1086,16915
RA41,36,115,71,85,98,38,7,456,21,45,44,21,29,4,0,169,0,5,0,5,8,0,0,19,4,0,4,6,4,0,0,21,61,170,126,121,138,46,16,673,4,11,6,4,5,0,0,34,4,9,0,3,3,0,0,23,9,20,9,8,10,0,0,60,77,185,132,126,147,46,19,724,41,68,65,36,46,10,4,268,5,3,0,0,0,0,0,8,114,251,200,164,196,55,22,1007,72,245,228,176,246,72,21,1055,253,555,413,304,351,88,23,1988,49,33,25,24,23,4,0,155,11,18,10,6,8,0,0,55,381,850,675,506,626,164,46,3246,18,38,23,11,13,3,0,103,22,41,20,12,17,4,0,118,36,82,38,27,32,5,0,222,420,927,715,532,659,174,47,3467,532,553,306,204,209,42,13,1846,12,7,8,3,0,0,0,30,957,1485,1027,737,864,215,62,5348,107,354,301,263,344,113,33,1518
RA42,55,114,106,122,166,28,0,597,17,41,48,32,26,4,0,165,4,18,11,3,5,0,0,38,4,0,0,10,8,0,0,24,80,179,162,170,201,29,3,819,15,18,18,12,12,7,0,78,0,8,6,4,6,0,0,27,19,31,24,20,15,3,0,105,93,207,185,186,216,32,3,922,59,122,80,68,49,14,0,386,4,10,7,3,0,0,0,31,157,335,270,261,269,47,5,1341,84,285,287,215,338,45,8,1268,384,750,484,328,398,50,16,2400,59,57,25,33,43,7,0,222,17,33,18,12,7,6,4,98,545,1122,810,585,784,101,27,3985,23,61,45,31,26,4,0,192,46,94,53,30,25,4,0,254,71,154,97,61,49,8,3,446,620,1277,910,651,832,109,26,4427,1055,853,497,356,302,44,4,3114,24,38,19,5,8,0,0,93,1690,2162,1426,1013,1138,153,34,7625,141,403,392,340,504,73,9,1864
RA43,3,24,23,21,19,4,0,105,6,17,7,0,8,0,0,35,0,3,8,5,0,0,0,14,0,0,0,0,0,0,0,4,10,43,41,26,26,4,0,154,4,0,4,5,4,0,0,16,0,0,0,0,0,0,0,5,4,0,4,6,4,0,0,17,15,46,47,27,27,4,0,173,4,13,16,11,13,0,0,59,0,9,5,0,0,0,0,7,19,67,68,42,42,6,0,237,16,69,69,40,64,9,0,268,70,139,94,76,70,8,0,466,4,6,5,6,9,0,0,36,4,0,4,0,0,0,0,12,97,219,171,126,151,20,7,780,4,4,4,0,0,0,0,18,5,12,3,0,0,0,0,15,3,15,3,4,0,0,0,35,103,231,176,125,152,18,7,815,171,141,69,41,26,0,0,452,0,0,0,3,0,0,0,7,275,375,246,177,182,26,4,1284,25,93,89,65,85,17,0,373
RA44,5,0,6,6,9,0,0,25,4,9,5,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,8,7,11,15,0,0,41,5,4,4,0,0,0,0,7,0,3,0,0,0,0,0,8,5,8,0,0,0,0,0,15,11,17,14,11,17,0,0,60,4,16,8,17,0,0,0,47,0,0,0,0,0,0,0,4,17,31,16,23,17,0,0,109,9,26,18,9,14,0,0,79,18,35,32,15,10,0,0,107,0,0,0,0,0,0,0,6,3,3,5,6,3,0,0,14,31,58,53,28,29,3,0,209,0,9,3,5,9,0,0,22,0,3,0,0,0,0,0,6,0,12,6,5,8,0,0,33,36,69,65,27,38,7,0,235,81,78,42,20,11,3,0,237,6,8,8,6,0,0,0,31,119,154,110,54,50,8,0,501,12,29,24,14,23,0,0,102
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,601,1437,1285,1086,1530,568,372,6872,151,391,334,220,295,118,73,1583,27,52,56,44,58,12,13,255,26,38,30,24,30,8,9,164,808,1912,1705,1373,1907,711,459,8880,60,117,81,66,86,24,22,462,21,57,34,24,37,3,4,180,79,175,111,94,122,32,26,641,890,2086,1821,1464,2031,741,487,9518,250,519,392,340,357,119,76,2051,29,48,40,26,18,0,0,157,1170,2651,2246,1825,2409,863,568,11729,1625,4118,3729,2994,4266,1809,1165,19712,3112,6476,4457,3142,3667,1250,686,22788,422,342,206,168,206,82,56,1483,133,200,123,102,126,37,33,757,5298,11138,8508,6399,8265,3182,1939,44728,217,489,363,235,291,96,55,1746,518,982,530,355,349,69,57,2863,737,1473,888,590,641,163,112,4605,6033,12606,9402,6985,8911,3352,2050,49333,6800,6499,3539,2413,2367,710,449,22779,155,177,118,72,49,16,17,607,12992,19277,13060,9469,11328,4074,2514,72717,2227,5552,5011,4084,5793,2369,1535,26578
RA51,68,143,149,128,177,12,8,680,26,62,45,28,46,6,0,214,9,7,12,4,9,0,0,42,7,8,3,8,9,0,0,25,100,221,205,160,231,19,4,953,0,9,9,10,6,0,0,37,6,6,8,5,3,0,0,25,6,18,12,18,12,0,0,58,107,236,218,182,243,19,4,1010,40,53,59,48,47,8,0,246,0,10,3,3,0,0,0,24,143,298,282,229,291,25,4,1282,122,411,407,335,490,46,17,1832,361,842,650,496,500,43,5,2904,49,39,40,33,30,0,5,196,16,19,13,16,14,0,0,78,553,1316,1114,882,1029,90,26,5012,22,51,28,28,16,0,0,157,51,109,58,32,28,3,0,286,76,161,95,59,46,4,0,439,630,1478,1205,941,1074,97,24,5454,928,891,435,291,248,26,14,2826,14,19,7,8,0,0,0,52,1570,2385,1651,1236,1325,121,38,8331,193,557,559,464,662,58,22,2512
RA52,38,120,124,100,125,9,3,524,11,46,38,33,42,4,0,175,7,8,13,0,0,4,0,30,0,0,0,0,3,0,0,15,65,179,175,142,167,13,4,738,0,14,12,12,10,0,0,48,7,8,6,0,5,0,0,29,7,26,15,7,18,0,0,75,68,200,191,152,185,13,4,816,46,59,61,47,41,0,0,249,3,10,3,14,3,0,0,35,119,270,259,212,228,13,3,1104,100,322,344,283,345,28,6,1432,270,574,419,270,314,19,4,1868,36,31,37,20,24,3,0,149,14,21,14,10,5,0,0,65,416,949,813,584,685,52,15,3512,13,39,34,21,13,5,0,124,40,76,41,26,18,4,4,206,49,117,72,45,37,5,0,330,465,1066,883,631,720,61,17,3846,790,749,346,238,200,25,4,2350,29,47,31,19,4,0,0,128,1289,1859,1262,887,923,84,21,6328,140,442,469,389,469,39,13,1956
RA53,42,76,63,50,46,3,0,286,3,13,14,15,7,0,0,50,4,5,3,0,0,0,0,11,5,3,3,0,5,0,0,17,54,94,78,67,62,3,0,364,0,0,4,5,0,0,0,12,3,0,3,4,0,0,0,11,3,5,4,12,5,0,0,22,57,100,85,71,66,3,0,385,15,39,32,15,14,0,0,114,9,0,0,4,6,0,0,16,79,139,120,91,86,8,0,518,100,229,176,136,160,15,4,823,113,202,101,63,75,0,0,564,13,9,4,3,9,5,0,39,12,20,8,3,0,0,0,43,238,459,284,208,250,19,4,1462,6,15,16,8,5,0,0,52,11,24,12,11,5,0,0,68,19,38,31,19,9,0,0,118,254,497,312,231,263,19,4,1582,269,251,135,95,77,8,0,837,14,16,16,5,0,0,0,43,542,766,461,331,335,22,4,2462,145,307,239,184,208,20,7,1106
RA54,14,38,31,30,28,0,0,145,4,11,19,7,5,0,0,45,0,4,4,3,4,0,0,15,0,0,0,0,4,0,0,5,16,57,54,39,38,0,0,213,0,8,5,0,0,0,0,19,3,3,0,0,0,0,0,5,0,11,5,0,3,0,0,25,27,66,60,40,41,0,0,240,44,62,30,21,19,0,0,180,0,8,7,3,0,0,0,18,65,133,95,68,60,0,0,435,48,128,91,37,47,3,0,351,56,129,63,38,26,3,0,319,11,9,13,6,3,0,0,46,3,5,8,5,0,0,0,26,115,271,173,81,75,7,0,731,13,16,3,9,7,0,0,50,11,22,10,10,6,0,0,61,29,37,17,13,16,0,0,111,142,313,193,99,87,7,0,842,446,434,263,153,91,6,0,1397,17,28,9,4,4,0,0,70,612,779,463,254,185,21,4,2311,60,166,127,62,74,3,0,498
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
