RA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
RA23,0,0,0,0,0,3,6,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,3,10,5,0,30,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
RA30,60,230,509,3057,1789,1856,3115,2406,798,13837,0,54,80,249,184,357,707,836,440,2911,135,867,1659,4374,1312,1749,1279,284,101,11755,492,3604,6104,38044,5996,2997,2065,1067,357,60722,58,341,759,2647,1141,596,711,337,142,6742,24,465,709,4128,1068,519,369,149,42,7477,12,315,411,1135,545,318,171,50,20,2983,40,592,537,3898,1561,1111,1037,765,305,9852,19,182,286,2029,745,981,1903,1793,1123,9055,108,643,1088,4250,2539,1007,540,199,75,10451,113,1057,1738,9567,2928,1165,454,193,37,17249,9,48,59,385,306,337,213,123,37,1523,74,623,1519,5078,2252,2167,1560,641,143,14050,3,10,17,63,73,249,548,480,132,1577,0,12,87,429,187,271,280,133,45,1441,3,111,440,1739,541,357,249,125,41,3617,20,174,1956,5751,249,138,46,7,0,8348,25,167,249,1032,916,1111,2605,1983,770,8857,1132,10346,18997,53048,30622,25094,16991,7364,1787,165382,0,10,26,267,183,241,206,91,34,1053
RA31,4,31,72,438,380,630,1063,837,255,3699,0,0,12,17,13,35,48,18,20,164,4,23,73,191,51,88,41,16,8,491,67,344,540,3523,509,224,167,134,28,5536,10,38,57,277,139,80,127,59,18,806,4,7,42,151,48,47,22,23,4,348,85,714,541,596,205,70,48,15,4,2275,6,71,74,349,218,198,217,199,56,1380,8,22,12,165,73,151,306,229,166,1124,12,35,69,284,115,59,53,4,8,637,4,60,88,711,82,30,15,6,0,992,0,0,0,13,18,19,16,5,4,84,3,37,93,523,242,279,153,36,11,1379,0,0,7,18,18,82,217,184,53,574,0,3,0,42,11,39,34,26,4,155,0,11,13,234,37,32,18,7,0,352,3,40,258,995,46,26,7,0,0,1374,5,20,53,175,253,420,1052,773,239,2979,108,789,1464,5174,4804,5190,4643,1866,354,24384,0,0,0,12,8,10,0,4,0,35
RA32,7,39,118,657,343,522,707,563,144,3099,0,6,3,23,27,39,58,63,40,260,8,20,49,245,53,89,64,14,5,540,53,296,517,3066,621,302,172,100,27,5156,17,66,90,402,173,76,108,42,27,999,0,3,4,86,30,23,19,0,0,178,0,11,8,22,5,4,8,0,0,64,3,77,64,433,168,156,175,100,42,1218,0,24,55,452,108,251,650,714,551,2813,9,118,130,837,669,203,68,26,6,2077,12,84,81,922,172,36,23,3,0,1333,0,0,0,5,7,17,9,6,0,54,11,45,71,376,186,241,100,50,16,1084,0,0,4,9,17,55,118,73,22,292,0,12,12,52,19,41,37,12,8,180,0,3,20,188,46,36,17,5,0,313,11,125,266,585,18,9,6,0,0,1016,4,21,33,231,176,260,546,331,85,1679,85,576,1010,3934,3141,3515,2650,880,147,15941,0,0,0,4,4,5,9,7,0,39
RA33,0,0,14,45,9,23,31,39,9,173,0,0,0,0,0,4,0,0,0,9,0,3,0,13,0,3,0,0,0,15,3,10,11,177,15,8,5,7,4,244,0,0,9,42,16,0,3,0,0,72,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,12,5,11,0,74,0,5,5,18,3,3,36,36,35,143,0,0,6,17,4,0,0,0,0,27,0,0,0,23,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,6,3,24,4,6,0,0,0,59,0,0,0,0,0,6,4,3,0,17,0,0,3,4,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,9,43,0,0,0,0,0,49,0,0,0,23,8,14,32,15,0,97,10,87,161,513,303,322,189,50,7,1650,0,0,0,0,0,0,0,0,0,0
RA34,0,0,5,21,6,11,10,15,4,70,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,10,6,84,3,8,0,3,0,114,0,5,8,23,3,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,3,0,33,0,0,0,12,7,7,4,0,3,34,0,0,0,9,3,0,0,0,0,21,0,0,3,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,12,0,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,9,4,10,20,13,0,54,3,13,31,183,128,162,90,26,0,645,0,0,0,0,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,14,46,11,11,12,5,0,101,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,3,0,0,14,0,0,8,31,5,0,3,0,0,48,0,0,0,23,0,0,4,0,0,34,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,5,31,5,12,3,3,0,51,0,0,5,31,0,3,4,3,0,54,0,0,7,13,0,0,0,0,0,21,0,0,0,27,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,3,0,0,3,21,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,0,3,3,11,4,14,26,7,0,72,3,6,29,149,94,117,145,17,0,565,0,0,0,0,0,0,0,0,0,0
RA40,22,79,131,823,616,904,2243,1721,872,7404,5,42,102,282,265,919,2014,2480,1409,7517,51,225,938,1692,337,392,361,80,24,4104,376,3133,5926,26374,3835,1478,1031,522,200,42870,19,137,255,964,286,148,160,63,34,2073,30,401,719,2433,690,444,269,118,42,5141,0,94,190,662,319,203,82,32,3,1584,3,153,132,649,418,457,447,361,228,2848,11,92,141,775,559,1797,4534,4588,3003,15501,13,108,156,624,371,103,77,40,17,1508,20,231,597,1904,673,201,45,18,3,3690,9,70,90,423,295,356,302,164,57,1777,57,603,1243,3279,1124,821,872,387,77,8459,0,0,0,34,47,149,477,345,132,1181,0,8,30,105,46,34,18,15,4,255,5,114,407,1084,277,115,58,23,8,2099,23,419,1543,4797,165,68,33,8,0,7055,4,42,89,301,286,501,1614,1122,408,4369,67,473,774,2757,1921,1830,1403,545,129,9901,0,0,4,54,44,67,79,61,29,338
