RA_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
RA23,1537,..,..,..,..,1537,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA25,9,..,..,..,..,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA29,2445,..,..,..,..,2445,..,4,0,4,0,4,..,24,0,25,0,25,..,4,0,4,0,4,..,8,6,12,0,12,..,21,27,47,0,48,..,3,0,3,0,3,..,32,31,66,0,64,..,7,0,4,0,4,..,3,0,4,0,4,..,11,0,11,0,11,..,13,0,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,14,5,23,0,23,..,4,0,4,0,4,..,12,0,12,0,12,..,11,0,8,0,8,..,12,0,12,0,12,..,9,0,9,0,9,..,60,4,61,0,61,..,20,0,22,0,24,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,4,..,6,0,6,0,6,..,4,0,4,0,4,..,4,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,5,0,5,..,6,0,6,0,6,..,10
RA30,1283084,..,..,..,..,1283084,..,4910,69,4981,25,5009,..,6289,818,7103,82,7190,..,817,50,867,8,879,..,9453,2177,11638,92,11724,..,26905,7428,34334,348,34683,..,1192,337,1532,6,1535,..,37553,9946,47502,446,47945,..,1390,164,1552,12,1564,..,4227,192,4419,54,4467,..,4537,153,4693,66,4758,..,4056,380,4434,30,4468,..,1913,70,1981,16,2000,..,4249,215,4464,47,4511,..,9173,268,9443,69,9506,..,4350,245,4592,50,4641,..,12905,1048,13945,188,14137,..,3198,78,3273,30,3308,..,3441,185,3626,30,3656,..,1710,49,1758,22,1781,..,40935,2154,43092,445,43535,..,5625,462,6097,46,6140,..,5029,710,5743,67,5806,..,908,254,1171,10,1178,..,6831,2116,8948,71,9020,..,559,57,618,4,619,..,4655,241,4896,49,4946,..,3516,450,3969,41,4014,..,1931,134,2063,17,2080,..,5868,417,6290,100,6383,..,2487,283,2770,24,2795,..,6700,785,7488,81,7567,..,2065,305,2376,19,2392,..,3489
RA31,429531,..,..,..,..,429531,..,1366,24,1387,8,1395,..,665,103,767,14,786,..,445,20,470,12,481,..,314,92,410,3,416,..,1124,537,1658,30,1688,..,62,27,90,0,90,..,1503,655,2162,33,2190,..,122,8,123,0,123,..,521,20,541,6,552,..,983,32,1016,7,1023,..,177,25,204,4,208,..,257,13,263,4,268,..,434,32,463,0,464,..,581,18,598,13,606,..,654,43,699,4,704,..,886,57,947,21,962,..,375,20,402,5,404,..,231,12,243,0,241,..,108,5,116,0,116,..,3517,202,3721,43,3761,..,583,49,630,11,637,..,267,44,308,4,313,..,46,8,58,0,58,..,344,135,477,3,480,..,22,0,22,0,22,..,683,54,738,16,752,..,163,20,183,3,187,..,156,15,169,0,170,..,355,81,431,4,438,..,187,15,202,0,208,..,134,24,161,5,163,..,86,8,93,0,98,..,1085
RA32,281180,..,..,..,..,281180,..,750,17,766,0,763,..,291,40,337,6,342,..,2226,125,2350,61,2413,..,409,104,515,0,519,..,825,290,1116,18,1129,..,61,24,84,0,81,..,1303,412,1712,21,1735,..,112,7,120,0,123,..,605,32,642,8,650,..,998,27,1028,17,1046,..,326,33,364,3,362,..,91,0,91,0,91,..,146,0,150,0,150,..,417,16,432,3,431,..,584,204,786,16,804,..,1277,141,1419,23,1441,..,254,5,261,0,258,..,153,10,168,8,170,..,82,0,83,0,83,..,3011,380,3390,39,3431,..,1649,177,1822,23,1841,..,989,138,1127,15,1138,..,39,0,48,0,48,..,514,181,695,3,695,..,18,0,20,0,20,..,690,51,741,12,749,..,95,8,96,3,102,..,151,16,167,5,165,..,258,26,284,6,288,..,150,18,168,0,168,..,196,33,224,5,233,..,63,7,75,0,75,..,682
RA33,29570,..,..,..,..,29570,..,111,8,116,3,122,..,11,0,15,0,15,..,888,57,944,38,983,..,13,3,18,0,23,..,54,13,61,0,65,..,3,0,3,0,3,..,73,18,85,0,88,..,10,0,4,0,9,..,43,4,44,0,44,..,43,3,45,0,48,..,23,0,24,0,24,..,5,0,5,0,5,..,9,0,12,0,12,..,30,0,28,0,28,..,25,0,25,0,25,..,43,0,42,0,42,..,29,4,34,0,34,..,23,0,19,0,19,..,4,0,4,0,4,..,168,5,176,0,176,..,89,7,91,0,97,..,16,0,17,0,21,..,0,0,0,0,0,..,7,4,17,0,17,..,0,0,0,0,0,..,32,5,34,0,35,..,10,0,10,0,10,..,9,0,9,0,9,..,22,5,21,0,21,..,6,0,6,0,6,..,35,9,40,4,49,..,10,0,10,0,10,..,101
RA34,17917,..,..,..,..,17917,..,33,0,33,0,33,..,9,0,8,0,8,..,3680,745,4423,145,4568,..,5,4,10,0,10,..,28,4,38,0,38,..,0,0,0,0,0,..,36,5,45,0,45,..,0,0,0,0,0,..,14,0,19,0,19,..,19,0,17,0,21,..,8,0,5,0,8,..,9,0,9,0,9,..,5,0,5,0,5,..,13,0,13,0,12,..,3,0,3,0,3,..,9,0,9,0,9,..,12,0,12,0,12,..,9,0,9,0,9,..,4,0,4,0,4,..,55,0,55,0,57,..,14,0,11,0,11,..,10,4,9,0,9,..,4,0,4,0,4,..,7,0,10,0,10,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,11,..,3,0,3,0,3,..,12,0,12,0,12,..,0,0,0,0,0,..,10
RA35,27,..,..,..,..,27,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8
RA39,5206,..,..,..,..,5206,..,10,0,10,0,10,..,12,0,9,0,9,..,15,0,20,0,20,..,4,0,9,0,9,..,25,11,38,0,37,..,0,0,0,0,0,..,28,14,45,0,44,..,8,0,8,0,8,..,45,0,49,0,49,..,33,0,30,0,30,..,10,0,10,0,10,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,6,0,8,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,10,0,12,0,12,..,0,0,0,0,0,..,23,7,24,0,30,..,30,0,30,0,30,..,9,3,14,0,14,..,0,0,0,0,0,..,7,9,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,3,0,3,..,5,0,5,0,5,..,11,0,11,0,11,..,6,0,6,0,6,..,3,4,6,0,6,..,0,0,5,0,5,..,4
RA40,490226,..,..,..,..,490226,..,1048,15,1065,8,1070,..,4833,674,5506,39,5549,..,405,21,429,9,437,..,3856,857,4714,40,4749,..,11088,2783,13869,143,14010,..,568,193,758,6,767,..,15505,3832,19339,189,19533,..,1071,127,1198,15,1207,..,1049,45,1092,16,1104,..,1840,57,1894,20,1917,..,8533,1071,9605,64,9668,..,1381,54,1443,9,1451,..,3676,183,3860,41,3897,..,4937,146,5084,36,5119,..,3972,773,4737,56,4797,..,9229,736,9971,137,10106,..,1899,74,1972,23,1997,..,2492,145,2639,36,2677,..,878,25,905,7,913,..,28460,2150,30608,339,30950,..,9158,1067,10226,64,10284,..,825,69,901,18,915,..,1493,577,2070,19,2090,..,1325,353,1671,15,1689,..,269,18,283,0,285,..,2214,123,2335,19,2352,..,2250,449,2694,21,2714,..,1941,210,2147,10,2160,..,1121,101,1218,8,1222,..,1306,159,1468,14,1483,..,91,11,99,0,99,..,1667,364,2031,12,2045,..,1530
RA41,78704,..,..,..,..,78704,..,83,0,89,0,92,..,45,4,48,0,50,..,91,0,95,0,95,..,27,4,33,0,33,..,121,79,195,3,203,..,0,0,0,0,0,..,148,84,230,3,239,..,23,0,26,0,26,..,79,5,87,0,90,..,257,6,266,5,271,..,147,17,160,5,167,..,20,0,20,0,19,..,3,0,4,0,4,..,31,0,32,0,32,..,22,0,22,0,22,..,77,0,80,0,80,..,27,0,27,0,27,..,13,0,13,0,13,..,3,0,5,0,5,..,187,9,195,0,197,..,268,26,287,4,293,..,30,0,30,0,30,..,25,14,38,0,38,..,13,0,13,0,13,..,3,0,4,0,4,..,12,0,12,0,12,..,11,3,17,0,17,..,71,3,77,0,79,..,15,0,19,4,22,..,49,3,49,0,49,..,3,0,3,0,3,..,27,5,30,0,30,..,118
RA42,87702,..,..,..,..,87702,..,180,6,187,3,185,..,68,3,72,0,71,..,221,15,237,8,241,..,32,15,43,0,43,..,170,76,242,5,251,..,11,5,20,0,21,..,211,98,307,8,318,..,42,6,51,0,49,..,57,5,59,4,64,..,131,3,132,0,136,..,481,65,546,7,552,..,27,0,31,0,31,..,30,0,30,0,30,..,84,3,91,0,92,..,54,0,61,0,61,..,455,78,528,9,537,..,49,3,54,0,54,..,96,12,107,0,109,..,16,3,18,0,18,..,817,99,917,15,936,..,328,22,352,5,355,..,19,3,26,0,23,..,23,13,29,0,33,..,19,3,19,0,26,..,5,0,5,0,5,..,43,0,51,0,50,..,14,6,14,0,14,..,30,0,39,0,39,..,23,0,23,3,24,..,17,0,17,0,18,..,18,15,39,0,39,..,20,4,20,0,20,..,143
RA43,19523,..,..,..,..,19523,..,60,3,56,0,62,..,11,0,11,0,11,..,45,5,47,0,47,..,9,0,15,0,15,..,26,11,30,0,30,..,0,0,0,0,0,..,35,12,47,0,44,..,47,0,47,0,47,..,24,0,22,0,22,..,38,4,35,0,35,..,34,0,37,0,37,..,6,0,6,0,6,..,16,0,16,0,16,..,12,0,12,0,12,..,15,0,15,0,15,..,31,0,39,0,39,..,14,0,20,0,20,..,7,0,10,0,10,..,0,0,0,0,0,..,102,5,111,0,110,..,35,3,38,0,38,..,5,3,6,0,6,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,15,0,15,..,5,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,31
RA44,4834,..,..,..,..,4834,..,5,0,5,0,5,..,0,0,0,0,0,..,1016,124,1146,76,1219,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,0,0,..,12,0,13,0,13,..,20,0,26,3,23,..,5,0,5,0,5,..,18,0,18,0,18,..,61,12,76,0,76,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,24,0,24,..,36,0,38,0,38,..,6,0,6,0,6,..,0,0,0,0,0,..,67,4,69,0,70,..,17,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,0,0,0,0,0,..,7,4,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,14,5,22,0,22,..,0
RA45,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA49,1230,..,..,..,..,1230,..,0,0,0,0,0,..,10,8,15,0,19,..,10,0,12,7,16,..,7,0,7,0,7,..,14,6,17,0,17,..,0,0,0,0,0,..,20,4,20,0,20,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,3,11,0,11,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA50,763234,..,..,..,..,763234,..,5550,76,5632,38,5667,..,7037,848,7884,51,7938,..,854,21,874,16,895,..,7097,1611,8711,76,8793,..,17547,4665,22216,262,22479,..,1487,209,1703,11,1709,..,26135,6492,32629,352,32981,..,2023,223,2249,19,2264,..,3778,161,3940,63,3998,..,3077,115,3191,37,3226,..,1851,158,2006,19,2024,..,1779,73,1852,9,1864,..,4688,273,4959,39,4997,..,5615,233,5845,61,5907,..,2282,126,2411,27,2438,..,9675,792,10466,136,10605,..,2881,109,2994,17,3007,..,4459,169,4624,54,4680,..,1246,55,1300,10,1311,..,32621,1834,34454,357,34814,..,9826,883,10711,88,10800,..,1997,296,2292,31,2326,..,514,149,660,8,664,..,2302,772,3076,33,3106,..,2526,274,2801,13,2814,..,4267,225,4493,42,4532,..,3267,425,3693,33,3722,..,2104,168,2273,23,2295,..,3153,318,3471,58,3527,..,1242,114,1353,19,1372,..,382,48,428,10,433,..,2301,370,2667,16,2682,..,4332
RA51,98225,..,..,..,..,98225,..,611,3,618,0,618,..,118,13,130,0,131,..,133,6,139,8,139,..,77,20,97,0,98,..,253,109,363,7,366,..,4,0,7,0,6,..,336,129,465,6,471,..,36,0,38,0,38,..,227,17,236,3,243,..,309,6,315,10,323,..,41,5,48,0,48,..,30,0,30,0,30,..,47,4,53,0,53,..,65,5,73,0,73,..,43,4,52,0,52,..,159,11,168,0,170,..,47,3,52,0,52,..,78,3,76,4,83,..,22,0,22,0,22,..,494,27,523,3,522,..,637,35,669,9,679,..,72,12,84,0,89,..,6,0,6,0,10,..,64,51,115,0,115,..,14,0,20,0,20,..,123,16,140,0,139,..,31,4,31,0,31,..,91,7,100,0,99,..,87,5,95,0,97,..,55,7,65,0,63,..,20,4,19,0,19,..,22,0,25,0,25,..,337
RA52,77015,..,..,..,..,77015,..,534,11,546,0,546,..,66,5,71,4,75,..,230,7,239,0,242,..,47,17,63,0,61,..,221,67,290,4,295,..,11,0,12,0,12,..,279,92,370,3,376,..,25,0,25,0,25,..,149,11,155,0,158,..,205,13,216,3,216,..,36,3,38,6,48,..,23,0,24,0,24,..,44,0,47,0,47,..,110,3,116,0,116,..,37,6,42,0,41,..,111,3,116,0,124,..,44,4,45,0,45,..,68,4,70,0,76,..,21,0,22,0,22,..,458,25,478,0,482,..,285,15,305,3,309,..,34,4,35,0,35,..,3,0,3,0,3,..,18,10,27,0,27,..,45,0,52,0,52,..,152,15,165,4,166,..,42,4,47,0,47,..,48,3,50,0,50,..,58,5,62,0,62,..,29,6,32,0,34,..,28,0,38,3,36,..,13,0,13,0,17,..,399
RA53,34661,..,..,..,..,34661,..,213,3,223,0,226,..,46,0,46,0,46,..,578,22,603,8,611,..,47,3,51,0,55,..,121,22,138,4,142,..,0,0,7,0,7,..,171,30,201,5,201,..,14,6,19,0,19,..,118,10,119,0,124,..,109,4,114,0,116,..,36,0,42,0,40,..,21,0,21,0,21,..,65,3,61,0,61,..,89,6,96,0,95,..,33,0,36,0,36,..,52,0,51,0,51,..,72,0,74,0,73,..,43,0,46,0,48,..,15,0,18,0,21,..,388,15,407,0,409,..,93,4,97,3,102,..,15,3,16,0,21,..,3,8,7,0,7,..,15,3,21,0,21,..,15,0,19,0,19,..,40,0,40,0,39,..,13,0,12,0,12,..,18,0,18,0,18,..,36,4,36,0,35,..,13,0,18,0,18,..,13,0,13,0,13,..,15,0,15,0,15,..,255
RA54,20306,..,..,..,..,20306,..,89,0,93,0,98,..,29,7,38,3,41,..,3196,303,3499,97,3598,..,12,5,19,0,19,..,119,21,133,0,136,..,8,4,6,0,6,..,137,22,165,0,162,..,30,0,34,0,34,..,86,0,90,0,90,..,62,4,67,0,67,..,25,0,25,0,25,..,18,0,19,0,19,..,12,0,12,0,12,..,37,0,37,0,38,..,14,0,17,0,17,..,40,0,40,0,40,..,28,0,28,0,28,..,24,0,24,0,24,..,4,0,4,0,4,..,171,6,175,0,175,..,67,8,74,0,76,..,15,0,15,0,21,..,3,0,0,0,0,..,15,9,24,0,22,..,14,0,14,0,14,..,45,0,46,0,46,..,17,0,17,0,17,..,14,0,16,0,16,..,44,6,50,0,51,..,12,0,14,0,14,..,17,0,15,0,19,..,16,0,16,0,16,..,118
RA55,206,..,..,..,..,206,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5
RA59,2185,..,..,..,..,2185,..,17,0,17,0,17,..,8,0,11,0,11,..,5,0,12,0,14,..,0,0,0,0,0,..,6,5,12,0,12,..,0,0,0,0,0,..,11,5,13,0,13,..,3,0,3,0,3,..,20,0,20,0,20,..,11,0,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,16,0,15,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3
