RA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
RA23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,10,43,48,0,0,0,0,0,0,0,0,0,52,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,56,28,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,4,0,0,0,0,0,36,4,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,5,6,0,3,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,122,14,15,0,5,0,0,0,3,8,166,59,0,0,0,0,0,0,0,0,3,70,22,0,0,0,0,0,0,0,0,0,22,15,6,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,97,6,0,0,0,0,0,0,0,7,106,24,0,0,0,0,0,0,0,0,4,30,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
RA30,231,225,292,224,73,418,32591,5101,1407,1382,347,315,350,966,471,61,290,10692,56,14,6,0,0,0,0,0,0,13,92,29790,5812,3227,612,546,574,1258,695,132,720,43374,47,12,8,0,0,0,0,0,0,145,213,96172,14651,6380,981,913,903,1688,925,294,2158,125060,59626,2955,1509,271,241,278,317,204,99,1320,66826,18073,968,591,105,111,111,226,151,46,370,20750,5223,894,1211,303,256,266,788,347,39,248,9583,51,7,3,3,3,0,6,0,0,21,94,23347,1871,1811,410,365,377,1019,505,85,638,30424,83,10,3,0,0,0,0,0,0,154,249,83052,4831,3326,679,607,658,1337,709,180,2117,97492,35579,1314,653,139,110,106,159,61,47,1391,39559,8925,304,201,31,36,45,91,51,21,315,10014,3458,422,352,77,62,61,182,87,4,190,4907,57,0,0,0,0,0,0,0,0,22,82,12446,726,558,106,101,103,272,140,26,525,15001,109,10,0,0,0,0
RA31,32,29,42,29,9,67,3454,172,84,89,21,26,30,86,54,3,16,580,5,3,4,0,0,0,0,0,0,7,31,2444,788,333,60,63,62,133,83,8,91,4067,10,4,0,0,0,0,0,0,0,51,65,18473,2371,898,124,126,134,202,130,36,703,23209,17920,609,300,43,40,43,63,37,16,648,19714,1958,138,75,10,13,10,20,25,0,43,2301,175,28,60,11,11,23,82,34,0,12,437,13,3,0,0,0,0,0,0,0,5,19,2140,171,131,21,20,37,110,57,4,57,2750,21,4,0,0,0,0,0,0,0,35,59,20080,782,433,65,62,80,175,88,17,743,22527,10790,283,124,21,23,24,31,16,9,502,11818,1303,37,31,0,4,6,8,8,0,43,1434,155,21,15,3,6,6,23,3,0,10,248,18,0,0,0,0,0,0,0,0,5,22,1473,53,46,5,13,18,36,10,4,51,1703,32,0,0,0,0,0
RA32,37,27,31,21,5,81,3370,225,111,99,21,22,25,53,30,3,28,605,14,0,0,0,0,0,0,0,0,0,24,2594,667,336,41,60,57,81,52,7,103,4003,12,4,0,0,0,0,0,0,0,34,56,13483,1681,751,87,97,106,142,89,29,493,16960,10661,326,158,33,21,28,37,18,11,422,11719,1911,108,38,6,12,13,17,9,3,59,2177,233,45,59,16,15,14,50,15,0,8,454,6,0,0,0,0,0,0,0,0,4,13,2146,152,103,27,23,25,66,26,4,74,2641,18,0,0,0,0,0,0,0,0,33,59,12830,475,266,57,45,51,102,51,19,527,14415,5483,138,66,10,12,3,13,5,0,245,5986,1306,30,15,3,0,3,3,9,0,50,1413,295,31,38,5,3,7,9,6,0,20,404,12,3,0,0,0,0,0,0,0,5,21,1608,65,49,8,4,8,10,10,0,75,1840,34,0,0,0,0,0
RA33,6,5,3,0,4,7,265,5,3,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,152,78,24,3,7,5,5,0,4,7,288,0,0,0,0,0,0,0,0,0,6,3,855,170,70,8,15,12,13,11,4,61,1204,630,21,9,0,0,0,9,0,0,52,726,99,8,3,3,0,0,0,0,0,3,122,3,0,4,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,103,8,10,3,0,0,0,9,0,3,136,5,0,0,0,0,0,0,0,0,0,5,736,28,22,5,0,0,14,9,0,53,866,333,5,3,0,0,0,0,0,0,22,357,73,0,0,0,0,0,0,0,0,5,78,4,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,3,0,0,10,88,0,0,0,0,0,0
RA34,0,0,5,0,5,6,109,26,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,99,15,12,0,0,0,0,0,5,11,149,0,0,0,0,0,0,0,0,0,0,4,437,57,31,0,0,7,6,0,5,36,572,263,6,4,0,0,0,0,0,0,11,287,42,5,3,0,0,0,0,0,0,4,55,11,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,57,3,5,0,0,0,0,0,0,8,72,0,0,0,0,0,0,0,0,0,0,0,321,12,5,0,0,0,3,4,0,20,359,127,5,4,0,0,0,0,0,0,6,136,15,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,3,4,0,4,42,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,34,5,3,0,0,0,3,4,0,4,44,0,0,0,0,0,0,0,0,0,18,18,364,34,13,5,0,0,10,4,4,33,472,371,12,5,0,0,0,0,0,4,14,418,33,0,0,0,0,0,0,0,0,3,36,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,14,13,412,17,5,0,0,0,0,0,4,36,480,105,0,0,0,0,0,0,0,0,0,109,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
RA40,62,48,87,81,13,229,13469,2796,919,990,203,162,154,529,279,19,168,6222,32,4,7,0,0,0,0,0,0,4,49,13557,2510,1551,273,224,206,616,361,36,404,19737,38,0,3,0,0,0,0,0,0,42,86,42241,4714,2072,334,275,247,681,402,57,1005,52016,29230,407,251,40,38,33,63,47,4,650,30763,11053,257,173,32,33,33,141,88,6,218,12039,3215,519,762,160,115,143,433,173,18,133,5668,40,3,4,0,0,0,0,0,0,8,55,14311,779,946,196,145,176,572,262,20,363,17766,54,0,3,0,0,0,0,0,0,28,89,43597,1187,1194,234,184,211,639,301,23,1049,48613,18623,237,113,24,13,16,36,15,0,661,19741,8258,75,45,7,7,13,33,16,4,238,8693,3390,208,183,41,29,29,98,31,0,171,4175,63,0,4,0,0,0,0,0,0,12,79,11712,287,228,51,36,40,127,51,4,414,12944,77,0,0,0,0,0
RA41,3,8,4,0,0,6,408,46,20,15,3,6,3,10,7,0,3,103,0,0,0,0,0,0,0,0,0,0,0,334,84,38,9,6,7,15,7,5,11,508,3,0,0,0,0,0,0,0,0,12,21,4705,341,100,13,9,14,20,13,4,210,5423,4837,76,32,5,6,4,9,6,0,193,5170,379,12,4,3,5,5,0,0,0,16,417,51,5,8,0,0,4,8,4,0,0,79,3,0,0,0,0,0,0,0,0,0,3,434,12,16,4,5,0,11,8,0,14,508,5,0,0,0,0,0,0,0,0,9,12,5276,90,50,7,8,7,17,11,0,216,5686,3109,49,23,0,6,3,11,7,0,116,3325,273,0,0,0,0,0,0,0,0,10,288,39,0,0,0,0,0,4,0,0,0,51,3,0,0,0,0,0,0,0,0,4,3,314,0,0,0,0,0,3,0,0,10,341,14,0,0,3,0,0
RA42,5,4,6,0,3,19,475,48,22,42,7,6,0,23,10,0,7,174,6,0,0,0,0,0,0,0,0,0,9,386,90,89,7,15,7,28,9,3,28,659,7,0,0,0,0,0,0,0,0,26,34,3471,203,146,18,21,15,35,15,3,202,4127,3365,30,13,0,0,4,7,3,0,162,3590,397,17,20,0,3,0,3,5,0,21,475,77,3,14,4,0,0,10,8,0,5,124,6,0,0,0,0,0,0,0,0,3,15,486,29,30,5,7,0,5,17,0,27,614,4,0,0,0,0,0,0,0,0,16,22,3860,60,43,11,5,9,13,17,0,203,4220,2111,9,3,0,0,0,0,0,0,114,2237,406,7,0,0,0,0,0,0,0,31,449,108,10,0,3,0,0,0,4,0,12,145,8,0,0,0,0,0,0,0,0,3,12,529,10,3,3,0,0,7,4,0,46,601,7,0,0,0,0,0
RA43,0,0,0,0,0,0,93,5,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,68,21,6,0,5,0,3,0,0,3,101,0,0,0,0,0,0,0,0,0,0,0,628,59,28,5,4,6,5,4,0,37,771,651,5,5,0,0,0,0,0,0,20,691,67,3,0,5,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,70,3,0,5,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,7,3,721,11,5,5,0,0,0,0,0,27,773,375,3,0,0,0,0,0,0,0,25,405,50,0,0,0,0,0,0,0,0,3,60,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,3,64,4,0,0,0,0,0
RA44,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,4,159,5,12,0,0,0,0,0,0,14,202,153,0,4,3,0,0,0,0,0,10,170,42,4,3,0,0,0,0,0,0,0,45,5,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,49,4,3,0,0,0,0,3,0,0,62,0,0,0,0,0,0,0,0,0,0,0,203,4,3,0,0,0,0,3,0,10,223,79,0,0,0,0,0,0,0,0,0,82,47,0,0,0,0,0,0,0,0,4,54,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,8,61,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,3,3,71,3,0,0,0,0,3,0,6,9,95,56,4,0,0,3,0,0,0,0,0,63,8,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,3,0,0,0,0,0,81,11,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RA50,153,169,222,224,38,392,27040,3541,1235,1009,217,185,188,669,401,31,263,7726,38,14,4,0,0,0,5,0,0,9,75,22587,6138,2781,395,343,354,893,618,66,658,34840,48,12,8,0,0,0,0,0,0,76,141,85906,14345,5785,631,516,521,1151,786,151,1737,111541,55423,1975,1176,154,147,161,256,139,48,959,60431,17245,805,557,112,71,79,241,225,18,344,19711,4022,594,835,180,131,143,649,366,13,179,7105,60,9,3,0,0,0,0,0,0,14,81,21328,1406,1397,296,204,222,895,595,34,534,26899,74,4,0,0,0,0,0,0,0,66,152,76823,3388,2570,449,346,384,1148,730,80,1561,87487,32272,1018,516,86,61,79,140,72,17,1034,35296,8984,242,175,35,20,26,57,59,11,275,9871,2966,302,245,42,37,39,153,74,5,126,3976,54,0,0,0,0,0,0,0,0,19,75,12000,539,420,74,50,64,213,131,16,420,13932,105,0,0,0,0,0
RA51,0,4,8,11,0,15,893,23,28,18,0,3,3,8,7,0,8,100,0,0,0,0,0,0,0,0,0,0,7,560,276,80,8,3,9,21,14,0,23,995,7,0,0,0,0,0,0,0,0,107,111,7258,944,315,27,14,27,48,37,3,339,9013,6262,216,89,17,15,17,27,16,0,208,6863,530,35,26,3,7,4,5,3,0,18,627,38,5,7,3,6,0,13,8,0,0,76,4,0,0,0,0,0,0,0,0,0,4,572,40,33,7,7,4,17,7,0,16,710,10,0,0,0,0,0,0,0,0,36,45,6843,261,122,25,25,18,37,22,0,262,7615,3423,97,44,5,8,5,3,9,0,156,3754,371,12,12,0,0,0,0,0,0,21,408,37,0,4,0,0,0,0,0,0,4,56,8,0,0,0,0,0,0,0,0,0,8,417,12,16,0,0,0,0,0,0,21,468,13,0,0,0,0,0
RA52,10,9,13,5,0,17,798,40,31,19,7,0,7,12,6,0,3,132,0,0,0,0,0,0,0,0,0,0,0,472,242,118,11,10,11,28,11,3,22,930,9,0,0,0,0,0,0,0,0,9,17,4729,669,288,28,17,24,41,20,8,181,6012,4002,133,53,6,0,5,11,6,0,174,4394,361,32,22,0,3,3,8,3,0,12,444,32,11,11,5,4,7,13,10,0,6,97,3,0,0,0,0,0,0,0,0,0,3,397,45,37,5,3,3,22,11,0,27,552,26,0,0,0,0,0,0,0,0,8,33,4422,178,85,16,9,13,26,19,0,201,4976,2585,40,24,0,10,0,10,0,0,132,2811,245,6,11,0,0,3,5,0,0,12,272,21,6,0,0,0,0,0,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,265,14,9,0,0,3,8,7,0,9,313,16,0,0,0,0,0
RA53,0,7,5,0,0,16,414,19,14,6,0,6,0,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,205,145,54,4,5,7,7,0,0,15,457,4,0,0,0,0,0,0,0,0,0,3,1690,315,136,10,6,10,14,5,4,79,2279,897,54,14,7,3,4,3,0,0,40,1026,89,23,3,0,0,0,5,0,0,0,128,17,0,0,0,0,0,9,3,0,0,40,3,0,0,0,0,0,0,0,0,0,3,116,21,4,0,0,5,13,3,0,5,171,8,0,0,0,0,0,0,0,0,4,10,1014,76,22,5,4,6,17,0,0,46,1202,402,4,0,0,0,0,0,0,0,20,430,51,0,0,0,0,0,0,0,0,5,54,5,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,3,0,0,4,70,0,0,0,0,0,0
RA54,0,0,4,0,3,8,261,28,6,4,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,170,75,32,4,0,0,4,4,3,10,308,0,0,0,0,0,0,0,0,0,0,0,1059,199,100,14,17,11,13,11,6,53,1476,492,24,20,4,0,0,0,0,0,25,567,58,5,6,0,0,0,0,0,0,4,72,20,0,0,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,79,5,8,0,0,0,4,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,575,34,29,0,0,5,4,0,0,30,674,188,0,0,0,0,0,0,0,0,5,192,33,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,0,0,0,0,0,41,5,0,0,0,0,0
RA55,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,31,37,170,15,7,3,0,0,3,4,0,46,244,137,9,0,0,0,0,0,0,0,4,149,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,13,141,12,0,0,0,0,0,0,0,17,175,31,0,4,0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RA61,10,4,20,16,0,10,1167,91,60,87,41,32,13,59,35,0,8,425,0,0,0,0,0,0,0,0,0,3,11,960,225,148,52,39,26,80,50,0,19,1602,3,0,0,0,0,0,0,0,0,3,10,5375,456,264,65,50,36,91,49,0,117,6515,5174,85,35,6,5,13,15,15,0,123,5471,823,36,22,5,7,0,11,4,0,23,933,113,34,79,16,8,6,49,15,0,6,330,3,0,0,0,0,0,3,0,0,0,6,942,66,97,24,18,9,62,17,0,26,1267,6,0,0,0,0,0,0,0,0,5,15,6120,156,128,31,28,18,76,27,0,160,6754,3718,28,16,8,4,3,4,3,5,155,3934,728,6,3,0,3,6,3,0,0,16,760,109,25,33,8,0,3,10,0,0,9,202,3,0,0,0,0,0,0,0,0,0,3,841,30,37,9,0,11,14,3,0,20,962,19,0,0,0,0,0
