RA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
RA23,66,52,5,21,107,3,73,845,51,1350,9,17,0,0,3,0,0,3,21,0,11,30,0,74,308,147,93,15,131,126,12,86,200,43,162,391,48,1149,16,3,7,0,3,6,0,0,0,0,0,10,211,244,462,294,140,20,200,188,18,116,327,52,241,1277,310,2817,18,22,8,0,12,7,4,9,19,0,14,97,9,171,61,38,12,3,21,23,0,17,39,7,31,117,14,271,228,119,73,7,94,98,9,61,152,26,124,311,32,899,66,48,16,4,22,29,0,16,55,4,35,256,15,466,50,47,14,7,32,14,0,5,37,3,19,305,9,477,18,17,6,0,10,16,4,4,10,0,11,112,12,182,13,4,0,0,5,3,0,0,4,0,3,32,0,45,16,6,10,0,7,8,0,4,3,5,6,46,214,304,462,294,140,20,200,188,18,116,327,52,241,1277,310,2817,87,40,31,13,42,45,9,38
RA25,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0,0,0,0,0
RA29,48,35,12,18,318,7,154,1157,56,1797,19,58,8,0,14,13,0,8,147,4,57,249,20,485,368,385,106,18,165,177,54,120,924,50,464,850,83,2447,12,12,0,4,3,6,3,5,43,0,20,36,3128,3220,490,609,148,23,231,232,70,154,1428,68,697,2282,3286,7946,34,59,8,8,20,19,6,19,131,12,51,312,26,577,57,117,9,3,27,32,5,19,281,9,102,262,63,698,267,251,72,6,108,124,41,84,667,34,359,553,184,1793,47,66,22,0,23,17,3,14,141,8,71,392,25,672,50,59,7,0,25,23,9,10,111,3,67,430,15,691,6,15,4,0,4,3,0,0,29,0,20,171,10,244,4,15,0,0,3,0,0,0,14,0,9,81,6,128,21,25,7,4,15,9,0,8,53,0,19,76,2958,3132,490,609,148,23,231,232,70,154,1428,68,697,2282,3286,7946,122,127,30,9,62,56,33,52
RA30,48353,30985,6459,11691,160486,4988,119183,1105793,52028,1643704,4712,9220,1293,56,3220,1818,449,959,16703,380,8063,56870,3005,93067,175277,86009,64222,21172,83063,92116,20019,45936,125103,23262,126466,332265,27676,828885,3548,1658,1174,1941,1749,2198,599,990,2545,768,2821,7353,122838,139993,268219,245526,98505,23598,136389,127122,27520,59577,304831,29395,256545,1502279,205546,2705645,15253,17755,6042,1643,9902,7481,1858,3374,24466,2074,21001,142116,7555,224087,21401,20505,7899,1655,11058,10195,2300,5134,29905,2577,23425,123242,6972,215940,116725,65905,39286,11991,54901,57666,13300,31455,97699,14885,84835,252536,16990,591385,39889,41251,14255,1865,19386,17642,3420,7748,50143,3475,36784,262634,13478,432787,41952,55999,16153,897,22940,17692,3290,6571,61935,3050,48750,397484,18374,615495,18380,29827,8394,241,10368,7761,1431,2245,27050,1139,25687,216783,9098,326018,6993,10355,3844,218,4072,4109,697,915,7215,562,8834,86836,3469,126804,7624,3932,2631,5091,3754,4583,1218,2128,6429,1627,7226,20654,129607,173122,268219,245526,98505,23598,136389,127122,27520,59577,304831,29395,256545,1502279,205546,2705645,56438,27585,20100,19514,28344,33388,10106,19357
RA31,15747,10578,2095,4876,43650,1714,30032,273319,15286,425797,1994,3025,426,27,1151,718,135,564,5412,156,2465,13519,1027,25103,82586,35606,26500,7600,36895,40517,9137,22884,51380,10242,47325,101744,13923,308352,2007,820,545,635,1023,1147,312,522,1063,337,998,2638,49350,56659,117540,79995,36930,8460,54814,52959,11677,28848,101501,12448,80825,391225,79583,815909,6411,5876,2142,397,3311,2719,606,1495,8101,729,6201,34275,2514,61101,10581,7614,3347,660,4830,4610,1014,2718,10865,1114,8403,35495,2676,71357,59439,28020,17776,4985,26095,28067,6480,16644,39948,7137,33999,81994,7005,228887,16111,13551,5178,634,7226,6657,1392,3409,16430,1369,11258,73079,4650,130568,14348,14912,4699,283,7479,5819,1110,2618,16444,1011,11992,95737,5106,156038,5117,6417,1971,70,3031,2093,374,693,6037,275,5251,48331,2325,73894,1629,1826,704,53,959,856,171,277,1272,144,1486,14767,641,22148,3907,1773,1114,1369,1879,2137,537,988,2392,673,2229,7546,54662,71916,117540,79995,36930,8460,54814,52959,11677,28848,101501,12448,80825,391225,79583,815909,27240,12472,8630,6971,12626,14984,4547,9524
RA32,11281,7718,1452,3055,27848,1155,20116,213382,10715,316533,1082,1656,263,14,784,487,111,299,2911,83,1426,10010,661,16961,38511,16923,13132,4354,19313,19857,4690,10813,25464,5183,24491,64050,8169,170164,976,456,298,349,563,552,196,288,458,167,557,2077,50679,55423,60581,44666,20551,4862,31941,28617,6442,14448,56695,6586,46589,289510,70230,559083,3384,3216,1359,333,2041,1615,385,850,4233,446,3633,23935,1594,39597,5278,4059,1781,373,2825,2492,537,1322,5760,629,4631,24732,1670,44629,27694,13642,8795,2712,13728,13723,3314,7858,19920,3511,17490,53773,4182,129966,8808,7730,3020,361,4383,3738,780,1729,9326,777,6611,54130,2964,88476,8668,9454,3100,131,4993,3705,696,1417,10905,551,7974,76071,3706,116248,3548,4343,1386,44,2118,1537,283,490,4271,200,3775,39156,1649,57327,1098,1232,476,32,715,625,102,191,1012,81,1007,11876,524,17287,2093,986,635,876,1140,1187,350,607,1257,388,1463,5844,53937,65554,60581,44666,20551,4862,31941,28617,6442,14448,56695,6586,46589,289510,70230,559083,13140,5735,4466,3924,6628,7344,2372,4576
RA33,1381,833,150,318,2156,118,1596,22821,1128,32678,73,121,26,0,107,69,5,27,172,13,80,885,53,1404,2742,1386,960,303,1834,1655,473,862,1620,400,1710,6884,546,15084,85,56,22,20,72,64,20,37,40,12,54,308,7197,7756,4730,4209,1661,346,3394,2620,643,1244,3997,541,3435,30904,8918,56924,316,317,127,15,231,181,42,77,289,34,255,2533,161,3938,445,347,147,42,391,282,63,133,393,50,341,2711,175,4519,2059,1146,672,197,1293,1193,318,640,1321,292,1223,5329,414,11466,603,627,214,26,475,284,87,130,611,56,468,4992,268,7696,653,949,248,14,479,327,62,116,809,48,588,7411,353,10867,346,511,129,3,273,172,25,64,376,16,331,5236,216,7182,132,186,63,15,112,81,14,27,110,13,132,1690,76,2424,173,118,65,25,148,111,40,53,78,25,97,1004,7251,8823,4730,4209,1661,346,3394,2620,643,1244,3997,541,3435,30904,8918,56924,869,433,296,283,537,554,201,340
RA34,1208,660,121,190,1273,97,1067,15389,737,22125,42,67,13,4,113,65,12,19,75,6,54,970,41,1333,1541,928,479,248,1552,1158,376,477,836,236,1062,6382,451,11938,62,40,18,17,65,30,20,12,20,7,32,344,4889,5433,2855,2785,936,275,2938,1907,529,701,2206,347,2219,23088,6115,40838,179,195,70,31,189,139,31,47,149,24,174,1820,122,2751,260,247,75,27,397,229,74,77,212,30,248,2649,120,3994,1199,747,341,128,1153,843,259,350,681,171,780,4799,255,8921,353,438,132,7,347,230,42,88,344,27,258,3873,213,5690,429,646,153,9,455,218,41,64,448,39,366,5294,268,7660,204,326,86,0,186,101,23,21,253,13,219,2708,127,3943,97,85,38,3,67,57,6,11,51,6,61,876,32,1271,136,98,36,72,145,103,44,43,66,26,110,1068,4990,6597,2855,2785,936,275,2938,1907,529,701,2206,347,2219,23088,6115,40838,533,273,166,215,477,359,180,187
RA35,0,0,0,0,0,0,0,30,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,3,128,135,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,6,128,136,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0,0,0,0,0
RA39,74,62,10,36,442,9,246,2140,105,3219,66,76,16,0,29,30,3,13,183,8,83,493,30,851,1069,637,323,40,468,496,97,314,1187,121,873,2501,197,5780,16,10,5,0,8,6,3,8,22,3,11,49,3278,3387,1344,998,389,42,579,589,109,373,1840,143,1214,5177,3603,13234,120,77,30,3,45,45,4,14,147,12,117,642,105,1149,138,132,28,4,60,53,13,41,279,14,134,560,294,1394,722,450,217,23,317,344,69,234,888,89,586,1441,515,4044,184,138,54,0,66,70,14,49,216,17,143,1000,60,1655,101,118,33,5,50,50,11,23,207,3,139,921,44,1456,36,44,8,0,20,18,0,6,55,5,47,340,18,522,14,15,5,0,4,9,0,4,19,3,16,130,5,192,28,13,10,0,18,8,3,8,30,0,28,149,2568,2817,1344,998,389,42,579,589,109,373,1840,143,1214,5177,3603,13234,263,174,69,30,115,114,38,87
RA40,23177,12549,2531,4012,60185,1954,46559,438384,19136,648608,1871,3885,459,22,1560,730,184,410,7129,141,3330,23320,1212,38268,89067,40275,28510,12387,47301,44391,8528,19660,59370,11220,58883,146103,12342,385070,1767,737,493,552,922,904,206,399,921,261,827,2845,35412,42372,127351,102898,41116,13149,72958,58579,11453,24481,127600,13577,109602,610651,68113,1114313,5978,6890,2090,870,4547,2723,635,1141,9332,734,8102,57629,2870,89347,10774,9903,3492,811,6203,4658,984,2217,14352,1171,11170,55450,3163,99693,60945,30784,17548,7504,31861,28388,5772,13723,47130,7357,40424,114774,7731,280112,18452,16436,6141,1208,10364,8269,1462,3152,19585,1648,15290,107041,5420,179102,17794,23245,6480,542,11670,7912,1378,2334,23328,1322,19673,165296,7123,255218,7249,10861,2975,143,4684,3174,529,747,8967,494,9470,77307,2934,117266,2636,3140,1316,90,1573,1488,269,331,2168,230,2892,25652,1074,38688,3518,1640,1074,1988,2055,1971,429,840,2740,617,2588,7503,37794,54889,127351,102898,41116,13149,72958,58579,11453,24481,127600,13577,109602,610651,68113,1114313,29096,13214,8706,11132,15600,15781,4361,8416
RA41,3036,2141,359,776,7834,306,5652,49696,2271,77793,291,404,66,0,175,111,23,70,783,24,366,1780,102,3445,15247,6394,4815,1571,7180,7300,1239,3339,8953,1720,8434,19780,2126,57690,318,112,81,56,142,143,31,64,112,45,96,448,6753,7848,21835,14467,6849,1667,10532,9684,1649,4253,17688,2096,14552,71702,11243,146780,1088,983,371,100,562,442,99,209,1309,106,1123,5686,362,10176,1945,1428,585,115,903,794,136,410,2106,193,1465,6757,386,13321,10856,5066,3233,933,5151,4943,861,2377,7049,1178,6039,16597,1180,43863,3318,2495,1063,144,1526,1449,236,589,2953,239,2192,13826,715,25035,2692,2809,949,54,1419,1198,170,386,2734,182,2241,17925,832,29098,916,1084,347,13,504,382,71,96,917,58,900,7418,300,11556,326,305,134,17,153,164,31,38,220,25,239,2245,89,3499,699,298,171,282,312,314,59,155,395,113,362,1242,7385,10230,21835,14467,6849,1667,10532,9684,1649,4253,17688,2096,14552,71702,11243,146780,4327,1858,1272,1357,2058,2211,544,1314
RA42,4078,2332,433,879,7886,369,5720,55693,2649,86611,440,607,61,6,279,135,26,128,1000,21,410,2429,166,4596,17137,8024,4969,1944,9606,8220,1703,4477,10184,1967,8740,21123,3600,64506,461,188,123,62,258,231,49,127,202,81,155,646,10041,11710,24670,17543,6980,2072,14225,10911,2212,5599,19275,2435,15025,79889,16458,167427,1125,1103,316,76,641,436,101,240,1192,100,986,5946,420,10494,2335,1846,598,123,1253,914,226,579,2325,242,1590,7093,531,14642,12919,6596,3504,1379,7165,5898,1205,3370,8389,1369,6653,18730,1601,50895,3351,2958,1047,145,1915,1407,263,606,3038,274,2124,16225,868,28237,2720,3025,826,53,1821,1183,195,420,2748,197,2129,19964,941,31734,942,1246,306,14,628,371,69,99,812,58,831,8044,356,12384,308,303,118,13,195,160,25,49,218,25,210,2135,94,3347,973,452,262,274,610,541,122,237,555,170,505,1756,11638,15702,24670,17543,6980,2072,14225,10911,2212,5599,19275,2435,15025,79889,16458,167427,5577,2623,1529,1711,3001,2873,811,1846
RA43,729,454,79,172,1674,86,1164,13549,578,20087,55,94,10,0,31,21,6,20,100,0,37,445,24,729,2788,1267,949,320,1548,1412,242,711,1507,333,1458,4482,586,12000,54,18,16,11,49,43,10,13,31,16,26,137,2537,2846,4235,3249,1381,336,2352,1923,333,921,3314,432,2683,18617,3726,35664,194,220,69,19,117,96,23,44,220,26,182,1231,81,2113,387,309,115,31,223,162,31,106,347,50,288,1505,82,2824,2025,1022,641,182,1107,960,160,510,1263,224,1056,3956,305,9423,636,578,238,31,346,280,57,116,583,50,427,3534,190,5947,573,655,177,13,313,223,26,77,562,39,418,4880,218,7379,208,285,68,0,119,87,12,25,190,18,186,2256,73,3213,89,101,28,3,45,50,6,19,65,9,57,880,42,1277,125,77,44,57,81,72,18,37,82,19,68,370,2737,3487,4235,3249,1381,336,2352,1923,333,921,3314,432,2683,18617,3726,35664,738,340,262,275,400,420,96,247
RA44,289,177,32,62,370,20,292,3773,209,5579,22,26,5,0,38,19,0,6,32,0,20,336,14,488,578,311,212,71,492,379,81,168,300,84,339,1880,236,3914,17,13,10,3,19,7,3,0,7,3,9,83,1088,1226,976,820,316,77,836,582,117,237,715,105,667,6077,1548,11208,40,32,22,4,32,31,5,13,36,3,26,422,41,633,106,117,27,11,145,71,19,28,99,15,96,824,53,1368,448,246,148,45,397,274,60,137,255,59,267,1460,108,2986,136,132,46,3,87,76,3,20,102,13,65,886,43,1420,130,184,30,0,80,58,10,21,130,5,119,1389,54,1999,66,69,25,0,39,31,6,14,54,3,43,633,31,919,15,17,5,0,7,10,0,4,9,0,10,147,4,212,36,25,13,12,45,31,11,4,16,10,31,321,1213,1667,976,820,316,77,836,582,117,237,715,105,667,6077,1548,11208,174,73,59,61,136,102,36,65
RA45,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,0,0
RA49,13,5,4,13,110,8,50,462,32,724,14,32,6,0,10,9,0,5,74,0,35,141,3,266,211,177,55,12,115,80,16,53,367,22,228,478,60,1266,8,3,3,0,0,0,0,0,6,0,6,13,702,719,264,306,70,8,149,95,22,69,559,35,311,1085,799,2975,24,23,11,0,5,7,4,3,44,0,30,130,22,252,28,62,10,0,24,13,3,13,116,0,40,152,77,419,136,122,26,6,78,54,9,40,256,17,160,297,140,925,35,37,7,0,17,13,0,3,54,7,36,188,14,332,22,37,7,0,11,9,0,8,47,7,21,159,11,268,7,17,0,0,0,0,0,0,15,0,12,92,5,137,7,8,3,0,0,0,0,0,8,0,4,32,0,48,7,5,0,0,8,0,0,3,20,3,8,33,540,599,264,306,70,8,149,95,22,69,559,35,311,1085,799,2975,51,53,8,6,25,24,3,21
RA50,33196,19038,3838,6512,91943,2833,68368,724807,33292,1045782,2693,5017,802,24,2161,1134,274,547,9712,212,4716,36727,2016,58340,99833,43786,36042,12524,53344,51625,10795,23922,63980,13201,67997,213676,18027,501415,1836,802,564,1261,1138,1047,285,489,1303,347,1393,4659,75637,85789,154179,131081,56280,14058,89837,72842,15193,31467,166947,16596,142480,979858,128973,1691327,10060,11021,3963,1203,7572,4684,1138,2079,15543,1361,13363,102242,5260,156932,13573,12022,4851,1131,7801,6275,1369,2991,17963,1615,14532,83523,4739,142716,65126,32683,21357,6743,34064,31425,6978,15884,50198,8067,44456,158674,10561,349816,21075,18406,7793,1195,11528,9559,1833,3870,24137,1879,18420,142061,7379,229627,22923,28938,8905,613,14938,9875,1792,3526,33166,1682,25909,246349,11322,369193,12064,18513,5326,190,8033,5511,975,1419,17313,704,15635,159984,6542,232282,5279,7557,2644,126,3520,3025,493,612,5375,409,6454,74037,2797,104676,4073,1928,1441,2854,2376,2491,608,1096,3256,876,3706,12996,80368,106091,154179,131081,56280,14058,89837,72842,15193,31467,166947,16596,142480,979858,128973,1691327,28720,12268,10125,11540,15912,16859,4960,9071
RA51,3658,2287,465,909,10258,379,6766,69894,3776,105860,358,508,94,3,202,126,31,69,948,26,404,2744,199,4836,14789,6022,4972,1476,6852,6702,1366,3424,8776,1824,8172,23609,5160,64599,329,130,89,74,165,152,39,79,153,51,131,577,11786,13109,22874,15425,7536,1590,10877,9269,1904,4486,20134,2271,15474,96824,20918,188402,1437,1318,543,111,756,501,105,271,1771,127,1351,8826,606,15030,2215,1562,724,157,987,854,204,452,2189,245,1649,8327,600,15863,10412,4617,3258,865,4662,4418,930,2414,6996,1177,5766,18688,1544,45701,3255,2455,1043,129,1442,1200,209,537,3244,297,2181,15876,964,27476,3038,2962,1036,60,1523,1148,211,448,3416,193,2475,23229,1227,36316,1406,1723,517,13,852,549,109,144,1640,80,1312,14822,696,21930,511,505,215,11,294,243,48,65,434,29,378,5404,250,7739,601,286,195,240,365,349,89,157,445,110,353,1651,15029,18354,22874,15425,7536,1590,10877,9269,1904,4486,20134,2271,15474,96824,20918,188402,3954,1684,1281,1234,1907,2035,621,1259
RA52,3458,2146,387,785,7810,327,5317,55352,3088,84694,277,387,64,3,218,88,25,68,727,21,284,2043,160,3671,11130,4785,3728,1296,5740,5414,1238,2785,6803,1385,6286,17566,2544,47571,332,151,116,139,188,175,42,86,182,72,192,546,12653,14021,17818,12638,5923,1475,9601,7818,1692,3722,15522,1808,12076,75502,18437,149948,1043,1000,363,113,656,431,101,207,1343,96,1003,6433,459,11081,1621,1245,531,114,860,706,154,393,1807,178,1287,6092,500,11948,7961,3748,2537,750,4067,3672,853,2045,5353,913,4546,14233,1262,35487,2449,2029,815,120,1253,976,180,401,2366,236,1581,12673,780,21695,2426,2530,835,49,1350,987,197,346,2696,153,1883,18792,1128,29569,1196,1387,431,20,775,486,79,124,1217,65,1045,11838,519,17543,401,384,166,14,262,182,32,51,302,25,316,4002,207,5834,716,314,235,300,371,380,96,152,446,137,417,1432,13590,16796,17818,12638,5923,1475,9601,7818,1692,3722,15522,1808,12076,75502,18437,149948,3317,1413,1101,1213,1748,1776,561,1054
RA53,1525,791,202,319,3148,123,2158,29862,1553,42735,80,136,25,4,94,54,14,18,181,5,81,894,77,1430,2365,1310,861,243,1555,1291,344,691,1587,348,1498,6480,779,14175,65,40,20,13,33,51,15,22,34,16,16,325,9118,9638,4815,4866,1710,276,3210,2187,584,1047,4956,484,3753,37555,11536,67980,290,342,105,24,209,119,44,72,397,31,309,2907,183,4435,369,351,141,17,268,195,51,95,444,44,312,2440,175,4082,1709,990,582,148,1105,886,233,494,1252,218,1117,4756,403,10173,592,624,232,21,348,264,49,121,679,59,428,4824,274,7479,883,1168,301,17,579,304,88,133,1029,51,712,9894,475,14319,570,898,202,5,420,217,53,79,775,23,536,7962,398,11292,257,405,106,0,169,119,31,24,288,14,254,3923,177,5439,144,89,41,40,102,87,26,42,85,33,87,840,9446,10765,4815,4866,1710,276,3210,2187,584,1047,4956,484,3753,37555,11536,67980,684,321,281,217,450,400,165,240
