RA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,19,0,3,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,10,9,0,0,6,0,0,0,8,0,25,98,9,33,0,0,7,31,34,0,217,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,4,20,140,39,45,15,11,7,36,53,9,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,18,30,4,3,3,0,3,0,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,29,68,12,16,11,8,14,22,0,187,0,0,0,0,0,0,0,0,0,0,7,5,4,5,0,6,3,3,0,32,12,13,7,4,0,0,5,8,0,55,16,16,113,15,0,10,37,62,9,272,0,0,6,0,0,0,0,5,0,10,3,0,3,0,0,0,0,3,0,10,0,4,0,0,0,0,0,0,0,6,5,0,9,0,0,0,0,8,5,27,77,146,154,52,21,35,64,123,16,695,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,15,3,39,0,4,10,0,0,4,0,59,0,4,0,0,0,0,0,0,0,4
RA30,157,477,22,18,47,12,11,10,5,761,1370,9683,178,116,182,79,76,86,99,11863,12339,26055,2043,1699,3119,1743,1505,1222,692,50409,356,880,63,70,118,53,56,34,25,1648,2321,6868,477,662,764,278,200,206,121,11906,1236,2170,221,284,421,131,48,84,44,4639,30425,81474,11081,9029,11125,7090,5310,6170,2000,163710,60,60,94,78,29,41,37,50,23,472,6273,6085,4932,2480,1967,1479,1699,1495,363,26769,11436,9560,11000,7788,5135,4053,4158,4275,808,58214,25726,9789,99969,12947,10500,10299,21468,22838,4063,217591,833,521,1670,1029,652,1189,1472,2352,114,9828,1888,1341,2030,1236,903,1290,1837,1947,187,12669,830,1237,736,380,330,300,481,524,134,4956,1501,1544,1838,881,614,753,1409,1516,2144,12192,96751,157744,136361,38703,35895,28790,39759,42805,10820,587628,161,917,16,40,99,31,6,9,8,1287,1000,8269,124,173,331,58,7,39,65,10068,8157,32573,999,3544,5406,1701,198,923,641,54140,346,1465,21,145,215,51,7,40,33,2319
RA31,19,80,0,0,0,0,0,5,0,102,157,1232,18,16,17,10,12,20,3,1486,1145,2751,215,234,219,102,127,173,71,5035,23,130,9,9,7,4,3,4,0,197,319,1102,114,168,97,26,45,51,18,1934,229,344,59,54,58,16,14,19,11,801,3713,11199,1625,1454,979,564,570,1060,237,21398,22,11,15,19,0,0,7,9,6,93,1292,1244,1065,590,333,199,338,318,100,5471,2406,1684,2229,1778,831,546,797,734,198,11207,8702,2495,38025,4247,2530,2968,10231,8587,1604,79391,244,122,657,297,163,448,607,1067,48,3646,524,214,492,346,151,275,643,644,62,3349,151,191,212,79,39,39,146,159,25,1034,460,240,587,261,103,212,677,771,536,3844,19401,23017,45339,9543,5540,5421,14207,13620,2912,138993,22,185,6,8,10,0,0,0,0,237,125,937,14,24,30,5,3,3,11,1167,886,4495,95,390,446,119,7,118,52,6602,49,258,8,17,23,4,0,3,7,372
RA32,11,46,0,0,0,0,0,0,0,57,134,925,23,15,12,3,10,7,3,1133,863,1860,157,194,169,84,94,93,41,3559,26,72,5,10,4,0,0,6,3,131,254,782,68,116,69,18,27,31,11,1380,135,186,30,39,33,4,6,13,11,447,2990,8312,1236,1385,739,458,534,817,161,16640,13,8,16,18,4,5,4,9,4,74,1048,924,798,533,234,144,292,258,58,4286,1905,1204,1585,1536,561,328,650,611,146,8526,6878,1994,26854,3347,1617,1847,7900,5542,1137,57114,276,123,432,282,104,266,414,644,29,2572,418,162,367,269,98,160,479,418,47,2419,134,131,140,77,37,29,97,120,25,789,425,218,428,229,93,143,540,646,454,3174,15496,16953,32143,8053,3785,3486,11055,9212,2129,102307,20,129,0,5,11,0,0,0,0,167,102,836,23,20,35,9,0,0,0,1033,772,3453,118,335,367,112,23,123,52,5351,41,222,5,20,24,8,0,0,0,317
RA33,0,0,0,0,0,0,0,0,0,0,11,31,0,0,3,0,0,0,0,51,73,149,15,20,8,3,3,15,0,289,3,0,0,0,0,0,0,0,0,9,26,46,0,8,4,0,4,5,0,95,3,11,7,6,0,0,3,0,0,40,321,588,109,103,29,21,38,105,9,1333,0,0,0,0,0,0,0,0,0,8,127,57,64,30,4,10,28,18,4,349,212,69,128,104,27,22,62,60,12,690,977,179,2822,167,112,104,1109,631,122,6222,53,12,40,19,10,12,46,68,5,261,100,23,36,11,10,5,52,47,4,279,17,12,7,4,0,0,15,5,3,70,69,22,57,16,10,9,89,81,67,420,1996,1204,3294,492,214,187,1446,1048,228,10122,5,14,0,0,0,3,0,0,0,27,5,25,0,0,0,0,0,0,0,35,79,233,3,28,21,12,0,9,0,393,3,14,0,0,4,0,0,0,0,18
RA34,0,0,0,0,0,0,0,0,0,4,9,9,0,0,0,0,0,0,0,19,41,86,9,10,4,4,3,0,0,149,0,0,0,0,0,0,0,0,0,0,13,38,0,15,5,0,0,0,0,71,10,4,0,3,0,0,0,0,0,21,197,350,46,77,25,14,19,50,12,796,0,0,0,0,0,0,3,0,0,11,112,43,21,36,14,0,14,26,8,273,138,91,59,91,23,10,23,35,11,484,641,187,1532,148,129,68,506,561,98,3873,42,20,29,28,17,18,31,68,8,257,56,14,16,11,12,11,30,47,0,194,5,5,3,6,4,0,3,3,0,31,53,31,56,24,19,15,75,78,55,407,1332,874,1778,446,248,137,697,880,191,6579,0,8,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,0,0,22,61,144,4,12,20,3,0,11,0,256,0,11,0,0,0,0,0,0,0,14
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,10,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,10,15,22,0,5,7,7,4,8,0,64,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,12,0,10,0,4,0,0,0,0,0,11,39,85,13,28,3,6,9,52,3,237,0,0,0,0,0,0,0,0,0,6,6,3,5,5,0,0,4,3,0,35,9,16,11,11,8,7,7,16,0,95,34,12,197,28,19,20,94,97,15,515,4,3,4,0,0,10,3,6,0,33,0,3,8,0,0,0,4,6,0,29,0,3,0,0,0,0,3,0,0,8,3,0,11,5,3,0,3,10,13,50,118,174,240,84,41,46,141,208,39,1092,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,12,40,3,6,8,4,0,10,0,84,0,0,0,0,0,0,0,0,0,5
RA40,64,202,10,20,23,6,9,3,6,341,654,4335,99,63,108,13,23,55,34,5380,4469,9709,1062,1399,1765,751,983,950,285,21364,144,380,40,56,51,25,37,27,16,756,984,2816,190,279,358,96,80,105,42,4962,474,664,70,104,149,31,13,25,13,1547,10983,31912,4731,4612,4966,2717,2468,3210,791,66385,17,10,37,31,15,3,19,15,6,157,2412,2662,1942,1453,890,544,632,641,151,11308,3899,3558,3785,2625,1750,1182,1546,1404,307,20058,9325,3867,36579,6120,4434,3748,7298,7605,1504,80479,355,256,733,448,325,432,566,829,51,3993,765,500,710,609,402,439,511,539,107,4578,280,460,316,208,136,106,175,241,49,1965,540,538,644,404,245,266,589,594,667,4472,35370,61865,50939,18428,15610,10371,14926,16232,4015,227758,74,442,6,48,42,6,0,0,11,627,498,3612,80,88,178,27,3,17,24,4526,2945,12751,568,2965,2377,644,99,755,262,23367,134,615,14,97,81,29,0,29,18,1010
RA41,9,13,0,0,0,0,0,0,0,23,59,206,13,0,5,0,3,4,6,289,228,342,36,21,36,29,8,24,12,737,11,10,0,0,0,0,0,0,0,29,95,185,17,27,23,10,10,16,3,379,39,35,9,7,9,0,0,6,3,106,961,1834,264,225,191,115,86,216,47,3938,5,0,4,0,0,0,0,0,6,19,339,252,206,166,81,40,46,80,14,1229,536,324,308,225,138,115,104,133,19,1894,2126,493,6080,680,438,547,1397,1739,277,13777,110,11,125,46,25,50,81,168,11,622,197,62,88,58,32,39,86,115,13,687,46,27,27,13,5,10,18,39,0,191,133,40,120,38,22,45,106,129,86,720,4889,3829,7297,1505,1013,1003,1942,2664,503,24646,10,38,0,0,0,0,0,0,0,56,43,208,9,4,21,0,0,3,0,289,180,738,19,82,68,35,5,29,8,1155,7,37,0,0,5,6,0,0,0,56
RA42,8,10,0,3,0,0,0,0,0,18,28,76,0,0,0,0,6,3,4,108,144,318,26,50,26,24,18,26,12,639,10,16,0,0,0,0,0,0,0,25,81,132,13,19,5,0,7,9,3,274,21,30,5,7,3,0,0,0,3,79,781,1514,168,208,92,59,93,207,24,3142,8,0,9,4,0,0,7,4,3,24,347,175,107,115,36,39,56,87,10,972,524,240,233,215,98,79,130,140,27,1680,2576,468,6448,796,380,527,1994,1889,308,15384,135,24,115,65,34,64,136,203,18,777,220,42,82,56,36,42,126,151,18,765,40,19,28,13,13,8,27,33,0,194,210,39,131,48,22,52,156,225,102,987,5123,3105,7365,1597,746,891,2746,2971,519,25068,4,36,0,0,0,0,0,0,0,42,14,86,0,0,5,0,0,0,0,110,135,558,16,66,46,17,3,19,4,866,5,31,0,0,0,0,0,0,0,44
RA43,0,0,0,0,0,0,0,0,0,0,8,19,0,0,3,0,0,0,0,31,36,65,17,3,6,9,4,10,4,143,0,6,0,0,0,0,0,0,0,4,5,25,3,0,0,0,0,0,0,42,5,10,4,0,0,0,0,0,0,14,204,379,77,49,23,22,13,66,13,848,4,0,0,0,0,0,5,0,0,6,88,64,28,29,7,8,9,24,0,252,134,76,70,40,18,25,21,33,3,418,711,132,1571,140,73,111,432,447,79,3695,49,11,16,14,8,20,32,44,4,190,70,10,27,20,6,8,18,42,3,209,17,11,11,6,0,3,4,20,0,71,48,18,33,9,8,8,39,61,18,243,1380,823,1846,305,153,217,576,748,123,6172,0,7,0,0,0,0,0,0,0,8,10,21,0,0,3,0,0,0,0,41,45,139,5,9,22,3,0,3,5,236,3,3,0,0,0,0,0,0,0,10
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,4,4,3,5,0,3,0,41,0,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,65,93,22,19,4,5,4,16,4,222,0,0,0,0,0,0,0,0,0,0,19,14,14,11,4,0,6,7,0,68,20,8,13,11,6,3,8,11,4,84,188,30,325,56,26,27,96,132,15,886,14,4,3,7,3,0,3,19,0,55,14,0,15,5,0,0,10,12,0,58,6,4,0,3,0,0,0,0,3,16,35,20,7,14,3,10,20,19,25,137,372,199,388,125,56,53,140,218,42,1592,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,11,10,41,0,13,5,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,26,9,0,0,0,0,15,3,59,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,17,8,3,49,8,6,5,17,20,4,121,0,0,0,0,4,3,0,3,0,9,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,0,17,30,51,59,18,14,18,31,45,7,264,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
RA50,143,369,24,24,36,7,11,11,7,630,909,6037,130,78,124,41,51,53,64,7488,8054,17457,1560,1270,2115,929,1216,1026,401,34033,270,660,47,48,80,32,37,22,26,1230,1714,4764,358,376,463,137,167,172,61,8206,712,1010,133,235,207,48,51,33,27,2459,20464,53760,8368,6001,7442,4013,4595,4169,1265,110073,44,43,90,46,15,14,34,41,7,337,4541,4944,4562,1826,1502,961,1632,1181,302,21438,6255,5550,7999,3606,2406,1871,3055,2265,432,33446,13882,6453,70109,7535,5719,4602,15332,12074,2490,138208,501,309,1394,937,442,847,1218,1792,81,7520,1002,681,1401,763,481,527,1101,888,105,6947,710,1047,837,311,261,174,477,431,97,4349,883,1001,1509,600,407,413,1101,991,1284,8181,60079,104086,98516,23656,21699,14615,30083,25144,6645,384521,140,822,24,47,92,22,5,5,10,1157,569,5045,96,105,253,45,7,26,47,6191,4661,18449,860,2630,3484,1130,171,806,303,32490,253,1114,24,125,159,38,12,34,23,1775
RA51,4,18,0,0,0,0,0,0,0,23,50,181,4,7,5,0,6,3,3,264,266,492,45,38,38,10,28,31,17,957,16,14,3,0,4,0,0,0,0,42,109,285,16,30,23,11,12,15,3,498,58,65,16,13,7,5,0,6,0,166,1116,2488,488,290,205,128,183,336,47,5284,4,3,6,0,0,0,3,4,0,23,432,367,360,133,86,82,168,130,29,1778,567,436,665,262,136,126,196,225,40,2647,1927,696,10763,793,554,501,2861,1909,402,20403,69,35,228,80,45,113,177,268,12,1019,128,56,132,70,22,73,162,141,18,797,59,50,57,21,19,11,45,56,6,316,145,65,170,39,20,52,204,151,138,980,4942,5264,12943,1777,1156,1127,4046,3268,707,35208,18,56,4,4,4,0,0,0,0,83,24,177,4,10,9,0,0,8,0,227,176,789,24,98,97,37,4,26,0,1247,10,68,0,0,3,3,0,0,6,94
RA52,0,12,0,0,0,0,0,0,0,14,34,143,5,0,7,0,0,3,0,197,202,464,30,38,25,7,30,25,5,832,7,18,3,0,0,0,0,0,0,35,64,201,17,18,6,4,12,14,4,345,35,46,11,12,3,0,3,3,0,111,977,1853,288,204,126,79,176,218,29,3956,0,0,4,3,0,0,0,0,0,16,418,264,192,106,67,54,95,91,19,1305,475,282,371,230,87,77,159,158,25,1863,1990,527,7511,662,334,439,2055,1532,248,15302,104,45,158,78,36,108,185,226,12,933,145,34,94,48,22,39,124,123,12,652,59,37,46,8,4,9,30,45,8,246,162,58,141,59,16,34,148,171,97,888,4682,3990,8866,1476,733,863,3012,2614,463,26691,13,42,0,0,0,0,0,0,0,61,23,126,5,5,12,0,0,3,4,182,172,664,13,62,76,20,5,19,5,1046,16,42,0,6,3,0,0,0,0,67
RA53,0,4,0,0,0,0,0,0,0,6,18,41,0,3,0,0,0,0,0,64,126,192,36,20,18,10,8,17,6,432,4,8,0,0,0,0,0,0,0,19,39,104,9,9,13,6,9,11,0,189,22,19,7,11,0,0,0,0,0,66,594,788,242,97,93,50,78,101,21,2071,0,0,3,0,0,0,0,4,0,14,183,136,152,49,34,23,51,37,6,674,269,141,272,131,54,28,90,61,14,1077,1187,338,4406,238,235,157,1115,769,208,8647,56,19,81,25,17,30,74,82,4,385,80,35,52,17,19,14,50,43,3,311,26,18,37,6,5,0,26,25,7,152,75,31,101,21,9,17,89,85,70,491,2672,1886,5401,633,501,330,1585,1238,347,14599,5,18,3,0,3,0,0,0,0,23,11,53,0,0,11,0,0,0,0,82,114,361,19,35,47,18,4,10,6,622,3,33,0,0,3,0,0,0,0,43
RA54,3,3,0,0,0,0,0,0,0,8,11,24,6,0,0,0,5,0,0,38,72,151,31,16,8,0,15,14,0,315,3,8,0,0,0,0,0,0,0,13,24,61,5,7,5,0,5,5,0,111,8,12,6,6,3,0,0,3,0,36,283,581,152,100,48,23,95,101,11,1385,0,0,0,0,0,0,3,4,0,14,80,72,88,55,15,6,62,26,8,408,126,97,140,86,21,16,99,46,8,649,518,207,2800,230,119,64,981,473,130,5520,23,18,53,39,14,20,73,57,10,304,27,17,28,14,8,11,51,29,0,176,5,5,16,6,0,3,8,14,6,54,47,24,64,31,3,18,104,67,47,402,1212,1282,3371,582,256,158,1496,841,223,9416,0,5,0,0,0,0,0,0,0,9,9,23,0,0,0,0,0,0,0,38,84,194,10,34,28,5,4,10,4,386,0,9,0,5,0,0,0,0,0,17
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,13,0,33,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,0,0,6,0,0,0,0,3,0,15,4,6,41,0,0,0,13,15,3,100,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,4,4,34,59,0,3,0,20,49,12,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,15,5,5,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,13,48,11,12,6,9,9,23,0,123,0,0,0,0,0,0,0,0,0,0,3,4,6,5,0,0,3,4,0,24,7,8,16,5,7,0,4,8,0,55,10,14,149,10,7,6,46,45,5,296,0,0,4,0,0,0,3,9,0,16,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,4,3,16,40,106,188,38,25,15,72,95,13,595,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,11,0,17,0,6,3,0,0,8,0,38,0,0,0,0,0,0,0,0,0,0
