UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL112002,57,0,0,0,57,3,0,57,1758,190,26,3,1988,19,0,22,2006,76,0,2082,1732,211,32,15,1983,7,7,11,2000,64,5,2062,240,13,32,0,288,0,4,4,291,6,0,297,18,3,0,9,31,0,0,0,31,0,9,43,3749,427,92,27,4297,26,10,33,4333,151,11,4492,18,3,0,0,23,13,0,13,34,0,0,34,39,9,5,3,48,5,0,9,61,4,0,62,60,13,5,3,75,19,0,21,95,4,0,103,3808,436,92,32,4369,46,11,58,4425,155,11,4592,575,159,17,12,762,28,3,30,796,159,0,954,0,4,0,6,7,0,0,0,7,0,10,18,4381,598,111,46,5142,71,19,85,5230,312,23,5565
UCL112003,65,0,0,3,67,18,0,91,824,197,69,7,1094,12,5,17,1108,81,0,1180,1101,345,80,10,1533,22,5,24,1559,109,5,1673,260,63,57,3,381,9,3,4,391,21,3,415,17,0,0,7,22,0,0,0,22,0,0,17,2203,598,206,22,3023,36,12,47,3071,204,8,3291,13,5,9,0,23,0,0,0,23,0,0,23,14,5,0,0,24,0,0,0,23,0,0,24,31,11,9,0,49,0,0,0,48,0,0,50,2228,610,214,21,3074,35,12,47,3121,208,8,3343,559,159,62,20,791,33,4,33,829,174,0,1002,0,0,0,0,0,0,0,0,0,0,9,11,2789,767,274,41,3866,71,17,86,3949,378,18,4350
UCL112004,49,0,0,0,56,5,0,65,879,155,24,6,1054,13,3,17,1071,45,0,1113,1179,248,42,10,1478,6,5,11,1488,36,0,1524,119,12,17,0,157,0,0,0,157,4,0,156,24,0,0,11,28,0,0,0,28,0,3,35,2199,416,84,28,2722,17,7,22,2744,85,3,2833,7,0,0,0,7,10,0,10,11,3,0,14,36,0,0,5,40,5,0,5,45,0,0,45,42,0,0,5,46,7,0,7,54,3,0,57,2234,413,84,28,2761,28,7,31,2799,88,3,2889,487,80,25,18,609,20,0,20,626,89,0,711,0,0,0,0,5,0,0,0,5,0,11,12,2723,493,113,43,3373,47,7,50,3429,177,16,3618
UCL112005,34,0,0,0,33,4,0,41,516,65,23,3,603,8,0,8,610,61,0,675,814,132,41,12,1000,15,0,16,1013,61,4,1077,135,33,22,5,194,0,0,0,197,12,0,215,12,0,0,5,19,0,0,0,19,0,10,28,1474,234,88,21,1819,21,0,23,1837,139,13,1988,9,0,0,0,9,0,0,0,14,7,0,20,20,4,0,0,24,0,0,0,24,10,0,36,29,6,0,0,33,0,0,0,38,19,0,57,1504,236,88,26,1852,31,0,26,1877,150,13,2046,418,81,19,20,536,19,3,24,562,165,0,723,0,0,0,0,0,0,0,0,0,0,9,12,1917,314,106,46,2390,47,4,53,2441,313,21,2781
UCL112006,27,0,0,0,27,3,0,29,1857,185,34,10,2096,21,9,34,2121,58,0,2186,1857,251,36,28,2164,12,0,12,2181,46,3,2229,266,29,67,0,362,3,0,3,372,3,0,371,32,0,0,28,65,5,0,5,69,0,12,84,4017,468,141,68,4689,39,12,53,4738,109,19,4869,15,0,0,0,16,4,0,4,20,0,4,23,44,6,0,0,44,0,0,0,44,10,0,54,59,6,0,0,63,4,0,4,64,7,4,78,4076,475,141,68,4751,42,12,54,4806,117,24,4946,667,88,26,27,803,22,11,33,835,160,0,999,8,0,0,6,15,0,0,0,15,0,11,33,4752,559,161,102,5574,70,19,86,5660,284,34,5979
UCL112007,11,0,0,0,11,0,0,11,279,30,4,10,316,5,6,7,331,5,0,335,440,49,5,6,502,0,9,6,506,5,0,510,62,14,7,0,86,0,0,0,86,0,0,86,6,6,0,5,12,0,0,0,12,5,0,13,786,94,13,19,912,9,7,12,927,12,0,939,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,0,0,7,8,0,0,0,10,0,0,0,10,0,0,8,790,94,13,15,920,7,7,17,937,15,0,953,78,19,3,0,96,0,0,0,96,21,0,113,6,0,0,0,6,0,0,0,6,0,0,6,874,107,18,15,1018,7,7,17,1032,33,0,1068
UCL112008,10,0,0,0,10,5,0,12,391,76,9,4,480,4,0,4,493,32,3,526,626,131,15,12,781,3,7,12,791,49,0,841,43,17,9,0,65,0,0,0,65,5,0,67,12,4,0,9,23,0,0,0,22,4,0,23,1073,220,38,23,1347,14,7,19,1369,87,5,1457,3,0,0,0,3,3,0,3,10,0,0,9,7,5,0,0,14,7,0,7,19,5,0,22,14,6,0,0,16,7,0,7,30,4,0,37,1083,221,38,23,1368,21,7,28,1397,90,3,1494,128,62,5,3,196,19,0,19,217,82,0,296,0,0,0,3,3,0,0,0,3,0,0,6,1210,289,40,34,1565,44,9,51,1619,172,5,1799
UCL112009,12,0,0,0,12,6,0,19,931,98,12,4,1041,11,3,12,1052,53,3,1114,1028,94,44,5,1177,14,0,14,1184,69,0,1253,153,17,16,0,194,3,0,3,198,13,0,212,12,0,0,19,35,0,0,0,39,3,0,45,2133,210,79,26,2448,23,3,27,2474,145,6,2625,9,0,0,0,9,5,0,5,13,0,0,18,33,5,0,0,40,5,0,5,43,5,0,49,47,5,0,0,48,8,0,8,56,4,0,62,2182,216,79,26,2495,30,3,36,2529,145,6,2688,388,77,21,11,491,19,19,37,527,98,0,626,6,0,0,0,10,0,0,0,10,0,8,24,2577,288,93,41,3002,49,19,70,3069,242,22,3335
UCL112010,26,0,0,0,26,4,0,29,863,96,11,4,982,10,3,19,999,39,3,1041,1214,96,3,20,1341,10,3,14,1351,39,4,1399,103,8,11,0,122,0,0,0,122,10,0,134,23,0,0,13,35,0,0,0,35,6,3,44,2203,200,32,43,2482,24,5,31,2516,92,15,2623,24,0,6,0,23,5,0,5,29,4,0,26,24,10,0,0,34,0,0,3,35,0,0,40,47,10,6,0,56,7,0,4,62,3,0,69,2248,213,32,48,2539,26,12,37,2577,97,17,2685,466,80,14,15,574,17,4,18,590,126,0,720,3,0,0,0,10,0,0,0,10,3,16,31,2719,294,46,64,3119,40,15,56,3178,226,33,3435
UCL112011,22,0,0,0,22,0,0,30,629,72,23,0,723,13,0,13,735,41,0,772,949,132,22,4,1111,16,6,21,1135,48,0,1186,142,25,26,3,194,0,0,0,194,13,0,207,17,0,0,3,21,0,0,0,21,0,7,25,1726,229,79,14,2047,26,6,35,2081,97,10,2197,23,0,0,0,26,5,3,3,32,0,0,32,34,0,0,0,38,0,0,0,38,10,0,43,60,0,0,0,60,5,3,3,64,14,0,79,1782,229,75,14,2105,31,10,42,2147,113,10,2274,494,86,19,8,607,29,6,27,637,127,0,765,0,0,0,4,4,0,0,0,4,0,7,11,2276,319,103,23,2720,56,15,74,2792,238,19,3047
UCL112012,23,0,0,0,23,4,0,27,849,134,10,9,1012,11,4,19,1027,53,0,1087,1083,264,20,14,1391,10,4,9,1398,84,4,1491,117,34,9,0,160,0,0,0,160,10,0,173,6,8,0,13,29,0,0,0,29,6,4,32,2064,445,46,37,2589,21,4,28,2617,156,8,2779,9,4,0,0,12,3,5,4,19,4,0,24,21,4,0,3,29,0,7,10,42,6,0,42,35,5,0,3,41,3,10,16,57,10,0,64,2094,451,46,40,2631,30,20,41,2675,159,8,2845,445,64,17,26,555,10,9,19,570,93,0,662,4,0,0,0,4,0,0,0,4,0,12,13,2543,514,59,67,3184,40,20,58,3242,255,22,3519
UCL112013,4,0,0,0,4,0,0,4,116,9,9,0,141,0,0,0,141,16,0,153,160,19,4,4,185,3,0,3,186,0,0,189,23,0,9,0,30,0,0,0,30,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,302,28,16,4,348,3,0,3,356,15,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,31,16,4,357,3,0,3,356,15,0,371,50,0,0,0,54,6,4,7,60,14,0,75,0,0,0,0,0,0,0,0,0,0,0,0,355,31,21,4,407,5,4,9,417,26,0,443
UCL112014,58,3,0,3,59,5,0,69,709,93,28,6,841,13,0,14,857,65,4,929,961,219,31,8,1222,13,3,15,1238,47,3,1286,182,44,35,9,264,0,0,0,264,12,0,275,11,8,0,3,21,0,0,0,21,0,7,25,1861,359,94,23,2343,23,7,28,2375,127,16,2513,14,0,0,0,17,0,0,0,20,6,0,24,29,4,0,0,33,0,4,4,38,6,0,36,41,9,0,0,52,0,4,6,56,5,0,62,1903,365,97,26,2392,26,14,35,2430,132,16,2578,389,119,29,9,542,6,5,16,562,116,8,678,0,6,0,4,6,0,0,0,4,0,4,13,2298,489,122,43,2945,34,16,51,2995,249,29,3271
UCL112015,26,0,0,0,26,11,0,32,1010,120,27,9,1163,3,7,10,1173,96,0,1267,1434,262,33,9,1740,7,7,17,1750,96,0,1850,201,44,21,0,266,6,0,6,269,7,0,274,14,3,0,18,36,0,0,0,36,0,0,40,2661,432,82,36,3203,9,18,26,3237,197,6,3431,7,4,0,0,13,5,0,5,19,5,0,25,37,8,3,0,47,13,3,17,63,5,0,65,45,11,3,0,61,17,3,24,77,4,0,88,2710,444,83,36,3263,30,24,48,3316,204,6,3518,613,148,26,23,803,51,3,56,865,255,0,1114,15,0,0,0,15,0,0,0,15,0,26,42,3329,587,109,58,4085,80,26,106,4194,460,31,4680
UCL112016,47,0,0,0,47,0,0,44,2050,214,37,9,2306,6,8,15,2326,82,4,2414,2294,259,37,14,2614,13,0,13,2620,88,3,2709,336,21,39,16,404,0,0,0,405,21,0,425,17,0,0,14,32,10,0,10,37,6,7,42,4698,493,110,53,5350,31,8,36,5387,188,13,5595,20,9,0,0,23,4,0,4,31,5,0,34,48,9,0,3,65,4,0,7,69,0,0,69,68,16,0,3,92,7,0,11,101,5,0,105,4762,513,116,55,5441,32,16,50,5485,194,13,5694,793,127,46,36,1008,13,8,24,1029,135,6,1166,4,0,0,5,11,0,0,0,11,0,21,32,5560,639,157,96,6454,53,22,70,6523,333,45,6898
UCL112017,77,6,0,6,81,5,0,86,1802,299,40,3,2141,20,3,23,2164,110,0,2275,2112,455,56,12,2628,15,0,15,2644,128,0,2777,214,49,28,0,301,4,0,4,298,10,0,314,17,6,0,21,45,0,0,0,45,7,4,57,4155,807,119,43,5120,38,3,41,5158,260,6,5423,19,4,0,0,31,3,0,3,32,0,0,33,31,12,0,0,38,4,6,6,46,3,0,50,50,15,0,0,64,9,6,8,77,3,0,84,4202,820,123,42,5188,50,3,52,5233,263,6,5505,558,181,25,27,796,24,0,23,814,147,0,966,0,0,0,3,6,0,0,0,6,4,15,25,4763,1002,147,68,5983,68,7,73,6054,414,25,6495
