UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL112002,170,151,68,50,50,23,12,524,79,85,52,42,55,18,9,332,60,86,54,38,43,5,4,298,1266,1263,787,490,630,142,37,4614,8,6,4,3,0,0,0,22,1577,1593,964,619,774,189,57,5785,10,6,12,8,13,5,4,56,15,24,27,22,22,3,0,116,11,28,9,11,24,4,0,91,366,527,321,238,272,57,14,1786,19,19,10,5,0,4,0,62,426,608,375,280,323,75,23,2105,2005,2197,1340,900,1100,261,84,7889
UCL112003,78,103,71,52,60,29,15,412,96,148,112,75,105,37,17,582,125,155,80,63,79,22,11,536,785,830,468,298,427,121,51,2969,5,3,4,5,0,0,0,18,1085,1229,737,489,670,209,91,4514,8,16,7,3,13,5,9,57,14,50,28,28,32,19,6,170,11,25,28,30,30,5,0,137,122,226,168,115,145,44,19,833,5,9,4,6,4,0,0,30,165,320,239,180,220,75,35,1229,1248,1548,977,668,891,283,124,5740
UCL112004,159,128,82,40,50,20,13,496,95,143,101,49,64,23,11,489,92,105,61,39,41,12,6,354,588,630,410,274,330,97,41,2377,0,4,0,0,0,0,0,11,938,1016,654,410,486,154,68,3728,4,0,8,4,10,0,0,36,4,27,14,18,24,5,0,96,3,10,7,6,10,6,3,55,70,113,93,82,101,27,22,508,4,8,12,0,4,0,0,25,91,161,132,114,153,33,33,722,1031,1178,781,525,638,191,99,4443
UCL112005,28,25,17,11,7,3,0,88,34,37,18,15,12,4,0,124,23,30,10,18,12,3,0,97,767,691,409,289,326,80,35,2595,0,0,0,0,0,0,0,9,855,790,466,326,353,92,36,2921,0,4,8,3,9,4,0,22,12,22,15,10,15,4,3,68,5,6,9,9,5,0,0,42,398,484,289,194,194,39,12,1599,15,11,11,7,0,0,0,39,431,524,323,217,219,40,15,1775,1285,1310,787,541,578,137,52,4690
UCL112006,402,267,95,59,60,22,5,917,76,56,31,20,23,3,0,215,110,60,21,18,22,8,0,243,1546,1411,817,495,563,104,19,4948,5,7,0,0,0,0,0,17,2132,1806,969,595,668,134,34,6339,11,12,19,8,6,8,0,60,17,12,23,13,13,4,4,86,12,9,18,5,6,0,0,56,509,625,383,256,240,40,9,2057,9,13,8,6,4,0,0,33,554,678,440,296,273,47,13,2288,2691,2483,1404,888,939,183,39,8627
UCL112007,12,13,8,4,3,0,0,40,11,8,3,0,0,0,0,32,3,11,9,7,3,3,0,38,275,265,173,103,140,40,14,1004,0,0,0,0,0,0,0,0,304,297,193,115,149,49,11,1113,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,10,0,0,0,0,0,0,0,0,27,45,47,27,29,5,0,180,0,0,0,0,0,0,0,0,35,44,47,27,35,5,0,194,338,344,243,138,184,53,15,1306
UCL112008,45,36,22,12,5,3,0,123,27,20,12,5,10,0,0,89,15,39,16,15,12,3,0,97,343,416,273,200,232,41,11,1521,3,0,9,0,0,0,0,19,437,516,329,233,268,49,13,1839,3,8,0,6,3,0,0,21,14,16,15,6,8,0,0,61,3,6,14,0,4,0,0,29,151,219,149,116,116,20,10,777,10,10,6,3,4,0,0,34,179,257,190,133,127,25,11,919,615,772,512,370,397,74,23,2764
UCL112009,144,98,38,26,27,19,5,351,41,41,24,19,23,6,0,162,38,50,34,17,23,6,0,172,827,792,444,330,319,55,19,2776,3,3,0,0,0,0,0,11,1057,984,542,389,387,89,21,3475,4,15,14,7,11,0,0,56,18,22,9,3,8,0,0,75,0,16,17,8,9,3,0,51,233,338,210,130,137,23,4,1076,0,5,9,3,3,0,0,15,255,396,256,162,166,29,9,1273,1320,1386,796,546,555,121,25,4745
UCL112010,348,298,154,91,136,47,15,1076,75,61,25,21,25,5,0,211,66,61,15,12,16,0,0,178,579,561,349,217,272,51,15,2036,15,6,4,5,5,0,0,25,1078,980,542,343,459,97,32,3535,32,33,29,19,22,13,3,149,25,32,15,9,15,0,0,101,7,9,6,4,5,0,0,33,145,188,112,75,85,16,4,618,8,14,8,7,4,0,0,40,215,273,170,110,130,30,10,941,1297,1255,713,451,586,124,42,4471
UCL112011,30,35,23,3,15,0,0,108,41,29,19,20,12,5,0,125,31,30,14,10,6,0,0,90,928,775,451,309,291,67,26,2856,0,6,3,5,0,0,0,17,1035,875,510,342,328,78,30,3194,3,0,0,0,8,0,0,12,16,19,3,10,9,7,5,71,5,7,10,0,9,4,0,35,335,396,210,153,149,33,8,1286,8,4,6,7,0,0,0,29,372,432,234,171,165,42,13,1429,1412,1311,743,512,490,120,44,4625
UCL112012,59,80,36,19,22,6,3,222,78,57,35,21,43,7,0,242,62,67,36,32,27,4,0,223,818,791,518,320,378,94,16,2944,0,6,0,0,0,0,0,7,1015,1002,626,391,466,115,27,3634,8,14,7,3,18,0,3,60,13,27,27,25,37,7,0,144,15,16,32,16,21,0,4,96,258,362,245,212,234,39,10,1367,12,10,15,9,0,0,0,47,302,433,326,267,316,56,21,1720,1319,1437,950,662,781,165,43,5354
UCL112013,3,4,5,0,4,0,0,14,3,6,5,0,0,0,0,19,10,11,5,3,0,0,0,25,133,126,49,52,47,12,0,423,0,0,0,0,0,0,0,0,151,138,60,57,49,12,4,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,19,13,7,19,4,0,84,0,0,0,0,0,0,0,3,14,24,18,8,20,4,0,93,162,164,77,67,79,15,6,577
UCL112014,47,53,39,28,57,20,8,256,52,71,43,15,34,9,9,230,76,65,30,24,29,13,7,250,814,771,381,237,287,91,43,2628,4,6,0,0,0,0,0,17,999,966,497,318,412,131,69,3380,0,14,7,6,7,0,3,39,13,25,19,15,20,7,0,94,8,9,9,5,14,0,4,48,213,272,170,105,100,26,13,898,13,3,4,0,0,0,0,21,242,328,208,135,138,33,23,1108,1240,1292,705,445,546,163,93,4485
UCL112015,160,159,68,37,54,16,7,498,49,57,44,29,38,8,3,226,94,101,47,36,26,9,0,312,1155,1081,599,402,451,84,30,3794,11,9,5,4,0,0,0,32,1476,1406,762,510,567,111,34,4868,4,11,9,10,11,9,0,57,24,28,30,14,30,9,4,135,9,15,18,12,7,5,0,62,424,509,313,216,218,49,5,1741,14,16,3,0,0,0,0,37,468,585,374,257,269,73,11,2029,1943,1985,1140,763,833,182,52,6895
UCL112016,270,217,99,77,75,17,13,772,95,105,61,44,44,9,7,366,111,96,56,34,40,9,4,353,1699,1637,930,603,635,135,28,5670,5,11,3,3,0,0,0,28,2187,2072,1150,767,802,171,47,7188,6,17,10,3,7,0,0,53,33,42,39,24,25,4,0,165,14,10,21,12,15,5,3,74,406,553,362,250,271,33,9,1888,10,19,12,10,3,0,0,61,470,643,447,295,326,48,15,2240,2655,2719,1589,1063,1128,216,59,9431
UCL112017,148,173,98,65,97,17,10,598,140,166,120,64,97,26,9,626,154,167,119,71,82,15,8,617,1071,1355,836,578,768,170,67,4854,6,5,4,8,3,0,0,33,1519,1867,1182,794,1045,228,91,6726,10,10,6,15,25,4,6,79,30,51,30,33,29,4,6,177,16,25,19,15,24,3,4,108,320,424,352,267,302,49,20,1727,13,17,10,10,0,0,0,60,397,539,416,341,381,61,31,2156,1913,2404,1597,1131,1419,292,118,8880
UCL112018,224,201,95,49,70,14,6,663,34,47,35,14,20,4,0,170,66,62,22,17,30,3,0,200,1080,1084,657,476,467,82,29,3875,7,9,3,4,3,0,0,22,1419,1406,816,561,585,108,35,4929,8,8,5,0,12,0,0,40,32,34,21,8,12,0,0,107,7,16,8,11,10,3,0,45,548,681,413,276,310,37,7,2269,20,20,12,3,9,4,0,67,611,764,458,301,347,40,7,2527,2030,2172,1273,863,932,148,43,7459
UCL112019,420,469,225,133,160,94,36,1540,92,108,72,49,51,12,0,378,87,93,54,28,36,12,7,317,1751,1575,995,719,836,230,68,6178,9,3,0,0,5,0,0,17,2362,2251,1342,933,1091,352,112,8439,26,59,36,19,30,9,5,176,33,39,27,14,17,3,8,148,12,15,14,12,12,0,4,68,559,687,415,318,312,64,25,2383,30,18,10,3,4,0,0,63,664,819,506,367,371,81,32,2837,3022,3073,1846,1294,1462,433,149,11273
UCL113001,54,40,19,19,17,9,0,162,72,45,24,12,12,0,0,178,67,68,32,23,24,0,0,219,388,375,226,148,182,50,6,1380,4,3,0,0,0,0,0,9,589,537,304,194,244,66,11,1954,7,8,0,9,7,4,0,33,14,24,24,6,16,4,0,91,12,18,11,12,7,5,0,55,88,153,137,104,110,20,7,621,8,8,3,0,0,0,0,20,125,205,171,130,140,30,7,819,715,751,476,329,383,93,23,2766
UCL113002,29,17,16,5,16,5,0,90,13,19,12,9,11,0,0,65,17,13,17,12,10,3,0,66,243,287,183,102,109,23,4,956,0,0,3,0,0,0,0,5,306,340,229,125,144,34,3,1190,0,0,4,0,3,0,0,10,7,9,14,5,3,5,0,53,3,8,5,6,4,0,0,28,141,140,114,88,77,12,3,584,3,0,8,0,0,0,0,7,161,161,143,107,88,20,7,687,468,498,368,235,234,52,11,1873
UCL113003,37,43,17,13,10,4,0,117,14,15,5,4,8,0,0,44,24,26,11,10,10,0,0,80,506,453,297,179,219,24,8,1684,0,4,3,0,0,0,0,8,582,533,335,210,247,26,8,1938,3,5,5,8,5,0,0,20,5,6,6,4,4,0,0,30,5,7,0,6,0,0,0,16,258,311,196,114,117,16,3,1013,8,11,3,0,4,0,0,27,277,334,209,136,133,20,3,1103,858,868,545,339,372,44,11,3041
UCL113004,62,60,34,11,22,4,4,193,52,46,33,15,26,5,7,184,48,57,27,16,19,4,0,171,195,182,111,65,65,16,0,635,0,0,0,0,0,0,0,0,358,345,198,113,133,29,8,1189,3,10,6,8,4,0,0,41,9,16,16,13,13,0,0,71,9,22,14,10,10,5,0,62,14,37,25,27,32,4,0,143,8,8,0,0,0,0,0,12,40,85,62,60,66,6,4,329,398,439,263,179,199,37,9,1511
UCL113005,41,28,10,10,5,4,0,100,18,20,13,12,7,0,0,70,29,25,12,15,8,3,0,92,539,527,335,224,234,39,3,1904,0,0,0,0,4,0,0,7,620,604,373,259,259,44,3,2170,0,3,0,0,0,0,0,9,9,8,12,8,10,0,0,54,5,7,10,3,4,0,0,26,261,355,231,149,145,24,4,1160,7,12,5,0,4,0,0,33,290,388,255,167,163,25,4,1289,912,988,628,427,424,68,6,3457
UCL113006,22,14,8,3,7,3,0,57,13,13,7,3,3,0,0,36,7,15,8,3,6,0,0,43,259,257,183,93,106,26,0,927,4,3,8,0,0,0,0,15,307,296,199,106,125,27,3,1072,0,0,0,0,0,0,0,6,6,11,5,8,3,0,0,46,0,5,3,0,5,0,0,19,202,262,172,125,113,13,4,894,13,14,9,0,4,0,0,44,223,304,198,134,125,12,9,1008,529,600,396,247,251,42,11,2084
UCL113007,40,56,37,15,37,13,10,200,51,56,43,21,35,16,0,230,92,65,29,20,16,9,4,232,444,545,280,192,256,102,41,1861,0,0,0,0,0,0,0,4,626,723,391,253,342,141,52,2526,3,12,5,0,14,0,0,34,10,19,9,3,4,0,4,49,3,12,7,5,12,3,0,43,46,78,57,45,52,14,10,300,0,0,5,0,0,0,0,4,60,118,78,59,83,18,14,432,685,845,467,316,423,159,64,2959
UCL113008,26,22,12,3,18,5,0,85,12,9,13,11,8,8,0,62,21,17,11,6,7,0,0,64,302,334,191,135,131,30,5,1120,0,0,5,0,0,0,0,8,363,382,225,156,160,46,10,1342,0,8,9,0,11,0,0,27,8,10,5,15,7,5,0,38,3,7,7,4,6,0,0,30,103,167,107,88,68,4,4,538,10,8,0,8,5,0,0,25,120,202,128,107,88,13,4,664,481,584,354,266,253,59,9,2005
UCL113009,13,30,27,15,14,9,3,109,38,43,16,13,17,4,0,140,40,29,14,15,20,8,0,137,487,559,322,199,213,67,23,1863,0,0,0,0,0,0,0,0,578,669,378,242,268,84,31,2251,0,0,0,0,4,0,0,4,7,6,5,7,5,3,0,30,3,3,0,3,4,3,0,17,67,121,84,72,72,12,0,438,0,0,0,0,0,0,0,4,76,137,90,89,84,18,7,499,653,802,471,329,348,108,41,2753
UCL113010,34,34,7,0,10,3,0,97,32,30,14,9,11,0,0,104,40,15,14,7,10,0,0,84,575,512,266,166,169,31,0,1718,4,0,0,0,0,0,0,3,674,588,306,190,206,38,4,2010,0,4,0,0,0,0,0,5,6,9,6,7,11,0,0,44,0,7,0,3,3,0,0,19,118,174,106,64,48,14,0,522,4,8,4,0,0,0,0,13,131,202,123,78,63,14,0,598,798,792,426,263,263,53,10,2606
UCL113011,38,56,30,17,20,6,0,163,22,23,14,6,9,0,0,75,18,27,24,14,12,0,0,96,415,431,234,157,194,28,13,1467,5,3,4,3,3,0,0,13,497,528,305,200,239,39,13,1821,0,0,0,0,0,0,0,4,6,10,9,4,9,0,0,32,4,5,0,0,0,0,0,9,148,218,130,97,82,12,3,677,4,12,9,7,6,0,0,30,164,245,142,103,98,12,3,762,661,773,445,309,335,45,10,2579
UCL113012,61,67,30,23,26,7,0,214,36,36,33,25,29,9,7,169,41,46,27,21,22,9,5,166,271,329,236,164,208,47,20,1278,4,0,0,0,0,0,0,4,410,467,327,231,289,72,33,1832,7,8,12,10,8,0,0,38,4,12,13,12,3,0,4,55,4,8,10,6,5,4,0,40,61,129,88,78,88,15,5,465,3,8,0,0,4,0,0,15,73,163,120,106,113,21,9,614,489,635,447,339,403,91,44,2448
UCL113013,35,26,15,10,17,5,0,108,25,30,15,9,7,4,0,96,29,37,17,11,15,5,3,108,435,473,301,218,216,50,20,1705,0,4,0,0,5,0,0,10,514,570,353,250,251,64,27,2026,0,4,3,0,0,0,0,18,6,15,7,9,14,3,0,51,5,5,3,3,3,0,0,20,227,292,184,147,122,18,3,991,6,7,8,8,4,0,0,35,243,329,211,164,142,18,9,1112,755,897,554,418,397,85,32,3138
UCL113014,45,58,30,40,40,8,0,226,27,38,26,11,6,0,0,116,46,47,27,15,15,6,0,161,646,617,338,239,233,49,15,2136,0,0,0,0,0,0,0,3,768,762,425,299,293,65,21,2635,3,0,3,3,9,4,0,18,10,6,3,4,8,0,0,25,4,13,13,3,7,0,0,42,132,233,140,84,74,20,6,689,4,3,4,5,0,0,0,18,158,261,162,95,91,22,6,787,927,1022,587,395,386,89,26,3425
UCL113015,14,17,8,4,9,0,0,53,24,26,23,11,7,3,0,91,18,21,14,8,11,0,0,77,336,270,201,126,143,16,5,1094,5,4,0,0,0,0,0,11,394,340,239,144,171,26,8,1320,0,0,9,0,5,0,0,11,4,8,6,7,4,0,0,36,3,4,0,0,5,0,0,15,100,134,98,81,73,10,0,498,13,9,3,0,5,0,0,26,123,161,115,85,86,14,0,583,514,498,351,227,256,39,7,1906
UCL113016,53,60,28,18,18,6,0,174,12,24,7,10,11,0,0,71,19,20,10,16,6,0,0,71,466,480,286,207,212,45,3,1704,8,11,6,3,0,0,0,27,555,585,336,248,252,52,10,2047,7,4,4,4,0,0,0,20,18,14,12,3,5,3,0,62,0,10,5,4,9,0,0,29,257,362,229,163,146,27,0,1176,10,17,16,12,3,0,0,51,294,399,267,178,166,30,5,1345,848,985,601,433,422,77,11,3387
UCL113017,26,20,11,10,5,3,0,79,34,34,17,14,16,0,0,113,54,54,28,20,17,8,0,176,422,401,238,146,184,46,11,1452,0,0,0,0,5,0,0,5,535,507,292,182,227,61,15,1817,5,0,0,8,7,0,0,23,7,9,18,11,19,3,0,58,3,7,3,3,7,0,0,29,85,138,108,91,85,12,0,517,0,3,0,3,0,0,0,10,96,160,131,118,116,18,0,640,631,671,426,302,346,79,16,2460
UCL113018,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,5,86,91,50,34,43,13,5,318,0,0,0,0,0,0,0,0,92,92,54,34,47,13,5,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,17,10,6,3,0,62,0,0,0,0,0,0,0,0,9,11,17,10,6,3,0,64,99,109,66,43,52,15,7,397
UCL114001,8,7,5,6,3,4,0,36,17,19,18,8,9,0,0,70,27,23,3,0,14,0,0,72,140,143,112,58,55,19,5,531,4,3,0,0,0,0,0,4,186,198,140,73,82,24,5,707,0,3,3,0,8,0,0,14,4,3,6,10,12,0,0,34,4,0,0,0,3,0,0,12,29,57,38,26,42,11,3,204,0,0,4,0,0,0,0,4,34,66,50,39,56,14,3,261,227,270,191,103,132,38,12,967
