UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL112002,15,10,39,40,65,155,253,247,190,1017,0,9,16,11,15,14,24,16,9,110,113,249,539,437,325,225,191,214,136,2429,1041,2582,5067,4330,4300,4086,3449,2083,949,27895
UCL112003,4,0,24,19,38,85,140,112,68,494,0,0,15,12,17,9,14,9,4,90,73,51,130,144,186,184,193,162,81,1208,630,1244,2720,3540,4273,4590,4484,2128,692,24308
UCL112004,8,4,7,17,32,40,123,120,82,417,4,0,9,6,7,14,12,7,11,73,38,43,76,108,139,118,164,215,192,1104,464,867,1929,2360,2904,3058,3673,2876,1099,19227
UCL112005,18,14,43,41,68,171,315,191,125,984,0,0,8,15,9,15,12,14,4,79,78,212,622,529,387,254,243,236,164,2722,708,1430,3277,2872,2786,2741,2473,1374,646,18306
UCL112006,14,13,42,45,99,203,352,290,172,1235,0,4,20,19,12,27,31,15,3,122,196,209,589,437,369,315,286,264,184,2856,1078,2330,6504,4732,4135,4123,3292,2208,896,29295
UCL112007,0,0,3,8,13,32,76,117,41,287,0,0,0,0,0,3,3,4,0,14,20,13,45,37,34,61,81,91,54,428,140,224,617,679,751,861,1120,707,215,5304
UCL112008,3,13,26,26,58,117,272,262,199,968,0,0,3,5,11,7,9,4,19,69,50,49,115,104,117,172,309,336,237,1477,439,678,1445,1669,2075,2981,4085,2915,1343,17634
UCL112009,10,5,37,50,64,122,262,248,143,950,0,0,6,15,9,19,6,16,10,89,81,132,366,269,271,191,214,186,167,1879,629,1399,3346,2804,2830,2938,2613,1658,717,18938
UCL112010,7,8,46,62,112,156,271,269,172,1105,0,5,39,29,46,41,46,39,40,281,53,102,255,177,164,157,149,160,158,1373,534,1214,3321,2715,2503,2323,1736,1131,597,16080
UCL112011,15,13,29,33,62,149,289,133,87,803,0,3,10,4,7,7,9,9,5,55,53,66,149,125,120,118,129,120,56,931,596,1323,3196,2360,2338,2273,1909,876,322,15193
UCL112012,12,14,33,57,65,119,216,246,178,946,6,6,6,6,14,10,13,6,13,76,140,153,273,238,198,205,193,179,147,1716,837,1663,3462,3307,3460,3710,3158,1806,838,22233
UCL112013,0,0,3,0,0,8,20,35,11,86,0,0,0,0,0,0,0,0,0,6,23,11,14,29,36,19,12,9,4,162,71,132,309,300,309,302,244,107,32,1792
UCL112014,11,10,24,33,51,108,170,176,127,696,5,0,6,7,7,16,20,16,8,81,46,56,111,90,92,112,164,187,158,1009,572,1247,2572,2328,2422,2739,2745,2089,936,17650
UCL112015,14,10,44,79,124,221,378,279,201,1359,4,6,3,13,18,17,23,27,18,119,170,221,653,529,417,273,258,236,107,2867,898,1936,4771,3994,3762,3811,3642,2302,986,26085
UCL112016,27,19,59,74,114,207,353,284,202,1331,0,0,18,22,27,20,44,26,10,171,121,150,336,281,264,251,284,247,178,2109,1018,2282,5638,5051,4633,4230,3776,2338,1019,29991
UCL112017,8,5,27,47,89,165,396,384,317,1443,0,0,13,13,20,23,16,12,12,99,105,123,237,240,235,279,377,427,384,2410,1180,2344,4423,5010,5740,6257,6737,4896,2147,38731
UCL112018,24,19,73,69,103,204,319,308,211,1345,3,3,24,20,17,31,28,16,4,147,199,199,430,368,306,260,282,313,204,2562,1112,2137,5126,4097,3795,3937,3438,2461,1116,27216
UCL112019,35,44,115,149,146,234,364,382,260,1728,0,8,82,95,65,55,42,23,16,392,157,190,396,330,315,289,312,245,201,2436,1438,3343,6970,5960,5648,5667,4854,2884,1283,38045
UCL113001,0,4,20,28,40,88,166,199,185,725,3,0,12,7,7,6,13,8,12,67,56,54,118,129,132,148,228,233,235,1325,383,708,1639,1864,2085,2504,3137,2111,1186,15622
UCL113002,6,3,14,19,45,77,162,144,79,547,0,0,5,7,4,0,9,3,5,37,49,45,106,91,138,134,174,162,93,997,298,463,1079,1092,1427,1836,2138,1348,548,10226
UCL113003,14,13,39,51,69,235,373,233,149,1177,0,0,0,0,7,10,3,15,3,45,96,95,205,210,186,176,190,175,136,1456,539,891,2170,1862,1996,2539,2190,1272,590,14048
UCL113004,0,0,10,10,5,20,29,21,17,110,0,0,3,6,0,0,0,0,0,12,31,72,233,165,117,99,82,46,28,866,157,540,2080,1637,1336,1337,1155,469,168,8877
UCL113005,14,4,27,29,64,106,182,199,148,774,3,3,5,8,11,8,10,8,8,69,72,88,176,152,147,138,177,179,169,1296,479,990,1929,1825,1936,2116,2005,1420,708,13405
UCL113006,15,9,25,18,44,103,177,153,77,625,3,5,0,0,7,8,6,11,8,39,100,185,452,347,192,175,111,101,54,1712,401,688,1444,1246,1214,1360,1250,793,297,8697
UCL113007,0,0,0,9,14,24,68,95,70,281,0,0,0,0,0,5,0,3,3,18,25,27,62,58,81,78,120,101,53,602,310,591,1307,1649,1735,2171,2313,1263,519,11861
UCL113008,4,5,15,25,34,82,140,117,74,501,0,0,0,3,0,8,4,6,0,28,43,27,106,95,101,98,142,134,64,810,302,545,1260,1117,1332,1576,1520,1047,382,9085
UCL113009,4,5,16,16,16,31,57,33,17,193,0,0,0,0,0,3,5,5,0,8,14,23,37,35,41,30,29,34,9,256,281,546,1154,1332,1375,1194,916,435,70,7304
UCL113010,3,4,8,19,21,49,92,82,74,357,0,0,3,0,0,5,7,15,5,36,28,36,91,86,76,77,76,81,56,602,325,619,1709,1444,1304,1241,1044,763,340,8781
UCL113011,7,8,21,47,42,77,112,86,58,461,0,0,0,0,0,8,8,0,0,26,48,42,117,92,87,69,77,55,28,627,345,604,1566,1358,1364,1295,971,483,175,8151
UCL113012,0,3,12,9,19,59,104,98,64,364,0,0,7,0,5,3,15,4,5,45,41,39,63,58,69,86,129,186,152,816,327,578,1122,1377,1767,2267,2533,1592,575,12143
UCL113013,16,5,28,36,72,91,172,107,55,582,0,4,12,3,9,13,5,3,0,55,38,27,128,127,115,109,124,99,33,804,460,864,1854,1705,1721,1727,1414,768,252,10768
UCL113014,12,11,28,15,36,57,100,90,78,433,4,0,0,7,4,10,4,9,3,44,45,43,120,87,77,88,75,51,22,611,406,840,2201,1756,1803,1598,1155,650,291,10702
UCL113015,7,6,9,14,24,84,178,128,67,513,0,0,0,3,0,6,13,6,4,37,46,34,71,78,75,81,134,125,61,704,282,503,1088,1107,1241,1518,1833,1085,315,8975
UCL113016,16,11,38,54,59,137,214,236,175,951,0,0,3,0,6,12,3,16,9,50,85,84,187,188,153,181,228,272,239,1614,554,922,1962,1798,1925,2284,2289,1790,861,14390
UCL113017,0,4,10,11,20,54,169,138,81,486,0,0,5,3,0,4,7,6,6,37,44,23,71,87,104,139,144,110,65,791,283,478,1232,1466,1569,2170,2580,1510,498,11781
UCL113018,0,0,0,4,0,7,38,43,17,107,0,0,6,0,0,0,0,0,0,0,3,10,11,10,21,27,62,49,14,214,50,79,194,195,271,346,465,290,80,1963
UCL114001,0,0,8,3,11,18,41,56,66,204,0,0,0,0,0,4,0,0,3,16,10,9,20,25,33,17,28,48,55,245,101,170,432,508,593,674,762,614,351,4200
UCL114002,0,0,3,5,13,36,122,135,103,418,0,0,0,0,4,8,3,9,0,25,24,11,27,25,31,74,112,100,63,458,123,194,365,467,700,1315,1969,1414,603,7146
UCL114003,3,3,15,23,40,72,155,169,108,590,0,0,3,0,0,0,8,11,3,31,57,68,125,133,98,103,108,125,89,908,321,638,1130,935,1009,1174,1262,916,419,7799
UCL114004,0,0,11,8,14,36,60,71,50,255,0,0,0,0,5,3,12,9,4,28,18,19,110,112,89,61,57,43,35,550,147,314,853,785,778,874,714,527,240,5220
UCL114005,4,0,8,4,16,36,122,81,54,326,0,0,0,0,9,3,8,4,0,22,19,21,42,35,44,54,64,85,24,383,130,233,476,489,596,814,983,669,248,4645
UCL114006,7,0,7,10,20,26,76,80,64,284,0,0,0,3,0,4,3,8,0,15,11,20,34,21,43,43,67,51,44,327,138,229,484,434,655,826,889,599,252,4501
UCL114007,0,4,10,21,31,59,144,107,65,432,0,0,0,5,0,6,5,0,0,21,28,47,79,67,75,80,92,82,53,593,216,463,887,794,918,1036,1129,743,346,6522
UCL114008,0,7,6,12,24,57,105,77,59,348,0,0,0,0,3,10,3,8,6,28,41,40,87,79,81,90,91,74,28,607,192,327,677,600,759,922,899,556,272,5214
UCL114009,0,0,3,4,3,7,19,24,11,79,0,0,3,0,0,0,3,0,0,9,10,32,55,26,18,16,28,59,63,298,278,908,1417,892,540,344,269,242,170,5066
UCL114010,8,0,8,19,19,48,104,86,42,331,0,0,0,0,0,10,7,4,0,25,36,50,79,73,64,81,81,87,21,571,200,410,779,729,752,846,849,587,198,5335
UCL114011,0,0,13,13,20,40,80,91,60,307,0,0,8,0,3,3,0,3,0,19,35,24,66,55,55,63,73,73,36,486,163,210,554,473,545,724,789,522,216,4188
UCL114012,0,0,0,0,0,10,6,5,0,30,0,0,0,4,0,0,5,0,0,13,9,7,43,58,23,12,10,5,0,174,98,228,1299,1347,700,291,169,49,6,4180
UCL114013,9,4,11,6,25,56,79,82,50,319,0,0,0,0,8,5,7,7,4,36,34,43,148,85,77,82,94,98,65,724,225,482,1257,917,802,928,799,635,281,6327
UCL114014,3,0,0,9,8,15,23,26,10,88,0,0,0,0,5,0,0,0,0,3,5,10,17,16,18,18,6,22,5,121,179,367,721,939,905,776,448,220,55,4616
UCL114015,4,3,23,25,38,70,142,127,87,524,0,0,5,9,6,9,7,6,4,50,57,40,134,125,110,103,95,104,58,828,316,592,1258,1028,988,1085,1048,826,347,7494
UCL114016,4,4,9,12,16,47,59,84,66,299,0,6,5,9,6,9,9,13,5,51,29,42,97,68,56,60,59,55,52,518,229,431,968,843,817,858,688,489,250,5566
UCL114017,0,0,0,5,0,11,21,18,16,73,0,0,0,0,0,0,0,0,0,4,22,19,68,59,40,56,45,16,4,329,155,289,807,1098,1117,1037,820,288,87,5693
UCL114018,3,0,0,13,14,14,60,78,46,233,0,0,0,4,4,6,7,0,0,21,14,20,38,22,55,62,95,72,62,446,124,291,714,696,947,1329,1587,958,336,6987
UCL114019,4,4,8,7,29,46,71,71,22,259,0,0,3,3,4,0,15,7,0,35,77,107,207,209,168,154,142,83,33,1182,211,455,1012,847,824,911,695,420,140,5513
UCL114020,0,0,6,16,9,45,59,53,27,210,0,3,0,0,4,3,3,0,0,17,20,36,32,45,58,52,58,57,26,372,209,424,963,954,1072,1139,1149,762,183,6847
UCL114021,0,0,5,20,24,60,87,103,70,369,0,0,0,0,5,3,4,7,8,27,41,27,60,73,82,78,115,115,169,761,263,410,851,1156,1226,1381,1208,769,448,7722
UCL114022,3,0,0,5,16,65,90,87,70,326,0,0,0,0,3,3,5,3,3,19,23,24,81,62,52,106,108,86,44,575,152,221,492,546,660,1039,1238,884,372,5607
UCL114023,0,0,12,15,20,45,81,56,25,259,0,0,0,0,3,8,3,0,4,25,23,32,65,58,56,75,60,39,32,436,152,344,804,601,621,704,541,380,159,4305
UCL114024,3,6,15,17,25,70,127,99,80,437,0,0,0,0,3,0,6,7,5,25,39,36,85,87,74,78,69,86,65,621,264,607,1227,1092,1085,1189,1008,705,315,7499
UCL114025,0,0,4,6,11,17,25,46,31,133,0,0,0,0,0,0,3,0,0,12,25,10,29,64,48,48,34,37,48,340,145,212,542,1100,932,845,859,448,193,5276
UCL114026,5,5,7,3,15,19,50,41,25,165,0,0,0,0,0,4,4,3,4,20,11,5,32,28,21,16,28,37,19,191,143,277,795,682,642,480,599,450,159,4231
UCL114027,0,0,4,8,9,24,49,62,36,195,0,0,0,0,3,4,0,3,0,13,8,11,19,17,19,40,55,90,36,291,100,203,386,406,638,886,995,857,291,4768
UCL114028,5,0,8,18,7,27,50,49,35,188,0,7,3,7,3,9,5,5,0,31,6,15,48,27,27,28,42,41,29,257,100,244,706,648,569,593,506,335,160,3864
UCL114029,0,0,9,6,13,25,40,21,12,125,0,0,0,0,5,0,3,0,0,7,16,11,24,28,26,27,19,11,0,158,155,344,782,696,742,653,368,144,41,3932
UCL114030,0,0,0,7,8,21,90,71,39,233,0,0,0,0,0,0,0,8,3,11,10,4,33,39,39,47,72,73,63,379,97,157,427,422,536,893,1201,671,234,4639
UCL114031,0,0,8,6,9,35,80,52,14,201,0,0,0,0,0,3,4,4,0,16,14,15,38,32,53,44,30,36,21,278,179,337,677,700,881,911,878,478,130,5170
UCL114032,0,0,12,10,12,28,46,43,15,174,0,0,0,0,3,3,9,8,0,17,15,18,28,29,34,10,28,17,14,194,160,309,743,607,645,491,431,246,71,3698
UCL114033,0,0,7,16,23,40,87,65,31,269,0,5,0,0,4,0,7,5,0,22,19,22,64,58,53,60,63,93,54,478,164,358,745,741,727,843,740,525,199,5043
UCL114034,0,0,9,15,15,44,110,106,79,381,0,0,3,0,0,3,3,6,4,19,35,23,68,52,63,43,55,73,36,451,229,391,915,792,925,906,993,671,309,6129
UCL114035,0,3,6,22,26,47,57,36,41,241,0,0,13,12,11,12,13,0,9,69,11,16,67,49,39,49,52,49,41,370,125,234,774,663,607,759,903,478,212,4754
UCL114036,3,0,4,0,9,17,48,71,50,206,0,0,0,0,0,0,4,0,5,8,14,19,53,44,45,57,86,66,32,411,118,228,511,588,618,939,1240,868,294,5399
UCL114037,0,5,4,11,10,25,40,44,42,171,0,0,3,0,0,4,8,3,5,25,16,24,37,30,39,32,40,53,39,309,129,296,685,737,700,677,643,407,235,4509
UCL114038,0,0,15,16,25,44,96,98,82,375,0,0,0,7,6,8,8,6,3,40,19,25,75,55,54,63,83,76,40,484,244,418,915,840,786,872,926,634,318,5954
UCL115001,0,0,0,3,8,17,31,19,9,91,0,0,0,0,4,0,0,5,0,5,0,3,11,11,13,17,13,19,7,91,52,98,220,225,238,263,212,114,36,1451
UCL115002,0,3,0,4,6,17,16,16,4,69,0,0,0,5,0,0,0,0,0,5,11,11,9,13,23,39,43,22,3,182,144,200,378,441,625,697,534,241,49,3314
UCL115003,0,0,3,3,6,9,14,4,5,46,0,0,0,0,4,0,0,3,0,14,5,3,10,18,9,12,5,7,0,71,75,150,404,485,328,252,173,73,18,1955
UCL115004,0,0,6,8,3,7,20,19,6,72,0,3,6,0,0,0,0,0,0,14,5,6,16,7,16,6,13,22,5,101,33,78,193,201,202,271,338,171,51,1535
UCL115005,0,3,7,0,11,7,22,22,6,82,0,0,0,0,3,0,0,0,0,9,0,3,17,19,24,26,24,13,7,139,15,53,116,83,147,180,147,77,35,851
UCL115006,0,0,0,3,0,4,5,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,32,32,29,12,15,19,36,174,36,67,226,372,347,241,210,85,58,1646
UCL115007,0,0,5,3,6,7,41,26,8,99,0,0,0,0,0,3,0,0,3,7,7,9,10,20,16,17,33,33,9,155,97,191,345,395,448,403,345,231,67,2527
UCL115008,0,0,0,0,0,4,16,31,26,86,0,0,0,0,0,0,0,0,4,6,3,0,7,5,9,7,10,19,19,72,24,34,79,63,110,196,221,164,99,985
UCL115009,0,0,0,5,6,8,32,30,10,88,0,0,4,0,0,0,0,0,0,4,0,0,26,7,8,24,18,19,10,112,44,61,191,179,215,247,297,139,42,1411
UCL115010,0,5,3,5,8,18,32,29,14,107,0,0,0,0,0,0,0,9,4,4,5,0,8,7,15,15,20,25,7,96,22,28,72,60,98,186,212,158,53,894
UCL115011,0,0,0,3,3,14,17,13,7,55,0,0,0,0,0,0,0,0,0,0,5,5,5,4,12,19,14,17,6,82,38,62,167,146,200,245,211,139,57,1272
UCL115012,0,0,0,0,12,0,16,10,20,59,0,0,0,0,0,0,0,0,0,3,9,0,10,13,16,10,13,11,0,86,26,36,95,99,150,150,153,88,42,826
UCL115013,4,0,8,11,24,28,33,64,34,210,0,0,0,0,0,0,3,4,0,14,26,16,37,40,34,39,48,59,70,370,115,222,494,478,478,565,491,386,189,3415
UCL115014,5,0,4,3,4,10,11,17,15,61,0,0,0,0,5,0,0,0,0,8,19,9,12,26,41,24,26,24,25,208,91,98,230,378,459,421,400,230,85,2390
UCL115015,0,0,0,0,4,8,21,22,7,64,0,0,0,0,0,0,3,0,0,3,13,4,18,18,18,20,34,19,8,150,29,43,128,142,174,327,407,195,72,1529
UCL115016,0,0,0,0,3,7,11,8,4,28,0,0,0,0,0,0,0,4,0,5,6,9,13,6,14,12,11,7,11,91,35,53,113,111,146,159,119,64,27,838
UCL115017,0,0,0,0,0,4,9,12,13,40,0,0,0,0,0,0,3,0,0,5,5,6,4,11,12,10,38,32,71,192,23,53,162,247,223,321,435,368,225,2055
UCL115018,0,0,0,0,5,14,35,32,20,103,0,0,0,0,0,0,0,6,3,9,0,4,0,6,5,12,24,19,8,74,15,35,52,69,102,152,229,169,81,895
UCL115019,3,0,3,4,7,11,13,11,15,68,0,0,0,6,0,0,5,0,0,11,10,3,15,20,27,37,35,36,8,207,70,95,363,476,599,808,787,440,107,3751
UCL115020,0,0,9,5,5,29,36,30,27,138,0,0,0,0,3,0,3,5,0,14,5,8,5,10,9,19,22,22,5,103,89,186,388,293,328,392,308,200,86,2277
UCL115021,0,0,0,0,5,10,28,26,10,76,0,0,0,0,0,0,0,5,0,0,8,5,14,6,13,20,16,18,9,104,25,53,115,125,134,156,170,104,46,918
UCL115022,0,0,0,0,0,8,18,21,13,64,0,0,0,0,0,0,0,0,0,3,3,3,6,10,13,14,16,26,0,89,85,116,160,272,411,453,449,292,65,2303
UCL115023,0,0,0,3,0,3,17,20,9,54,0,0,0,0,0,0,0,3,0,3,4,4,13,21,27,36,39,21,13,187,25,66,134,115,173,202,228,133,57,1139
UCL115024,0,0,4,0,8,21,30,13,6,83,0,0,0,0,0,0,5,0,0,11,16,14,42,36,43,38,21,12,3,224,50,101,233,175,185,186,124,57,26,1143
UCL115025,0,0,0,0,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,5,3,8,11,4,0,3,4,0,47,51,101,205,214,207,173,104,45,9,1107
UCL115026,0,0,0,0,0,0,12,20,3,35,0,0,0,0,0,0,0,4,0,3,9,4,18,17,22,22,19,12,5,124,21,44,139,161,169,177,195,180,46,1141
UCL115027,0,0,0,4,0,10,32,14,9,71,0,0,0,0,0,0,3,0,0,15,8,4,21,15,14,14,18,13,5,116,83,167,461,413,327,258,260,98,34,2103
UCL115028,0,0,0,0,0,5,12,15,16,43,0,0,0,0,0,0,0,0,0,0,3,4,11,19,15,17,7,22,11,112,47,85,186,253,311,401,353,258,135,2024
UCL115029,0,0,0,0,4,4,9,14,6,37,0,0,0,0,0,0,0,0,0,3,8,7,16,12,14,32,23,8,4,124,37,83,196,213,234,260,236,118,42,1421
UCL115030,0,0,0,0,3,12,24,17,16,80,0,0,0,0,0,5,0,0,0,7,5,3,9,7,10,7,13,13,11,71,34,39,80,92,135,195,213,127,60,961
UCL115031,0,3,0,5,0,5,17,9,4,45,0,0,4,3,0,0,0,0,5,10,0,0,8,0,7,20,30,32,37,137,51,64,156,200,272,420,622,359,126,2274
UCL115032,0,0,0,3,4,5,5,11,0,34,0,0,0,0,0,0,0,0,0,0,5,3,9,11,8,12,11,6,9,80,47,73,131,213,300,403,306,152,41,1666
UCL115033,0,0,0,0,0,5,18,12,4,48,0,0,0,0,0,0,0,0,0,3,11,0,17,16,21,16,24,6,0,124,86,189,455,632,582,461,292,125,31,2849
UCL115034,0,0,0,0,5,4,11,5,0,28,0,0,0,0,0,0,0,0,0,6,11,11,23,13,11,5,11,5,0,81,74,111,276,236,229,200,107,42,0,1274
UCL115035,0,0,5,3,3,11,15,16,9,73,0,0,3,0,0,0,3,0,0,11,7,8,39,30,20,11,14,11,0,141,86,243,617,529,426,384,349,187,39,2873
UCL115036,0,3,0,0,10,15,39,42,23,133,0,0,0,0,0,4,0,4,4,11,0,7,10,7,15,17,27,20,11,112,63,124,250,241,409,538,538,306,83,2557
UCL115037,0,0,0,0,0,6,9,3,3,22,0,0,0,0,0,0,0,0,0,0,7,5,9,7,11,4,0,7,0,39,40,56,102,138,180,178,151,55,20,920
UCL115038,0,0,0,4,3,20,26,19,17,89,0,0,0,0,0,0,0,0,0,0,6,13,14,15,24,26,25,14,9,149,51,70,148,129,153,226,212,143,51,1175
UCL115039,0,0,3,8,11,26,54,42,19,165,0,0,0,0,0,0,3,0,0,9,42,30,82,78,55,62,48,44,12,455,110,197,520,420,344,436,304,173,64,2577
UCL115040,0,0,0,0,0,3,13,9,0,32,0,0,0,0,0,0,0,0,0,3,0,0,8,7,4,5,16,4,0,35,50,95,201,164,217,182,167,72,11,1163
UCL115041,0,0,5,3,3,19,35,36,12,122,0,0,0,0,0,0,7,0,0,14,11,17,47,55,43,52,34,26,23,292,68,124,345,265,256,347,260,201,109,1978
UCL115042,0,0,0,3,0,15,17,22,15,80,0,0,0,0,0,0,0,0,0,7,5,4,14,7,13,13,17,20,25,105,50,73,194,168,181,222,220,157,86,1342
UCL115043,0,0,0,4,10,17,35,45,19,130,0,0,0,0,6,0,0,0,4,3,16,18,35,26,37,60,65,62,54,374,54,97,247,207,249,316,374,250,159,1952
UCL115044,0,6,8,10,16,25,37,37,21,157,0,0,0,0,0,4,7,7,5,16,23,26,47,42,27,37,34,41,14,290,85,122,318,229,248,297,249,152,64,1771
UCL115045,3,0,0,7,4,10,20,13,10,66,0,0,0,0,0,0,0,0,6,4,19,11,15,19,21,23,18,12,10,148,54,58,119,104,147,164,156,101,44,950
UCL115046,0,0,3,0,11,9,9,6,0,35,0,0,4,0,0,0,0,0,0,6,0,7,19,7,14,8,12,6,0,82,50,72,234,207,240,210,185,71,12,1285
UCL115047,0,0,0,0,10,15,34,37,30,127,0,0,0,0,0,3,3,0,3,11,3,0,4,15,12,21,25,22,21,131,53,96,169,188,217,311,319,231,129,1712
UCL115048,4,0,0,5,0,19,39,35,38,142,0,0,0,3,0,0,3,0,0,11,6,7,18,16,9,18,33,28,13,151,74,139,349,311,390,596,583,421,158,3031
UCL115049,0,0,7,8,0,8,20,10,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,8,11,13,16,23,12,89,40,45,83,117,113,145,178,105,27,858
UCL115050,0,0,0,3,3,0,3,9,3,21,0,0,0,0,0,4,3,0,0,10,3,4,15,13,12,5,7,3,0,66,48,99,238,336,274,203,173,69,14,1444
UCL115051,0,0,6,0,5,10,19,31,27,93,0,0,0,0,0,0,0,0,0,0,5,12,23,11,14,37,30,38,55,233,36,38,158,185,211,359,426,236,197,1849
UCL115052,0,0,3,0,0,5,16,32,17,78,0,0,0,0,0,0,0,4,0,5,5,8,5,8,10,12,18,12,6,97,51,74,169,183,183,200,180,114,59,1219
UCL115053,0,0,0,0,0,8,16,17,18,62,0,0,0,0,0,0,0,0,0,3,9,0,4,6,7,16,9,15,4,68,23,24,71,81,110,173,190,140,51,867
UCL115054,0,0,0,0,3,7,9,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,6,14,7,0,49,46,66,90,134,158,161,139,29,13,837
UCL115055,7,0,3,0,0,17,32,27,32,105,0,0,0,0,0,0,0,0,0,4,8,3,8,13,8,16,15,25,8,102,71,94,172,203,239,316,313,253,91,1762
UCL115056,4,0,5,12,10,27,49,53,18,172,0,0,0,0,0,0,3,0,5,14,15,12,30,30,24,38,47,48,41,278,80,122,244,268,386,502,581,318,134,2631
UCL115057,0,0,0,4,8,14,43,42,30,141,0,0,0,0,0,0,0,0,0,3,11,19,21,32,32,28,44,31,17,237,41,129,239,276,350,483,508,245,132,2393
