UCL_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
UCL112002,865,188,1096,233,47,2516,2914,3750,869,43,1434,1001,217,487,3308,199,2199,18743,1159,31140,40,29,12,3,22,26,5,14,27,4,16,140,2326,2583,3743,4195,1123,359,1836,1437,329,741,4196,383,3318,19108,3532,36230,4,3,0,0,0,0,0,0,4,0,10,33,0,47,178,71,90,16,105,119,24,62,128,24,122,301,17,805,176,74,86,18,109,117,30,59,134,21,126,335,17,853,3514,3329,1023,337,1680,1288,288,660,3809,356,2780,13589,918,26241,47,25,6,8,37,19,4,10,33,6,14,85,2008,2212,3740,3428,1114,359,1820,1426,320,733,3974,383,2920,14006,2941,29310
UCL112003,641,147,804,166,38,1954,2723,2611,985,28,1138,1272,244,540,3084,211,2613,15595,848,26805,48,22,15,29,13,28,3,14,31,3,25,94,1072,1286,3348,2916,1194,273,1398,1597,351,747,3757,361,3441,15867,1964,30049,0,3,0,0,0,0,0,0,4,0,4,39,0,44,160,64,82,18,100,129,22,45,107,33,115,246,18,725,162,64,82,18,99,132,22,45,110,33,121,283,18,774,3138,2487,1094,217,1269,1440,326,694,3455,314,3026,11863,706,23472,44,15,13,45,11,25,4,8,38,10,31,54,905,1092,3342,2567,1188,273,1385,1595,343,748,3600,355,3177,12197,1632,25338
UCL112004,328,124,472,137,25,1384,2643,1631,932,45,942,1043,178,427,1597,174,1519,13002,670,21212,30,7,17,0,6,11,0,6,17,3,15,96,989,1156,3168,1826,1119,223,1140,1299,244,573,1935,304,1999,13231,1684,23762,0,7,0,0,0,0,0,0,3,0,0,23,0,29,183,40,79,15,96,138,28,50,58,27,81,293,10,731,182,48,83,20,100,137,27,47,64,32,82,311,11,757,2942,1539,1024,196,1019,1141,215,510,1797,270,1778,9811,564,18286,34,17,9,8,15,14,4,9,8,3,17,61,828,965,3165,1603,1116,221,1131,1292,245,574,1865,308,1874,10183,1401,20007
UCL112005,789,209,817,164,59,2245,2196,2181,527,28,1096,789,200,463,2471,135,1267,10080,774,18239,32,21,12,6,10,10,5,15,37,0,19,76,2562,2730,3095,2602,757,326,1555,1281,358,744,3298,347,2099,10320,3397,23211,0,4,0,0,0,0,0,0,4,0,0,22,0,24,140,49,49,21,80,94,15,56,99,15,72,144,12,486,145,51,47,21,83,93,15,52,101,15,71,165,12,508,2891,2072,689,276,1434,1130,324,658,2982,309,1790,7082,611,15933,59,16,17,35,25,45,11,16,43,19,23,52,2333,2519,3091,2145,751,326,1550,1265,357,734,3124,341,1882,7298,2960,18961
UCL112006,715,190,830,224,70,2425,2896,3663,813,48,1620,1233,263,562,3173,191,2112,20526,1290,32944,54,32,16,9,35,23,5,14,38,3,22,171,3105,3410,3771,4138,1066,355,2077,1712,412,836,3931,381,2965,20925,4467,38783,0,8,0,0,0,0,0,0,3,0,0,17,0,29,162,53,49,22,96,120,16,43,96,37,74,237,24,660,163,53,54,22,96,120,16,49,99,37,76,252,24,688,3516,3239,968,283,1931,1538,377,760,3554,329,2471,14547,984,27058,83,39,31,53,41,41,10,19,49,18,49,133,2350,2680,3766,3336,1057,355,2066,1696,398,828,3701,379,2595,14940,3364,30419
UCL112007,81,34,124,20,9,355,680,523,243,14,305,256,66,123,402,49,287,3672,205,5880,32,10,8,22,10,31,5,9,33,3,44,29,322,422,848,588,306,65,371,359,98,167,516,89,457,3721,529,6654,0,0,0,0,0,0,0,0,0,0,0,3,0,3,52,12,27,0,22,28,10,8,21,6,14,49,6,174,52,12,27,0,22,28,10,8,21,6,14,54,6,172,760,477,265,43,330,294,85,143,438,73,359,2731,151,4952,39,8,12,17,12,32,7,9,34,4,46,34,280,394,844,501,300,65,372,363,98,164,499,87,420,2817,443,5518
UCL112008,795,247,750,147,37,2297,2779,1673,882,75,1071,1142,272,527,1667,222,1190,9197,703,17105,47,20,20,12,22,20,8,13,24,3,18,89,949,1151,3763,2013,1199,563,1480,1696,449,810,2486,474,1958,9428,1686,20554,0,0,0,0,0,0,0,0,0,0,0,4,0,9,250,71,118,34,127,178,34,72,121,53,93,217,29,789,251,71,118,34,127,182,34,72,121,53,98,228,29,796,3303,1682,1025,323,1281,1381,370,693,2070,363,1637,7261,606,15983,207,48,58,208,70,133,36,39,222,52,112,98,810,1315,3765,1801,1199,563,1480,1689,439,799,2410,474,1847,7583,1442,18099
UCL112009,630,122,760,139,27,1883,2375,2201,653,28,1157,876,271,490,2066,164,1508,11826,798,20216,37,19,10,0,19,17,5,8,23,3,11,76,1693,1858,3125,2551,857,301,1477,1251,450,735,2721,294,2282,12034,2518,23963,10,4,0,0,0,5,0,0,10,0,0,37,0,46,160,47,60,7,84,101,35,59,100,11,104,219,22,639,171,52,67,7,85,104,37,59,105,11,106,251,22,684,2916,2000,770,286,1367,1122,399,655,2457,273,1933,8608,602,17330,38,16,17,11,14,18,4,8,17,5,17,66,1405,1561,3129,2066,854,301,1466,1244,444,726,2577,291,2054,8926,2030,19580
UCL112010,266,88,412,103,25,1136,1276,1642,423,20,797,505,84,222,1207,108,809,12511,750,18246,25,18,4,0,13,13,8,5,15,9,7,127,1224,1417,1648,1847,534,183,1003,697,155,326,1482,198,1231,12741,2003,20799,0,0,3,0,3,0,0,0,0,0,6,4,0,7,58,27,22,11,27,43,3,14,32,8,29,69,9,219,60,30,28,10,33,43,6,15,28,10,27,75,9,220,1561,1411,496,113,943,630,144,295,1382,185,970,9541,589,15339,23,13,7,55,17,11,7,9,12,9,83,104,975,1228,1645,1449,532,183,992,685,150,318,1422,198,1081,9720,1571,16787
UCL112011,568,121,651,120,51,1611,1723,2022,445,24,997,698,182,346,2310,125,1192,9998,757,17382,27,17,9,3,15,15,4,10,17,5,17,61,890,1017,2293,2357,605,138,1310,991,267,552,2901,245,1859,10184,1699,20015,0,0,0,0,0,0,0,0,0,0,0,21,0,20,142,38,48,7,91,71,18,32,93,12,69,149,14,478,145,38,48,7,91,71,18,32,92,12,65,164,14,500,2114,1814,547,130,1196,902,244,498,2630,228,1507,6947,591,14480,32,13,8,3,16,15,3,9,18,3,11,40,671,767,2287,1863,602,138,1303,987,263,546,2743,244,1589,7150,1279,15750
UCL112012,953,182,972,189,53,2324,2323,2716,810,31,1134,1020,253,551,3055,214,1888,13589,910,23701,26,28,8,0,15,12,4,9,32,3,17,81,1713,1891,3021,3174,1025,259,1471,1446,379,835,4035,398,2875,13862,2680,27916,6,3,0,0,5,3,0,0,3,0,4,21,3,45,150,56,65,14,73,125,26,70,115,34,94,208,12,648,152,57,66,17,76,132,26,70,122,34,96,228,16,690,2813,2626,937,217,1359,1270,336,741,3649,349,2479,10138,732,20817,55,23,19,27,32,36,7,14,59,10,44,86,1378,1620,3021,2710,1018,259,1465,1437,372,825,3821,397,2616,10455,2129,23122
UCL112013,29,7,47,12,3,96,139,207,61,0,81,69,18,25,169,7,120,1385,69,2097,3,8,0,0,3,0,0,0,0,3,5,18,175,202,175,225,64,0,99,79,19,28,192,21,172,1408,246,2400,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,9,3,0,5,6,0,4,3,0,5,27,4,56,10,9,3,0,5,6,0,4,3,0,5,28,4,60,159,177,58,0,89,73,19,26,174,14,135,983,49,1680,3,5,0,0,0,0,0,0,0,0,0,6,132,146,175,184,64,0,99,79,19,28,186,21,144,1017,185,1884
UCL112014,697,158,773,146,30,1936,2270,2032,710,39,1100,1037,237,417,2118,188,1469,10972,746,19240,34,29,12,0,12,19,0,10,19,8,9,78,801,971,2905,2333,960,362,1409,1440,365,624,2826,354,2256,11192,1584,22150,4,0,3,0,3,0,0,0,4,0,4,10,0,31,135,56,61,16,90,116,24,48,89,23,87,167,17,542,136,60,66,16,97,118,29,48,94,23,89,183,17,567,2720,1895,878,316,1292,1292,324,553,2592,319,1940,8003,566,16836,40,14,10,24,21,25,8,11,21,14,19,76,649,854,2905,1974,954,359,1409,1432,364,609,2707,352,2055,8259,1234,18262
UCL112015,1137,225,1186,254,51,3103,3100,2876,915,58,1598,1148,409,682,3336,249,2063,15859,1020,27281,46,44,13,8,17,27,8,17,47,8,20,129,2941,3199,4193,3451,1239,438,2168,1761,659,1109,4520,490,3269,16237,4005,33583,45,33,9,0,6,3,0,5,54,0,58,520,11,703,352,115,140,38,212,210,64,119,278,53,189,429,24,1314,397,149,145,38,221,213,66,120,329,53,247,947,38,2013,3721,2765,1063,378,1914,1495,573,954,3922,419,2690,10433,777,22428,67,37,23,15,21,35,16,23,43,11,25,105,2346,2613,4187,2954,1232,438,2160,1745,654,1093,4298,483,2964,11493,3155,27050
UCL112016,885,185,999,193,74,2590,3055,3596,906,67,1543,1289,285,626,4042,212,2416,21695,1347,35212,49,40,20,0,18,19,4,14,33,4,25,162,2032,2329,3931,4068,1167,338,1968,1747,402,956,4956,410,3437,22048,3460,40127,0,3,0,0,0,0,0,0,3,0,4,26,0,35,191,68,73,22,110,144,26,62,127,34,81,275,22,760,188,66,73,22,110,144,26,62,132,34,84,301,21,796,3665,3312,1063,291,1821,1557,359,862,4483,362,2911,14986,1013,28722,72,39,25,21,22,35,12,13,40,9,24,127,1616,1913,3927,3418,1162,334,1963,1739,396,931,4656,405,3016,15408,2651,31430
UCL112017,1270,338,1469,311,94,4076,5006,3944,1699,106,1962,2058,431,980,4268,376,3044,24215,1482,41402,85,34,36,65,44,49,8,22,65,16,108,149,1897,2308,6512,4601,2206,727,2611,2855,699,1505,5601,741,4622,24672,3464,47793,4,0,0,0,3,4,0,4,3,0,8,40,0,60,401,108,183,46,195,289,69,126,243,72,203,499,30,1505,402,108,183,47,196,294,69,126,248,72,210,543,31,1567,5973,3831,1965,551,2323,2465,598,1339,4971,635,3853,18346,1231,36634,131,42,51,127,74,74,28,37,96,25,133,153,1593,2145,6505,3977,2200,722,2600,2837,694,1498,5316,737,4196,19038,2853,40342
UCL112018,867,231,913,202,67,2624,2781,3451,847,68,1496,1196,292,523,3220,221,2000,17928,1237,29844,49,48,15,10,25,24,6,20,31,6,26,140,2657,2952,3725,4024,1130,375,1965,1708,480,849,4121,454,2942,18271,3960,35415,7,3,0,0,0,0,0,0,4,0,6,27,3,52,195,68,75,17,119,130,25,62,107,34,103,245,19,745,204,72,75,17,119,135,23,66,109,34,108,273,28,796,3438,3231,1033,326,1790,1523,427,759,3737,398,2451,12876,963,25227,79,24,16,28,34,32,14,17,40,10,28,108,2061,2332,3718,3332,1121,372,1940,1687,466,841,3888,449,2589,13260,3051,28353
UCL112019,1082,242,1220,292,76,3332,3870,5116,1292,53,2012,1497,428,843,4462,286,2802,26803,1714,43711,42,38,13,4,26,19,3,10,33,6,14,240,2264,2645,5007,5792,1666,458,2557,2104,643,1233,5585,528,4039,27343,4053,49686,48,24,11,0,6,12,3,0,41,0,46,319,7,458,331,143,138,27,194,184,34,94,219,47,181,379,27,1214,372,167,153,27,198,192,38,98,262,45,220,700,39,1681,4549,4672,1483,374,2297,1855,575,1106,4972,469,3296,19027,1328,35958,77,36,22,56,45,35,13,21,58,7,60,155,1781,2173,4996,4877,1653,458,2543,2079,623,1223,5296,526,3576,19881,3147,39809
UCL113001,542,185,630,124,22,1723,1944,1270,666,33,775,958,203,463,1569,181,1090,8980,570,15547,39,21,24,36,19,35,9,16,51,8,73,80,1032,1261,2545,1511,897,334,1054,1379,326,684,2168,378,1791,9184,1620,18532,0,0,0,0,0,0,0,0,0,0,0,12,0,15,167,39,84,25,90,158,40,63,115,35,92,187,23,671,168,39,84,25,90,158,40,63,111,35,92,197,24,684,2314,1299,783,255,927,1149,279,591,1906,317,1514,7021,479,14271,56,18,33,55,28,59,16,25,64,14,86,66,862,1124,2541,1355,897,334,1044,1371,326,681,2084,374,1688,7287,1361,16078
