SED_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
SED10092,17,30,44,26,53,14,5,192,5,19,14,17,16,10,0,78,0,12,0,8,0,0,0,24,0,0,0,3,3,0,0,7,25,63,61,51,72,29,7,295,0,4,4,4,6,0,0,22,0,0,3,0,0,0,0,8,0,4,5,6,12,0,0,25,25,68,63,53,79,29,10,324,15,49,26,38,29,7,7,171,5,3,0,0,0,0,0,11,45,122,93,89,113,38,16,508,44,122,115,109,136,70,39,631,123,212,136,89,107,39,19,725,37,36,30,23,23,7,3,166,0,0,0,0,0,0,0,5,206,370,284,229,270,115,60,1529,6,18,8,6,10,8,0,51,13,15,3,7,6,0,0,50,18,28,12,9,21,8,3,100,227,396,293,239,289,125,62,1631,412,396,221,139,138,41,26,1368,7,7,9,3,4,0,0,33,643,800,525,379,427,168,88,3029,61,149,154,135,190,85,44,820
SED10093,31,50,48,35,53,10,10,234,8,18,17,13,18,6,0,86,0,11,7,5,0,3,0,24,3,0,0,0,0,0,0,7,48,78,67,52,74,20,12,354,0,14,7,4,12,4,0,43,4,6,4,4,0,0,0,24,9,22,12,5,14,4,0,64,55,99,81,57,89,22,14,415,16,30,34,21,29,4,4,134,4,0,0,0,0,0,0,6,70,134,113,84,117,31,16,557,86,178,185,132,194,65,28,868,238,319,215,160,154,42,16,1137,76,95,43,32,41,10,0,296,23,19,15,7,5,0,0,77,421,609,463,330,394,116,48,2380,17,22,16,8,13,5,3,81,34,24,16,11,13,4,4,104,49,44,32,20,28,9,8,189,467,656,495,349,422,121,57,2571,640,557,321,207,187,34,11,1958,10,5,9,12,3,3,0,43,1121,1218,823,566,609,161,65,4573,114,228,231,168,249,77,41,1104
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,19,36,20,19,40,40,9,181,4,4,7,6,10,6,3,36,0,4,0,0,5,0,0,12,0,0,0,0,0,0,0,0,22,48,31,25,52,40,15,230,3,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,15,26,52,31,29,52,44,14,246,5,12,10,4,12,6,9,50,0,0,0,0,0,0,0,0,28,61,36,32,62,54,21,302,56,95,87,82,103,67,34,530,53,91,61,42,63,46,33,393,14,9,3,6,5,7,0,52,3,8,4,3,0,0,0,22,129,209,157,144,172,127,69,997,11,7,5,0,0,3,4,34,6,18,3,6,5,4,4,49,19,28,9,5,10,8,7,78,147,234,160,148,184,134,71,1077,89,110,84,44,65,49,36,473,6,0,0,0,0,0,0,8,235,340,247,188,248,181,109,1560,69,134,110,103,147,105,51,711
SED20207,34,78,52,43,66,23,20,315,13,20,13,6,16,0,6,79,0,0,0,0,4,0,0,7,0,6,0,0,0,0,0,6,44,104,66,60,86,31,29,416,5,5,4,0,0,3,0,24,0,0,6,5,3,0,3,13,5,5,13,5,0,3,5,33,46,107,80,56,89,34,35,448,13,24,16,12,14,15,10,100,0,4,0,0,0,0,0,5,63,130,98,77,105,46,40,556,89,241,211,153,216,120,54,1081,123,242,191,138,175,77,49,1006,33,37,15,12,17,13,3,130,9,10,11,4,8,5,0,55,260,525,436,315,423,210,108,2281,15,34,26,18,19,10,6,132,31,48,21,23,18,6,4,141,43,80,49,34,37,13,8,271,305,608,479,345,461,223,117,2547,310,352,159,126,137,71,47,1205,19,7,3,6,0,0,0,29,635,971,641,474,596,301,162,3781,121,315,268,199,279,147,71,1404
SED20302,26,59,46,41,71,23,16,286,25,9,16,11,15,6,3,94,0,3,5,5,0,0,0,11,0,0,0,0,0,0,0,7,60,77,70,53,92,29,24,398,3,5,9,0,10,6,0,26,5,3,5,5,0,0,3,13,6,4,11,10,12,6,3,41,60,82,78,56,102,32,26,434,15,32,20,15,16,8,5,108,3,3,9,0,0,0,0,16,74,122,107,73,121,37,28,563,82,236,165,144,182,78,34,923,220,401,245,206,212,50,26,1354,33,35,20,17,20,3,3,136,14,19,8,8,5,7,0,71,350,694,447,374,419,143,67,2496,14,28,21,12,13,0,0,98,17,32,15,7,8,0,6,85,29,55,34,23,22,5,9,178,378,751,479,396,446,147,73,2670,450,459,231,141,148,54,16,1498,14,12,8,8,6,0,0,55,842,1224,721,544,600,200,92,4222,108,296,205,182,253,106,53,1211
SED20401,13,36,36,28,61,18,13,206,0,10,5,3,15,10,0,41,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,19,42,41,34,74,27,20,255,0,3,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,10,19,42,50,35,76,29,20,270,9,13,8,13,10,8,9,55,0,0,0,0,0,0,0,0,31,53,54,49,82,31,24,325,29,105,105,81,129,81,55,581,88,198,122,100,127,74,27,731,15,17,16,10,15,6,0,74,0,6,0,4,4,0,0,20,139,321,245,188,270,164,82,1403,0,3,4,0,4,0,0,15,14,13,6,0,3,0,0,38,15,15,11,0,6,0,0,54,149,339,260,189,276,165,83,1460,166,179,102,65,84,24,16,640,0,8,3,0,0,0,0,5,314,525,361,256,357,193,102,2106,44,137,139,110,187,101,70,791
SED20508,14,37,29,25,48,19,4,176,0,6,7,9,17,4,4,45,0,4,3,0,5,0,0,9,0,5,0,0,0,0,0,7,11,53,39,38,66,22,6,240,0,4,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,14,11,57,42,36,69,22,7,254,5,29,7,8,7,6,0,64,0,0,0,5,0,0,0,4,20,87,57,47,76,28,7,326,39,96,116,81,137,50,24,538,93,256,164,133,153,41,21,869,19,25,14,15,12,0,0,87,5,9,3,4,9,0,0,28,150,389,301,230,306,100,45,1518,0,6,5,4,6,0,0,23,11,18,9,6,3,5,3,52,14,25,17,7,9,4,3,81,167,413,317,234,316,103,47,1598,145,167,107,80,71,21,12,596,8,7,6,0,0,0,0,22,317,587,423,318,387,119,58,2210,47,135,143,103,178,66,30,714
SED20604,12,61,41,43,52,14,6,231,4,12,17,7,20,0,0,65,4,4,5,3,0,0,0,20,0,0,3,5,0,0,0,4,19,82,61,57,73,14,4,322,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,8,0,5,3,6,4,0,0,20,23,86,71,60,81,16,4,345,16,28,12,19,26,5,6,102,0,0,0,0,3,0,0,12,34,114,82,84,104,19,10,453,48,166,150,101,139,45,14,672,155,279,185,120,151,28,10,924,19,28,10,4,7,6,0,74,4,8,10,0,4,0,0,45,224,489,351,231,313,80,27,1707,6,15,5,8,3,0,0,39,13,18,14,5,9,4,0,60,24,33,15,10,13,7,0,105,247,517,369,237,319,89,24,1811,292,301,174,105,116,20,4,1009,0,0,3,7,4,0,0,17,536,821,544,354,441,105,33,2842,64,227,192,142,192,62,18,900
SED20704,20,41,46,51,40,18,9,218,3,17,4,8,14,0,0,48,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,24,53,53,52,55,17,9,268,4,5,4,0,4,0,0,16,0,0,0,0,0,0,0,0,4,5,4,0,4,0,0,16,33,58,53,57,59,17,9,289,7,10,15,17,20,0,0,76,0,0,0,0,0,0,0,6,39,69,76,77,77,23,12,372,58,147,184,133,176,63,19,770,159,311,240,159,170,46,14,1103,42,27,13,6,15,4,5,112,11,10,8,0,6,4,0,35,266,493,442,301,362,118,36,2023,5,17,9,4,0,0,0,40,13,28,15,13,14,0,0,85,25,42,27,16,19,0,0,131,289,539,468,319,384,120,38,2148,315,318,165,120,115,23,11,1074,3,10,6,3,0,0,0,23,610,865,636,439,499,144,56,3248,76,185,224,178,215,80,30,987
SED20804,14,48,33,27,40,10,7,178,14,16,20,14,16,4,0,82,3,3,4,0,0,0,0,15,0,7,0,0,0,0,0,11,29,79,65,44,55,15,7,281,0,9,0,6,0,0,0,7,0,3,5,4,5,0,0,17,0,7,4,9,4,0,0,27,34,81,64,49,59,15,7,310,13,29,15,28,9,3,0,108,0,0,0,0,7,0,0,14,45,112,93,82,67,26,5,422,41,128,105,90,122,38,20,544,132,287,185,116,147,31,7,906,27,36,18,6,5,0,7,101,3,7,8,6,3,0,0,28,199,453,307,224,280,73,31,1572,4,11,3,10,3,5,0,39,5,18,7,7,3,0,0,51,12,28,16,13,10,6,0,87,215,480,324,237,292,79,31,1666,292,294,134,94,102,17,8,944,10,15,3,4,3,0,0,32,520,791,461,338,393,100,41,2639,57,171,139,121,165,46,22,718
SED20906,14,42,52,44,45,41,23,263,4,9,5,10,6,11,9,58,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,16,49,58,51,58,49,36,324,0,0,3,5,4,0,3,16,0,0,0,0,0,0,0,4,0,0,3,5,4,0,5,22,22,57,66,57,60,49,35,344,3,9,17,7,13,7,4,65,0,0,4,5,0,0,0,14,25,65,82,73,76,62,40,426,30,141,148,104,181,149,69,816,60,116,125,102,123,72,28,630,15,13,13,7,9,3,6,61,0,0,0,3,0,0,0,8,105,268,280,216,312,225,105,1520,4,5,6,9,5,0,0,24,0,5,5,10,4,5,3,37,4,8,7,16,5,3,3,57,104,275,292,232,318,235,113,1578,45,92,63,67,92,58,26,437,0,4,5,0,0,0,0,11,153,366,363,302,412,289,139,2031,43,185,198,146,224,191,93,1076
SED21001,14,25,34,32,44,37,17,204,0,7,12,9,17,8,6,53,0,0,0,0,0,0,5,7,0,0,0,0,0,0,4,3,12,31,40,36,62,44,34,268,0,4,0,0,0,0,0,9,3,0,0,0,0,0,3,14,3,3,3,4,0,0,7,21,17,37,46,44,68,48,36,294,3,9,10,14,19,8,12,66,0,0,0,0,0,0,0,4,21,43,55,52,83,55,46,360,46,102,71,78,144,127,67,643,56,121,115,101,121,84,64,658,11,6,3,7,5,6,0,42,0,0,3,5,3,0,0,4,117,231,188,186,279,213,134,1353,3,12,3,4,5,0,0,23,15,14,10,4,5,4,3,53,12,23,6,11,9,4,4,76,130,252,197,196,288,218,137,1419,72,103,79,91,128,89,52,625,0,0,6,0,0,3,0,7,206,360,286,287,410,307,191,2054,60,123,108,113,188,166,91,843
SED21106,19,35,36,32,36,26,15,201,4,6,7,6,8,4,0,43,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,9,18,41,52,44,44,31,17,252,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,18,44,54,41,44,31,20,256,0,0,9,3,14,6,8,49,0,0,0,0,0,0,0,0,22,51,62,49,58,38,31,305,35,93,97,84,121,101,53,583,48,94,67,63,81,53,48,473,11,5,5,4,9,9,6,51,3,0,4,3,3,3,0,8,100,203,176,154,214,163,105,1110,0,0,4,3,0,4,0,12,0,8,6,0,3,0,0,22,0,9,8,3,3,8,0,30,100,213,179,159,221,171,111,1146,32,69,78,53,59,55,30,380,0,0,0,0,0,0,0,5,130,285,260,212,279,223,141,1530,51,126,135,112,159,126,69,777
SED21203,13,15,9,16,18,16,10,97,3,9,10,5,15,5,3,59,0,0,0,0,3,0,0,5,0,4,4,0,7,0,0,18,21,29,25,26,42,21,10,182,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,13,23,38,22,25,48,28,10,196,16,30,34,32,45,21,14,189,5,4,0,3,0,0,0,15,46,72,57,57,91,40,27,395,27,83,60,54,86,50,27,390,68,151,99,67,106,68,29,585,17,13,11,9,10,3,0,65,8,11,12,4,4,0,3,41,121,252,177,138,207,124,56,1079,12,9,16,9,13,6,6,66,17,38,23,22,14,11,4,132,26,48,34,33,24,17,11,192,144,306,214,168,233,143,69,1267,413,483,291,235,282,131,71,1902,9,22,5,0,5,0,0,44,565,804,510,403,521,271,136,3216,43,96,73,66,106,67,35,488
SED21303,4,29,29,14,29,29,7,145,5,5,5,5,6,7,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,38,32,22,42,32,12,190,0,0,0,0,4,0,0,9,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,11,16,41,32,27,44,34,8,204,4,3,6,7,7,6,3,34,0,0,0,0,0,0,0,0,16,44,36,31,53,38,17,236,50,112,89,60,115,72,38,542,41,123,85,47,65,39,15,421,9,0,9,0,0,5,0,27,0,0,0,3,0,0,0,9,106,234,185,113,187,114,59,997,0,12,0,6,4,0,0,24,0,7,3,0,0,0,0,26,3,20,6,7,6,6,5,45,108,253,191,118,198,122,64,1046,73,85,36,27,44,28,34,321,0,0,0,0,0,0,0,5,185,338,227,143,240,143,89,1368,59,140,116,75,150,99,49,687
SED21401,15,39,27,22,39,27,10,179,4,7,8,4,3,4,0,34,0,0,0,0,5,3,0,12,0,0,0,0,0,0,0,0,20,49,36,29,46,35,11,228,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,3,0,4,0,0,9,20,48,43,29,51,39,11,237,5,14,16,7,13,7,11,76,0,0,0,0,0,0,0,0,29,56,56,34,63,48,19,313,42,112,77,81,121,88,53,579,45,126,90,92,136,89,47,636,5,10,10,3,3,3,3,51,0,4,7,5,5,0,0,20,93,261,194,181,269,180,106,1285,3,7,4,0,4,3,0,21,9,22,10,8,6,4,5,53,10,26,16,8,12,9,3,76,102,288,206,186,280,192,112,1364,64,119,82,68,110,63,49,557,5,7,0,0,5,3,0,15,165,414,293,257,392,258,164,1932,52,150,107,103,160,120,60,760
SED21503,14,36,24,17,38,18,18,164,3,6,9,9,5,5,4,39,0,0,0,4,0,0,0,8,3,0,0,0,0,3,0,7,25,39,31,34,46,29,20,223,3,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,17,27,43,32,32,47,27,19,238,4,6,16,7,14,5,6,67,7,0,0,0,0,0,0,7,38,56,46,40,69,38,26,310,31,86,97,79,113,59,42,505,54,137,92,83,125,62,33,584,12,15,10,4,11,8,4,57,0,0,0,0,0,0,0,7,99,238,201,170,247,119,79,1155,3,8,16,4,3,0,0,36,4,12,3,6,7,0,0,34,8,19,15,6,12,4,0,71,109,257,217,171,256,123,82,1226,117,122,87,59,69,33,17,510,4,0,0,0,3,0,0,8,224,385,303,238,334,164,101,1746,49,119,117,95,150,77,59,671
SED21608,17,34,41,44,58,16,8,213,10,20,17,18,9,0,3,76,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,14,29,61,61,58,67,20,13,305,0,3,0,0,0,0,0,5,0,4,8,5,0,0,0,13,0,3,8,5,0,6,0,19,29,66,64,68,73,22,13,327,18,22,15,18,14,6,3,94,0,0,3,3,0,0,0,8,45,88,81,87,81,26,14,426,34,112,117,98,129,35,28,553,139,269,179,107,140,40,8,894,41,24,16,16,9,5,0,107,3,5,5,0,0,0,0,7,218,412,314,222,284,84,38,1564,10,14,12,12,18,3,0,76,21,24,18,14,11,0,0,89,30,34,34,22,31,5,5,162,246,446,342,248,319,83,43,1726,282,261,167,107,106,23,9,944,0,4,7,5,0,0,0,23,528,709,513,357,427,107,47,2694,52,150,151,144,184,53,35,772
SED21706,0,33,21,21,37,25,23,167,5,8,5,15,3,13,4,49,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,39,34,36,42,44,22,221,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0,5,0,0,3,4,7,4,0,17,5,39,39,33,51,47,27,235,0,8,6,11,15,12,3,57,0,3,0,0,0,0,0,8,11,50,40,49,63,51,23,303,41,117,121,102,138,86,62,666,48,119,92,61,106,82,39,554,8,9,9,11,13,0,0,40,0,3,5,0,0,0,0,12,90,244,223,174,258,170,106,1270,0,0,8,4,6,0,4,21,6,12,5,4,4,5,5,38,6,14,9,9,16,5,7,67,102,260,235,182,269,176,114,1338,91,102,91,78,96,64,38,563,7,5,0,0,0,4,0,17,202,371,323,264,368,240,148,1916,41,147,143,126,179,110,86,835
SED21805,26,57,45,33,46,29,19,254,3,14,9,13,16,4,3,69,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,4,28,79,60,45,62,28,20,325,5,0,0,3,3,5,0,17,0,0,0,0,0,0,0,0,5,4,0,4,3,5,0,13,34,81,66,50,63,31,20,342,7,27,18,17,13,3,0,79,5,4,0,0,0,0,0,7,48,109,76,61,84,38,26,435,64,136,138,115,173,60,40,723,149,277,158,116,147,54,29,927,31,20,10,3,13,5,0,81,3,12,6,7,3,4,0,38,243,449,308,239,341,123,72,1773,8,12,5,4,3,3,0,36,9,37,15,11,7,0,0,78,16,45,23,13,13,4,4,117,261,494,333,256,351,127,76,1889,231,221,134,103,105,30,13,837,5,9,3,4,3,0,0,22,495,719,473,362,456,162,88,2755,89,193,185,145,219,86,63,974
SED21906,11,23,35,33,42,22,18,181,7,7,6,4,10,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,43,36,49,19,25,221,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,34,42,36,51,22,25,228,3,13,4,8,10,8,3,42,0,0,0,0,0,0,0,0,16,43,46,40,59,27,27,269,41,99,82,70,108,79,43,524,66,104,77,71,88,46,30,477,10,7,3,4,3,9,0,40,0,9,4,0,0,0,0,18,121,217,170,150,201,132,75,1059,0,6,0,0,0,7,3,14,3,7,0,0,5,3,0,27,4,16,0,3,5,7,6,43,121,233,177,150,207,135,78,1100,56,59,51,39,47,38,18,309,3,0,0,0,5,0,0,11,183,291,228,192,257,176,97,1426,50,120,120,103,150,96,60,703
SED22005,12,42,21,23,35,22,9,169,9,9,7,8,9,0,5,52,0,0,3,0,5,0,0,7,0,3,3,4,0,0,0,9,27,49,30,35,48,26,19,236,6,0,0,3,0,0,0,15,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,19,28,55,28,37,54,30,21,255,13,15,12,8,15,12,10,92,4,0,0,0,0,0,0,7,45,73,48,47,68,44,30,351,58,106,96,56,111,71,48,545,71,175,128,82,112,54,45,672,15,7,10,6,13,4,5,58,0,0,0,6,4,0,0,15,150,290,235,145,237,135,106,1294,6,10,4,6,14,10,5,49,11,17,0,0,8,9,0,47,14,24,8,10,20,13,7,101,165,319,242,158,260,144,109,1394,152,173,104,82,115,65,47,736,9,8,5,3,8,0,7,35,324,499,349,239,376,216,166,2159,76,146,119,78,148,94,63,712
SED22105,52,96,65,56,73,33,24,394,12,22,15,13,12,10,3,83,0,0,0,3,5,0,0,18,9,4,0,0,0,0,0,13,71,126,82,69,90,44,32,509,5,0,4,0,3,0,0,13,6,3,0,0,0,0,0,5,8,5,5,0,3,0,0,21,78,131,83,73,93,44,28,529,24,28,30,19,21,7,4,127,5,4,4,0,0,0,0,10,102,158,119,88,113,45,38,663,149,306,242,184,261,108,57,1310,227,394,254,182,181,72,39,1349,51,42,28,18,28,7,10,182,18,25,11,9,13,6,0,84,447,770,532,392,486,190,105,2922,5,24,15,13,18,5,5,83,35,51,26,21,23,10,7,176,43,78,38,29,44,14,10,256,488,848,577,422,526,206,119,3179,574,470,238,182,180,74,62,1789,18,25,9,10,6,3,0,62,1085,1336,820,612,715,285,182,5035,203,403,302,237,331,139,80,1702
