SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED10020,8,12,0,0,0,17,25,32,72,1103,1004,152,2256,82,71,156,2411,1498,59,3967
SED10021,0,6,0,0,0,6,7,7,29,1006,507,118,1632,37,33,74,1710,781,23,2510
SED10022,0,6,0,5,5,15,37,30,82,741,723,75,1542,81,78,157,1699,1266,58,3026
SED10023,9,9,0,0,0,7,6,7,25,953,585,173,1714,27,35,66,1776,846,18,2642
SED10024,3,10,0,0,0,10,5,5,27,885,483,127,1494,41,38,79,1568,880,16,2469
SED10025,3,9,0,0,0,9,13,14,36,1055,489,117,1665,58,33,88,1752,1155,25,2927
SED10026,10,24,0,0,0,29,33,35,91,1178,806,162,2144,66,64,137,2278,1346,65,3694
SED10027,5,11,0,0,0,11,27,19,64,876,542,269,1685,57,46,98,1784,1972,43,3800
SED10028,0,3,0,0,0,3,9,13,38,859,485,122,1470,47,34,78,1549,1017,26,2592
SED10029,5,10,0,0,0,10,37,53,105,733,573,303,1603,85,105,186,1791,3479,99,5364
SED10030,3,13,0,0,0,13,25,15,57,1146,877,257,2278,68,60,128,2408,1720,45,4168
SED10031,9,21,0,0,0,21,17,11,52,997,751,131,1887,39,40,80,1965,1145,35,3138
SED10032,4,12,0,0,0,6,23,39,69,819,477,219,1520,80,73,153,1672,2440,65,4182
SED10033,3,7,0,0,0,7,14,20,45,1017,669,214,1894,51,44,98,1993,1157,40,3197
SED10034,3,9,0,0,0,9,6,12,27,1098,699,188,1976,26,40,65,2044,875,19,2931
SED10035,8,12,0,0,0,12,13,18,35,1069,558,155,1785,60,54,109,1897,1314,36,3249
SED10036,9,14,0,0,0,14,32,35,76,1007,558,257,1819,77,62,135,1958,1869,63,3883
SED10037,0,5,0,0,0,5,5,8,15,1031,635,164,1826,33,43,77,1903,1001,14,2917
SED10038,0,6,0,0,0,6,21,11,38,989,709,209,1911,60,42,100,2007,1385,34,3432
SED10039,5,18,0,0,0,18,10,18,50,894,809,189,1891,41,49,91,1978,1166,26,3169
SED10040,6,10,0,0,0,10,10,29,52,899,649,259,1805,75,71,148,1954,1886,46,3890
SED10041,0,0,0,0,0,0,7,10,22,998,559,105,1664,55,37,94,1760,1089,18,2868
SED10042,13,17,0,0,0,19,21,25,68,1057,955,184,2196,71,67,137,2334,1643,46,4020
SED10043,5,10,0,0,0,8,30,46,90,565,542,270,1370,73,80,157,1524,2640,82,4239
SED10044,3,10,0,0,0,10,7,10,26,1086,511,145,1739,45,51,100,1838,922,24,2789
SED10045,9,14,0,0,0,14,23,44,79,1007,1018,155,2177,66,101,167,2341,1699,66,4108
SED10046,5,13,0,0,0,10,41,54,107,983,681,330,1995,111,115,229,2226,3206,97,5532
SED10047,14,28,0,3,3,31,43,51,122,1598,996,435,3030,139,101,238,3269,3223,90,6584
SED10048,8,28,4,0,4,32,36,41,109,1250,811,364,2423,97,81,172,2600,2375,66,5034
SED10049,13,18,0,0,0,18,33,22,61,1398,1085,206,2688,89,91,183,2868,1654,44,4562
SED10050,0,3,0,0,0,3,4,15,25,1009,559,110,1683,43,29,71,1753,751,22,2521
SED10051,6,10,0,0,0,10,20,18,46,1142,665,204,2012,55,39,91,2101,1495,40,3639
SED10052,4,7,0,0,0,10,15,15,31,1026,647,190,1868,36,34,74,1946,1050,23,3023
SED10053,6,13,0,0,0,13,12,13,46,1324,552,128,2002,44,45,87,2094,913,32,3041
SED10054,9,15,0,0,0,18,38,53,113,1101,681,348,2140,110,77,191,2327,2465,92,4884
SED10055,3,6,0,0,0,6,11,24,43,1194,664,259,2121,60,27,85,2206,1334,38,3582
SED10056,0,9,0,0,0,9,37,44,89,942,728,120,1797,51,59,112,1905,1145,65,3118
SED10057,5,9,0,0,0,11,43,43,99,744,937,163,1853,77,73,150,2006,1752,70,3835
SED10058,3,4,0,0,0,4,13,9,26,1065,747,124,1934,48,39,89,2020,1131,30,3181
SED10059,0,4,0,0,0,4,4,5,17,696,293,63,1059,26,29,53,1108,704,14,1831
SED10060,0,8,0,0,0,8,8,9,24,1034,406,91,1531,51,29,83,1609,661,19,2292
SED10061,3,15,0,0,0,15,43,39,98,836,737,122,1693,104,78,176,1866,1535,66,3468
SED10062,0,8,0,0,0,8,13,12,36,874,544,223,1634,42,36,79,1718,1312,33,3059
SED10063,3,12,0,0,0,14,22,38,68,1152,771,127,2044,66,71,137,2185,1327,63,3568
SED10064,3,17,0,0,0,16,34,52,105,818,981,157,1961,97,76,174,2136,1885,94,4114
SED10065,0,4,0,0,0,4,19,30,64,1194,685,242,2121,81,62,146,2260,1807,55,4125
SED10066,16,17,0,0,0,20,17,40,76,1378,795,305,2482,81,73,156,2637,1815,66,4513
SED10067,0,7,0,0,0,7,13,19,34,905,652,144,1699,27,23,50,1747,719,26,2485
SED10068,3,7,0,0,0,7,23,22,53,956,899,115,1974,49,70,122,2093,1411,56,3558
SED10069,7,12,0,0,0,12,24,21,60,885,871,177,1933,73,61,133,2066,1440,53,3561
SED10070,0,9,0,0,0,11,22,39,70,803,486,217,1502,53,42,101,1602,2029,54,3686
SED10071,9,10,0,0,0,10,17,26,60,1494,669,284,2447,63,57,116,2567,1250,39,3865
SED10072,8,9,0,0,0,8,16,22,50,979,595,209,1779,69,52,125,1902,1665,43,3608
SED10073,4,8,0,0,0,8,11,14,32,1037,582,177,1789,56,61,112,1902,1451,31,3380
SED10074,0,10,0,0,0,9,21,17,47,1018,519,217,1755,49,37,91,1847,1482,37,3365
SED10075,9,17,0,0,0,18,32,22,75,1205,1079,302,2593,61,73,133,2724,2002,58,4785
SED10076,7,12,0,0,0,15,22,26,68,785,881,142,1813,68,65,131,1943,1529,49,3522
SED10077,0,10,0,0,0,10,9,21,40,851,579,219,1647,60,65,128,1779,1644,44,3464
SED10078,0,4,0,0,0,13,12,22,45,1000,542,152,1697,53,42,100,1797,1313,27,3138
SED10079,4,11,0,0,0,11,31,20,61,1039,943,214,2198,59,75,138,2334,1559,41,3939
SED10080,0,4,0,0,0,4,9,9,23,656,340,95,1096,39,38,70,1167,733,18,1913
SED10081,4,11,0,0,0,15,33,43,98,1097,873,150,2114,92,109,201,2313,1507,72,3889
SED10082,3,7,0,0,0,8,13,9,34,930,761,198,1893,35,37,72,1964,1056,18,3046
SED10083,3,10,0,0,0,10,19,20,54,1093,936,272,2304,58,54,107,2412,1687,45,4145
SED10084,8,17,0,0,0,21,32,30,79,924,1000,183,2103,50,62,110,2212,1495,57,3765
SED10085,11,23,0,0,0,25,35,23,89,909,706,146,1757,67,74,137,1900,1259,45,3205
SED10086,3,6,0,0,0,6,12,12,31,832,523,113,1469,40,23,66,1530,810,18,2360
SED10087,3,12,0,0,0,14,32,36,76,1122,831,123,2075,71,70,144,2216,1341,63,3620
SED10088,0,10,0,0,0,10,12,7,33,1090,631,179,1896,36,33,71,1962,939,13,2916
SED10089,6,10,0,0,0,13,19,25,54,1298,1016,147,2462,81,74,152,2616,1518,46,4187
SED10090,3,4,0,0,0,4,5,5,19,1096,499,125,1722,58,47,105,1824,1117,16,2955
SED10091,3,12,0,0,0,12,19,13,39,939,704,170,1815,41,36,77,1896,1106,28,3030
SED10092,0,8,0,0,0,6,27,28,66,953,742,208,1903,68,50,117,2022,1936,59,4014
SED10093,13,17,4,0,4,20,30,49,96,1235,1011,346,2587,104,76,185,2770,2119,75,4964
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,0,7,0,0,0,3,4,9,18,828,431,80,1342,52,40,91,1435,805,18,2263
SED20207,7,21,0,0,0,25,16,25,61,1418,862,170,2451,133,95,224,2672,1498,45,4216
SED20302,13,25,0,0,0,24,18,32,76,1288,1147,202,2634,88,68,154,2788,1639,60,4486
SED20401,0,11,0,0,0,11,9,7,31,973,764,114,1847,38,45,81,1925,1093,10,3034
SED20508,7,13,0,0,0,13,17,12,39,777,793,118,1679,41,45,81,1761,852,26,2644
SED20604,10,22,0,0,0,21,22,16,63,919,767,131,1816,49,52,94,1913,1095,40,3048
SED20704,3,8,0,0,0,11,16,14,41,990,899,121,2011,51,63,108,2126,1171,29,3322
SED20804,6,12,0,0,0,8,27,19,55,809,868,124,1802,38,49,90,1892,1210,34,3141
SED20906,4,13,0,0,0,13,3,12,30,1063,633,82,1780,48,38,81,1867,953,24,2840
SED21001,0,6,0,0,0,6,5,3,18,863,642,84,1593,38,62,99,1689,1092,16,2792
SED21106,9,8,0,0,0,8,11,6,17,791,511,79,1381,22,26,53,1428,644,17,2090
SED21203,3,12,0,0,0,12,40,56,98,536,554,135,1226,76,89,166,1392,2428,87,3907
SED21303,3,3,0,0,0,3,14,9,28,734,458,51,1242,32,37,73,1309,862,12,2185
SED21401,3,9,0,0,4,7,8,13,32,759,604,84,1450,34,49,84,1536,1177,29,2747
SED21503,0,4,0,0,0,4,18,15,31,768,594,95,1451,41,36,81,1536,1015,29,2580
SED21608,3,11,0,0,0,12,14,24,47,825,784,131,1744,65,68,135,1882,1139,35,3051
SED21706,0,4,0,0,3,7,14,10,29,822,561,63,1438,34,49,86,1526,939,24,2486
SED21805,9,19,0,0,0,19,22,21,60,1215,934,135,2283,62,72,132,2415,1218,38,3670
SED21906,0,8,0,0,0,8,16,8,28,743,476,52,1270,27,27,51,1316,645,16,1973
SED22005,6,7,0,0,0,14,16,26,52,790,639,114,1534,58,54,105,1649,1545,50,3237
SED22105,9,19,0,0,0,19,29,35,85,1704,1107,227,3034,90,110,204,3245,1837,68,5151
SED22201,8,14,0,0,0,14,7,18,35,1038,721,104,1867,25,43,71,1939,956,35,2922
SED22305,11,16,0,0,0,16,28,38,82,775,581,121,1479,89,98,191,1665,1878,76,3620
SED22404,5,13,0,0,0,13,19,13,49,626,686,126,1438,29,42,65,1499,870,30,2408
SED22501,4,7,0,0,0,7,0,4,15,869,541,59,1480,25,36,60,1538,639,11,2186
SED22607,4,9,0,0,0,10,6,22,35,777,451,66,1295,56,33,87,1386,926,30,2338
SED22704,8,20,0,0,0,15,27,25,73,734,684,128,1543,41,53,95,1635,1215,46,2900
SED22802,4,4,0,0,0,4,14,8,32,826,677,110,1610,28,32,65,1672,786,22,2483
SED22901,3,16,0,0,0,16,5,4,26,863,586,100,1553,43,45,91,1640,935,11,2590
SED23007,4,11,0,0,0,8,16,40,65,1024,649,129,1798,104,105,206,2010,1769,63,3838
SED23101,0,10,0,0,0,10,10,6,23,724,484,57,1267,27,41,69,1330,1010,11,2354
SED23205,5,19,0,0,0,19,30,30,83,1061,890,141,2090,68,59,124,2214,1440,52,3705
SED23308,10,11,0,0,0,11,27,19,55,899,783,115,1791,47,49,97,1885,1051,29,2962
SED23402,8,14,0,0,0,14,13,16,48,1226,812,157,2200,42,62,102,2307,1029,34,3368
SED23502,11,19,0,0,0,19,27,37,81,575,648,124,1350,41,58,100,1447,963,58,2466
SED23602,3,16,0,0,0,11,21,9,44,588,607,92,1287,47,54,101,1386,879,31,2289
SED23702,6,11,0,0,0,9,22,20,54,972,938,154,2061,49,35,86,2143,1067,46,3264
SED23806,0,3,0,0,0,3,6,3,13,673,373,49,1102,32,28,56,1153,594,13,1764
SED23901,5,5,0,4,5,10,14,16,34,848,585,85,1516,35,39,74,1593,1029,23,2651
SED24006,0,6,0,0,0,6,6,10,25,768,531,63,1366,36,41,81,1444,985,24,2446
SED24105,3,14,0,0,0,14,12,21,49,964,682,119,1758,66,76,144,1901,1566,54,3521
SED24207,8,16,0,0,0,17,23,45,83,1188,889,196,2271,122,148,265,2540,1834,73,4440
SED24308,0,20,0,0,0,18,22,29,69,932,902,159,1996,82,108,184,2178,1675,65,3919
SED24408,0,9,0,0,0,9,22,22,51,557,562,86,1206,28,38,66,1271,867,43,2178
SED24504,4,10,0,0,0,10,8,16,34,669,593,86,1348,26,38,63,1413,746,38,2197
SED24606,0,5,0,0,0,6,10,8,18,641,429,49,1119,34,33,67,1186,673,6,1862
SED24703,3,6,0,0,0,8,14,18,45,794,515,83,1392,52,66,120,1515,1041,35,2581
SED24808,10,22,6,0,0,28,38,23,90,1281,1029,216,2530,142,153,291,2823,2264,48,5137
SED24904,8,24,0,0,0,22,34,26,81,856,653,112,1615,55,63,121,1738,1186,56,2983
SED25003,0,13,0,0,0,13,15,24,58,953,698,96,1750,58,74,131,1880,1204,47,3128
SED25102,4,6,0,0,0,6,9,4,23,750,624,97,1466,25,27,51,1517,680,13,2210
SED25205,4,6,0,0,0,6,10,6,31,987,707,102,1799,33,30,60,1859,881,13,2754
SED25302,5,4,0,0,0,4,14,5,33,801,658,95,1554,23,32,48,1602,731,18,2351
SED25402,0,14,0,0,0,12,29,31,75,839,843,130,1812,95,83,180,1986,1400,58,3450
SED25501,3,5,0,0,0,5,7,15,27,677,549,79,1307,26,47,74,1374,1047,21,2442
SED25605,0,6,0,0,0,10,17,11,41,698,518,66,1284,32,52,91,1369,1207,31,2602
SED25704,5,14,0,0,0,14,27,28,74,663,651,131,1445,49,39,85,1530,1072,47,2645
SED25802,11,18,0,0,0,18,22,26,74,831,868,156,1857,72,65,142,1995,1210,48,3252
SED25905,6,11,0,0,0,11,7,28,46,825,616,105,1550,58,64,121,1672,1148,50,2866
SED26005,3,10,0,0,0,15,21,16,53,1198,759,124,2086,73,53,130,2213,1299,39,3545
SED26102,5,13,0,0,0,13,21,20,55,701,735,160,1596,37,46,87,1676,1048,38,2769
SED26207,0,8,0,0,0,8,11,10,34,884,597,103,1584,46,35,76,1660,1018,32,2711
SED26303,0,4,0,0,0,5,9,7,18,733,519,71,1316,26,27,53,1375,840,19,2227
SED26406,4,5,0,0,0,4,6,3,22,802,510,83,1395,31,37,71,1471,921,24,2417
SED26504,0,7,0,0,0,7,14,12,36,637,669,100,1398,39,48,88,1493,906,27,2419
SED26603,6,10,0,0,0,10,20,9,38,925,593,123,1637,52,53,104,1737,1384,34,3154
SED26708,0,12,0,0,0,7,14,22,40,575,680,88,1350,11,26,44,1387,811,39,2240
SED26806,4,10,0,0,0,10,4,7,23,598,347,60,1012,30,27,53,1068,687,17,1775
SED26903,5,15,0,3,3,11,23,27,54,728,617,84,1433,54,53,107,1541,1475,50,3065
SED27003,0,0,0,0,0,5,15,18,36,583,392,52,1027,45,53,99,1128,1019,37,2185
SED27101,0,8,0,0,0,8,23,6,35,867,580,87,1527,38,37,79,1605,912,19,2539
SED27208,0,10,0,0,0,9,16,29,61,636,665,109,1415,61,44,104,1515,1207,49,2772
SED27305,5,8,0,0,0,8,5,9,21,748,481,71,1304,35,31,65,1364,635,14,2013
SED27406,0,9,0,0,0,9,11,8,26,872,514,81,1469,47,26,71,1540,695,14,2250
SED27504,4,16,0,4,4,21,40,36,95,886,830,130,1844,58,64,117,1957,1340,71,3369
SED27608,3,7,0,0,0,7,3,11,24,1128,905,124,2159,41,37,75,2235,802,16,3054
SED27708,0,14,0,0,0,14,15,21,57,764,809,130,1705,42,60,100,1808,957,50,2818
SED27807,5,10,0,0,0,15,41,50,101,871,774,158,1802,143,137,278,2077,2210,90,4377
SED27907,4,12,0,0,0,12,11,15,37,1115,684,141,1943,59,51,102,2047,1120,34,3196
SED28007,7,14,4,0,5,19,14,16,50,1166,698,164,2030,75,71,147,2173,1108,34,3318
SED28107,7,18,0,0,0,18,18,48,86,1367,865,199,2424,127,114,244,2664,1544,69,4285
SED28203,7,14,0,0,0,20,23,32,73,828,664,122,1610,84,80,161,1770,1995,52,3821
SED28301,4,7,0,0,0,7,5,11,19,653,536,78,1262,33,44,77,1339,792,14,2146
SED28408,5,6,5,0,5,11,24,25,65,851,862,117,1829,61,69,132,1965,1233,49,3243
SED28507,10,24,4,0,3,27,22,46,90,1251,872,172,2296,103,103,213,2503,1845,67,4417
SED28607,6,5,0,0,0,5,13,9,26,987,551,81,1620,54,42,93,1720,1020,22,2766
SED28704,4,12,0,0,3,13,20,33,63,1536,1078,171,2789,61,82,145,2933,1346,42,4325
SED28803,8,10,0,0,0,10,23,39,75,1367,940,199,2510,96,97,193,2699,2101,71,4874
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,9,13,0,0,0,13,15,21,48,965,571,158,1695,87,75,166,1855,1083,46,2984
SED30002,0,3,0,0,0,3,8,9,21,806,408,114,1332,34,31,64,1397,658,23,2079
SED30003,0,12,3,0,4,15,16,10,43,1007,691,189,1889,66,78,146,2040,1158,21,3213
SED30004,0,4,0,0,0,4,8,20,31,956,716,86,1755,45,44,90,1852,678,32,2553
SED30005,5,7,0,0,0,7,10,19,38,819,675,179,1676,56,79,137,1810,1154,28,2991
SED30006,4,4,0,0,0,4,5,15,24,614,403,118,1137,28,41,69,1203,700,20,1918
SED30007,4,13,0,0,0,13,0,21,35,859,696,150,1704,23,52,79,1783,619,31,2433
SED30008,0,10,0,0,0,11,0,7,20,994,443,86,1521,45,35,74,1595,567,13,2177
SED30009,5,4,0,0,0,8,21,23,52,737,685,84,1507,86,89,177,1684,1213,34,2937
SED30010,5,14,0,5,5,17,29,35,76,1196,829,265,2293,159,138,297,2587,1890,58,4537
SED30011,0,8,0,0,0,8,8,6,28,636,382,65,1086,48,33,83,1170,574,20,1758
SED30012,0,9,0,0,0,9,4,13,31,696,622,143,1463,47,45,91,1549,748,25,2319
SED30013,5,6,0,0,5,12,14,29,56,443,388,68,896,42,44,86,981,770,46,1792
SED30014,5,7,3,0,3,8,23,29,62,908,724,100,1734,103,94,190,1921,1083,49,3059
SED30015,0,5,0,0,0,13,19,30,56,495,359,64,916,61,37,96,1007,759,42,1808
SED30016,5,14,0,0,0,14,16,9,34,700,670,151,1519,54,58,116,1627,863,22,2513
SED30017,3,12,0,0,0,12,10,23,42,891,585,158,1641,45,49,91,1735,885,41,2661
SED30018,3,4,0,0,0,4,4,7,17,811,412,99,1325,26,32,55,1381,581,17,1980
SED30019,0,3,0,0,0,3,8,9,23,826,353,93,1276,24,24,49,1328,494,14,1834
SED30020,8,12,0,0,0,12,15,16,44,603,460,87,1146,45,43,92,1234,687,29,1945
SED30021,10,27,7,0,7,29,39,61,120,654,432,97,1180,123,50,174,1354,1250,83,2690
SED30022,9,12,0,0,0,16,18,17,54,1396,962,274,2634,104,88,193,2826,1324,36,4183
SED30023,0,3,0,0,0,3,0,3,9,803,342,82,1231,30,17,52,1280,391,10,1686
SED30024,0,4,0,0,0,9,8,10,22,593,583,106,1283,47,36,84,1363,719,20,2097
SED30025,0,6,0,0,0,6,3,7,16,946,484,108,1531,27,21,49,1582,557,9,2156
SED30026,6,0,0,0,0,4,5,9,19,831,475,118,1428,27,26,51,1483,624,9,2111
SED30027,6,11,0,0,0,14,15,23,51,808,668,186,1657,55,64,119,1778,835,36,2650
SED30028,8,7,5,5,4,13,13,17,39,700,490,81,1266,103,94,195,1466,848,30,2338
SED30029,8,9,0,0,0,15,9,6,30,422,443,118,988,26,34,59,1041,702,21,1767
SED30030,0,3,0,0,0,3,3,8,13,731,336,74,1153,34,31,67,1214,556,10,1784
SED30031,3,15,0,0,0,11,6,18,42,538,280,53,873,38,35,68,935,435,29,1400
SED30032,3,17,0,0,0,15,22,14,53,484,609,94,1187,56,38,97,1286,1251,37,2569
SED30033,5,14,0,0,0,11,33,27,64,616,678,90,1388,84,68,157,1544,1248,39,2835
SED30034,7,22,0,0,4,24,23,27,73,581,544,86,1208,67,65,126,1337,988,47,2369
SED30035,6,14,0,0,0,14,3,22,45,693,500,89,1285,47,49,86,1374,656,43,2072
SED30036,7,11,0,0,0,11,22,40,73,951,634,196,1776,115,107,222,2000,1644,66,3717
SED30037,3,9,0,0,0,9,17,20,52,927,557,167,1651,102,66,166,1820,1137,33,2993
SED30038,11,14,0,4,4,16,22,21,65,854,589,196,1645,84,83,170,1814,1207,35,3057
SED30039,10,20,3,0,3,19,6,10,36,1189,576,172,1934,74,56,131,2068,823,17,2907
SED30040,3,9,0,0,0,9,7,5,19,720,587,139,1450,30,41,72,1524,741,13,2278
SED30041,0,5,0,0,0,10,11,15,36,753,541,97,1384,54,40,92,1478,721,39,2240
SED30042,3,10,0,0,0,10,11,18,35,1001,644,167,1807,55,69,122,1932,915,26,2866
SED30043,4,6,0,0,0,10,14,21,41,537,494,120,1158,52,68,119,1270,1102,38,2408
SED30044,9,22,0,0,0,28,12,30,67,934,646,210,1788,86,90,182,1969,1258,57,3288
SED30045,0,9,0,0,0,9,7,7,27,996,542,132,1667,56,41,95,1759,876,20,2652
SED30046,7,15,0,0,0,15,15,26,58,1010,674,206,1894,111,89,194,2088,1364,39,3495
SED30047,9,13,0,0,0,13,13,16,40,953,605,81,1635,75,65,141,1778,886,22,2687
SED30048,0,5,0,0,0,5,0,5,13,727,361,100,1191,36,33,69,1259,522,11,1793
SED30049,6,8,0,0,0,7,16,15,37,764,490,111,1376,51,24,74,1449,790,17,2262
SED30050,0,5,0,0,0,5,10,18,26,627,555,125,1310,33,38,76,1388,692,32,2099
SED30051,6,8,3,0,4,11,21,17,49,515,500,74,1093,76,78,155,1240,1205,32,2476
SED30052,0,6,0,0,0,4,0,7,14,675,265,75,1017,39,26,64,1082,408,14,1508
SED30053,0,3,0,0,0,3,3,9,20,750,605,160,1516,49,44,92,1608,747,19,2369
SED30054,0,5,0,0,0,5,6,4,11,616,381,64,1063,34,28,58,1127,473,6,1608
SED30055,3,4,0,0,0,7,13,17,35,568,322,60,951,50,36,89,1038,540,29,1609
SED30056,0,4,0,0,0,6,0,5,14,645,338,98,1086,21,20,46,1129,445,12,1589
SED30057,4,16,0,0,0,16,20,29,62,881,791,207,1875,135,126,258,2136,1667,38,3837
SED30058,3,3,0,0,0,3,6,8,18,743,418,106,1263,38,29,63,1335,650,14,1998
SED30059,8,12,0,0,0,18,5,17,40,906,725,135,1771,46,59,110,1874,820,30,2727
SED30060,6,16,0,0,0,14,25,25,58,977,730,85,1795,112,98,207,2003,1138,36,3177
SED30061,3,9,0,0,0,9,10,15,41,816,491,81,1381,58,53,112,1493,778,27,2301
SED30062,9,14,0,0,0,14,6,10,37,1289,862,243,2392,85,98,177,2575,1208,33,3818
SED30063,0,3,0,0,0,8,28,22,53,431,454,93,975,54,49,106,1080,1240,38,2354
SED30064,5,5,0,0,0,7,11,14,33,576,562,149,1290,34,50,87,1377,892,28,2294
SED30065,4,11,0,0,0,11,3,11,28,668,609,135,1417,27,44,68,1485,688,19,2190
SED30066,6,11,0,0,0,10,0,7,21,473,532,142,1147,36,24,61,1210,684,19,1911
SED30067,0,8,0,0,0,8,14,11,26,885,436,104,1426,41,38,79,1497,821,17,2339
SED30068,0,5,0,0,0,5,9,6,19,697,403,114,1215,21,24,53,1268,542,12,1822
SED30069,3,12,0,0,0,13,7,14,32,776,493,128,1395,40,44,78,1473,726,22,2219
SED30070,5,8,0,0,0,14,17,19,50,533,517,146,1194,45,46,86,1282,1035,32,2354
SED30071,0,7,0,0,0,3,12,9,24,823,591,143,1558,66,53,119,1673,1172,27,2870
SED30072,4,15,0,0,3,17,12,18,48,759,521,129,1410,51,43,89,1506,812,32,2341
SED30073,3,14,0,0,0,15,16,34,61,917,690,134,1735,104,93,200,1940,1152,46,3132
SED30074,0,4,0,0,0,4,11,10,24,920,547,133,1604,35,32,71,1674,849,26,2548
SED30075,7,10,0,0,0,10,16,13,38,523,470,119,1116,42,49,90,1209,963,25,2195
SED30076,0,0,0,0,0,0,0,11,14,812,323,92,1226,45,30,71,1297,550,16,1860
SED30077,3,11,0,5,0,10,17,16,48,506,501,78,1087,57,53,112,1200,857,39,2091
SED30078,3,6,0,0,0,6,18,15,40,773,654,181,1613,59,69,134,1747,1068,37,2846
SED30079,0,5,0,0,0,5,8,12,23,802,488,114,1408,41,47,90,1495,719,18,2234
SED30080,0,3,0,0,0,5,6,10,16,790,429,131,1352,58,41,102,1448,771,10,2233
SED30081,3,7,0,0,0,7,7,8,25,683,467,104,1253,61,59,114,1370,954,23,2345
SED30082,0,3,0,0,0,3,6,9,22,508,364,114,990,38,43,83,1065,699,16,1785
SED30083,11,17,0,0,0,15,6,29,55,1024,735,180,1944,64,62,124,2071,877,39,2988
SED30084,3,11,0,0,0,11,17,19,37,1026,665,121,1814,91,92,175,1989,1071,41,3098
SED30085,4,3,0,0,0,3,10,5,25,673,409,99,1183,43,55,94,1273,968,17,2265
SED30086,4,6,0,0,0,12,17,16,43,780,549,82,1410,63,63,121,1535,1023,33,2593
SED30087,5,12,0,0,0,12,8,12,38,910,716,95,1725,70,80,153,1877,993,26,2899
SED30088,0,8,0,5,3,9,14,12,34,837,533,81,1452,67,58,126,1577,843,28,2450
SED30089,4,18,0,0,0,18,28,20,66,659,276,86,1020,62,47,104,1133,774,38,1939
SED30090,3,10,0,0,0,10,11,18,40,504,362,62,927,51,43,94,1024,685,26,1733
