SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED20704,22,16,32,106,100,204,3,3,7,7,0,5,17,18,36,11593,10118,21715,700,844,1547,214,4,220,80,14,92,126,53,184,61,33,100,320,296,624,13259,11504,24764,7,0,6,0,0,0,0,0,4,4,0,4,0,0,4,4,0,4,12,6,23,0,0,0,0,0,0,5,0,11,15,16,29,7,8,10,27,22,49,106,65,172,141,98,239,3,3,7,5,7,6,7,4,8,15,8,24,2113,2766,4878,1441,2637,4079,92,72,167,17059,17085,34145
SED20804,52,39,92,65,98,161,7,0,13,0,0,0,19,22,39,9157,7909,17068,618,653,1274,176,5,182,64,4,69,164,80,247,53,27,86,491,461,953,10867,9305,20173,3,8,6,0,0,0,3,0,3,9,8,18,0,4,9,20,3,18,35,18,58,0,0,0,0,0,0,9,3,10,3,21,26,6,5,7,13,27,42,80,48,129,127,93,223,8,8,13,6,0,8,0,0,0,12,10,22,1899,2575,4474,1207,2134,3337,90,72,164,14207,14190,28396
SED20906,464,376,837,83,101,180,3,0,3,8,9,13,26,27,56,7436,6146,13583,330,527,862,87,5,92,71,9,79,184,48,227,65,50,112,220,297,518,8985,7584,16570,68,75,142,0,0,0,23,35,57,79,45,125,4,11,21,18,7,22,197,168,366,0,0,0,0,0,0,5,3,6,3,9,17,0,8,7,12,23,31,61,45,107,264,240,501,45,39,85,5,3,4,0,0,0,48,45,89,6457,6744,13203,1497,2463,3956,65,47,106,17305,17130,34435
SED21001,644,602,1249,193,252,445,3,4,5,52,88,136,26,26,56,7560,5835,13393,400,741,1138,62,3,68,58,9,68,130,44,171,82,57,139,452,660,1110,9675,8314,17988,125,127,252,0,0,0,56,69,126,51,26,76,11,17,28,20,8,29,269,248,510,0,0,0,9,16,27,16,17,26,7,21,22,9,13,17,36,65,100,70,66,136,371,377,749,80,98,181,7,4,14,3,0,9,88,109,197,6652,6441,13090,1586,2658,4242,75,51,123,18446,17945,36381
SED21106,425,308,736,53,54,109,0,0,9,65,112,174,32,24,57,6080,4731,10807,236,340,569,49,0,49,62,10,73,296,121,417,71,52,118,301,410,719,7672,6162,13829,34,25,61,0,0,0,18,40,61,30,20,46,4,10,10,19,0,22,103,100,203,0,0,0,9,21,31,0,4,8,0,3,3,5,0,5,18,23,47,48,53,97,170,177,343,35,35,68,0,3,0,5,4,6,37,39,78,6877,7546,14418,1343,2184,3531,62,55,118,16161,16161,32320
SED21203,487,377,867,111,122,229,4,0,0,5,13,15,93,30,123,9419,4948,14359,504,612,1117,223,6,227,71,5,72,77,19,87,91,52,141,120,120,237,11197,6294,17489,91,87,176,0,0,0,39,38,81,68,34,102,14,26,35,17,8,24,226,195,418,0,0,0,3,4,9,13,0,13,10,18,26,3,9,13,29,35,66,113,66,177,363,294,655,58,84,140,5,4,10,6,0,6,75,88,159,1840,2151,3986,1101,1335,2437,143,65,203,14709,10222,24934
SED21303,305,285,588,81,122,198,7,5,7,905,1198,2105,70,78,150,6578,5027,11607,252,495,743,62,0,59,137,21,161,1319,903,2218,95,88,183,583,724,1308,10384,8948,19334,47,63,109,0,0,0,126,131,257,16,20,33,0,8,16,31,26,53,224,242,473,0,0,0,77,100,170,6,8,11,5,9,15,0,8,11,92,122,207,188,165,349,503,526,1024,82,92,173,16,24,36,15,16,29,112,129,241,8725,10445,19175,2210,3385,5593,85,54,142,22019,23489,45504
SED21401,39,34,73,373,486,858,0,0,0,8,4,12,22,18,47,8274,6099,14370,331,704,1031,110,0,111,45,3,48,35,8,38,77,58,132,139,200,337,9447,7610,17055,56,39,101,0,0,0,0,0,0,26,12,34,0,7,8,4,0,3,91,57,147,0,0,0,42,32,75,33,31,64,17,25,40,4,8,13,94,96,185,57,61,118,240,213,455,34,21,54,10,16,23,0,0,0,45,33,78,4874,5016,9892,1305,2028,3329,77,64,144,15989,14966,30955
SED21503,295,266,566,99,136,239,5,0,3,90,104,195,36,35,69,8822,6391,15214,407,583,988,114,3,116,58,3,63,70,11,86,75,49,128,157,184,337,10243,7760,18005,52,44,91,0,0,0,24,28,49,64,49,114,10,13,18,12,5,18,154,138,289,0,0,0,19,43,60,3,10,13,7,6,10,9,3,8,29,62,99,78,55,127,269,255,517,56,58,111,13,4,18,7,3,11,73,69,144,3663,4004,7667,1366,2295,3660,65,44,108,15672,14424,30094
SED21608,76,47,117,70,78,144,3,4,8,3,0,3,35,38,68,10705,8676,19384,681,677,1359,260,11,267,50,9,57,81,21,96,77,29,108,306,257,565,12339,9843,22187,7,4,6,0,0,0,6,8,12,26,18,40,4,5,6,11,0,11,43,32,72,0,0,0,0,0,0,5,3,12,3,13,15,5,6,11,16,26,39,123,59,183,180,109,299,17,15,30,0,4,6,14,0,17,27,15,46,2350,2961,5316,1354,2351,3702,109,100,200,16364,15384,31749
SED21706,425,287,707,129,175,299,4,0,6,110,140,247,22,45,71,7352,5858,13216,308,613,921,67,0,67,66,8,73,163,37,204,73,41,110,232,277,506,8947,7490,16430,76,89,161,0,0,0,51,42,92,74,35,111,12,18,34,25,9,33,228,201,427,0,0,0,27,37,59,10,10,21,5,17,20,0,5,6,40,65,107,75,76,148,347,342,688,53,59,112,3,11,11,4,4,12,67,73,134,6758,6602,13358,1506,2566,4076,71,57,124,17682,17130,34815
SED21805,203,156,359,80,74,157,11,0,18,0,0,0,32,25,56,12069,9046,21116,599,620,1217,182,7,188,83,12,93,93,13,107,74,48,124,158,164,318,13582,10165,23743,58,52,106,0,0,0,7,3,11,55,30,80,7,8,16,15,5,16,135,99,231,0,0,0,0,0,0,10,3,9,6,16,24,5,3,6,19,22,45,104,51,156,263,171,432,25,32,61,4,7,7,5,0,3,38,39,75,3086,4556,7642,1441,2731,4170,69,69,134,18484,17716,36195
SED21906,663,625,1295,51,87,137,3,6,11,215,259,469,38,53,95,7043,5328,12376,252,495,747,52,0,58,124,7,139,256,92,350,75,67,138,379,529,905,9160,7551,16709,64,46,112,0,0,0,112,135,253,37,30,66,13,15,30,32,20,54,261,249,514,0,0,0,16,15,30,0,6,6,3,5,5,4,0,3,22,28,47,97,75,171,380,349,728,63,61,121,0,3,6,9,13,21,77,76,149,7467,7871,15340,1530,2437,3965,56,81,143,18682,18358,37041
SED22005,593,550,1144,184,311,498,0,3,8,3,3,11,85,81,164,11075,6858,17934,572,1058,1624,148,4,149,76,7,81,138,46,184,130,71,195,315,413,732,13324,9405,22730,164,219,387,0,0,0,43,46,89,100,57,156,15,36,47,13,10,22,338,372,708,0,0,0,0,0,0,6,7,17,17,48,57,4,16,17,31,75,105,125,74,198,497,522,1011,89,129,217,7,15,23,0,0,6,99,150,244,4234,4405,8642,1437,2156,3593,115,63,174,19705,16689,36388
SED22105,513,438,953,129,182,307,3,0,8,0,0,3,105,97,200,22771,15227,37996,1164,1541,2701,461,9,469,133,5,134,53,9,64,204,103,306,125,226,350,25662,17826,43491,138,202,333,0,0,0,13,18,32,145,89,231,10,52,66,16,13,28,327,368,695,0,0,0,0,0,0,13,14,21,18,32,49,0,10,9,38,51,85,213,143,353,575,559,1132,110,133,240,14,4,17,11,3,10,130,145,270,4048,5460,9508,2072,3859,5930,165,109,271,32653,27942,60596
SED22201,218,176,391,83,72,151,4,0,8,3,0,7,22,27,48,9136,7206,16337,457,532,992,136,4,147,40,5,43,72,11,83,53,30,86,131,144,276,10356,8202,18559,73,66,140,0,0,0,12,3,13,61,46,102,12,13,19,10,0,9,158,136,294,0,0,0,0,0,0,4,0,6,9,4,18,0,0,3,14,9,23,84,40,126,259,186,439,31,41,64,0,3,9,4,4,4,32,44,76,3735,4450,8180,1305,2609,3912,58,63,118,15746,15539,31286
SED22305,285,248,538,266,342,610,4,0,3,0,4,7,67,67,132,12576,6331,18908,723,995,1717,243,9,255,39,7,40,70,14,81,152,74,228,150,174,326,14577,8254,22830,78,137,213,0,0,0,8,6,17,49,42,100,4,16,20,12,6,20,152,211,364,0,0,0,0,0,0,17,12,30,13,40,59,10,14,27,40,69,106,131,71,202,327,347,672,63,81,144,8,7,15,0,3,3,63,92,158,1848,2237,4088,1020,1476,2496,159,97,247,17992,12504,30497
SED22404,20,13,42,56,32,89,3,0,0,0,0,3,0,4,4,9477,7045,16524,517,428,945,343,8,347,42,8,52,52,24,79,81,54,131,553,518,1070,11147,8142,19285,8,8,17,0,0,0,0,0,0,35,17,47,4,5,4,3,0,3,47,27,77,0,0,0,0,0,0,4,5,8,15,3,17,0,0,3,20,6,27,110,38,153,177,74,256,14,9,18,4,0,3,3,0,4,21,12,34,2301,3198,5505,1403,2335,3743,128,102,226,15180,13866,29046
SED22501,286,171,453,54,62,120,6,3,8,0,0,0,12,10,17,7950,6204,14158,320,412,730,139,0,139,55,0,57,61,15,71,57,41,94,117,135,247,9046,7063,16109,26,31,49,0,0,0,11,15,26,62,45,109,12,13,21,11,7,12,111,103,217,0,0,0,0,0,0,5,9,12,3,7,13,0,0,9,12,18,32,56,27,82,181,153,336,28,17,48,4,0,4,3,0,3,35,20,52,4929,5500,10425,1428,2577,4000,43,32,74,15658,15342,30999
SED22607,629,601,1226,70,69,136,4,0,3,295,484,781,51,45,97,8037,5832,13869,343,535,874,75,3,78,84,7,100,373,131,503,94,77,172,351,479,830,10397,8269,18664,68,82,149,0,0,0,139,162,300,43,35,74,13,28,39,32,17,42,287,321,607,0,0,0,16,22,40,4,4,11,4,5,15,0,3,3,36,38,70,96,90,183,415,448,860,83,63,149,0,5,9,15,4,20,97,74,174,6707,7708,14417,1751,2912,4662,58,53,117,19430,19474,38901
SED22704,63,42,101,18,10,36,7,0,7,0,0,6,4,9,19,10180,8234,18415,650,535,1190,346,20,358,85,3,97,82,37,124,105,54,159,670,504,1172,12221,9461,21687,4,5,12,0,0,0,5,0,5,22,10,36,0,0,0,4,0,4,38,21,56,0,0,0,0,0,0,5,5,12,6,4,5,0,5,4,7,11,19,122,49,172,167,78,249,13,4,14,0,0,0,12,4,14,24,10,32,2078,2676,4759,1174,1969,3139,156,137,291,15815,14336,30154
SED22802,144,110,253,58,50,109,6,4,11,0,0,0,15,9,26,10451,7643,18094,566,517,1085,290,7,290,51,3,61,38,0,36,64,34,103,162,149,309,11842,8532,20371,37,40,83,0,0,0,0,0,4,48,34,79,3,8,12,3,0,10,99,84,186,0,0,0,0,0,0,5,3,8,15,14,29,0,3,3,25,21,41,103,36,139,219,141,361,21,22,48,0,0,3,0,0,0,26,31,58,2925,3878,6805,1400,2812,4216,53,41,91,16472,15431,31903
SED22901,192,124,319,93,117,211,7,0,4,0,6,5,23,22,44,8887,6920,15808,417,597,1010,127,0,136,39,0,36,70,11,86,61,47,117,102,124,227,10023,7979,18003,46,35,76,0,0,0,8,6,12,67,44,112,13,16,26,8,0,5,133,107,245,0,0,0,7,0,7,5,5,17,12,15,28,4,5,13,30,27,60,77,49,126,242,183,426,22,32,51,5,3,10,6,0,6,34,36,67,3781,4052,7833,1201,2103,3306,46,34,83,15328,14388,29718
SED23007,734,645,1378,256,325,577,4,4,4,57,110,170,90,77,166,11241,6730,17962,534,911,1444,113,4,119,164,17,179,323,135,454,109,71,181,324,402,729,13940,9428,23367,182,269,449,0,0,0,115,133,250,86,65,152,14,51,62,47,20,66,443,534,970,0,0,0,17,43,59,15,11,27,14,24,37,8,10,15,57,88,140,165,106,271,659,731,1388,160,217,369,3,13,18,0,0,4,168,229,392,5877,6737,12615,1870,2693,4561,119,83,202,22634,19894,42531
SED23101,232,169,404,107,129,234,4,0,4,38,56,96,22,16,34,7263,5588,12854,355,601,957,86,0,86,32,6,40,55,12,63,51,41,92,156,141,299,8402,6766,15170,88,70,160,0,0,0,9,11,20,82,46,137,11,8,18,7,5,12,195,136,336,0,0,0,16,15,28,7,4,16,12,19,31,0,7,7,33,49,78,84,62,144,315,249,562,78,74,150,7,9,16,4,3,8,92,84,172,4720,4697,9420,1242,1907,3157,58,38,95,14826,13743,28573
SED23205,142,84,231,106,149,257,3,5,10,0,0,0,29,24,57,9176,6890,16067,523,531,1052,129,0,134,66,0,70,80,33,112,68,42,109,218,236,456,10545,7996,18548,38,39,73,0,0,0,0,0,4,47,15,60,5,5,11,12,0,17,106,67,171,3,0,3,0,0,0,4,0,5,15,23,31,3,12,18,23,31,51,83,51,138,212,147,358,25,28,47,0,9,10,6,0,9,33,32,63,2624,3488,6113,1318,2502,3814,54,65,112,14788,14229,29018
SED23308,127,68,194,139,223,357,5,4,8,0,0,0,53,58,109,10232,8355,18587,560,720,1275,98,0,98,79,15,96,271,104,367,61,36,104,587,740,1325,12214,10322,22533,16,11,22,0,0,0,8,0,9,28,15,44,0,3,7,14,5,23,62,38,101,5,0,5,0,0,0,7,7,17,14,18,34,8,11,19,32,31,63,100,63,168,197,139,334,15,14,32,8,10,12,7,5,14,26,30,53,3019,3821,6834,1390,2642,4033,61,71,134,16913,17018,33927
SED23402,269,227,502,25,42,69,8,0,8,0,0,0,19,26,44,14470,10334,24804,745,767,1515,315,7,323,91,8,94,36,12,53,95,43,140,162,165,329,16235,11642,27875,42,67,110,0,0,0,7,11,18,72,36,110,12,12,26,15,10,24,160,131,289,0,0,0,0,0,0,4,4,5,0,11,17,0,3,4,5,14,23,139,59,195,303,207,513,50,56,103,0,3,4,4,0,4,54,54,109,3954,5344,9292,1651,3200,4849,76,64,147,22274,20517,42787
SED23502,4,0,4,35,21,54,8,3,11,0,0,0,9,10,25,8626,7807,16429,576,570,1146,221,7,224,71,7,75,100,30,128,120,58,180,487,422,914,10267,8935,19198,3,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,4,7,3,0,5,5,3,6,9,6,13,141,82,226,156,94,253,7,0,7,3,0,3,11,4,11,16,4,19,1381,1841,3221,1108,1783,2888,141,131,275,13067,12781,25851
SED23602,6,8,15,25,24,49,5,3,3,3,0,0,9,10,20,8401,7152,15553,471,541,1007,187,8,190,83,16,100,128,51,182,118,67,186,665,576,1239,10104,8449,18546,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,3,7,3,4,8,0,0,0,4,6,15,96,46,140,102,55,157,4,0,0,0,0,0,5,0,9,3,5,13,1857,2134,3992,1089,1790,2878,140,124,263,13301,12553,25848
SED23702,62,31,85,62,51,114,6,3,10,0,0,0,15,9,24,12600,9531,22130,692,550,1242,439,12,451,60,0,57,73,13,85,137,55,193,690,326,1018,14822,10589,25412,21,12,31,0,0,0,0,0,0,39,22,62,3,0,9,0,0,3,63,37,106,0,0,0,0,0,0,3,0,8,6,10,22,0,0,0,19,10,31,130,49,180,208,105,315,13,3,17,4,0,8,4,0,8,20,6,29,2179,3803,5990,1557,3026,4579,68,69,143,18857,17603,36460
SED23806,636,616,1250,13,18,35,4,5,6,208,298,503,20,29,50,5908,4846,10750,216,428,643,27,4,29,77,11,89,297,92,391,63,41,110,540,637,1178,8015,7016,15032,39,32,69,0,0,0,115,124,242,32,24,56,9,17,24,32,17,47,221,222,436,0,0,0,8,18,28,5,4,5,0,0,0,0,0,0,11,21,31,88,69,157,317,306,625,53,62,120,0,0,0,0,4,6,61,68,126,7729,8040,15766,1512,2467,3976,42,41,88,17678,17937,35617
SED23901,478,399,878,123,137,263,4,0,4,7,0,8,36,29,63,7564,5936,13504,319,492,811,89,0,89,70,4,77,213,70,282,102,63,166,503,609,1112,9513,7739,17255,60,59,108,0,0,0,28,41,66,61,41,103,5,16,27,24,16,35,177,166,343,0,0,0,9,11,22,11,0,13,10,19,31,4,11,12,35,37,74,83,60,143,300,266,562,36,46,79,3,5,9,0,0,0,37,48,92,6063,6358,12415,1509,2582,4093,68,53,121,17481,17047,34533
SED24006,91,105,198,147,181,333,3,3,6,234,221,454,24,22,43,6862,5342,12207,283,609,889,41,0,41,63,7,73,201,66,271,52,53,106,282,354,641,8290,6968,15259,23,21,39,0,0,0,28,20,46,17,25,42,0,13,9,3,0,9,74,74,143,0,0,0,26,39,67,10,17,21,9,12,20,10,3,9,49,62,115,98,100,195,220,227,450,30,30,58,9,15,23,0,7,10,44,49,91,6139,6064,12203,1397,2108,3506,63,60,126,16151,15476,31629
SED24105,291,310,604,110,174,285,5,0,5,0,0,0,59,50,105,12473,8610,21086,865,1310,2174,201,5,201,44,0,47,68,10,81,108,66,177,101,155,251,14318,10700,25016,96,153,249,0,0,0,10,19,27,93,53,149,8,18,28,5,6,12,210,253,461,0,0,0,0,0,0,8,5,15,11,28,42,7,12,15,26,46,66,160,88,251,401,388,785,73,97,171,5,7,11,3,0,6,83,113,191,2853,3349,6200,1140,1755,2899,82,64,145,18880,16361,35242
SED24207,394,426,812,70,132,197,4,0,3,5,7,12,72,53,124,15634,9996,25627,842,1265,2110,280,0,283,40,3,43,50,9,56,160,81,237,106,130,235,17648,12105,29752,71,152,224,0,0,0,15,33,46,158,133,289,14,51,68,9,11,14,263,382,647,0,0,0,0,0,0,16,12,26,15,29,41,3,0,3,29,37,69,178,103,280,477,520,996,90,166,261,5,5,13,6,0,6,99,176,276,3929,4800,8726,1796,2866,4666,132,92,225,24084,20560,44643
SED24308,158,113,270,94,195,289,10,0,13,0,0,0,55,44,100,10891,8337,19229,746,784,1533,176,8,182,64,6,75,127,35,152,74,49,121,188,224,416,12585,9790,22374,11,32,41,0,0,0,8,10,16,50,31,75,3,5,9,14,0,14,79,83,157,0,0,0,0,0,0,5,3,10,14,18,35,3,12,16,28,32,63,119,63,183,222,181,400,16,24,41,8,6,12,0,0,0,24,32,51,1893,2682,4572,1211,2085,3291,124,79,201,16056,14844,30895
SED24408,0,0,0,30,14,42,6,0,3,0,0,0,16,15,31,9013,7599,16610,532,539,1073,195,3,198,57,19,82,158,37,192,164,54,221,882,766,1645,11047,9053,20096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,5,7,4,3,9,0,0,0,12,6,18,122,44,165,131,49,187,0,0,0,0,3,3,15,6,19,15,9,25,1922,2004,3924,871,1659,2528,134,121,256,14119,12891,27007
SED24504,143,100,247,13,10,16,3,0,8,6,4,9,7,6,15,9059,6990,16055,524,545,1066,280,3,279,21,0,26,48,16,58,68,52,116,370,371,745,10532,8106,18640,6,4,5,0,0,0,7,9,17,50,18,71,15,9,13,8,0,12,89,38,128,0,0,0,0,0,0,0,6,12,0,5,3,0,0,0,4,4,13,67,26,97,166,70,237,16,19,35,0,0,0,4,6,5,24,21,41,3928,4648,8578,1467,2389,3860,98,99,200,16225,15332,31554
SED24606,609,485,1097,34,57,92,0,0,0,170,260,430,26,38,64,6142,4691,10834,204,423,629,32,3,32,56,11,68,222,73,291,73,45,124,334,491,824,7911,6577,14491,44,47,91,0,0,0,77,116,190,31,20,53,7,10,21,22,11,36,175,203,383,0,0,0,5,6,6,3,0,3,5,3,6,0,3,3,12,13,23,51,60,118,238,283,518,49,57,104,0,6,5,5,0,9,54,66,119,6692,7043,13727,1298,2193,3492,65,52,112,16258,16206,32462
SED24703,1396,1588,2991,286,337,621,10,0,10,2841,3455,6297,112,146,262,6230,3906,10137,296,571,865,39,0,44,379,86,466,1259,706,1965,194,155,351,4336,4402,8737,17379,15349,32730,293,290,580,0,0,0,394,470,872,55,34,86,27,49,71,81,61,146,848,900,1750,0,0,0,72,77,146,12,0,14,4,8,12,13,21,30,102,108,204,342,306,646,1290,1313,2605,270,311,586,9,8,22,38,30,67,318,349,671,14321,13813,28128,3658,5483,9139,153,127,278,37121,36433,73549
SED24808,371,314,689,36,84,121,3,3,4,0,4,3,36,30,66,15309,9960,25270,929,957,1892,371,9,381,68,6,69,36,7,45,121,69,190,151,205,356,17434,11663,29097,50,71,120,0,0,0,14,24,42,84,74,155,12,26,38,12,11,21,171,200,371,0,0,0,0,0,0,9,0,12,13,21,30,5,4,6,27,28,51,165,90,256,359,318,681,71,84,152,3,3,4,0,3,3,71,86,165,2636,4130,6769,1796,2882,4679,122,85,213,22424,19175,41595
SED24904,5,3,6,155,57,209,3,0,3,0,0,0,20,22,46,10619,8834,19454,1011,1180,2193,189,4,194,73,17,90,69,50,114,110,49,161,634,560,1191,12898,10773,23667,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,4,4,0,4,0,0,0,6,6,7,4,8,15,3,0,3,14,16,30,123,55,177,132,76,213,0,4,3,0,5,6,10,3,12,10,8,16,1232,1589,2822,827,1478,2304,183,144,327,15285,14061,29343
SED25003,353,295,648,107,145,245,6,0,3,3,10,16,29,27,62,12125,8374,20496,590,718,1302,217,0,220,44,4,51,31,11,38,106,52,160,60,96,157,13680,9727,23410,88,92,180,0,0,0,14,22,31,68,68,134,6,15,20,9,7,15,187,205,387,0,0,0,3,6,7,4,10,15,15,19,34,3,4,5,25,42,66,109,54,160,317,301,614,47,63,112,3,10,12,5,0,10,51,74,128,2949,3872,6821,1410,2483,3894,82,68,148,18492,16531,35022
SED25102,154,108,263,53,36,92,8,4,12,0,0,0,5,7,9,9055,6833,15891,462,430,892,230,4,237,66,3,71,42,8,48,59,41,104,206,191,406,10349,7670,18020,47,24,74,0,0,0,8,3,10,53,28,76,8,9,16,10,4,11,120,63,188,0,0,0,0,0,0,6,3,10,3,7,15,0,0,0,9,11,20,74,32,105,206,108,317,18,10,28,0,5,5,8,0,7,25,19,42,3665,4421,8085,1504,2607,4113,55,44,97,15801,14868,30670
SED25205,322,243,568,50,73,123,7,4,8,7,0,3,33,22,54,8924,7116,16037,382,508,889,126,0,125,68,7,79,134,41,182,59,39,103,189,277,470,10300,8329,18636,60,63,125,0,0,0,12,19,31,42,28,73,5,19,27,20,3,24,140,139,281,0,0,0,0,0,0,5,4,3,3,3,11,0,6,6,9,11,17,71,49,115,216,204,419,31,45,72,0,0,0,8,0,8,37,45,81,5062,6007,11070,1452,2733,4187,65,43,106,17132,17363,34496
SED25302,52,16,69,47,57,101,5,5,7,0,0,0,6,0,9,8660,6825,15486,452,520,974,151,3,153,33,0,38,72,17,92,63,38,99,202,223,423,9741,7713,17457,3,9,15,0,0,0,0,0,0,37,17,57,3,3,6,0,0,0,49,28,75,0,0,0,0,0,0,4,10,9,3,16,21,0,3,5,9,25,33,69,30,100,131,83,214,6,3,6,3,0,3,6,0,6,15,3,17,3741,4499,8235,1437,2615,4050,61,61,118,15118,14969,30087
SED25402,21,9,34,55,84,143,3,0,3,5,0,4,7,14,20,10565,8902,19460,699,712,1409,163,6,161,52,7,56,64,8,69,55,41,91,241,230,468,11916,10013,21933,8,8,12,0,0,0,0,0,0,8,0,11,10,0,14,5,3,11,34,14,52,0,0,0,0,0,0,9,3,14,0,16,16,0,4,4,11,24,32,93,43,138,137,84,218,5,10,10,3,6,9,3,0,3,12,14,20,1206,2082,3288,1290,2161,3453,92,92,190,14660,14436,29100
SED25501,484,378,864,110,167,277,6,0,6,4,10,14,24,16,45,7484,5643,13127,374,640,1008,64,3,61,35,0,40,79,18,98,92,49,140,207,229,441,8954,7168,16118,68,69,137,0,0,0,22,44,62,71,47,124,17,15,26,7,5,14,180,180,363,0,0,0,3,7,5,5,3,9,11,24,39,7,4,8,28,40,69,73,70,141,283,288,574,52,62,117,5,11,16,6,3,5,61,73,133,5562,4951,10512,1149,1871,3024,67,44,115,16080,14396,30470
SED25605,265,231,492,108,167,269,0,0,0,0,0,3,32,39,70,9261,6252,15513,447,754,1202,131,0,130,45,0,51,55,10,62,100,45,144,102,121,225,10551,7617,18171,69,111,174,0,0,0,3,16,20,105,52,151,8,23,31,7,9,13,188,199,391,0,0,0,0,0,0,13,9,19,10,25,45,5,7,11,29,44,76,83,54,138,301,298,600,58,70,131,0,8,11,4,0,3,62,77,138,3406,3530,6932,1012,1629,2637,81,65,143,15415,13221,28634
SED25704,4,4,6,21,19,34,0,0,7,0,0,0,17,14,29,10409,8768,19179,676,727,1405,214,13,223,129,31,159,179,66,243,110,41,152,687,673,1367,12445,10360,22800,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,8,6,4,0,0,0,5,0,4,8,6,16,115,57,170,124,67,191,0,0,0,0,0,3,11,0,11,13,0,14,1431,1700,3132,919,1769,2691,150,133,276,15090,14025,29106
