SED_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SED10090,137,386,7,60,65,25,0,3,5,689,68,124,0,3,21,4,0,0,0,223,1854,4639,193,491,1244,455,36,87,137,9137,7,4,5,3,0,0,0,0,0,15,213,269,36,131,268,90,7,28,13,1050,225,237,66,201,307,118,3,32,8,1201,105,94,116,194,225,77,11,26,8,866,28,19,8,12,42,20,0,8,4,135,39,38,11,38,117,26,5,5,0,289,39,64,17,14,37,9,0,13,4,190,36,60,8,33,68,19,4,7,47,277,3753,8756,523,1323,2936,979,65,220,285,18838,20,74,0,0,11,3,0,0,0,117,165,805,12,5,28,7,0,0,12,1039,2138,4492,143,177,747,248,48,49,116,8150,63,126,4,9,26,8,0,0,4,240,292,683,23,68,100,35,9,12,16,1238,100,170,6,5,29,8,0,6,0,316,4216,9274,556,747,1833,907,140,225,265,18169,4,7,5,4,0,0,0,0,0,25
SED10091,57,263,0,93,42,4,0,4,3,467,18,79,0,6,8,3,0,0,0,110,525,2036,97,328,456,135,12,57,43,3693,5,0,0,8,7,0,0,0,0,22,146,226,33,175,230,67,9,35,9,932,229,250,84,518,429,141,18,73,21,1756,283,242,382,856,981,333,70,211,55,3404,37,16,26,50,152,53,17,40,3,397,56,44,26,102,195,73,8,44,14,562,16,33,4,12,41,8,3,7,0,122,29,62,23,57,96,47,13,21,49,380,1584,4055,685,2275,2718,898,151,502,197,13052,10,22,0,5,5,0,0,0,0,39,46,173,6,3,14,5,0,5,0,253,365,1090,48,79,96,43,12,36,16,1788,4,21,0,0,9,0,0,0,0,44,96,377,9,98,47,14,0,9,3,657,36,102,4,4,11,3,0,0,0,174,1122,3040,265,499,578,217,71,135,65,5991,0,0,0,10,8,5,0,0,0,25
SED10092,51,272,8,73,49,12,0,5,0,466,18,108,3,11,19,0,0,0,0,150,484,2642,118,517,588,208,15,69,37,4684,0,3,0,5,0,0,0,0,0,15,101,159,22,153,173,38,0,26,10,684,167,203,76,489,383,88,25,50,23,1498,204,224,293,887,747,237,54,175,48,2866,16,16,14,79,126,37,7,48,3,341,27,27,17,108,177,44,3,42,9,455,11,25,5,16,31,8,0,16,0,108,21,51,10,56,50,22,4,38,32,289,1329,4912,595,2490,2478,745,121,487,189,13348,12,30,0,0,0,4,0,0,0,49,62,550,16,8,12,0,5,3,6,653,457,1636,77,154,234,109,98,79,35,2883,5,43,0,3,0,0,0,5,0,62,83,407,14,89,63,17,7,10,4,700,42,141,3,8,27,3,3,5,0,236,1053,4585,380,781,818,375,131,221,77,8424,0,5,7,5,0,3,0,0,0,29
SED10093,32,146,6,93,30,4,0,4,3,317,13,74,0,6,8,5,0,0,0,110,290,1709,52,307,307,84,17,51,20,2835,0,0,0,11,4,0,0,5,3,29,74,173,23,172,168,47,9,25,3,695,186,229,63,641,381,123,22,59,23,1727,280,310,388,1298,1011,380,70,256,48,4029,26,18,25,70,112,72,16,43,5,387,40,27,21,113,148,67,19,45,5,479,12,16,3,20,37,12,0,11,0,110,17,40,10,78,63,33,8,26,28,308,1055,3166,604,2849,2314,827,167,518,147,11653,0,23,0,5,0,0,0,0,0,26,14,94,0,4,0,0,0,0,0,112,201,546,34,56,56,21,12,19,10,942,3,29,0,0,3,0,0,0,0,40,45,219,6,103,39,3,3,11,3,435,30,96,0,12,7,5,0,0,0,161,573,2477,169,452,398,141,70,108,38,4427,0,7,0,15,8,0,0,3,3,41
SED19494,5,11,0,4,3,0,0,0,0,27,0,8,0,5,3,0,0,0,0,13,30,119,12,33,31,14,10,49,0,300,0,0,0,0,0,0,0,0,0,0,3,6,0,16,10,0,0,5,0,48,8,16,5,23,15,7,0,9,0,80,20,5,20,44,29,22,7,22,0,170,0,0,0,9,9,8,0,0,0,20,4,5,0,4,6,0,0,9,0,26,0,3,0,0,0,0,0,0,0,10,0,3,0,3,7,4,0,5,7,34,82,241,31,138,118,57,27,109,19,829,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,25,23,95,5,5,18,6,7,4,0,159,0,3,0,0,0,0,0,0,0,7,3,19,0,5,3,0,6,0,0,34,4,3,0,5,3,0,0,0,0,13,64,223,25,54,38,22,25,72,7,542,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,174,525,16,76,84,26,0,14,13,925,59,167,4,10,27,8,0,0,5,280,1739,4336,260,778,1235,470,45,305,126,9286,6,4,4,7,0,5,0,0,0,22,178,244,52,114,189,78,7,32,23,912,298,306,121,333,311,153,14,40,29,1610,177,153,183,274,310,141,15,55,20,1324,28,19,4,16,37,14,0,8,0,132,54,54,16,40,107,30,6,12,7,328,27,66,9,20,31,7,0,25,0,195,39,61,8,39,41,20,3,28,60,299,3827,8838,776,1903,2890,1089,105,556,357,20349,35,73,0,0,9,9,3,0,0,133,158,960,7,13,27,4,0,7,3,1191,1890,4473,211,270,750,290,83,111,139,8207,54,147,3,10,24,8,0,8,9,277,328,862,38,99,125,43,5,22,19,1537,113,226,4,17,36,7,0,3,5,418,3870,8737,742,1209,1886,849,197,624,265,18377,5,7,9,9,0,3,0,0,3,37
SED20207,86,433,11,182,87,17,3,3,12,836,24,152,0,10,30,3,0,3,0,236,895,3474,282,720,1197,401,67,190,112,7337,3,0,0,8,5,0,0,0,0,21,143,191,57,169,258,78,12,47,12,970,265,312,134,677,529,169,46,78,35,2248,179,158,271,670,596,231,95,132,38,2377,20,10,13,25,74,19,15,20,3,203,36,27,14,89,135,50,11,29,6,403,13,50,13,22,31,19,0,11,0,162,25,72,14,50,68,22,12,27,86,384,2177,6697,915,2903,3555,1166,294,608,386,18700,7,45,0,0,6,3,0,0,0,70,79,466,14,12,21,4,3,6,4,605,1302,3274,261,358,859,332,209,129,131,6857,50,131,9,14,27,13,8,3,3,261,171,622,34,207,116,32,5,14,11,1226,57,215,11,22,44,5,3,3,0,362,2251,6581,794,1045,1762,694,418,431,221,14198,5,0,12,7,3,0,3,3,0,46
SED20302,87,341,6,262,84,19,0,10,9,821,24,132,3,9,17,5,0,0,0,191,499,2930,196,737,699,294,37,189,56,5646,4,3,7,28,6,3,0,10,0,52,177,179,70,234,271,83,11,57,11,1091,302,335,150,988,599,226,39,139,42,2826,320,209,479,1323,860,424,99,356,51,4122,36,15,22,73,118,64,17,45,6,401,31,20,23,158,116,63,9,63,5,487,17,36,7,37,22,10,3,18,5,154,49,54,16,98,89,51,5,56,64,480,1721,5273,1057,4154,3096,1312,262,996,271,18144,9,38,0,4,5,0,0,0,0,56,36,211,3,7,6,10,4,0,4,283,430,1503,194,289,318,130,151,141,51,3203,15,75,5,14,14,3,12,0,5,145,158,499,19,282,104,28,11,16,15,1129,48,180,12,12,21,10,4,7,0,276,1186,4579,551,991,1035,483,361,447,115,9748,11,4,12,23,7,3,3,5,0,78
SED20401,45,339,13,146,54,12,0,5,0,620,19,125,0,12,24,0,0,0,0,185,399,2136,123,440,609,203,28,96,39,4066,0,3,0,6,3,0,0,3,4,13,97,160,47,153,206,50,3,30,5,753,141,223,91,500,382,145,25,69,19,1602,159,119,283,670,524,188,48,146,29,2177,19,7,12,23,63,30,4,21,0,193,21,25,16,73,88,42,3,17,3,286,9,19,4,12,18,9,0,3,0,72,15,33,10,48,54,18,8,12,28,224,1107,4153,630,2172,2213,733,130,430,148,11712,6,31,0,0,0,0,0,0,0,40,38,268,9,6,10,0,0,3,3,345,412,1332,99,118,253,65,23,49,30,2377,12,56,0,4,11,7,0,4,4,96,82,496,28,155,71,17,8,12,0,868,42,149,10,15,34,8,0,3,0,262,1014,3713,382,612,887,377,122,218,83,7415,0,3,0,6,3,0,0,3,4,21
SED20508,67,400,14,122,57,19,0,4,3,694,25,131,4,8,23,6,0,0,3,196,486,2259,117,357,433,124,4,63,41,3895,0,6,0,15,4,0,0,0,0,24,141,228,38,195,206,51,10,23,14,909,165,229,86,476,345,90,13,67,17,1486,194,155,360,812,570,259,34,166,31,2572,15,17,17,42,57,32,6,20,0,209,27,16,14,79,74,32,0,19,8,275,4,15,3,15,16,9,5,4,8,79,29,48,9,52,49,22,4,24,36,270,1360,4268,686,2233,1925,647,74,398,168,11760,9,55,0,3,3,0,0,0,0,77,42,272,3,6,15,0,0,3,3,340,336,896,38,63,114,26,15,18,19,1520,18,55,0,5,3,0,0,0,0,85,130,547,28,144,68,24,3,13,3,965,48,174,11,14,23,6,4,3,3,285,1078,3535,287,526,609,222,46,129,82,6512,4,5,7,15,4,0,0,4,0,38
SED20604,101,354,4,132,39,11,0,3,4,643,28,166,6,12,19,6,0,0,0,226,410,1933,77,325,333,64,16,77,25,3264,0,0,0,11,3,0,6,0,0,18,111,168,20,147,154,31,7,33,4,678,199,259,59,593,366,129,5,54,18,1691,285,194,362,1023,817,282,76,266,43,3352,29,9,17,65,79,47,9,44,0,289,28,22,16,77,84,33,0,30,4,303,12,16,0,12,14,4,4,4,0,62,30,35,17,61,44,31,3,44,35,303,1362,3758,594,2510,2007,641,129,558,140,11706,3,15,0,0,0,3,0,4,0,30,32,167,3,3,0,6,0,0,3,217,232,687,20,63,68,13,14,10,4,1120,15,50,0,4,3,0,0,0,0,70,159,498,15,156,46,13,5,9,7,911,48,183,7,14,22,3,0,4,0,291,881,2760,195,449,423,103,71,151,48,5088,0,0,0,13,3,0,3,3,0,28
SED20704,70,454,12,155,68,10,0,12,4,790,21,141,3,11,14,0,0,0,0,200,355,2528,77,341,447,136,12,91,34,4013,0,0,0,8,0,0,0,0,0,17,70,164,29,161,137,31,3,21,13,632,151,252,52,542,304,92,12,67,17,1491,202,166,334,956,659,277,71,209,27,2903,21,8,20,53,84,49,10,40,4,283,27,15,18,71,91,24,6,23,0,286,11,22,0,10,14,6,0,3,0,75,23,50,19,62,43,33,4,27,23,282,1081,4650,561,2416,1925,668,123,507,133,12071,4,26,0,0,3,0,0,0,0,26,26,235,0,0,17,0,0,0,0,286,223,995,25,60,70,24,6,16,12,1437,8,67,0,3,3,0,0,0,0,93,131,653,26,188,84,16,5,20,13,1124,46,177,0,14,16,5,0,0,0,262,830,3901,209,506,597,210,81,182,53,6568,0,3,0,16,0,0,0,0,0,25
SED20804,74,368,9,113,52,10,0,3,4,639,25,131,3,11,10,0,0,0,0,181,311,1805,85,306,320,110,13,72,28,3055,0,0,0,12,0,0,0,0,3,20,71,143,23,143,100,27,8,18,9,547,112,206,59,472,255,81,8,63,12,1266,182,129,304,802,507,210,31,233,25,2417,18,8,13,43,61,41,3,45,3,229,18,16,20,53,76,28,5,18,0,229,6,20,3,9,11,4,0,13,0,61,20,49,10,50,43,27,12,35,35,273,968,3647,534,2074,1491,565,86,516,129,10009,0,35,0,3,0,0,0,0,0,42,37,277,4,6,13,0,0,8,8,348,224,904,31,76,90,24,12,33,16,1412,7,47,0,3,0,0,0,0,0,65,127,528,24,142,58,17,8,10,6,922,44,159,11,19,14,0,5,3,0,253,656,2824,216,452,440,170,54,163,45,5035,3,7,5,12,0,5,0,4,3,25
SED20906,108,433,6,82,88,12,0,3,5,736,28,118,0,4,20,3,0,3,0,175,1045,2884,132,503,903,303,28,87,71,5952,0,0,0,3,4,3,0,0,0,12,134,218,60,129,217,75,6,27,12,876,148,201,68,292,315,109,5,17,12,1172,110,89,165,265,336,124,15,40,10,1161,14,11,3,26,54,17,3,9,0,146,24,32,14,64,99,38,4,16,5,286,14,36,0,11,28,11,0,6,3,114,17,51,7,43,44,11,0,10,29,214,2173,5687,491,1526,2363,767,67,227,190,13508,22,33,0,0,11,0,0,0,0,65,114,517,14,5,12,4,4,0,4,665,1020,2261,92,118,373,140,49,55,57,4161,49,108,3,6,9,8,0,3,6,193,200,681,17,93,117,28,4,10,10,1168,71,160,4,10,24,10,0,3,0,272,2443,5388,466,703,1322,585,130,212,149,11396,4,0,3,3,0,3,0,4,0,20
SED21001,125,501,15,85,88,11,0,7,9,842,27,131,0,10,24,3,0,4,0,198,822,3357,167,549,962,357,22,100,73,6413,0,4,5,5,0,0,0,0,0,13,102,162,41,161,188,63,4,44,7,771,129,148,90,275,268,132,12,55,20,1141,82,68,110,297,232,94,12,44,14,952,12,16,7,23,46,10,0,11,0,127,24,20,19,46,75,23,4,17,7,232,10,43,5,10,24,16,0,4,6,117,25,40,8,30,31,27,0,14,39,208,1874,6462,534,1644,2342,862,68,343,224,14344,6,38,0,0,6,0,0,0,0,62,114,760,12,4,20,6,3,3,5,933,1065,3015,179,219,568,235,70,119,93,5552,49,85,8,9,21,6,4,0,3,184,259,750,34,101,118,27,6,21,11,1321,60,171,6,11,30,5,0,3,4,297,2100,6347,537,802,1413,658,173,282,176,12481,0,3,4,5,0,0,0,0,0,18
SED21106,135,457,4,51,75,19,5,3,9,759,38,100,3,11,16,3,0,0,0,169,1368,3204,118,397,832,325,6,40,85,6375,5,5,0,3,4,4,0,0,0,17,156,210,28,99,177,69,6,18,8,765,166,204,36,194,240,127,10,12,14,995,102,82,104,152,183,86,9,20,10,742,15,8,4,14,35,13,4,0,0,91,40,34,7,38,58,38,0,8,6,241,18,30,0,8,19,11,0,0,4,99,37,60,8,20,44,26,0,6,42,236,2717,6024,328,1056,1869,760,40,99,206,13122,22,50,0,0,4,5,0,0,0,81,150,664,7,10,20,0,0,0,13,863,1284,2217,50,99,274,102,12,17,74,4132,58,111,10,10,11,0,4,0,4,203,260,669,18,63,98,38,5,14,16,1175,65,133,9,13,20,9,0,0,0,245,3233,6009,331,591,1176,628,73,147,159,12330,5,6,0,7,4,0,0,0,0,21
SED21203,22,149,10,116,32,13,0,3,5,355,13,32,4,3,8,0,0,0,0,59,184,1088,87,346,370,141,36,113,39,2408,0,0,0,12,0,4,0,0,0,17,36,66,15,100,92,38,7,18,7,382,75,111,62,422,198,93,16,69,14,1060,57,71,117,453,230,109,35,98,24,1195,6,9,6,29,21,22,4,15,0,113,13,16,4,71,44,26,6,25,4,211,6,9,0,10,19,8,3,5,0,62,13,40,10,41,35,26,9,21,41,237,501,2109,334,1717,1146,509,137,409,157,7023,0,4,0,6,3,5,0,0,0,18,18,161,8,0,4,0,5,0,0,205,194,929,138,182,179,108,202,174,41,2151,9,24,6,6,3,0,5,6,3,66,31,243,14,130,46,18,14,10,5,505,23,43,3,8,6,0,4,0,0,89,475,2015,427,570,613,276,357,331,105,5157,0,0,3,11,0,4,4,0,0,33
SED21303,185,772,18,135,133,13,0,0,3,1272,79,258,0,16,36,8,0,3,5,404,1288,4759,323,848,1196,420,50,128,87,9096,3,5,0,6,7,0,0,0,0,24,113,206,41,134,140,74,8,20,12,747,190,261,88,310,270,106,9,37,15,1282,121,133,210,292,272,95,23,56,21,1237,18,12,13,32,32,14,0,5,0,137,29,38,13,40,64,14,5,13,4,221,13,50,5,11,18,11,0,6,0,120,9,43,7,26,36,15,8,9,40,194,2918,10188,810,2047,2613,852,111,306,247,20096,20,71,0,4,11,0,0,0,0,115,220,1623,12,12,46,4,0,4,12,1935,1291,4441,189,300,550,133,62,81,94,7131,38,118,3,12,19,0,5,0,0,193,301,1223,49,170,185,26,5,14,9,1986,111,350,5,26,55,8,7,3,0,572,2654,8764,795,1297,1901,748,196,363,179,16897,4,5,4,13,7,0,0,4,0,32
SED21401,63,287,7,63,85,16,0,4,9,543,25,82,0,7,15,0,0,0,4,134,751,2479,171,458,915,391,19,73,70,5325,0,0,0,0,3,0,0,0,0,6,110,131,36,114,165,75,12,31,11,689,149,141,53,246,242,111,9,31,11,1004,75,68,129,272,194,117,13,52,20,936,17,6,11,24,31,23,0,12,0,109,30,18,17,58,88,36,7,13,9,264,8,26,0,10,11,16,0,0,6,74,22,48,13,21,54,24,0,12,50,244,1588,4668,500,1371,2104,910,68,231,211,11664,17,35,0,0,6,3,0,0,0,66,77,540,8,7,21,5,0,3,3,672,773,2087,140,126,430,176,50,38,69,3890,32,85,3,0,14,4,0,0,0,139,134,428,22,80,107,29,4,10,13,830,45,114,5,9,21,5,7,0,0,212,1936,4730,496,654,1340,687,131,225,165,10367,0,4,5,0,4,5,0,0,0,20
SED21503,55,313,10,88,58,10,0,3,8,550,19,117,5,8,8,4,0,0,0,162,445,2152,147,391,637,204,31,92,47,4140,0,0,0,3,0,6,0,0,0,14,81,146,36,128,168,44,5,19,4,630,120,174,71,391,296,110,10,48,14,1231,104,86,144,473,328,118,28,99,20,1395,9,6,9,26,60,17,3,14,0,146,20,24,17,61,96,26,0,17,3,270,7,29,5,17,20,7,0,3,0,92,14,43,9,42,39,25,5,14,26,216,1110,4164,478,1737,1898,627,106,352,148,10619,3,25,0,3,0,3,0,0,0,38,57,432,14,9,16,0,8,8,6,554,443,1455,119,138,289,125,124,104,53,2854,16,60,5,0,4,0,0,0,0,100,107,482,14,99,83,18,5,6,15,836,39,150,7,16,13,5,0,3,0,229,1125,3685,424,608,922,379,205,258,101,7705,4,3,0,5,3,6,0,0,0,20
SED21608,64,348,9,139,63,8,7,0,3,629,24,126,3,12,20,0,0,0,0,194,337,1865,80,330,385,111,15,54,19,3209,0,0,0,10,5,0,0,0,0,20,96,140,37,153,172,39,6,32,8,683,134,209,85,497,342,81,13,45,17,1421,191,155,312,885,691,260,42,189,28,2749,18,7,25,44,78,41,14,38,0,271,25,9,3,66,69,28,9,16,0,234,10,24,3,12,12,5,0,0,0,72,28,34,18,46,38,33,10,24,21,258,1066,3610,599,2282,1955,638,108,417,112,10793,0,25,0,5,0,0,0,0,0,34,32,216,0,10,12,3,0,0,3,278,246,823,47,93,114,33,31,34,21,1441,12,48,0,9,0,4,0,0,0,73,112,487,22,166,76,14,5,8,6,879,53,157,7,21,25,4,4,5,0,271,751,2970,256,501,528,188,77,139,42,5457,6,7,0,10,5,0,0,4,0,28
SED21706,144,464,19,87,86,16,0,9,8,831,30,113,0,7,28,5,0,3,0,177,1065,3192,156,515,910,356,20,93,86,6391,0,0,0,4,0,0,0,0,0,9,104,199,27,107,168,54,10,19,11,696,147,140,50,236,259,82,5,41,8,975,66,73,96,234,161,109,9,45,10,806,8,4,10,18,36,23,8,5,0,115,17,25,17,46,79,26,0,18,0,236,9,39,0,13,14,3,0,0,0,94,20,40,7,32,31,9,0,3,27,178,2211,6247,423,1453,2100,778,70,280,183,13735,20,61,4,3,4,0,0,0,0,92,129,771,15,8,32,5,0,7,7,973,1204,2867,144,188,473,219,90,109,69,5373,61,97,0,8,25,0,9,0,0,205,266,752,33,102,120,37,0,12,7,1328,71,152,8,8,35,10,0,3,0,290,2589,6054,505,753,1330,710,172,278,180,12576,3,4,0,4,0,0,0,0,0,15
SED21805,65,295,0,124,41,14,6,7,3,555,24,119,0,8,13,0,0,3,0,160,448,2027,88,379,538,171,29,56,43,3780,0,0,0,8,5,4,0,3,0,18,114,173,55,208,235,57,8,28,17,893,250,287,75,621,468,153,20,58,32,1968,262,168,352,860,691,286,73,178,39,2907,13,13,11,40,78,48,7,20,3,240,34,41,23,104,121,37,12,27,5,395,7,15,6,12,19,9,0,5,0,80,35,51,20,72,61,23,4,19,38,325,1422,3903,655,2492,2361,836,167,422,183,12445,10,20,0,5,4,0,0,0,0,35,34,144,3,4,10,4,3,0,0,205,344,922,46,76,116,46,19,21,15,1617,17,38,0,0,9,6,0,0,0,66,105,396,16,139,57,22,7,14,9,766,39,147,8,12,20,7,3,3,3,239,1014,3080,291,554,737,321,116,152,84,6344,0,0,0,11,10,4,0,9,3,32
