SED_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SED10090,1068,82,36,7,1186,23,6,24,1216,45,5,1260,1019,186,16,0,1224,10,0,12,1240,24,0,1265,495,58,62,5,624,9,0,9,630,15,0,645,11,0,0,21,37,0,0,0,37,0,4,40,2603,327,114,31,3068,38,3,46,3115,82,4,3198,25,0,0,0,30,0,0,4,32,0,0,32,56,7,0,0,62,3,0,3,71,0,0,73,81,14,3,0,95,5,0,8,102,0,0,102,2683,332,117,31,3164,42,3,49,3212,84,4,3304,658,89,22,9,780,13,4,21,795,83,0,880,8,0,0,3,13,0,0,0,13,0,13,28,3359,428,141,36,3963,52,11,67,4027,170,17,4210,1617,133,25,9,1784,31,7,40,1823,97,3,1923,1173,207,19,0,1395,18,0,18,1417,31,0,1447,158,29,22,0,205,3,0,3,206,5,0,216,13,0,5,10,24,0,0,0,21,0,3,25,2952,368,73,11,3409,54,7,58
SED10091,655,102,48,3,804,5,0,5,813,22,0,829,1292,246,66,5,1607,10,0,9,1618,35,0,1650,437,108,96,4,644,5,0,5,646,11,0,658,32,0,0,20,53,0,0,0,53,0,9,57,2414,454,203,38,3110,18,0,20,3125,63,6,3197,17,0,0,0,18,9,0,9,20,0,0,22,44,13,9,3,58,0,0,0,58,4,0,61,60,13,6,3,75,9,0,9,86,4,0,91,2470,464,209,42,3186,21,0,27,3214,64,9,3284,663,162,74,22,920,19,0,22,943,110,0,1052,9,0,3,0,8,0,0,0,8,0,23,36,3143,623,288,66,4118,43,5,51,4163,177,35,4375,929,148,48,17,1145,11,0,11,1156,67,0,1220,1339,290,71,8,1712,15,7,20,1732,43,3,1779,184,54,55,3,299,0,0,0,300,6,0,306,31,5,0,22,58,0,0,0,58,0,0,58,2489,491,182,55,3212,22,7,30
SED10092,367,73,23,4,464,5,3,10,475,27,0,502,813,199,47,9,1062,4,3,6,1066,32,0,1097,370,75,81,7,529,5,0,7,531,15,0,549,13,5,0,19,28,0,0,0,26,0,3,37,1557,351,145,29,2080,16,13,26,2103,72,5,2182,9,0,4,0,10,5,0,5,15,8,0,19,35,16,0,0,52,3,0,4,50,8,0,63,43,15,4,0,60,3,0,3,65,7,0,80,1600,361,149,32,2149,20,13,28,2174,87,8,2270,491,195,50,25,765,23,13,39,798,247,0,1045,0,0,0,3,12,0,0,0,12,0,15,29,2097,557,201,64,2918,39,25,68,2981,335,22,3337,501,72,43,6,619,18,0,16,634,47,0,682,779,168,44,6,999,11,0,10,1005,56,3,1055,114,41,33,0,189,3,0,3,196,5,0,199,8,0,0,10,15,0,0,0,15,5,9,28,1403,289,116,16,1822,26,4,28
SED10093,439,89,30,4,563,5,0,10,579,22,4,600,873,211,64,11,1158,9,0,10,1168,32,5,1205,397,87,104,5,594,10,0,10,599,17,0,612,31,0,5,15,46,0,0,0,46,0,3,51,1739,393,194,33,2353,23,3,28,2388,71,12,2475,22,3,0,0,25,0,0,0,22,0,0,22,31,10,0,0,45,0,0,0,45,4,0,43,53,13,0,0,62,0,0,0,64,4,0,64,1789,401,196,33,2421,24,6,32,2450,75,12,2538,611,134,73,29,848,23,9,35,882,136,3,1028,11,0,0,6,21,0,0,0,21,0,7,27,2406,537,271,71,3290,48,12,64,3351,214,27,3593,647,141,37,3,829,15,0,13,836,61,0,901,933,222,59,6,1222,7,3,9,1233,39,4,1271,170,46,48,3,265,0,0,0,265,11,0,282,12,0,0,26,41,0,0,0,37,6,0,45,1762,400,146,39,2351,21,4,22
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,543,38,6,0,590,11,0,11,606,42,0,647,626,118,15,6,763,7,0,7,765,8,0,780,296,40,26,0,364,4,0,4,367,8,0,377,8,4,0,11,16,0,0,0,16,0,0,18,1471,196,51,15,1729,31,0,31,1758,64,0,1823,36,4,0,0,32,0,0,0,36,4,0,40,31,4,0,0,36,0,0,3,32,0,0,38,60,4,0,0,67,4,0,9,71,4,0,75,1538,202,51,15,1802,30,0,35,1835,64,0,1902,470,73,25,9,580,14,4,20,595,69,0,661,5,0,3,3,14,0,0,0,14,0,7,15,2010,282,73,21,2383,48,7,52,2440,133,5,2578,657,61,10,0,733,15,0,20,752,47,0,804,575,88,18,4,677,7,0,7,688,15,0,704,51,4,12,0,63,0,0,0,63,4,0,70,8,0,0,13,18,0,0,0,18,0,0,18,1288,151,37,20,1493,25,0,24
SED20207,1506,136,24,4,1673,28,9,36,1714,69,3,1780,1531,249,26,16,1816,17,4,19,1841,55,7,1900,523,66,78,6,674,8,0,8,679,12,0,691,24,6,0,39,70,0,0,4,73,5,6,83,3584,459,130,63,4235,52,14,66,4296,137,11,4454,107,27,0,7,138,14,0,12,155,3,0,161,134,16,3,7,160,14,4,15,174,0,0,182,245,44,3,13,299,24,5,31,330,11,0,341,3829,498,132,67,4530,72,21,96,4627,151,11,4791,1500,243,63,42,1848,60,13,73,1923,196,4,2122,10,6,0,25,47,0,0,0,47,3,36,83,5340,752,196,137,6427,135,34,173,6599,349,51,6998,2289,204,34,13,2535,48,11,60,2595,104,0,2699,1989,325,30,12,2356,29,5,32,2385,85,0,2474,175,24,26,8,228,9,0,8,232,3,0,241,22,6,0,29,60,0,5,4,57,0,4,68,4478,553,84,55,5171,83,16,100
SED20302,1065,137,20,3,1225,18,4,27,1254,60,0,1313,1983,423,29,19,2452,18,5,28,2477,58,15,2550,627,99,68,7,803,9,0,9,810,11,3,817,39,8,0,33,81,0,0,0,81,0,5,86,3715,664,120,70,4564,41,14,56,4621,126,24,4772,59,12,0,0,75,10,0,10,84,0,0,80,112,8,0,0,124,5,0,5,128,9,0,135,170,24,0,0,196,10,0,10,206,11,0,218,3887,680,124,70,4762,55,14,67,4831,137,24,4986,1681,270,76,61,2088,38,10,45,2136,194,13,2345,13,0,0,24,38,0,0,0,38,0,48,91,5585,957,205,149,6888,91,19,110,7002,331,81,7414,1479,192,27,13,1709,25,14,38,1750,75,6,1824,2177,424,41,11,2651,28,5,33,2685,97,3,2786,216,39,40,4,299,0,0,0,299,7,3,307,28,6,4,46,82,0,0,0,79,4,8,92,3902,667,108,68,4746,54,16,69
SED20401,491,66,9,0,561,6,3,8,570,19,0,593,1103,141,23,6,1272,19,4,22,1294,32,0,1332,366,41,42,0,447,0,0,0,449,13,0,461,15,0,0,8,20,0,0,0,20,0,0,25,1970,248,73,14,2303,26,10,32,2336,70,0,2409,13,3,0,0,12,0,0,0,18,0,0,12,32,7,0,3,41,0,0,0,41,3,0,45,39,11,0,3,54,0,0,0,57,5,0,60,2014,258,73,15,2359,26,8,36,2399,71,0,2466,598,75,27,26,721,13,0,15,737,56,5,800,6,0,0,0,6,0,0,0,6,0,9,16,2609,333,99,44,3093,39,10,45,3141,129,11,3279,642,76,13,0,732,10,0,10,746,39,0,781,1296,163,24,3,1479,9,10,18,1498,43,0,1541,87,13,14,0,117,0,0,0,122,3,0,128,9,0,0,10,18,0,0,0,18,0,0,17,2033,257,45,12,2353,15,13,32
SED20508,298,45,11,0,350,6,3,6,359,32,4,392,1129,160,4,5,1304,9,4,9,1317,29,4,1346,332,49,35,4,419,4,0,4,419,12,0,434,19,0,0,9,25,0,0,0,25,0,0,26,1778,259,48,15,2101,11,12,17,2118,69,3,2198,7,0,0,0,7,0,0,0,7,0,0,7,34,7,0,0,39,0,0,0,43,0,0,43,37,7,0,0,43,0,0,0,49,0,0,49,1817,266,48,15,2145,14,12,24,2167,69,3,2247,485,73,22,15,596,12,0,15,612,36,0,651,0,0,0,0,4,0,0,0,4,0,9,6,2300,335,72,37,2741,25,10,37,2780,113,12,2899,579,126,17,4,726,7,5,10,731,34,6,769,1441,215,33,14,1705,11,11,18,1719,35,0,1755,84,11,19,0,114,0,0,0,114,3,0,117,21,0,0,3,22,0,0,0,22,0,6,26,2120,360,64,24,2565,13,14,27
SED20604,441,45,14,8,510,7,3,3,517,20,0,533,1138,140,13,5,1302,6,0,3,1307,29,0,1334,284,42,37,5,365,3,0,3,370,6,0,374,20,0,0,12,36,0,0,0,36,0,3,38,1886,229,66,24,2213,12,3,17,2225,55,3,2282,12,0,0,0,12,3,0,3,13,0,0,13,26,8,0,4,34,0,5,5,35,0,0,37,38,8,0,4,50,3,5,3,49,0,0,52,1925,234,66,32,2254,12,8,17,2278,56,3,2338,545,64,27,4,642,9,0,18,663,60,0,720,5,0,0,0,9,0,0,0,9,0,10,12,2479,299,90,39,2903,26,13,38,2939,116,13,3072,798,79,26,11,908,8,0,10,910,49,3,966,1164,132,16,8,1322,6,0,9,1334,51,0,1386,75,8,18,0,101,0,0,0,103,6,0,107,23,0,0,24,47,0,0,0,47,0,7,55,2054,219,52,47,2374,14,3,16
SED20704,381,65,10,6,457,6,0,6,464,29,0,492,1203,184,35,9,1429,16,3,19,1448,41,3,1489,384,51,45,6,484,6,0,6,494,6,0,500,10,0,0,9,20,0,0,0,20,3,0,27,1977,308,85,25,2398,27,5,27,2423,77,3,2507,11,0,0,0,11,0,0,0,9,0,0,11,31,0,0,0,34,0,0,0,33,0,0,33,41,0,0,0,41,0,0,0,42,3,0,47,2018,308,87,23,2440,28,5,31,2468,84,3,2551,601,110,38,7,757,15,0,19,774,61,0,840,4,0,0,0,7,0,0,0,7,0,13,17,2622,419,124,33,3194,39,6,50,3247,145,18,3404,749,119,19,8,885,8,0,11,898,33,0,936,1422,204,19,6,1655,12,0,15,1668,34,0,1697,102,13,10,0,130,3,0,3,130,4,0,135,6,0,0,18,21,0,0,0,26,10,0,33,2280,339,47,31,2692,21,3,25
SED20804,233,47,11,0,293,8,3,5,295,22,0,316,846,172,28,5,1047,3,4,6,1052,36,3,1091,232,49,45,4,330,0,0,0,327,6,0,338,21,4,0,5,33,0,0,0,33,3,0,34,1327,269,80,14,1697,7,10,18,1709,69,3,1783,5,0,0,0,5,0,0,0,5,3,0,11,16,11,0,0,27,0,0,0,27,0,0,28,25,10,0,0,36,0,0,0,36,3,0,40,1357,282,84,14,1733,7,10,18,1750,67,3,1826,442,95,24,7,572,19,0,15,589,67,0,654,4,0,4,0,10,0,0,0,10,0,5,16,1801,381,112,26,2312,20,10,33,2349,134,9,2494,431,94,9,5,540,3,0,9,545,33,0,578,964,150,23,13,1154,5,0,5,1158,43,0,1202,79,6,17,0,102,0,0,0,102,0,0,105,8,0,0,0,12,0,0,0,12,4,0,14,1485,254,49,18,1806,8,0,9
SED20906,713,66,6,4,791,10,3,14,804,23,0,830,979,144,23,10,1154,13,0,19,1167,23,0,1192,378,29,29,0,440,4,0,4,439,6,0,447,22,0,0,7,25,0,0,0,25,0,0,31,2098,241,53,14,2412,23,3,32,2447,59,4,2507,14,3,0,0,16,0,0,0,16,0,0,16,35,5,0,0,40,0,0,0,39,0,0,39,56,4,0,0,61,0,0,0,62,0,0,62,2156,250,55,12,2472,27,3,28,2504,59,4,2564,466,55,17,3,537,12,3,18,557,57,6,613,6,0,0,5,10,0,0,0,10,0,5,14,2627,300,76,27,3024,41,10,47,3072,108,14,3194,1132,95,12,6,1243,19,3,23,1267,68,0,1337,1357,173,18,10,1566,15,3,17,1580,46,0,1622,85,4,9,0,92,0,0,0,92,5,0,97,6,0,0,7,18,0,0,0,18,0,0,20,2576,277,41,24,2920,32,7,38
SED21001,491,57,9,0,562,11,3,15,584,28,0,603,726,153,7,4,895,8,0,11,904,38,0,943,262,32,22,3,321,4,0,4,324,9,0,330,4,3,0,5,16,0,0,0,16,3,0,24,1490,253,46,11,1794,21,8,26,1821,71,0,1894,12,6,0,0,14,5,0,5,22,0,0,17,26,4,0,0,33,3,0,3,35,0,0,38,44,8,0,0,49,4,0,4,57,5,0,62,1530,262,46,11,1844,32,8,31,1878,77,0,1952,403,110,18,7,530,8,8,17,544,75,4,624,5,0,0,5,11,0,0,0,11,0,13,22,1938,373,57,22,2384,37,13,52,2431,150,18,2603,899,98,3,0,1008,16,4,18,1032,48,7,1084,1090,160,13,0,1267,10,9,16,1282,33,0,1312,71,6,6,0,83,0,0,0,82,3,0,85,3,4,0,10,19,0,0,0,19,3,0,19,2073,267,26,13,2377,25,7,35
SED21106,503,38,10,4,554,8,0,10,564,22,0,588,714,88,20,0,830,5,0,5,835,12,8,849,245,18,23,0,288,0,0,0,291,0,0,295,15,0,0,6,26,0,0,0,26,0,0,26,1481,149,52,18,1697,17,0,19,1716,40,6,1758,12,0,0,0,13,0,0,0,13,0,0,13,23,3,0,0,22,0,0,0,27,0,0,25,32,4,0,0,35,0,0,0,38,0,0,42,1515,152,52,18,1733,14,4,16,1752,35,6,1800,378,35,10,5,423,4,5,9,427,29,7,461,3,0,0,3,3,0,0,0,3,0,5,9,1893,191,60,22,2166,15,3,26,2182,69,19,2271,827,88,3,4,928,19,0,18,946,42,0,991,862,112,9,5,994,18,0,16,1010,16,5,1027,53,13,5,0,71,0,0,0,71,7,0,73,9,0,0,15,15,0,0,0,15,0,0,20,1750,218,22,27,2011,33,4,36
SED21203,213,45,10,0,269,16,3,19,291,37,0,327,440,154,12,9,615,21,4,29,641,30,0,677,132,44,20,3,201,4,0,9,203,10,0,212,17,8,5,16,43,0,0,0,43,0,0,49,801,249,43,30,1125,38,16,50,1179,78,0,1266,30,10,0,0,44,3,0,3,46,3,0,45,62,24,0,0,92,18,8,21,111,7,0,123,95,35,0,0,128,15,8,28,157,12,0,169,896,288,43,32,1259,62,24,80,1336,94,4,1433,1135,580,62,76,1850,126,28,152,2005,639,17,2658,6,4,0,19,25,0,0,0,25,4,44,75,2031,871,104,130,3137,182,46,228,3367,733,64,4164,288,62,13,0,360,20,5,28,380,39,0,423,470,165,16,10,658,18,9,26,686,43,3,735,36,14,5,0,48,0,0,0,50,9,0,55,14,0,0,16,33,0,0,0,30,4,4,40,799,242,28,32,1098,35,16,52
SED21303,488,91,22,0,592,10,0,10,609,31,0,648,816,181,22,4,1021,19,5,22,1039,25,0,1063,349,62,39,0,456,3,0,3,453,10,6,467,7,6,0,5,17,0,0,0,17,0,0,19,1660,329,86,15,2090,30,5,33,2126,63,11,2196,12,7,0,0,13,3,0,3,17,0,0,17,15,4,0,0,18,0,0,0,18,3,0,24,27,8,0,0,40,3,0,3,38,3,0,39,1695,336,81,15,2125,35,5,36,2159,66,11,2235,372,89,24,8,493,10,0,10,499,56,0,557,0,0,0,0,4,0,0,0,4,0,4,6,2065,422,107,25,2616,45,5,46,2662,118,14,2801,679,128,11,0,822,14,0,14,834,39,0,878,807,145,3,0,956,8,3,11,967,38,0,1004,48,9,5,0,57,0,0,0,57,0,0,57,13,0,0,10,25,0,0,0,25,0,0,25,1541,280,26,14,1861,23,5,24
SED21401,541,54,6,0,611,11,7,13,623,29,0,655,690,151,20,5,866,5,0,4,872,22,0,898,213,33,22,3,270,3,3,7,278,8,0,284,9,0,0,12,15,0,0,0,15,0,0,23,1453,240,49,22,1764,21,11,27,1794,64,4,1862,13,5,0,0,15,0,0,0,18,0,0,18,27,4,0,3,36,8,3,9,45,6,0,50,47,6,0,3,56,6,3,10,65,6,0,65,1501,245,49,25,1820,28,9,39,1857,66,4,1933,488,108,14,12,621,26,3,32,654,87,5,737,6,5,0,11,14,0,0,0,14,0,6,27,1988,357,63,50,2454,54,16,69,2522,155,14,2692,752,88,14,4,858,13,0,17,877,36,0,912,863,158,16,8,1043,0,4,11,1057,30,0,1091,60,9,9,0,77,0,0,0,78,7,0,87,6,3,0,15,24,4,0,4,30,0,0,30,1681,255,36,34,2007,20,11,27
SED21503,415,49,15,0,476,9,4,11,488,13,0,502,836,151,20,5,1011,10,0,13,1016,17,0,1037,344,37,44,4,430,10,4,9,436,4,0,444,9,6,0,8,25,5,0,5,32,0,0,32,1606,241,68,21,1936,24,6,35,1971,35,6,2006,17,0,0,0,20,0,0,0,19,0,0,24,36,8,0,0,44,6,5,8,54,0,0,54,49,12,0,0,66,9,5,14,76,0,0,73,1660,251,68,21,2001,33,10,46,2049,31,6,2081,463,109,9,15,599,34,9,40,641,72,0,716,0,0,0,3,8,0,0,0,8,0,9,17,2124,363,85,38,2607,66,18,91,2690,108,14,2814,534,88,18,6,652,17,5,23,670,31,0,704,966,149,27,6,1142,19,0,20,1162,30,3,1192,78,9,4,0,92,0,0,0,92,3,0,102,5,3,0,21,28,0,0,0,28,4,0,30,1587,245,44,34,1909,35,6,42
SED21608,351,49,9,0,409,5,0,5,413,34,0,448,1016,126,17,3,1170,6,8,13,1181,27,0,1207,373,36,30,6,445,4,0,4,452,15,0,464,11,0,0,17,26,0,0,0,26,0,0,30,1751,218,57,27,2055,18,10,23,2077,70,3,2146,11,3,0,0,18,4,0,4,21,4,0,24,25,7,0,0,33,4,0,4,40,3,0,37,37,9,0,0,51,9,0,9,58,5,0,62,1787,228,59,30,2106,21,10,25,2133,78,3,2211,556,74,25,19,677,18,3,19,697,74,8,779,3,0,0,0,3,0,0,0,3,0,14,24,2350,303,85,52,2782,35,10,52,2834,148,25,3012,639,94,14,0,748,3,0,5,756,43,0,803,1303,121,24,3,1448,10,8,14,1464,34,4,1506,89,11,9,4,122,0,0,0,122,3,0,123,16,0,0,18,40,4,0,4,46,6,5,54,2049,233,48,29,2362,15,12,23
SED21706,564,68,15,6,645,9,3,11,657,27,0,685,836,121,3,0,961,10,0,10,971,25,3,997,338,28,25,0,389,4,0,4,392,3,0,402,7,0,0,12,12,0,0,0,18,0,0,17,1738,218,44,15,2008,21,3,27,2039,58,3,2099,19,4,0,0,25,0,0,0,25,0,0,26,30,5,0,0,35,0,0,0,42,7,0,47,52,7,0,0,58,6,0,6,68,5,0,67,1792,224,45,15,2069,26,3,31,2101,64,3,2169,444,53,16,6,511,11,9,12,528,53,6,583,10,0,0,8,11,0,0,0,12,0,10,25,2237,277,62,25,2596,34,14,48,2643,119,16,2774,958,107,23,3,1090,19,0,19,1112,37,0,1146,1070,129,6,0,1205,6,0,12,1219,31,0,1245,60,5,6,0,75,0,0,0,76,3,0,81,5,0,0,13,17,0,0,0,17,0,3,22,2095,234,38,18,2388,27,3,33
SED21805,497,68,10,0,568,7,3,6,573,34,4,615,1349,141,19,8,1519,11,0,14,1531,24,0,1562,467,47,54,4,565,5,0,5,573,15,0,582,27,6,0,14,47,0,0,0,47,0,4,46,2339,252,79,26,2706,19,7,25,2725,76,4,2806,21,5,0,0,22,0,0,0,22,7,0,23,23,5,10,0,38,0,0,0,38,0,0,39,48,7,10,0,59,0,0,0,57,4,0,65,2384,260,91,32,2757,14,7,22,2782,78,4,2871,692,83,23,14,813,7,3,11,825,51,0,876,15,0,0,4,15,0,0,0,14,0,10,31,3085,341,111,43,3587,28,9,34,3621,131,18,3776,714,86,11,7,816,10,0,7,829,43,6,874,1310,153,21,11,1496,8,0,8,1509,36,0,1548,113,19,19,0,148,0,0,4,153,9,0,159,14,0,0,20,37,0,0,0,37,3,4,40,2153,265,47,39,2505,18,0,21
