SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR313,1617,394,3127,24262,33886,15296,12045,31663,10180,127325
SOSR314,1773,601,3636,23945,34160,15934,12460,33642,12796,132939
SOSR315,2727,919,5464,36699,52304,25478,20558,50941,20909,206897
SOSR321,752,206,1556,13795,20007,10603,9003,17746,8084,79232
SOSR322,299,117,702,6234,8838,4590,3745,8522,3605,35541
SOSR331,2090,646,5145,65401,96411,51736,44695,71866,40453,370559
SOSR379,0,0,0,6,6,3,0,34,135,183
SOSR399,24,11,44,2216,2411,933,689,3525,3463,13234
SOSR401,17612,2780,33293,217673,296726,127078,81365,265306,45398,1033551
SOSR412,1223,332,2494,15694,23002,10228,7271,19042,4379,79604
SOSR413,1502,278,2996,13337,20508,10599,7193,18461,5529,75634
SOSR414,558,107,1108,5096,7848,3963,2680,5730,1350,26670
SOSR415,2221,450,4077,17722,26807,13403,9794,22323,6503,96551
SOSR421,594,181,1159,4929,7444,3815,2970,5491,2141,26793
SOSR422,191,48,442,2815,4405,2329,1775,3340,1509,16171
SOSR431,638,220,1738,22983,34105,18496,13839,20751,10254,120427
SOSR479,0,0,0,0,0,0,0,4,5,12
SOSR499,4,0,11,491,536,178,137,868,763,2975
SOSR501,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
SOSR511,657,272,1523,11637,16627,7491,5931,14220,4323,60227
SOSR512,1366,374,2918,18420,26053,11547,8912,23293,8639,96858
SOSR513,238,81,503,10048,13530,4978,3982,11866,7367,51774
SOSR514,230,109,567,4183,6079,2860,2388,5087,2093,22690
SOSR515,769,345,1831,13254,18946,8762,7479,16640,8666,73743
SOSR521,349,111,754,5511,7547,3635,3328,7001,3784,30808
SOSR522,145,86,375,3265,4312,2175,1816,3752,2091,17404
SOSR531,618,172,1649,24533,34068,17355,15033,26461,19615,137066
SOSR579,0,0,0,33,21,10,15,214,222,516
SOSR599,10,23,30,870,963,339,278,1476,3362,7285
SOSR603,2422,454,4881,35221,48501,19870,11997,40903,8636,165131
SOSR611,1177,230,2208,13277,18554,7901,5308,18598,3669,67303
SOSR612,654,157,1254,6732,9687,4520,3385,10607,2145,37076
SOSR613,248,48,471,1913,2919,1439,1024,2833,670,10800
SOSR614,188,43,366,2481,3611,1775,1380,3603,932,13783
SOSR615,1014,278,1944,9735,14319,7063,5378,13930,3407,53837
SOSR621,242,60,478,3256,5128,2604,1982,4218,1258,18445
SOSR622,97,66,232,1332,2134,1195,973,1661,627,7925
SOSR631,468,147,1169,16279,25766,13703,10430,17033,6157,89376
SOSR679,0,0,0,0,0,0,0,13,8,19
SOSR699,0,0,3,216,217,80,47,353,324,1248
SOSR703,371,124,749,20075,26591,9607,6184,24565,10428,97454
SOSR712,91,29,169,4369,5325,1900,1247,5234,1568,19635
SOSR714,20,8,30,913,1055,457,262,1160,766,4610
SOSR715,11,0,29,3338,3575,1342,829,2755,1370,13205
SOSR721,11,0,26,2380,2523,1179,757,1814,771,9427
SOSR722,17,3,28,2328,2048,1179,645,1698,877,8767
SOSR731,52,16,123,5086,7139,3261,2275,4900,4796,27458
SOSR779,0,0,0,9,14,6,4,47,25,94
SOSR799,4,0,7,480,399,152,120,687,1217,3052
SOSR802,2980,743,7174,85277,122524,46846,24525,73493,17348,370000
SOSR822,0,0,6,117,164,72,35,65,22,481
SOSR831,4,0,5,105,118,62,33,116,84,519
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,4,123,123,39,17,138,126,560
SOSR915,0,0,4,181,236,106,73,268,208,1074
SOSR921,13,0,38,242,450,222,147,247,163,1472
SOSR922,5,0,11,83,102,33,33,188,113,550
SOSR931,0,0,15,118,170,69,67,108,327,859
SOSR979,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,6,3,0,0,0,8,11
