SOSR_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,23,70,243,184,129,102,17,4,0,762,22,48,133,69,54,61,26,0,0,410,10,10,51,33,34,14,6,0,0,152,4,11,23,14,7,10,6,5,0,66,57,128,435,295,228,187,52,6,0,1388,13,36,75,70,57,33,6,0,0,285,9,15,25,13,17,23,3,0,0,106,24,49,97,83,79,56,12,0,0,392,78,181,530,377,303,237,61,4,0,1775,83,92,218,241,274,401,459,127,13,1917,90,136,412,483,435,312,131,39,8,2040,253,411,1164,1108,1010,949,648,166,19,5734,9,48,170,97,85,52,9,0,0,470,48,50,160,75,75,78,24,0,0,506,6,21,43,23,19,22,3,0,0,136,0,0,6,9,6,0,0,0,0,20,66,122,369,195,189,156,34,0,0,1128,9,16,28,37,24,12,0,0,0,135,19,19,28,24,14,19,4,0,0,124,27,37,57,62,40,30,6,0,0,252
SOSR201,8536,49907,220120,233322,186748,120376,24475,1913,99,845499,31257,49910,62289,41399,34468,34232,20332,4236,310,278438,4532,6076,9171,7185,6124,6419,2703,479,63,42745,735,2664,7153,5032,3148,1968,647,201,60,21593,45054,108558,298729,286936,230484,162999,48162,6822,532,1188278,1714,5932,11117,8231,7473,5607,869,43,10,41009,9529,6378,4259,2046,1788,2392,980,128,16,27513,11244,12310,15379,10282,9260,7999,1847,172,23,68524,56300,120864,314102,297212,239745,171002,50009,6996,562,1256803,69082,29687,33936,28538,32861,56180,116744,86623,32338,485993,4969,8184,21561,16292,12338,9481,7583,6285,3748,90442,130354,158734,369594,342049,284946,236664,174337,99909,36647,1833238,2497,35373,162781,132393,119428,67467,10212,464,20,530629,41003,60882,92950,106289,91042,68034,21319,2250,106,483877,6078,8225,20238,15075,7787,7567,2631,343,32,67964,666,2108,4785,3258,2356,1464,494,170,75,15378,50244,106584,280750,257009,220606,144537,34658,3225,232,1097849,1023,3503,7416,5305,4438,2760,261,15,0,24726,9622,5976,6087,5655,4487,3471,709,59,4,36071,10645,9478,13507,10955,8922,6227,974,77,12,60800
SOSR203,1328,5235,17268,15631,13937,9591,1770,114,8,64884,3368,3567,4592,2812,2520,3002,1823,312,22,22010,389,467,719,545,524,748,282,39,3,3713,81,193,409,252,208,151,59,33,4,1402,5168,9458,22995,19240,17188,13489,3927,500,45,92003,219,531,817,507,512,379,59,3,0,3026,666,377,322,151,123,199,82,10,0,1938,888,900,1142,663,634,585,138,9,0,4959,6050,10358,24132,19896,17824,14076,4070,509,46,96965,4768,1960,2560,2170,2885,5477,12922,8962,3289,44997,514,775,1598,1134,1088,961,883,688,416,8059,11331,13088,28291,23205,21800,20512,17873,10157,3752,150016,472,3440,10745,7988,8808,5521,709,29,7,37722,4550,5487,8849,9777,8158,7220,2029,154,11,46238,585,741,1979,1171,696,897,281,23,4,6375,81,139,315,214,163,129,45,23,11,1123,5686,9813,21886,19151,17820,13768,3065,233,24,91459,115,226,400,291,283,176,19,0,0,1515,693,362,461,378,311,250,67,6,0,2536,810,588,860,671,599,428,89,8,0,4053
SOSR211,497,1600,5259,5287,3814,2342,463,18,0,19281,749,745,1148,1022,654,649,325,53,4,5351,96,90,202,185,154,155,59,8,4,957,37,71,231,156,74,56,13,0,0,645,1376,2504,6846,6654,4697,3199,863,84,8,26233,109,191,325,245,177,129,22,0,0,1192,225,103,81,61,43,47,22,0,3,587,329,295,405,298,222,183,38,0,3,1777,1707,2803,7255,6952,4918,3377,901,79,10,28008,1609,526,847,830,963,1507,3267,1758,434,11740,219,260,613,553,389,286,227,141,45,2730,3547,3584,8713,8335,6266,5168,4391,1982,487,42480,165,874,2878,2791,2296,1323,187,7,0,10524,1048,1038,2467,2347,1756,1348,381,28,0,10414,139,167,503,277,176,204,52,10,0,1519,35,67,143,86,64,42,11,5,0,454,1395,2145,5994,5506,4287,2924,619,46,4,22912,57,126,215,186,121,78,11,0,0,792,235,117,218,167,107,81,11,0,0,935,289,246,432,351,224,156,25,0,0,1729
SOSR212,1077,3403,10740,10805,10353,7382,1414,103,6,45281,2317,1527,2109,1838,1719,2044,1339,237,11,13148,313,240,425,446,393,562,216,21,6,2631,61,121,301,274,212,136,37,19,7,1159,3766,5292,13575,13360,12678,10125,3010,379,32,62220,140,334,455,355,336,235,39,3,0,1896,432,182,158,112,87,125,47,0,3,1156,577,519,620,467,427,358,86,6,3,3050,4344,5810,14190,13827,13101,10484,3096,388,32,65272,3075,1010,1551,1414,1850,3648,9371,6255,2099,30276,431,450,1041,961,888,788,719,565,320,6156,7851,7275,16783,16199,15841,14923,13180,7207,2451,101705,403,2181,6652,5828,6663,4164,601,21,3,26518,3016,2608,5149,6534,5768,5126,1450,105,3,29763,415,354,1271,810,531,640,198,13,0,4231,77,121,203,192,162,116,41,17,7,949,3914,5264,13271,13370,13120,10041,2293,159,20,61456,87,143,231,175,182,133,8,0,0,967,429,178,254,254,195,194,28,7,0,1540,515,324,486,432,380,325,37,7,3,2512
SOSR213,1047,3130,9783,9327,8885,6734,1335,104,11,40354,2113,1373,1825,1648,1561,1997,1340,268,25,12148,227,175,364,327,367,526,208,32,3,2244,65,120,286,224,181,146,59,23,5,1110,3455,4796,12253,11528,10988,9399,2946,426,46,55852,181,319,456,298,333,304,54,3,0,1945,358,126,155,107,91,128,51,7,0,1034,539,442,615,401,429,432,110,11,0,2979,3998,5245,12870,11936,11420,9834,3057,441,46,58834,2841,963,1532,1499,2015,4088,10215,7338,2427,32921,353,382,886,751,784,666,770,641,423,5647,7189,6587,15291,14183,14217,14588,14037,8420,2897,97402,359,1986,5340,4786,5456,3586,531,28,5,22065,2794,2272,5058,5787,5564,4944,1462,108,9,27988,333,288,1070,651,469,677,201,20,3,3703,63,94,195,132,136,99,45,29,5,806,3543,4641,11667,11360,11617,9304,2242,179,18,54572,74,133,225,163,185,133,12,0,4,925,333,151,254,211,207,192,42,3,0,1393,409,281,479,368,386,321,48,3,4,2315
SOSR214,541,1599,4779,4458,4629,3745,834,72,8,20671,986,726,1006,914,991,1436,969,186,11,7228,150,128,233,211,229,353,177,29,3,1525,56,63,126,128,111,98,55,21,10,661,1736,2511,6148,5717,5956,5638,2038,310,25,30084,90,125,203,157,188,164,28,0,0,951,132,74,67,49,49,84,36,8,3,493,223,193,262,202,237,249,59,8,3,1442,1956,2713,6411,5912,6200,5886,2096,314,35,31522,1661,541,746,855,1223,2781,7516,5509,1846,22670,204,192,474,471,476,545,623,572,302,3848,3819,3443,7627,7239,7895,9208,10239,6397,2180,58042,183,957,2608,2396,3026,2101,344,14,4,11631,1320,1097,2441,2953,3029,3126,1072,102,4,15156,211,179,599,414,294,432,146,20,3,2289,52,61,132,76,87,77,24,12,12,533,1765,2294,5775,5833,6439,5733,1589,155,20,29604,37,59,94,91,95,77,0,0,0,456,152,64,105,99,124,126,30,5,0,711,192,129,199,191,223,204,28,5,0,1169
SOSR215,906,2558,7756,7930,7916,6549,1466,160,11,35247,1474,950,1452,1323,1567,2199,1538,302,19,10822,241,145,336,355,433,611,244,47,6,2418,92,126,275,203,227,158,80,27,8,1204,2717,3775,9817,9812,10140,9520,3324,539,46,49696,113,184,306,219,268,287,45,0,0,1431,213,85,101,70,65,137,59,7,0,738,331,269,406,289,333,427,106,11,0,2163,3044,4043,10229,10104,10473,9945,3431,548,46,51864,2598,625,1015,1135,1728,4096,10614,7147,2334,31286,380,374,753,833,855,905,987,661,326,6074,6021,5036,11998,12071,13059,14946,15028,8357,2708,89222,262,1373,3957,3817,4826,3458,542,41,4,18281,2026,1622,3980,5089,4822,4970,1534,163,8,24219,302,250,1039,603,485,704,230,37,4,3650,96,98,166,151,182,101,66,26,10,890,2680,3344,9133,9661,10317,9235,2376,261,25,47034,54,100,151,134,155,136,17,0,0,751,245,103,138,161,144,211,36,9,0,1047,302,198,295,296,303,343,54,7,0,1799
SOSR221,278,657,1826,2066,2247,1902,444,49,5,9477,376,243,372,401,471,792,477,72,5,3209,72,35,91,108,104,184,80,7,0,681,23,24,66,66,60,56,18,8,0,322,746,951,2360,2638,2885,2935,1025,143,12,13690,23,39,68,52,80,92,15,0,0,370,36,22,24,15,30,46,13,0,0,190,66,59,94,69,109,137,30,0,0,563,811,1013,2457,2702,2994,3071,1050,144,16,14251,674,155,227,333,527,1442,3421,1971,542,9282,87,92,172,217,277,319,355,205,105,1822,1569,1257,2858,3249,3797,4832,4826,2311,653,25357,84,327,931,945,1358,972,139,8,0,4761,559,394,977,1371,1449,1565,466,42,0,6823,88,57,267,181,128,211,77,6,0,1017,34,23,49,41,55,39,20,7,0,265,763,799,2222,2541,2987,2786,701,60,6,12865,12,19,41,26,59,48,7,0,0,207,55,19,31,36,43,49,10,3,0,245,61,44,72,63,95,94,19,3,0,453
SOSR222,118,323,930,1063,1268,1106,270,34,0,5115,169,140,246,217,290,428,282,35,6,1803,38,32,51,61,73,120,54,12,0,446,14,18,47,34,38,24,16,6,0,206,340,521,1270,1375,1665,1682,617,88,6,7570,7,28,50,36,50,68,10,0,0,253,29,14,19,9,11,29,13,0,0,114,33,40,65,45,63,99,25,0,0,366,375,563,1334,1420,1728,1778,648,88,6,7936,397,97,148,180,286,771,1685,930,252,4741,79,79,154,141,186,210,194,104,43,1192,848,737,1640,1736,2200,2760,2525,1122,298,13866,46,188,501,538,761,596,114,12,0,2753,284,235,521,691,749,804,220,26,0,3529,48,50,119,94,94,114,32,0,0,555,20,16,25,28,32,24,14,3,0,156,399,483,1165,1343,1643,1539,375,39,4,6997,18,18,20,18,30,30,4,0,0,134,21,5,23,30,31,31,4,0,0,151,37,24,42,49,60,62,10,0,0,284
SOSR231,2559,5451,11744,15194,19724,17973,6168,1326,134,80282,3358,1794,1934,2234,3433,5404,4218,1153,174,23698,484,307,488,597,914,1382,612,123,27,4933,249,250,445,428,594,534,338,189,41,3061,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,165,279,386,302,460,516,78,0,4,2183,410,159,126,71,138,261,110,17,0,1296,577,435,505,377,595,772,191,16,4,3471,7224,8233,15113,18837,25263,26065,11523,2807,374,115450,5558,1416,2639,2739,3726,8194,18179,9840,2168,54461,967,791,1511,1843,2415,2722,2503,1318,381,14446,13752,10442,19262,23421,31393,36977,32210,13965,2926,184354,793,2720,5977,7216,11373,8641,2258,372,26,39377,4493,3192,5930,9145,11082,11393,4222,708,59,50233,737,430,1413,981,1157,1486,529,86,18,6831,245,179,321,326,443,376,254,128,29,2310,6268,6521,13645,17665,24058,21902,7263,1295,127,98750,87,151,207,165,242,222,13,3,0,1090,459,143,172,193,273,354,60,8,0,1667,545,295,379,356,511,578,79,11,0,2757
SOSR279,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,19,59,201,145,110,77,13,0,0,621,16,38,92,39,43,34,20,0,0,281,0,10,14,12,8,14,4,0,0,74,3,4,12,7,14,5,0,0,0,44,43,104,316,210,182,131,36,7,0,1022,12,25,57,64,50,23,0,0,0,222,8,24,17,13,13,5,0,0,0,78,16,46,75,71,56,28,6,0,0,298,63,152,389,284,241,154,40,7,0,1324,77,73,169,199,220,198,223,62,5,1218,91,124,383,525,461,287,130,22,7,2028,234,345,939,1008,912,644,392,90,15,4576,9,35,126,65,39,33,0,0,0,302,22,59,131,50,42,55,3,0,0,367,3,11,30,12,14,8,4,0,0,85,0,0,9,0,0,0,3,4,0,16,37,109,287,131,99,96,9,6,0,771,7,15,34,19,10,13,5,0,0,105,26,13,18,13,8,9,8,0,0,79,32,23,55,38,14,20,6,0,0,191
SOSR301,6632,30342,101144,109951,95908,59007,10883,800,32,414701,19070,21559,26678,18674,15528,14690,8228,1511,103,126046,4152,4954,6789,5161,4823,4780,1738,206,23,32625,505,1355,3008,2133,1450,842,246,66,27,9631,30359,58209,137618,135919,117710,79312,21105,2580,189,582995,1818,3920,5741,3915,3639,3029,440,18,0,22515,5225,2769,2017,1012,871,1059,480,43,5,13474,7047,6688,7759,4923,4515,4087,911,64,3,35993,37405,64890,145376,140835,122226,83401,22015,2643,196,618987,32672,12610,16368,13613,15680,27949,60693,40561,12612,232757,2896,4465,10173,7983,6502,4834,3737,2663,1544,44798,72975,81963,171915,162430,144404,116187,86446,45868,14350,896541,2842,22552,72133,67478,65984,36960,5070,214,14,273245,24161,27474,44328,49905,40638,29746,8713,899,34,225897,6744,7637,14319,10105,7476,6329,1755,142,11,54516,541,1084,2213,1467,1075,695,200,82,22,7386,34284,58745,132991,128955,115184,73729,15735,1340,81,561045,1066,2262,3509,2651,2372,1441,138,0,3,13445,4921,2574,3044,2661,1961,1623,325,24,9,17137,5989,4837,6553,5312,4334,3060,462,21,13,30584
SOSR302,2691,9707,30507,35660,34880,22409,4939,414,13,141221,7895,6817,9757,7753,7769,8234,4982,1005,65,54286,1736,1586,2642,2181,2266,2294,862,125,17,13709,236,529,1179,881,668,402,127,50,24,4081,12556,18640,44086,46475,45588,33340,10906,1595,117,213295,622,1039,1601,1239,1462,1290,215,10,3,7487,1654,759,686,373,362,551,295,37,0,4720,2277,1798,2290,1615,1825,1839,507,49,7,12206,14831,20437,46375,48087,47413,35184,11411,1635,121,225504,10201,3520,4773,4440,6056,12600,31141,23205,7108,103044,1222,1638,4286,3615,3414,2674,2478,1925,1145,22389,26252,25595,55437,56143,56883,50456,45031,26774,8372,350936,1005,6902,20615,20591,23451,14081,2308,114,4,89075,10299,9790,17851,21340,19543,15668,5214,512,21,100229,2738,2893,5502,4047,3499,3169,941,105,6,22896,260,468,980,658,564,374,114,33,18,3464,14298,20055,44945,46633,47055,33285,8572,762,52,215663,349,593,1023,771,846,686,80,5,0,4352,1553,757,1029,1041,869,932,202,18,0,6401,1900,1350,2051,1818,1712,1621,284,22,0,10755
SOSR303,1747,6920,17680,16879,16597,11829,2332,174,7,74168,4280,3141,4113,3070,2922,3143,1831,341,20,22864,305,359,794,633,770,837,283,35,0,4014,126,281,528,336,259,181,59,20,6,1799,6461,10701,23111,20918,20550,15994,4511,568,44,102847,388,672,983,738,778,624,77,5,0,4274,864,353,360,200,215,249,106,14,3,2365,1249,1030,1344,941,990,874,187,21,3,6636,7707,11727,24457,21864,21539,16863,4697,587,41,109480,5534,1873,2800,2855,3436,5881,13053,8453,2518,46399,999,1787,3028,2362,2254,1776,1321,775,386,14685,14238,15390,30281,27076,27227,24522,19068,9823,2945,170562,1013,4811,11927,11644,12869,8061,1238,72,3,51642,5942,4776,8382,9184,8230,6691,2293,254,17,45775,348,504,1734,1037,786,902,254,22,4,5595,136,214,366,264,203,132,55,20,3,1394,7439,10307,22415,22133,22088,15790,3840,360,28,104402,220,364,569,415,440,313,25,4,0,2352,887,391,511,490,401,364,86,3,0,3138,1101,756,1085,901,838,683,115,8,3,5488
SOSR311,1228,3509,9146,9236,8879,6896,1275,80,0,40248,2380,1392,1739,1396,1392,1663,903,144,11,11010,125,158,404,389,432,523,145,16,4,2191,83,121,330,229,189,131,30,17,6,1132,3810,5179,11618,11248,10892,9203,2353,255,23,54586,296,406,588,386,390,411,58,0,0,2540,454,185,182,116,111,177,62,0,0,1290,752,593,766,500,496,589,121,4,0,3826,4560,5770,12384,11754,11392,9790,2470,263,22,58411,2760,815,1336,1397,2029,4418,10485,7408,2295,32935,457,605,1478,1440,1387,1204,880,720,371,8542,7775,7186,15196,14588,14811,15413,13837,8386,2694,99888,671,2659,5751,5706,6530,4136,657,36,0,26149,3084,2068,4415,5045,4535,4020,1169,112,7,24454,168,227,842,468,447,525,117,9,0,2803,94,107,243,151,131,123,43,22,4,918,4022,5064,11253,11369,11643,8794,1987,183,10,54328,142,177,268,257,249,202,17,0,0,1324,440,181,294,259,229,233,41,3,0,1685,585,358,564,517,485,436,57,4,0,3006
SOSR312,388,1107,2994,3122,3243,2563,475,35,0,13919,730,491,666,588,650,761,408,59,6,4361,107,85,178,174,219,272,79,5,0,1124,31,61,110,86,70,63,18,11,3,449,1255,1739,3945,3963,4187,3658,979,109,7,19850,162,211,265,213,206,220,29,0,0,1321,180,69,84,45,45,67,22,3,0,521,346,281,352,263,251,288,61,7,0,1845,1597,2021,4302,4227,4441,3947,1031,116,7,21692,1112,326,559,641,975,2154,5133,3366,984,15240,153,166,371,402,408,377,328,259,108,2581,2865,2507,5240,5274,5819,6475,6492,3741,1107,39514,165,679,1622,1724,2110,1431,189,11,0,7935,1028,719,1481,1812,1803,1668,454,40,0,9013,132,133,342,244,251,314,76,5,0,1500,21,36,76,51,62,42,13,14,5,313,1344,1571,3526,3831,4224,3454,738,70,4,18761,92,95,139,111,133,105,13,0,0,686,165,86,113,128,105,131,15,0,0,740,255,179,252,240,235,232,33,0,0,1426
SOSR313,894,2442,6694,6437,5977,4398,909,86,9,27838,1674,709,1166,858,779,955,631,147,12,6936,98,125,336,272,318,345,110,14,3,1617,59,75,224,162,116,64,17,10,9,734,2720,3352,8413,7734,7193,5763,1670,253,24,37121,173,247,325,207,218,186,31,0,0,1383,264,92,111,57,48,83,35,5,0,701,435,344,434,265,262,270,68,3,0,2087,3156,3694,8849,7996,7454,6033,1734,261,24,39208,1806,464,781,828,1042,2248,5399,3697,1041,17306,324,425,1090,947,823,713,458,297,126,5209,5279,4585,10724,9772,9326,8991,7595,4253,1192,61719,451,1793,3943,3870,4112,2611,388,23,0,17189,2039,1306,3065,3429,2792,2471,689,79,4,15882,108,182,683,381,272,307,80,5,0,2023,58,78,168,130,96,48,37,7,3,628,2659,3361,7864,7814,7263,5441,1195,113,11,35717,84,114,203,120,149,124,9,0,0,801,228,102,196,162,134,129,26,0,0,971,315,216,394,281,285,248,35,0,0,1773
SOSR314,852,2337,6376,6519,6358,4638,949,104,8,28147,1449,710,1133,865,990,1107,652,128,9,7045,178,122,293,329,361,404,131,20,3,1831,66,129,234,197,160,129,36,14,0,960,2544,3301,8036,7916,7864,6274,1769,264,24,37982,146,220,329,233,271,232,35,0,4,1460,227,83,82,56,55,91,31,3,0,637,374,302,406,294,325,329,68,3,4,2100,2915,3601,8445,8207,8192,6607,1831,269,26,40081,1976,461,779,810,1210,2300,5801,3957,1192,18491,435,575,1327,1036,963,831,616,451,214,6443,5332,4640,10545,10047,10364,9732,8250,4672,1435,65017,395,1537,3892,3829,4310,2683,396,35,0,17080,1936,1157,2941,3308,3032,2511,778,83,4,15766,248,243,660,483,434,366,123,8,3,2561,70,64,161,130,102,91,24,9,9,659,2648,3000,7658,7750,7883,5654,1318,144,12,36064,92,125,167,138,162,119,14,3,0,811,244,96,181,182,144,142,28,0,0,1014,332,225,348,315,310,258,45,3,0,1827
SOSR315,1186,3016,8217,8552,8741,6858,1490,134,12,38200,1786,973,1519,1383,1630,1928,1106,192,19,10526,203,182,474,456,560,713,263,30,7,2880,104,136,325,242,227,189,58,19,6,1313,3277,4302,10527,10628,11166,9693,2918,374,42,52921,277,344,453,360,364,406,49,3,0,2265,290,134,139,85,127,167,70,6,4,1028,568,484,589,443,498,584,124,13,4,3292,3846,4786,11112,11072,11659,10271,3040,379,45,56213,3061,1131,2179,1932,2542,5131,11764,7017,1857,36603,555,703,1789,1498,1515,1482,1153,748,311,9760,7463,6610,15086,14504,15711,16885,15954,8151,2209,102577,548,2033,4922,5147,5897,4088,660,41,4,23344,2400,1635,4093,4726,4304,4186,1281,132,9,22769,317,277,1014,612,627,681,160,11,5,3711,98,123,243,175,190,140,46,29,8,1057,3353,4069,10261,10666,11026,9101,2146,218,28,50873,146,167,251,251,261,200,18,0,0,1305,312,155,255,212,205,217,58,6,0,1427,459,320,512,460,472,420,84,3,3,2731
