SOSR_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR231,35,436,0,478,11854,1421,13752,279,311,3,587,8862,996,10442,5176,431,111,5725,10889,2642,19262,12599,377,321,13295,7235,2892,23421,9696,822,159,10673,17676,3040,31393,1991,2721,41,4749,29151,3071,36977,385,3205,24,3611,25770,2823,32210,48,570,4,624,11927,1413,13965,3,14,0,20,2475,435,2926,30209,8899,657,39774,125841,18744,184354,64,798,3,863,10435,1319,12624,479,538,26,1042,7016,704,8759,7563,791,385,8741,8178,1480,18401,14802,630,731,16157,5409,1859,23422,9027,2057,311,11397,17689,2291,31378,850,6543,73,7470,25505,2533,35508,191,4850,35,5071,20310,2109,27492,41,615,3,661,9416,1240,11317,7,33,0,44,2535,457,3033,33018,16858,1565,51444,106496,13991,171931,98,1229,10,1338,22292,2739,26374,753,847,26,1631,15877,1699,19202,12742,1221,496,14462,19067,4127,37655,27397,1009,1049,29449,12641,4750,46846,18723,2884,468,22077,35364,5334,62773,2845,9268,111,12220,54663,5603,72485,577,8061,57,8690,46076,4936,59700,90,1190,9,1286,21349,2658,25286,14,55,0,62
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
SOSR301,265,2934,14,3209,66144,3621,72975,2452,2200,83,4737,71943,5292,81963,36398,3487,900,40783,118842,12296,171915,82577,2672,1903,87155,65635,9646,162430,49562,3474,933,53966,82895,7547,144404,8216,7994,159,16362,94406,5421,116187,1365,11114,62,12544,69890,4008,86446,196,2654,16,2861,40185,2819,45868,12,104,0,125,12621,1608,14350,181031,36632,4068,221730,622560,52252,896541,473,5114,43,5630,60815,3389,69837,4984,4098,280,9363,67484,4591,81441,56886,6156,2352,65388,102631,10215,178233,101612,4492,3754,109859,52452,7832,170143,47501,8280,1544,57321,88557,5900,151775,3701,20611,291,24597,94945,4607,124148,918,18994,144,20058,72514,3978,96551,197,3258,28,3482,47188,3715,54379,29,161,4,200,20930,3414,24542,216301,71165,8431,295892,607524,47646,951062,745,8039,56,8842,126957,7007,142815,7436,6298,359,14097,139429,9875,163409,93278,9642,3253,106167,221473,22511,350151,184187,7170,5653,197007,118085,17482,332576,97060,11750,2474,111286,171458,13448,296180,11912,28600,446,40958,189350,10027,240341,2283,30113,207,32604,142404,7986,182994,391,5911,40,6341,87377,6533,100251,43,270,8,318
SOSR302,68,1017,11,1097,23683,1474,26252,582,660,18,1261,22509,1828,25595,11856,1097,228,13180,37611,4644,55437,29552,965,611,31133,21140,3870,56143,19263,1290,403,20954,32301,3628,56883,3514,3031,60,6609,40980,2869,50456,594,4360,25,4980,37465,2580,45031,120,1049,7,1175,23607,1991,26774,9,44,0,53,7133,1185,8372,65564,13511,1362,80440,246423,24070,350936,104,1710,11,1824,22219,1456,25492,1305,1222,61,2594,22599,1896,27087,19383,2065,728,22171,33713,4333,60215,37435,1468,1468,40369,17504,3503,61380,19529,2991,561,23087,35748,3180,62015,1488,8525,82,10092,44211,2779,57084,337,7897,58,8289,39725,2603,50621,89,1255,12,1350,26082,2560,29997,14,62,0,84,10156,2327,12572,79688,27194,2970,109855,251958,24639,386454,173,2725,21,2922,45902,2930,51749,1887,1879,81,3851,45105,3720,52677,31240,3160,954,35350,71321,8979,115654,66987,2438,2075,71504,38642,7374,117521,38792,4283,959,44038,68045,6808,118890,5002,11555,138,16699,85192,5649,107542,931,12262,82,13268,77190,5179,95649,207,2309,21,2528,49690,4548,56766,23,106,3,137
SOSR303,73,624,8,702,12343,1189,14238,609,415,26,1049,12340,1998,15390,6898,744,254,7892,18840,3552,30281,12448,616,509,13564,10753,2751,27076,7631,848,249,8727,16034,2472,27227,1550,1742,43,3336,19277,1901,24522,248,1921,7,2179,15516,1368,19068,43,465,7,512,8523,793,9823,3,20,0,25,2544,373,2945,29505,7394,1096,37993,116172,16401,170562,128,1098,16,1245,11855,1002,14099,1258,905,78,2249,11252,1290,14789,10994,1320,629,12944,15556,2691,31188,16154,998,950,18092,9436,2138,29667,7591,1985,388,9969,17394,1808,29172,643,4302,60,5003,19366,1493,25862,139,3384,19,3544,15603,1167,20310,40,616,0,661,9999,971,11627,11,38,0,46,4300,660,5003,36961,14645,2143,53745,114754,13212,181716,201,1724,21,1948,24198,2188,28337,1871,1326,104,3294,23594,3286,30179,17884,2063,880,20835,34391,6243,61474,28598,1612,1453,31667,20187,4889,56737,15228,2831,638,18689,33427,4280,56401,2193,6038,105,8346,38639,3393,50383,391,5313,23,5725,31120,2534,39374,77,1077,8,1167,18518,1760,21445,18,59,0,71
SOSR311,34,351,0,387,6801,585,7775,381,225,9,621,5925,643,7186,4293,411,149,4856,8776,1562,15196,6874,341,250,7459,5609,1524,14588,3661,486,132,4274,9070,1462,14811,649,1162,27,1836,12314,1261,15413,120,1144,5,1265,11645,919,13837,22,241,0,256,7407,717,8386,0,9,0,13,2285,389,2694,16041,4368,576,20981,69842,9061,99888,82,649,10,743,6101,508,7345,891,430,51,1368,5206,603,7181,6742,687,452,7880,6796,1225,15899,8808,495,558,9866,4565,997,15420,3698,1295,181,5172,9709,1005,15879,329,2914,27,3266,12381,897,16545,74,1844,8,1928,12011,853,14790,20,333,0,357,8511,958,9823,0,26,0,29,3503,636,4161,20656,8660,1282,30598,68778,7672,107048,124,998,10,1127,12902,1090,15119,1270,655,61,1989,11137,1244,14374,11038,1102,604,12741,15577,2790,31099,15683,833,804,17320,10171,2514,30005,7356,1775,309,9442,18772,2463,30685,978,4071,50,5101,24698,2160,31956,198,2989,16,3202,23663,1770,28630,40,571,0,615,15921,1675,18205,5,39,0,44
SOSR312,16,116,0,137,2516,215,2865,148,90,6,239,2074,195,2507,1553,139,57,1753,3070,418,5240,2535,127,101,2760,2078,433,5274,1429,196,38,1661,3722,437,5819,281,403,11,693,5385,396,6475,65,469,3,545,5615,338,6492,11,75,0,85,3402,255,3741,0,0,0,5,991,107,1107,6037,1620,213,7870,28847,2792,39514,28,234,3,270,2265,172,2705,364,177,19,560,1673,150,2385,2412,208,169,2787,2179,365,5328,3267,190,174,3624,1640,347,5612,1463,460,72,1996,3897,318,6214,131,1096,16,1242,5488,334,7065,24,728,3,759,5782,325,6870,7,115,0,127,3832,327,4282,3,12,0,13,1457,240,1712,7696,3223,453,11378,28221,2575,42184,42,354,4,409,4783,386,5574,515,269,23,799,3746,346,4896,3967,346,225,4538,5250,779,10567,5798,317,268,6384,3724,777,10884,2892,658,108,3655,7619,756,12032,410,1502,29,1938,10875,723,13539,92,1204,12,1303,11400,665,13363,16,191,0,206,7234,585,8024,0,11,0,18
SOSR313,29,271,4,302,4579,396,5279,334,183,16,528,3609,443,4585,3350,301,129,3780,5785,1155,10724,4832,231,181,5240,3540,993,9772,2554,339,83,2975,5501,853,9326,440,626,16,1082,7163,747,8991,88,608,4,701,6422,467,7595,18,152,0,174,3787,300,4253,0,4,0,5,1055,129,1192,11646,2714,432,14792,41447,5484,61719,67,433,8,500,3922,328,4754,758,296,51,1105,3296,342,4740,5090,458,371,5919,4564,881,11362,6379,345,371,7093,2808,705,10607,2467,870,130,3460,5808,591,9867,195,1606,26,1822,7258,508,9590,49,1064,3,1114,6500,444,8059,13,214,0,226,4105,368,4700,0,9,0,10,1676,249,1932,15006,5290,962,21260,39932,4414,65608,98,701,8,808,8502,726,10032,1093,481,66,1631,6907,784,9324,8440,756,503,9700,10347,2037,22086,11211,572,552,12334,6351,1696,20381,5020,1209,212,6439,11307,1441,19187,631,2236,39,2903,14425,1256,18587,133,1668,11,1815,12927,911,15650,32,368,0,398,7889,662,8949,0,16,0,20
SOSR314,14,209,4,223,4545,559,5332,266,116,10,390,3630,613,4640,3033,209,109,3344,5815,1390,10545,5128,172,142,5442,3521,1084,10047,2741,307,66,3114,6241,1009,10364,469,635,8,1114,7741,870,9732,98,632,4,731,6872,649,8250,14,165,3,178,4053,446,4672,3,11,0,16,1219,202,1435,11748,2461,345,14557,43638,6817,65017,49,413,3,461,4028,481,4973,545,249,20,808,3173,413,4394,4726,376,240,5340,4680,1050,11069,6365,316,363,7048,2899,837,10779,2628,787,122,3541,6470,828,10840,236,1612,14,1866,7516,611,9997,45,1140,0,1188,6793,583,8566,22,205,0,230,4395,488,5109,3,18,0,19,1806,375,2203,14621,5117,767,20500,41753,5668,67919,60,624,5,688,8572,1043,10301,809,366,27,1204,6798,1028,9031,7755,581,347,8680,10488,2442,21617,11488,488,505,12484,6423,1916,20825,5366,1095,193,6652,12712,1835,21204,707,2249,27,2983,15258,1485,19722,145,1768,9,1917,13668,1230,16817,33,367,0,408,8446,931,9787,3,33,0,36
SOSR315,62,376,10,447,6252,763,7463,457,207,24,693,4975,942,6610,4413,342,138,4901,7719,2469,15086,6705,324,243,7276,5268,1961,14504,3700,562,143,4404,9560,1750,15711,736,1057,26,1816,13507,1562,16885,167,952,0,1116,13594,1243,15954,25,218,0,238,7149,765,8151,6,9,0,9,1867,334,2209,16262,4049,589,20902,69879,11793,102577,122,608,15,748,5529,708,6984,916,448,55,1416,4211,621,6247,6774,638,467,7874,6140,1382,15395,8662,563,499,9721,4295,1195,15213,3542,1268,185,4989,9743,1193,15934,329,2657,27,3013,13373,1163,17552,85,1634,16,1734,12793,1034,15559,25,270,4,294,7066,821,8185,7,21,0,29,2674,556,3254,20466,8092,1255,29816,65828,8681,104319,184,983,26,1195,11782,1473,14444,1380,658,76,2110,9192,1563,12864,11187,980,605,12772,13856,3852,30481,15366,893,744,16999,9561,3158,29715,7239,1830,330,9391,19306,2940,31642,1068,3705,52,4826,26878,2733,34435,248,2583,13,2849,26381,2278,31515,47,480,7,532,14219,1588,16331,11,27,0,37
SOSR321,25,131,0,156,2370,348,2878,146,84,0,231,1706,315,2254,1413,117,42,1577,2424,785,4791,2424,114,86,2620,1938,747,5307,1536,250,53,1840,3838,702,6372,306,460,16,788,5844,662,7293,61,433,7,503,5725,525,6753,17,91,0,105,2949,320,3373,0,9,0,9,582,92,683,5925,1689,206,7816,27377,4517,39712,46,234,0,283,2038,302,2619,314,147,16,480,1358,222,2059,2249,217,127,2596,1905,488,4982,3182,220,170,3578,1545,472,5588,1497,528,90,2118,3893,497,6504,130,1086,12,1237,5838,544,7617,41,721,6,770,5030,443,6245,5,108,0,111,2607,313,3035,0,7,0,7,755,109,877,7479,3277,423,11178,24961,3390,39529,70,367,0,439,4405,654,5498,465,230,16,710,3064,538,4316,3663,338,169,4167,4331,1272,9775,5608,335,256,6199,3480,1218,10899,3030,775,145,3955,7728,1198,12880,440,1547,30,2018,11685,1208,14911,101,1157,10,1266,10755,973,12997,23,193,0,216,5552,634,6404,0,17,0,17
SOSR322,14,35,0,48,881,153,1082,81,39,3,123,770,104,991,626,78,40,742,1122,246,2114,895,59,38,997,901,251,2141,522,105,15,634,1775,297,2708,129,226,8,358,2993,334,3684,21,175,0,202,2873,271,3343,10,28,0,44,1388,179,1605,0,3,0,3,250,56,312,2287,750,103,3136,12947,1900,17986,24,103,3,131,731,116,975,171,84,22,269,604,96,972,980,123,103,1205,829,233,2268,1138,95,83,1315,716,211,2245,526,227,38,792,1742,229,2761,70,486,11,568,2743,293,3604,17,283,3,309,2398,227,2929,6,35,0,50,1205,163,1416,0,6,0,6,328,56,386,2930,1443,255,4629,11299,1628,17558,34,141,4,177,1607,266,2051,249,118,21,389,1374,206,1970,1606,203,143,1947,1956,483,4384,2028,156,124,2307,1615,463,4381,1049,330,44,1423,3519,528,5469,192,712,15,919,5738,626,7289,42,461,4,507,5267,498,6268,16,67,0,87,2593,342,3024,0,6,0,6
SOSR331,53,533,5,593,11902,1617,14115,426,303,9,729,8390,1582,10707,6017,481,179,6687,10934,3793,21406,12742,466,365,13569,8504,3783,25861,8797,1013,212,10027,19861,4244,34129,1783,2477,51,4308,30008,3895,38217,325,2376,14,2717,25883,2784,31383,61,467,4,533,12266,1344,14142,7,27,0,35,2320,341,2696,30206,8139,842,39192,130067,23392,192653,93,948,10,1051,10489,1365,12901,840,596,45,1482,6585,989,9058,9091,766,501,10365,7749,2227,20340,15549,801,814,17167,6326,2389,25889,8129,2485,342,10958,19635,2865,33453,761,5960,50,6775,26302,2832,35907,167,3686,17,3869,20650,2175,26694,47,527,6,578,9549,1102,11227,6,28,0,33,2149,265,2454,34683,15803,1791,52268,109439,16200,177913,150,1478,16,1642,22388,2983,27016,1266,894,55,2209,14976,2573,19762,15110,1252,684,17048,18683,6018,41750,28290,1269,1177,30735,14835,6174,51750,16930,3496,556,20979,39494,7108,67583,2542,8438,107,11084,56309,6731,74122,485,6070,35,6586,46532,4958,58073,108,989,10,1106,21820,2442,25367,15,51,4,67
SOSR379,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,11,30,37,0,0,0,0,14,45,55,0,0,0,0,15,31,42,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,149,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,13,13,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,0,0,0,0,0,0,3,14,16,0,0,0,0,13,34,49,0,0,0,0,12,52,64,0,0,0,0,15,32,45,0,0,0,0,0,8,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,10,0,11,187,72,272,23,10,0,41,253,151,444,163,37,3,209,688,407,1301,253,31,13,291,447,462,1194,94,18,6,113,529,395,1042,16,35,0,52,934,306,1297,5,43,0,50,997,216,1253,0,9,0,9,222,50,283,0,0,0,0,15,8,23,559,193,26,775,4266,2065,7108,4,23,0,21,207,60,291,45,28,0,75,284,123,493,225,37,14,279,701,365,1345,283,11,20,310,307,264,885,97,50,9,153,519,220,887,4,91,0,97,884,188,1170,0,67,0,65,687,113,870,0,0,0,5,140,22,160,0,0,0,0,16,5,25,660,306,43,1013,3745,1372,6127,4,31,0,36,396,129,566,74,37,3,115,538,279,934,391,76,16,486,1389,772,2649,529,36,30,599,748,728,2077,192,65,12,271,1046,619,1929,21,130,0,147,1815,499,2468,5,110,0,118,1679,328,2124,0,13,0,16,363,69,444,0,0,0,0
SOSR401,109,1433,9,1555,32602,1485,35644,738,1231,24,1993,38582,1964,42541,17351,1979,419,19754,64729,4643,89123,41984,1414,1138,44537,34302,3924,82765,24928,1693,659,27282,45978,3316,76573,4558,5406,110,10075,58656,2753,71483,791,9538,39,10363,45634,2211,58214,141,2485,4,2632,28406,1605,32643,9,142,0,151,11405,944,12507,90617,25325,2401,118342,360298,22839,501480,165,2387,17,2574,29833,1329,33732,1761,2222,97,4081,34956,1656,40690,27784,3355,1264,32404,53234,3782,89419,50875,2329,2410,55613,26203,3043,84854,23165,4187,913,28262,47664,2581,78507,2137,14507,165,16814,58059,2336,77213,574,15654,82,16316,47794,2368,66473,143,2772,15,2931,35164,2292,40379,23,150,0,176,18901,1721,20793,106628,47558,4977,159158,351804,21104,532069,276,3824,30,4123,62431,2821,69374,2502,3451,120,6074,73538,3611,83229,45140,5338,1682,52157,117965,8424,178542,92860,3744,3546,100154,60506,6966,167621,48090,5876,1573,55539,93645,5894,155078,6696,19920,278,26887,116717,5092,148698,1368,25190,123,26679,93429,4578,124690,285,5253,20,5560,63574,3890,73023,36,290,5,326
SOSR412,13,150,0,159,2717,155,3029,119,112,4,233,2547,168,2955,1898,166,63,2123,3697,350,6174,2978,116,120,3215,2031,305,5552,1677,208,53,1936,3764,317,6024,256,545,5,814,4861,244,5918,45,566,4,613,4000,235,4848,11,109,0,123,2420,189,2729,0,4,0,4,883,104,990,6996,1970,252,9216,26922,2077,38217,25,234,0,264,2472,151,2892,272,205,8,493,2215,142,2851,2733,292,209,3238,2777,309,6319,3634,191,234,4066,1669,287,6021,1589,558,72,2219,4049,267,6535,117,1300,13,1439,4667,269,6369,31,865,4,902,4102,244,5250,11,152,0,162,3186,288,3642,0,6,0,7,1293,209,1510,8416,3811,557,12785,26437,2168,41390,41,382,0,423,5187,315,5922,393,316,13,724,4770,309,5809,4627,459,272,5359,6473,659,12493,6612,306,356,7278,3697,595,11577,3267,768,130,4162,7821,582,12564,372,1849,21,2247,9526,514,12284,79,1430,9,1517,8106,479,10096,17,261,0,281,5607,481,6368,0,10,0,12
SOSR413,17,123,4,142,2268,192,2604,101,78,4,181,1921,236,2336,1285,143,41,1467,2839,743,5052,2274,89,94,2459,1807,635,4896,1549,168,58,1770,3200,461,5437,309,487,11,805,4653,389,5845,66,642,0,708,4795,305,5811,11,160,0,172,3352,209,3729,0,6,0,6,1060,109,1181,5606,1898,206,7713,25898,3273,36884,15,203,0,216,2053,165,2438,238,198,17,450,1645,128,2223,2012,213,129,2352,2221,264,4842,2835,159,210,3205,1412,252,4866,1509,432,73,2016,3367,298,5682,147,1106,14,1268,4700,286,6250,45,1074,3,1123,5122,299,6547,7,185,6,203,3594,279,4081,5,9,0,13,1650,152,1818,6813,3578,453,10848,25772,2129,38749,33,326,3,360,4325,356,5035,342,273,18,631,3563,361,4559,3292,358,165,3822,5063,1007,9891,5111,249,304,5661,3215,887,9760,3059,599,131,3786,6570,761,11117,454,1596,27,2075,9358,668,12100,110,1715,8,1829,9916,608,12358,20,347,6,369,6949,487,7810,5,15,0,17
SOSR414,3,39,0,41,713,44,795,25,24,0,47,622,40,708,504,51,16,574,1013,86,1674,838,31,28,896,599,93,1592,507,48,13,569,1094,97,1759,76,159,0,240,1584,85,1905,14,250,3,267,1928,91,2281,7,47,0,57,1395,98,1544,0,3,0,3,405,43,451,1977,655,62,2695,9344,675,12713,5,66,0,66,666,34,771,70,51,0,125,546,28,700,715,72,46,831,762,86,1674,1107,55,61,1220,481,77,1787,461,128,24,617,1168,68,1853,33,410,3,449,1665,71,2187,8,428,4,443,2130,105,2680,0,60,0,67,1485,108,1653,0,3,0,9,598,57,658,2409,1281,136,3823,9502,636,13953,4,100,0,110,1377,83,1567,98,73,5,172,1164,63,1408,1223,121,60,1404,1778,166,3346,1947,89,86,2122,1087,169,3372,970,179,38,1185,2267,162,3612,104,577,5,684,3242,157,4089,27,675,3,709,4058,196,4964,7,107,4,120,2877,207,3201,0,4,0,10
SOSR415,23,137,3,158,2671,290,3116,119,94,0,215,2379,201,2802,1889,156,57,2104,3696,424,6220,3226,151,123,3497,2222,425,6141,1819,229,45,2089,4252,501,6840,367,639,6,1024,6426,507,7954,63,854,0,918,6575,458,7952,10,166,0,175,4037,380,4589,4,6,0,9,1394,170,1568,7524,2435,231,10188,33640,3356,47182,23,249,6,273,2313,232,2819,263,166,11,439,1949,122,2513,2864,268,149,3280,2708,402,6395,3924,204,255,4382,1692,347,6417,1679,574,79,2331,4508,391,7231,134,1509,15,1652,6061,400,8113,38,1216,5,1261,6366,481,8108,13,199,0,213,4659,393,5260,0,14,0,16,2215,279,2513,8937,4393,515,13846,32477,3043,49369,45,384,7,432,4986,521,5938,385,263,12,654,4326,331,5315,4751,428,205,5383,6404,824,12613,7151,351,375,7873,3919,761,12559,3500,799,121,4423,8760,893,14070,506,2151,23,2672,12486,906,16065,102,2073,6,2182,12944,934,16059,25,359,0,386,8695,773,9856,3,19,0,27
SOSR421,4,31,0,42,698,81,815,27,35,3,65,588,48,700,486,53,22,561,854,118,1533,879,35,33,949,531,154,1637,490,67,16,581,1160,154,1901,103,210,0,315,1964,161,2441,19,226,4,253,2018,179,2443,4,31,0,34,1069,126,1228,0,0,0,0,384,57,448,2015,695,78,2791,9269,1080,13143,9,64,0,79,620,79,777,47,64,6,118,504,41,674,737,86,55,873,652,100,1632,1024,81,90,1189,389,115,1694,434,165,20,614,1231,136,1981,44,503,0,544,1804,149,2506,12,321,0,334,1872,165,2365,0,51,0,52,1147,112,1318,0,0,0,0,591,113,711,2307,1338,171,3819,8819,1016,13648,16,94,3,119,1319,158,1591,77,102,10,182,1097,94,1374,1227,136,76,1434,1509,219,3167,1902,111,123,2136,919,273,3331,925,236,40,1196,2389,290,3879,144,716,4,864,3773,311,4944,32,544,5,581,3884,341,4809,6,86,0,92,2220,239,2545,0,0,0,0
