SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
SOSR199,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
SOSR201,2255791,2329751,4585537,137937,130496,268436,284607,269664,554271,130354,123919,254272,158734,151199,309933,369594,375628,745220,342049,348635,690688,284946,300286,585234,236664,252467,489125,174337,198500,372835,99909,120121,220034,36647,58840,95489,2196519,2268839,4465358,59271,60910,120182,13413,13132,26549,535,453,984,402,392,796,14350,13982,28330,1335821,1360789,2696611,820685,872238,1692930,1355143,1379759,2734902,790152,842997,1633150,1816550,1881144,3697692,41566,39109,80676,268014,254273,522292,109007,107731,216743,77105,79622,156735,93145,130971,224112,1180452,1277561,2458016,176149,166541,342691,196348,177143,373495,82521,79952,162474,72721,93978,166699,24815,33109,57927,2122655,2194406,4317066,122116,121883,244000
SOSR203,185970,200267,386231,11651,11275,22929,24299,22903,47200,11331,11105,22438,13088,13252,26344,28291,28973,57266,23205,25426,48628,21800,23981,45780,20512,23437,43953,17873,20876,38749,10157,12629,22789,3752,6406,10152,178987,193497,372486,6979,6771,13750,3103,3349,6452,118,114,229,81,73,156,3299,3538,6838,148708,161221,309928,27805,29436,57244,156161,169651,325808,20277,20892,41166,163725,178204,341925,3436,3316,6756,22736,21562,44301,8442,8722,17165,4567,5709,10273,6054,9631,15685,74430,88845,163271,21643,21986,43630,24968,24257,49228,10969,11028,21998,7430,8555,15984,1167,1193,2358,172449,185557,358005,12598,13695,26288
SOSR211,56005,58179,114187,4709,4652,9361,8819,8719,17535,3547,3305,6850,3584,3319,6904,8713,9515,18229,8335,8546,16879,6266,6478,12751,5168,5722,10892,4391,4900,9296,1982,2255,4235,487,780,1265,54419,56747,111166,1588,1435,3025,1183,1330,2519,36,32,70,25,47,74,1251,1411,2663,38197,39708,77903,14324,14977,29301,38787,40424,79209,13525,14048,27575,46440,48019,94453,1186,1290,2475,8007,7914,15922,2484,2469,4953,1005,1090,2093,1513,2872,4386,19395,22436,41830,5865,5654,11521,8457,7804,16262,3182,3008,6195,2090,2185,4282,468,612,1080,52040,54393,106439,3624,3500,7127
SOSR212,127879,136657,264540,8135,7762,15901,18043,16814,34860,7851,7411,15267,7275,7109,14390,16783,17952,34739,16199,17655,33856,15841,17225,33063,14923,16943,31866,13180,14981,28154,7207,8611,15815,2451,4177,6635,122508,131584,254087,5378,5068,10447,3210,3429,6638,85,73,159,93,101,198,3394,3601,6992,101396,108761,210153,18994,20341,39333,106815,114701,221516,13745,14510,28256,111616,120022,231636,2340,2316,4651,16729,15647,32370,5706,5743,11444,1897,2486,4384,3095,5694,8792,45793,56706,102500,16114,15975,32084,18452,17261,35716,7980,7557,15538,5308,5859,11169,969,940,1909,118364,126583,244944,9065,9567,18629
SOSR213,121091,129324,250413,7663,7398,15057,16022,15001,31024,7189,6636,13824,6587,6360,12946,15291,16087,31377,14183,15359,29543,14217,15658,29876,14588,16290,30880,14037,15650,29687,8420,10056,18476,2897,4820,7715,115912,124562,240472,5181,4761,9938,2620,2625,5248,78,85,166,56,61,115,2755,2775,5526,98465,105294,203751,15687,16875,32568,105109,112589,217698,8640,9636,18274,107959,115984,223945,2200,2081,4281,14884,13943,28829,5085,5076,10161,1501,1909,3408,2467,5254,7717,38988,49201,88192,16274,16728,32996,20492,18756,39244,8584,8163,16744,5778,6101,11881,573,594,1173,111561,119597,231157,8130,8435,16565
SOSR214,70033,75164,145199,3748,3619,7369,8238,7720,15958,3819,3501,7320,3443,3105,6544,7627,7917,15546,7239,7912,15155,7895,8788,16679,9208,10424,19633,10239,11496,21732,6397,7159,13555,2180,3524,5699,66732,71975,138711,3295,3190,6485,1264,1342,2603,46,59,101,29,32,61,1333,1435,2767,56455,60617,117075,8896,9649,18540,61242,65860,127101,4446,4794,9232,62564,67317,129881,1063,1052,2120,7580,7122,14701,2661,2608,5270,825,862,1686,1193,2528,3722,22124,28138,50265,9535,9847,19386,12122,11335,23457,5527,5270,10797,3749,3919,7668,327,302,631,63918,68507,132421,5654,6035,11688
SOSR215,109821,114859,224681,6408,5995,12403,14190,13320,27513,6021,5588,11608,5036,4582,9623,11998,12503,24498,12071,13034,25102,13059,14035,27085,14946,16302,31245,15028,15740,30765,8357,9321,17677,2708,4441,7150,104505,109919,214422,5326,4940,10258,1942,2008,3949,76,60,137,49,50,104,2069,2124,4190,89568,93547,183115,12397,13434,25833,97386,101986,199372,5299,5766,11065,98291,103080,201374,1876,1671,3552,13076,12308,25388,4258,4313,8571,1087,1408,2500,1850,4233,6087,33901,44045,77945,14635,14691,29329,19016,16377,35393,8495,7204,15697,5397,5173,10573,452,399,848,100051,104703,204755,8784,9321,18108
SOSR221,30711,30906,61615,1575,1571,3146,3783,3514,7295,1569,1537,3103,1257,1103,2351,2858,3016,5867,3249,3431,6681,3797,4032,7831,4832,4990,9819,4826,4478,9308,2311,2240,4555,653,1002,1658,29027,29401,58423,1688,1508,3194,463,496,959,23,16,37,15,14,30,498,527,1023,25038,25237,50276,3375,3436,6809,27602,27746,55356,1086,1201,2290,27654,27891,55538,441,443,883,3516,3234,6753,1098,1158,2256,273,352,620,456,1038,1497,9472,12074,21547,4297,4056,8347,5553,4453,10009,2497,1896,4393,1373,1229,2602,78,75,152,27776,28069,55845,2585,2590,5173
SOSR222,16656,16396,33052,791,739,1531,1992,1914,3910,848,831,1684,737,685,1426,1640,1631,3270,1736,1872,3606,2200,2212,4415,2760,2803,5566,2525,2187,4713,1122,1106,2229,298,414,714,15684,15579,31260,973,818,1790,304,283,588,13,15,23,8,13,20,320,306,632,13409,13245,26650,1677,1792,3475,14653,14517,29166,626,693,1315,14782,14599,29381,223,209,427,1812,1741,3547,560,589,1154,157,189,344,253,606,858,5000,6409,11412,2268,2107,4375,2980,2311,5288,1363,975,2340,816,653,1472,46,35,86,14752,14746,29504,3615,3518,7129
SOSR231,221807,207104,428903,9827,9524,19348,27628,25643,53269,13752,12624,26374,10442,8759,19202,19262,18401,37655,23421,23422,46846,31393,31378,62773,36977,35508,72485,32210,27492,59700,13965,11317,25286,2926,3033,5963,211307,198418,409722,10496,8682,19182,3161,2755,5915,105,67,165,75,68,141,3341,2885,6228,180744,168187,348928,22437,21977,44415,192589,182593,375179,9185,9307,18488,194890,184388,379277,2849,2698,5544,25088,23382,48473,9808,9648,19463,2532,3050,5580,2781,6730,9512,67735,86738,154470,31446,26976,58421,41627,26348,67977,16613,10696,27309,9412,6227,15637,683,521,1204,197193,189230,386425,21683,16479,38166
SOSR279,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
SOSR299,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
SOSR301,1122973,1164925,2287896,71101,67049,138151,155326,146817,302142,72975,69837,142815,81963,81441,163409,171915,178233,350151,162430,170143,332576,144404,151775,296180,116187,124148,240341,86446,96551,182994,45868,54379,100251,14350,24542,38897,1083715,1131462,2215176,39254,33466,72722,28719,30062,58784,1798,1772,3572,1984,2050,4032,32501,33882,66386,760549,780001,1540554,311839,336684,648523,858823,882604,1741424,206823,229783,436611,933450,969349,1902808,20284,19051,39332,145922,138340,284261,54756,56142,110902,29514,35084,64605,42058,66209,108271,561770,604859,1166632,62048,58263,120308,152345,162915,315258,37095,35547,72644,27372,32694,60066,6097,7314,13410,1050284,1098553,2148838,64433,63235,127669
SOSR302,430423,461370,891797,23868,22176,46039,55623,52742,108365,26252,25492,51749,25595,27087,52677,55437,60215,115654,56143,61380,117521,56883,62015,118890,50456,57084,107542,45031,50621,95649,26774,29997,56766,8372,12572,20942,412175,445936,858108,18250,15435,33682,8660,8913,17579,411,407,816,358,414,775,9434,9737,19166,292224,308535,600761,113734,128283,242014,357419,379441,736868,47529,56436,103960,353694,379292,732992,7431,6900,14332,51900,49383,101284,19023,19916,38944,8260,10922,19181,13561,24095,37660,196629,223139,419772,30425,30355,60783,72564,79292,151858,16729,16612,33342,9165,10238,19407,1122,1227,2344,396478,428340,824826,35581,38110,73694
SOSR303,213132,222171,435301,12864,12175,25034,29703,28289,57988,14238,14099,28337,15390,14789,30179,30281,31188,61474,27076,29667,56737,27227,29172,56401,24522,25862,50383,19068,20310,39374,9823,11627,21445,2945,5003,7954,201078,213211,414285,12053,8961,21016,11559,12442,24003,2874,3207,6081,2787,2900,5685,17218,18548,35764,159889,165789,325682,36596,42310,78908,171390,179536,350925,23278,27337,50614,179963,189314,369276,3456,3259,6715,27292,26037,53332,9433,10263,19693,3448,5150,8596,6795,12250,19041,86895,99135,186033,14217,13692,27904,37169,38178,75344,8589,8355,16939,6870,7362,14226,1185,1582,2766,188508,202568,391079,26113,23459,49569
SOSR311,123868,129830,253701,7113,6669,13776,16874,16116,32990,7775,7345,15119,7186,7181,14374,15196,15899,31099,14588,15420,30005,14811,15879,30685,15413,16545,31956,13837,14790,28630,8386,9823,18205,2694,4161,6854,115141,124146,239281,8729,5691,14417,6433,6782,13215,818,764,1583,874,918,1784,8120,8463,16584,97857,102964,200816,16478,18730,35211,106407,112586,218991,7916,9133,17049,107635,114342,221976,1787,1815,3597,15570,14891,30465,4859,5032,9897,1200,1697,2893,2490,5154,7650,41463,48332,89795,8417,8469,16889,27284,28726,56013,6694,6479,13172,6140,6301,12443,507,470,982,110965,119226,230193,12515,12137,24654
SOSR312,48034,50437,98469,2481,2420,4899,6037,5835,11870,2865,2705,5574,2507,2385,4896,5240,5328,10567,5274,5612,10884,5819,6214,12032,6475,7065,13539,6492,6870,13363,3741,4282,8024,1107,1712,2822,45464,48333,93795,2569,2103,4669,2292,2377,4673,107,105,209,201,230,425,2601,2711,5308,37837,39417,77256,7065,8173,15242,42785,44852,87634,2296,2909,5204,42571,44857,87424,618,633,1253,5550,5407,10953,1752,1862,3618,364,534,903,835,2012,2850,16178,18184,34360,3651,3601,7249,11444,12315,23760,2745,2733,5476,2326,2357,4686,176,144,324,44103,46884,90985,3822,3421,7243
SOSR313,79658,82601,162262,5703,5188,10890,12230,11806,24039,5279,4754,10032,4585,4740,9324,10724,11362,22086,9772,10607,20381,9326,9867,19187,8991,9590,18587,7595,8059,15650,4253,4700,8949,1192,1932,3127,74234,78853,153084,5425,3751,9175,5498,5971,11470,206,184,383,311,301,610,6012,6456,12468,63481,66309,129783,10188,11322,21509,69230,72467,141698,4380,5189,9571,68741,72382,141124,1391,1309,2706,11257,10921,22181,3246,3256,6503,594,1032,1626,1585,3446,5035,26567,31853,58418,5552,5193,10740,16509,16870,33372,4055,3714,7770,3195,3090,6281,270,248,521,71475,76365,147835,10271,8592,18865
SOSR314,82553,84562,167109,5196,4912,10109,12333,11731,24065,5332,4973,10301,4640,4394,9031,10545,11069,21617,10047,10779,20825,10364,10840,21204,9732,9997,19722,8250,8566,16817,4672,5109,9787,1435,2203,3636,78206,81205,159414,4347,3354,7701,5219,5602,10819,453,466,920,633,660,1295,6305,6731,13035,62875,65097,127972,12098,13070,25171,69253,71888,141140,5831,6372,12207,69639,72523,142157,1387,1243,2631,11126,10606,21731,3259,3415,6676,671,982,1655,1421,3208,4628,26952,31924,58874,5689,5432,11127,17059,16954,34014,4316,3870,8187,3638,3565,7199,426,346,771,73213,76769,149981,12771,9323,22094
SOSR315,127573,127941,255514,7485,7100,14585,17511,16522,34029,7463,6984,14444,6610,6247,12864,15086,15395,30481,14504,15213,29715,15711,15934,31642,16885,17552,34435,15954,15559,31515,8151,8185,16331,2209,3254,5464,119538,121866,241397,8037,6075,14113,10363,10775,21139,1483,1526,3010,1424,1424,2849,13275,13730,27000,100237,100944,201178,15717,17244,32962,106988,109459,216445,7921,9150,17073,109067,112130,221199,1764,1710,3472,15821,15015,30838,4318,4437,8758,834,1279,2116,1951,4586,6538,38493,46065,84558,8865,8707,17568,29903,27939,57835,7435,6203,13633,6380,5658,12037,448,400,847,111241,115748,226985,23383,17111,40493
SOSR321,49160,48190,97351,2663,2430,5094,6794,6231,13026,2878,2619,5498,2254,2059,4316,4791,4982,9775,5307,5588,10899,6372,6504,12880,7293,7617,14911,6753,6245,12997,3373,3035,6404,683,877,1556,45924,45770,91698,3245,2418,5659,4743,4802,9540,522,510,1035,725,687,1415,5994,5999,11995,39075,38122,77203,5714,6131,11843,41621,41571,83194,2676,2971,5645,42620,42622,85244,614,557,1171,6052,5587,11641,1671,1659,3330,247,419,676,654,1597,2247,14331,16994,31326,3433,3398,6828,12242,11041,23288,2921,2350,5271,2632,2091,4724,159,105,265,43314,44005,87316,7604,5954,13558
