SOSR_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,7,0,0,5,0,0,9,0,0,0,29,8,6,0,0,0,53,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,12,43,7,37,19,9,0,131,0,0,3,10,3,0,0,0,0,14,0,0,8,11,8,0,0,0,0,23,0,0,5,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,4,0,0,0,16,0,0,5,17,3,0,4,0,0,25,0,0,0,9,0,0,0,0,0,16,0,0,3,5,5,0,0,0,0,16,0,0,3,5,0,0,0,0,0,5,0,0,0,11,0,4,0,0,0,20,0,0,0,8,4,0,0,0,0,16,3,0,0,6,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,9,0,0,7,18,3,5,0,0,0,41
SOSR201,14,54,77,1171,787,737,695,368,70,3983,292,3518,10271,42259,13732,12046,6971,2600,1285,92974,3,5,30,692,631,1382,1694,1460,541,6442,20,337,482,1434,617,995,1342,910,430,6568,266,2508,3526,12328,8855,10815,9722,7655,3484,59156,11,96,300,2245,1257,1081,605,254,83,5926,19,136,213,1548,474,325,289,143,109,3248,28,123,342,1994,986,922,2175,1830,934,9337,15,216,459,1012,1184,3013,6035,8494,3367,23797,110,724,1119,5059,1735,2080,1550,296,110,12783,1005,6611,9699,67672,8826,6316,4360,1860,695,107052,52,282,1648,5606,1579,713,737,226,65,10907,43,686,1039,5484,1160,720,396,166,50,9750,28,1044,1438,4989,2070,1394,785,389,103,12245,23,274,267,3059,764,774,748,509,279,6685,10,169,310,1809,1019,3737,7963,8515,5408,28940,55,270,427,2860,1373,436,284,93,52,5841,47,318,806,4768,1400,538,230,84,15,8207,47,184,349,2193,1979,2022,1325,499,163,8755,139,1302,3180,12503,4074,3951,3491,1158,295,30110
SOSR203,0,6,0,19,15,5,4,5,0,48,10,65,123,691,204,156,103,32,5,1384,0,0,8,49,60,121,182,197,76,683,3,17,21,50,4,16,14,5,0,127,13,165,193,604,530,920,977,723,337,4472,0,0,9,58,22,24,6,4,0,129,4,3,5,54,16,16,13,3,3,121,0,12,20,89,48,67,239,150,100,728,0,4,0,15,7,22,53,72,39,215,3,22,21,65,21,26,14,0,0,174,28,170,414,2136,155,91,82,26,11,3111,3,4,31,118,63,18,24,4,3,270,0,30,51,149,29,21,12,8,0,292,0,13,22,65,23,12,7,6,0,148,0,22,10,98,52,36,47,27,21,324,0,0,11,34,21,92,215,191,152,715,0,13,16,83,41,19,4,0,0,179,5,11,11,108,18,17,3,0,0,171,0,6,0,7,3,22,6,8,0,56,0,34,56,246,93,100,50,17,5,589
SOSR211,0,0,4,22,18,12,17,9,0,83,0,4,9,98,39,29,25,8,0,210,0,0,0,21,19,42,27,44,20,166,0,16,31,24,11,5,20,4,4,109,5,22,23,119,137,263,261,167,61,1058,6,4,12,90,40,23,4,0,0,179,0,0,0,8,5,5,7,0,0,29,0,4,8,26,17,29,111,55,16,261,0,0,0,4,4,7,12,25,7,72,0,3,3,17,0,8,0,0,0,35,24,162,187,2163,118,130,87,23,4,2899,0,4,4,56,23,16,3,0,0,107,0,3,4,18,3,0,0,3,0,34,0,16,8,39,14,12,4,3,0,91,0,3,3,20,4,8,18,10,0,69,0,0,0,7,10,34,44,26,13,144,0,0,0,15,4,0,0,0,0,28,0,3,0,23,8,3,3,0,0,50,0,0,0,30,6,8,7,9,0,58,0,47,10,63,26,18,11,10,0,183
SOSR212,0,0,4,19,15,6,9,0,0,50,6,15,51,339,91,74,26,4,7,616,0,0,0,17,9,35,32,21,15,139,0,11,8,23,0,8,22,8,3,83,12,116,103,459,397,683,752,556,237,3311,0,0,13,63,41,15,14,4,0,155,0,5,5,34,18,17,7,8,0,98,0,5,9,92,34,47,182,82,49,500,0,4,5,9,9,19,42,74,27,188,4,10,16,61,8,17,10,3,0,126,21,126,153,1315,162,116,81,34,13,2022,0,3,7,92,38,4,14,3,3,169,0,25,18,35,5,5,0,0,0,95,4,21,21,140,48,24,8,4,0,268,0,26,11,84,44,39,41,34,13,295,3,3,3,32,23,86,219,205,129,704,5,13,4,56,21,4,0,0,0,111,0,5,9,62,15,0,4,0,0,95,0,8,5,8,4,5,3,0,0,32,0,41,82,491,124,68,28,4,3,849
SOSR213,0,0,3,11,14,6,7,5,0,44,0,28,30,228,86,56,25,8,0,462,0,0,0,6,23,33,37,30,12,146,0,4,7,13,0,3,7,9,3,49,9,67,111,348,408,782,926,745,293,3685,0,0,7,38,24,17,10,0,0,107,0,0,0,17,12,13,11,6,0,66,3,3,5,59,27,47,197,138,64,548,0,0,0,7,7,12,34,26,9,102,0,0,3,34,13,11,4,0,0,71,17,78,109,862,79,66,44,16,10,1272,0,7,9,70,22,14,9,3,0,134,0,3,3,21,10,8,0,0,0,39,0,9,0,25,6,3,3,0,0,51,0,4,6,51,24,23,39,23,20,196,0,6,0,25,12,88,168,201,137,635,0,3,3,29,29,9,5,0,3,81,0,3,7,44,11,5,0,0,0,63,0,0,0,7,8,6,4,0,0,27,0,24,35,151,56,56,29,9,0,361
SOSR214,0,0,0,0,0,3,8,9,0,23,0,8,14,95,41,33,19,0,5,219,0,0,0,5,8,0,23,14,3,46,0,0,0,6,3,4,10,6,4,32,8,34,48,181,222,510,749,565,262,2588,0,0,5,22,14,5,8,0,0,48,0,0,0,21,9,7,4,0,5,42,0,4,3,43,18,43,121,72,36,352,0,0,0,4,8,21,39,34,10,112,0,0,6,13,0,5,5,0,0,31,10,41,53,438,29,40,31,10,5,652,0,4,5,27,15,3,9,5,0,77,0,0,0,13,0,0,0,0,0,17,0,4,4,12,5,3,0,0,0,28,0,8,6,35,14,18,34,26,9,144,0,0,0,17,10,42,135,104,77,392,0,4,0,21,10,7,5,4,0,51,0,0,0,23,5,0,0,0,0,26,0,0,0,5,4,3,3,3,0,16,0,8,18,69,23,25,3,0,0,153
SOSR215,0,0,0,7,14,6,6,10,0,41,0,5,9,85,33,35,14,3,4,194,0,0,0,3,11,11,23,14,3,71,0,0,3,9,0,8,12,3,0,38,4,52,99,353,434,908,1007,771,281,3905,0,0,4,27,24,15,8,4,0,96,0,0,0,28,5,13,20,7,0,79,0,4,3,65,39,60,189,115,54,542,0,0,0,0,7,18,23,20,7,78,0,0,0,13,9,10,5,0,0,34,0,27,35,338,29,39,29,21,3,519,0,0,3,42,14,7,10,5,5,92,0,0,0,3,7,3,0,0,0,9,0,0,4,7,0,0,0,0,0,19,0,5,3,52,29,38,28,26,12,196,0,0,0,16,17,52,107,121,73,386,0,4,9,44,19,4,5,0,0,87,0,0,0,17,0,0,0,0,0,22,0,0,4,3,4,4,0,0,0,25,5,7,14,141,54,40,21,3,0,279
SOSR221,0,0,0,0,4,3,3,0,0,11,0,9,0,23,4,11,4,3,0,51,0,0,0,0,0,5,3,6,0,18,0,0,0,0,0,0,0,0,0,3,0,20,19,86,114,316,309,176,64,1098,0,0,6,8,8,9,0,0,0,26,0,0,0,5,0,0,6,0,0,12,0,0,5,9,10,29,46,28,3,132,0,0,0,0,7,0,7,6,3,22,0,0,0,5,0,0,3,0,0,12,3,13,8,62,13,6,5,5,0,107,0,0,0,10,8,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,14,11,5,0,54,0,0,4,5,4,13,23,11,5,61,0,0,0,9,6,4,3,3,0,19,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,14,15,13,9,0,0,52
SOSR222,0,0,0,4,5,3,0,0,0,6,0,0,0,26,5,5,0,3,0,33,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,3,5,7,10,60,60,163,157,88,25,561,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,3,3,0,0,16,0,0,0,12,0,13,16,18,6,72,0,0,0,0,0,5,0,6,0,15,0,0,0,4,0,0,0,0,0,11,0,0,3,19,4,5,3,0,0,38,0,0,0,13,5,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,3,4,0,31,0,0,0,0,5,9,10,8,4,24,0,0,0,0,4,5,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,9,4,11,0,0,0,24
SOSR231,0,0,0,23,18,11,6,0,0,65,0,17,38,136,101,72,28,16,6,413,0,0,0,16,15,50,79,49,11,213,0,0,0,6,0,5,24,3,0,35,13,101,159,615,890,1772,1673,793,192,6204,0,5,7,17,27,25,18,0,0,97,0,4,4,53,17,19,19,9,0,135,0,3,13,136,103,166,302,163,52,947,0,0,0,4,13,33,74,58,30,222,0,7,4,31,9,23,4,0,0,85,0,24,32,227,62,81,47,26,7,500,0,9,7,64,23,14,20,9,3,147,0,0,5,10,6,0,0,3,0,32,0,0,0,9,12,7,0,0,0,24,0,6,6,83,38,62,55,36,8,299,0,4,6,22,28,135,302,212,99,813,0,6,5,37,29,20,10,0,0,123,0,5,4,26,7,5,0,0,0,45,0,0,3,28,23,27,13,0,0,95,0,17,36,198,76,71,24,10,0,433
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
