SOSR_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
SOSR179,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOSR199,0,6,0,6,..,12,0,18,0,18,..,7,0,7,0,7,..,16,0,16,0,16,..,44,0,45,0,45,..,32,6,36,0,36,..,3,0,3,0,4,..,6,0,8,0,8,..,3,3,5,0,5,..,13,9,18,0,18,..,88,17,103,3,103,..,483,74,564,11,576,..,21,3,23,2245,2269,3530,502,79,584,2261,6375,2889,..,..,..,..,2889,..,5,0,5,0,5,..,33,4,39,0,37,..,7,0,7,0,14,..,22,4,26,0,26,..,69,27,96,0,99,..,8,0,8,0,8,..,101,30,131,0,131,..,4,0,5,0,5,..,32,0,27,0,27,..,12,0,12,0,12,..,13,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,5,0,5,0,5,..,3,0,9,0,9,..,0,0,4,0,4,..,6,0,8,0,8,..,8,0,8
SOSR201,206,8138,83,8221,..,6876,485,7358,84,7442,..,9958,263,10223,91,10315,..,4108,571,4671,42,4716,..,28865,1522,30391,302,30695,..,16706,1690,18397,184,18579,..,15390,969,16360,195,16551,..,3087,669,3757,38,3792,..,13199,2640,15840,119,15960,..,38561,13366,51927,408,52333,..,94475,17983,112451,2105,114563,..,671286,110652,781935,8218,790152,..,10590,2188,12778,97716,110495,1355143,681874,112838,794710,105935,2255791,1379759,..,..,..,..,1379759,..,2204,25,2229,17,2245,..,35581,7052,42629,283,42909,..,313,12,330,7,332,..,32401,10193,42588,265,42853,..,83935,29358,113294,896,114182,..,5931,2159,8090,40,8129,..,122265,41706,163978,1197,165168,..,7043,1216,8262,59,8322,..,8147,300,8447,95,8545,..,6556,162,6713,88,6804,..,43259,10371,53628,324,53949,..,6108,469,6575,61,6640,..,9640,891,10535,106,10635,..,28164,1624,29790,230,30023,..,8220,721,8936,72,9012,..,36809,4016,40816,483,41299,..,21096,1434,22531,172,22706,..,13698,1461,15160,229,15390,..,5504,273,5780
SOSR203,6,373,3,381,..,135,3,138,0,143,..,378,3,384,0,388,..,157,15,169,0,172,..,1032,35,1065,12,1079,..,402,35,441,6,446,..,342,20,365,7,375,..,126,28,153,0,161,..,122,28,147,0,147,..,340,103,445,7,444,..,3596,1081,4677,104,4783,..,17429,2572,20004,272,20277,..,528,77,607,8920,9530,156161,17963,2649,20612,9197,185970,169651,..,..,..,..,169651,..,168,0,174,0,174,..,452,69,520,6,528,..,54,0,54,0,54,..,305,67,374,6,381,..,1374,406,1778,18,1793,..,57,13,73,0,73,..,1739,486,2219,25,2245,..,815,204,1021,4,1024,..,299,10,316,0,316,..,372,10,382,5,388,..,411,64,477,8,482,..,179,17,196,0,196,..,235,20,251,0,257,..,551,42,591,4,600,..,323,12,335,5,337,..,1215,101,1315,29,1345,..,387,23,416,6,413,..,331,40,373,0,376,..,108,3,111
SOSR211,10,361,7,367,..,56,6,64,3,63,..,426,12,440,6,444,..,83,7,89,0,91,..,910,37,948,11,961,..,288,42,324,3,333,..,196,20,222,5,222,..,50,3,56,0,56,..,160,22,179,5,182,..,312,161,469,0,471,..,2745,592,3333,70,3409,..,11672,1641,13315,211,13525,..,324,72,397,3299,3700,38787,12002,1708,13707,3513,56005,40424,..,..,..,..,40424,..,38,0,38,0,38,..,389,64,458,5,461,..,16,0,16,0,16,..,74,20,93,0,95,..,184,77,269,4,269,..,39,9,49,0,49,..,299,106,412,3,417,..,157,31,193,0,192,..,83,4,85,0,87,..,112,3,119,0,117,..,165,35,202,0,206,..,312,45,356,6,364,..,118,16,136,0,136,..,578,45,623,13,635,..,152,78,231,5,237,..,2090,289,2381,50,2434,..,214,18,234,0,231,..,513,78,591,5,595,..,56,0,56
SOSR212,16,288,9,295,..,85,19,98,0,100,..,297,11,302,4,309,..,262,114,370,12,381,..,908,152,1061,16,1078,..,214,29,238,0,239,..,168,24,190,0,190,..,106,53,155,0,157,..,314,114,430,8,436,..,252,134,389,11,403,..,2241,669,2908,63,2979,..,11066,2459,13521,227,13745,..,387,67,451,6863,7317,106815,11452,2527,13979,7089,127879,114701,..,..,..,..,114701,..,169,4,168,0,175,..,624,224,852,8,856,..,90,0,86,5,89,..,169,61,222,0,224,..,697,431,1134,22,1155,..,29,6,39,0,39,..,894,501,1391,22,1413,..,152,12,163,0,168,..,162,9,172,0,175,..,263,4,272,4,274,..,366,69,430,0,437,..,87,7,94,0,94,..,130,17,150,3,149,..,288,27,314,0,315,..,125,21,148,0,151,..,1084,173,1260,15,1275,..,253,13,272,5,278,..,159,12,165,0,169,..,60,0,63
SOSR213,5,221,0,219,..,65,8,77,0,80,..,271,3,278,0,279,..,137,39,175,3,180,..,688,58,748,4,750,..,192,14,206,4,211,..,123,7,135,4,136,..,73,28,98,0,102,..,82,11,96,0,97,..,203,80,281,3,279,..,1371,290,1659,52,1714,..,7399,1113,8507,134,8640,..,372,52,423,6914,7338,105109,7770,1161,8929,7047,121091,112589,..,..,..,..,112589,..,137,6,141,0,146,..,178,38,216,10,223,..,41,4,51,0,51,..,130,28,156,0,158,..,484,215,700,0,704,..,31,25,53,0,51,..,650,257,909,5,914,..,133,21,156,0,156,..,133,6,141,0,139,..,230,7,243,0,246,..,265,42,304,0,304,..,35,4,37,0,34,..,64,3,69,0,67,..,219,17,235,5,235,..,127,10,134,0,134,..,723,76,803,5,812,..,176,12,186,0,191,..,126,16,143,0,145,..,30,0,30
SOSR214,5,118,0,118,..,22,0,27,0,27,..,113,5,116,0,116,..,64,17,77,3,80,..,318,27,340,3,343,..,100,3,108,5,113,..,36,0,38,0,38,..,53,10,62,0,62,..,28,0,30,0,30,..,66,15,78,0,78,..,628,80,713,26,737,..,3799,573,4370,75,4446,..,206,16,219,4125,4348,61242,4002,586,4589,4205,70033,65860,..,..,..,..,65860,..,56,4,56,0,56,..,86,16,105,0,107,..,15,0,15,0,15,..,48,22,72,0,72,..,234,161,397,0,399,..,16,3,21,0,21,..,300,190,492,7,492,..,65,12,72,0,72,..,89,0,90,0,90,..,189,7,195,0,193,..,193,30,221,6,234,..,29,8,32,0,32,..,41,0,38,0,38,..,109,4,111,0,114,..,72,3,77,0,77,..,328,38,364,5,373,..,64,3,66,0,66,..,60,9,66,3,71,..,15,0,15
SOSR215,8,111,5,118,..,48,5,50,3,47,..,115,3,124,0,124,..,80,46,131,3,135,..,350,61,410,8,417,..,157,9,166,0,168,..,42,3,41,0,43,..,81,18,98,4,100,..,83,19,99,0,99,..,93,110,197,8,207,..,1003,232,1230,27,1262,..,4391,826,5216,86,5299,..,259,29,280,6857,7143,97386,4638,848,5492,6943,109821,101986,..,..,..,..,101986,..,65,0,66,0,66,..,69,10,72,4,76,..,34,5,39,0,36,..,61,25,80,0,88,..,217,114,334,5,342,..,18,7,24,0,24,..,293,150,442,5,448,..,68,5,74,0,82,..,143,5,152,6,149,..,290,4,296,3,301,..,196,24,213,8,226,..,12,0,15,0,15,..,15,0,17,0,17,..,105,8,112,0,112,..,73,3,81,0,83,..,268,39,303,0,304,..,81,6,85,0,85,..,41,4,45,5,44,..,17,0,17
SOSR221,0,15,0,15,..,7,0,8,0,8,..,14,0,14,0,14,..,28,8,33,0,33,..,62,6,69,0,69,..,50,9,60,0,56,..,4,0,4,0,4,..,11,8,19,3,22,..,8,3,18,0,18,..,26,12,30,0,30,..,224,36,261,4,263,..,933,128,1066,15,1086,..,75,8,85,1943,2022,27602,1010,138,1149,1958,30711,27746,..,..,..,..,27746,..,21,0,21,0,21,..,10,0,16,0,16,..,7,0,7,0,7,..,12,3,13,0,13,..,50,15,67,0,68,..,8,0,8,0,8,..,65,16,86,3,92,..,16,0,17,0,17,..,36,0,36,0,38,..,62,0,66,0,66,..,48,4,53,0,53,..,0,0,0,0,0,..,7,0,7,0,7,..,30,0,32,0,32,..,10,0,5,0,5,..,20,3,25,0,25,..,18,0,18,0,15,..,6,0,6,0,6,..,3,0,0
SOSR222,0,30,0,31,..,4,0,4,0,4,..,18,0,24,0,24,..,12,9,18,0,18,..,65,11,71,0,70,..,42,4,39,0,39,..,0,0,0,0,0,..,8,3,14,0,17,..,8,0,8,0,8,..,7,4,7,0,6,..,123,24,144,3,147,..,542,69,613,5,626,..,50,4,52,1331,1379,14653,591,74,667,1339,16656,14517,..,..,..,..,14517,..,6,0,6,0,6,..,12,0,9,0,9,..,6,0,6,0,6,..,9,3,15,0,15,..,45,16,63,0,63,..,3,0,3,0,3,..,59,17,80,0,80,..,10,0,10,0,10,..,15,0,15,0,18,..,42,3,42,4,51,..,26,4,30,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,10,0,10,0,10,..,8,0,12,0,12,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0
SOSR231,4,181,0,182,..,51,14,64,6,68,..,148,10,157,3,159,..,149,63,206,6,208,..,526,82,607,15,619,..,273,16,291,3,294,..,37,8,45,0,47,..,107,74,182,8,187,..,152,18,175,0,175,..,141,56,194,0,192,..,1646,227,1875,37,1913,..,7899,1154,9054,129,9185,..,459,43,504,19535,20039,192589,8365,1200,9558,19655,221807,182593,..,..,..,..,182593,..,191,0,187,0,192,..,279,25,306,6,307,..,31,0,31,0,31,..,98,27,123,0,123,..,434,215,643,6,653,..,20,11,32,0,32,..,554,244,801,6,805,..,193,23,225,0,224,..,241,17,257,0,256,..,577,12,587,5,595,..,408,62,471,7,482,..,18,0,20,0,20,..,16,0,18,0,18,..,67,6,71,0,71,..,12,0,10,0,10,..,223,45,266,0,270,..,49,0,52,0,52,..,39,3,43,0,43,..,3,0,3
SOSR279,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,24,24,9,5,0,5,24,36,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOSR299,0,10,0,10,..,3,0,3,0,3,..,7,0,7,0,7,..,6,0,6,0,6,..,27,0,27,0,27,..,17,3,27,0,27,..,3,0,6,0,6,..,0,0,0,0,0,..,19,3,20,0,20,..,14,8,19,0,19,..,102,18,120,6,120,..,403,77,481,9,490,..,28,3,28,2206,2238,2445,428,84,510,2215,5170,2041,..,..,..,..,2041,..,0,0,0,0,0,..,37,3,38,0,38,..,0,0,0,0,0,..,7,0,15,0,15,..,51,16,61,0,61,..,4,0,4,0,4,..,60,18,78,0,78,..,0,0,4,0,4,..,14,0,15,0,15,..,12,0,9,0,9,..,14,0,14,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,4,0,4,0,4,..,5,0,7,0,7,..,9,0,9,0,9,..,0,0,4,0,4,..,0,0,0
SOSR301,65,2975,36,3015,..,1334,88,1421,23,1441,..,4078,108,4189,29,4215,..,1033,41,1073,19,1093,..,9352,303,9655,111,9766,..,8180,799,8980,97,9079,..,2712,131,2845,32,2876,..,1280,300,1580,23,1599,..,776,95,873,8,884,..,9017,2939,11951,102,12056,..,28641,5145,33786,734,34522,..,178479,25903,204382,2441,206823,..,4454,709,5166,52156,57325,858823,182936,26611,209550,54599,1122973,882604,..,..,..,..,882604,..,3576,46,3620,27,3642,..,4778,955,5737,38,5773,..,823,26,850,5,853,..,9003,2416,11425,79,11509,..,26381,7808,34184,291,34469,..,1146,421,1567,3,1572,..,36527,10646,47169,379,47547,..,994,141,1133,7,1141,..,3131,124,3259,39,3295,..,3352,87,3437,42,3479,..,3321,400,3722,21,3740,..,1456,132,1595,11,1606,..,3096,295,3392,35,3428,..,8017,424,8438,76,8519,..,3194,223,3414,25,3441,..,9121,1071,10193,123,10315,..,2765,151,2920,15,2938,..,2504,257,2768,27,2795,..,1421,83,1500
SOSR302,16,561,7,565,..,384,15,398,4,407,..,779,18,794,5,802,..,244,9,256,4,257,..,1948,63,2010,18,2030,..,2654,205,2855,30,2894,..,250,0,251,4,258,..,567,89,652,6,658,..,345,56,394,0,397,..,728,123,854,10,866,..,5911,711,6621,143,6767,..,41998,4981,46979,549,47529,..,1513,172,1684,23796,25481,357419,43516,5149,48660,24343,430423,379441,..,..,..,..,379441,..,1313,19,1333,4,1335,..,857,106,967,12,976,..,167,4,168,0,171,..,1550,423,1967,13,1985,..,5477,1629,7110,56,7161,..,202,77,275,0,278,..,7224,2126,9351,67,9421,..,553,71,624,3,630,..,1510,72,1586,15,1599,..,1812,54,1856,19,1875,..,849,74,925,6,934,..,245,20,261,0,263,..,605,66,672,3,673,..,945,56,1003,5,1009,..,817,43,866,8,874,..,1552,132,1684,16,1696,..,292,12,310,0,309,..,324,17,347,4,348,..,172,5,178
SOSR303,10,551,8,557,..,168,9,179,0,180,..,739,29,767,8,772,..,168,9,178,4,177,..,1619,56,1676,19,1697,..,571,42,617,6,620,..,231,8,241,0,243,..,232,34,261,7,267,..,49,6,56,0,55,..,372,84,450,8,459,..,5973,1335,7299,146,7455,..,20002,2946,22946,324,23278,..,1146,175,1320,17144,18463,171390,21149,3120,24270,17475,213132,179536,..,..,..,..,179536,..,518,3,522,0,522,..,518,115,633,3,636,..,1216,70,1282,19,1302,..,451,128,581,8,585,..,1200,313,1507,12,1522,..,70,20,92,0,92,..,1722,454,2179,18,2195,..,78,6,84,0,84,..,499,30,521,8,530,..,753,18,768,10,777,..,276,40,314,4,321,..,119,7,127,0,130,..,206,22,232,0,227,..,419,27,447,6,450,..,766,272,1038,9,1050,..,847,102,941,12,957,..,333,19,352,0,352,..,136,13,149,0,150,..,73,5,80
SOSR311,16,410,0,411,..,37,3,42,0,42,..,585,13,600,5,602,..,103,33,133,3,135,..,1122,65,1184,9,1195,..,133,13,144,0,146,..,155,31,187,6,193,..,102,36,138,0,140,..,43,8,51,0,51,..,244,115,357,0,357,..,1294,264,1554,41,1600,..,6799,1001,7800,111,7916,..,408,53,464,9087,9547,106407,7210,1059,8265,9192,123868,112586,..,..,..,..,112586,..,454,9,460,0,463,..,81,19,94,5,105,..,215,4,216,4,221,..,136,48,183,0,187,..,520,211,727,5,735,..,25,12,37,0,37,..,683,266,950,6,953,..,20,8,28,0,28,..,114,9,125,5,130,..,314,15,330,0,332,..,60,4,63,0,66,..,119,10,134,0,134,..,90,11,94,0,98,..,219,3,224,0,225,..,239,18,256,3,263,..,230,25,254,4,262,..,125,10,140,3,139,..,72,3,78,4,74,..,30,5,37
SOSR312,9,153,0,152,..,25,0,20,0,22,..,165,8,177,0,181,..,12,0,16,0,16,..,348,19,367,5,370,..,77,5,83,0,87,..,63,3,65,0,72,..,27,5,38,0,38,..,8,0,13,0,13,..,33,10,37,0,43,..,428,61,485,12,502,..,2055,204,2259,42,2296,..,128,13,141,2816,2953,42785,2184,213,2398,2853,48034,44852,..,..,..,..,44852,..,168,3,173,0,173,..,28,0,31,0,32,..,43,0,38,0,44,..,40,15,55,0,55,..,95,25,115,0,117,..,0,0,0,0,0,..,137,37,170,0,171,..,15,0,20,0,20,..,57,0,57,0,62,..,112,6,119,4,123,..,29,4,29,3,36,..,23,4,26,0,26,..,18,0,21,0,20,..,73,4,78,0,78,..,35,3,33,0,33,..,68,4,69,4,74,..,29,0,28,0,28,..,25,6,30,0,30,..,17,3,19
SOSR313,3,241,9,248,..,29,0,31,0,32,..,258,7,264,6,265,..,59,0,60,0,59,..,578,14,596,11,605,..,159,9,172,0,170,..,44,0,44,5,48,..,42,13,52,0,52,..,14,0,15,0,15,..,62,16,82,0,85,..,993,103,1096,39,1135,..,3897,395,4295,87,4380,..,258,29,289,5758,6046,69230,4159,421,4582,5847,79658,72467,..,..,..,..,72467,..,370,8,378,0,380,..,51,13,65,0,63,..,131,3,130,3,138,..,50,23,75,0,75,..,238,98,335,4,337,..,9,8,11,0,11,..,296,121,420,4,422,..,18,5,23,0,22,..,124,5,128,4,130,..,177,5,178,4,184,..,37,0,37,0,37,..,14,0,14,0,14,..,32,5,40,0,46,..,117,3,124,0,123,..,40,4,43,0,43,..,175,11,192,0,192,..,62,3,70,4,71,..,47,6,58,0,58,..,15,4,14
SOSR314,6,148,0,148,..,69,4,72,0,71,..,195,8,204,0,198,..,60,10,65,5,65,..,461,27,484,3,489,..,217,11,228,3,231,..,29,12,38,0,38,..,49,6,59,0,59,..,21,5,27,0,27,..,87,22,111,6,115,..,1185,265,1447,49,1501,..,4849,876,5726,99,5831,..,271,18,284,7179,7464,69253,5114,898,6019,7283,82553,71888,..,..,..,..,71888,..,266,0,264,0,265,..,86,22,104,0,104,..,182,3,193,9,199,..,108,21,129,0,129,..,394,243,639,0,639,..,14,9,24,0,24,..,513,279,790,3,796,..,33,6,39,0,39,..,135,5,145,0,150,..,192,4,200,0,201,..,69,0,66,0,70,..,11,0,16,0,16,..,96,15,107,0,109,..,99,7,108,0,108,..,42,3,53,0,53,..,353,61,417,9,421,..,31,3,39,0,41,..,41,8,48,0,48,..,7,0,9
SOSR315,12,300,6,302,..,47,8,49,0,49,..,260,13,266,4,266,..,95,7,110,0,110,..,685,41,725,6,734,..,310,19,326,10,340,..,20,0,22,0,22,..,57,14,69,0,71,..,10,0,10,0,10,..,96,52,142,0,142,..,3418,493,3907,105,4012,..,6842,914,7753,169,7921,..,468,50,520,12144,12664,106988,7308,961,8273,12309,127573,109459,..,..,..,..,109459,..,222,3,223,3,226,..,33,5,38,0,38,..,2698,241,2937,80,3017,..,58,24,84,0,85,..,232,75,310,3,310,..,15,0,16,0,16,..,306,102,404,7,412,..,29,4,33,0,33,..,192,6,196,0,198,..,308,6,312,0,316,..,71,3,75,0,73,..,7,3,12,0,12,..,22,4,24,0,24,..,79,7,84,0,84,..,71,13,87,0,88,..,103,21,124,0,128,..,23,0,27,0,27,..,18,0,20,0,20,..,6,0,6
SOSR321,0,54,3,55,..,12,0,12,0,12,..,60,0,62,0,61,..,16,0,17,0,17,..,136,3,143,5,149,..,54,6,56,5,52,..,9,0,9,0,9,..,15,0,20,0,16,..,0,0,0,0,0,..,19,4,25,0,25,..,1370,193,1561,50,1610,..,2335,263,2600,74,2676,..,188,21,214,4661,4869,41621,2526,289,2814,4728,49160,41571,..,..,..,..,41571,..,106,4,107,0,110,..,9,0,9,0,9,..,1076,95,1175,56,1234,..,12,5,22,0,20,..,57,12,74,6,79,..,0,0,0,0,0,..,73,20,95,3,97,..,12,0,11,0,11,..,80,0,80,0,81,..,134,0,143,0,138,..,20,0,19,0,19,..,6,0,6,0,6,..,6,0,6,0,6,..,26,0,26,0,26,..,8,0,8,0,8,..,29,5,39,0,39,..,6,0,6,0,6,..,7,0,7,0,7,..,11,0,11
SOSR322,0,13,0,13,..,13,0,13,0,13,..,14,0,14,0,14,..,6,0,6,0,6,..,43,0,43,0,45,..,25,0,25,0,25,..,0,0,0,0,0,..,9,7,13,0,13,..,0,0,0,0,0,..,0,3,3,0,3,..,1631,359,1996,77,2071,..,1995,399,2396,82,2482,..,81,28,111,1935,2052,17381,2082,429,2513,2017,21912,16841,..,..,..,..,16841,..,28,0,28,0,34,..,0,0,0,0,0,..,1689,289,1978,72,2048,..,0,0,0,0,0,..,19,4,27,0,25,..,0,0,0,0,0,..,21,4,28,0,28,..,0,0,0,0,0,..,23,0,23,0,21,..,59,0,59,0,59,..,11,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,5,0,5,0,5,..,11,3,17,0,17,..,0,0,5,0,5,..,0,0,0,0,0,..,3,0,3
