SOSR_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,43,14,25,42,112,37,27,10,345,0,0,0,0,0,0,0,0,0,8,11,62,34,71,23,34,57,140,63,47,21,550,59,26,13,0,0,0,0,0,11,0,122,40,25,30,4,4,7,10,4,24,3,154,0,4,10,0,0,0,5,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,40,30,38,5,5,10,15,10,24,4,179,0,0,0,0,0,0,0,0,0,12,13,101,55,56,5,11,11,15,11,32,27,311,100,7,7,0,0,0,0,6,10,12,134,52,7,13,0,0,4,0,0,4,0,81,6,0,4,0,4,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,57,7,8,0,4,6,3,7,6,4,98,0,0,0,0,0,0,0,0,0,4,4,152,15,18,0,4,9,3,8,15,19,242,194,11,4,0,0,0,0,0,3,6,216,38,4,5,0
SOSR201,67891,19848,22426,26115,26734,7414,1919,3447,248268,35,47,91,29,50,35,37,9,5,747,1088,47378,57296,83799,24272,27404,31639,32689,9353,2637,5560,322025,37713,17930,13790,2000,1865,1552,1474,578,270,1156,78329,67246,82880,50051,9712,9143,8233,7284,2401,1102,1916,239973,3196,6596,7185,1831,1974,1943,2093,745,262,585,26416,75,117,69,13,10,12,23,7,3,48,380,70523,89594,57305,11560,11126,10193,9403,3150,1370,2537,266762,44,60,62,10,18,7,11,0,0,485,699,108275,107589,71155,13568,13010,11757,10882,3728,1637,4180,345789,54172,10924,5506,669,678,525,512,292,120,1115,74512,74265,28372,14192,2285,1970,1566,1472,633,322,1349,126425,11445,6125,6185,1596,1648,1451,1704,719,171,796,31850,126,50,21,4,8,3,11,4,0,35,265,85836,34544,20401,3886,3629,3019,3188,1356,498,2177,158537,80,25,27,0,0,3,9,3,3,260,407,140082,45495,25938,4552,4310,3548,3710,1654,615,3553,233456,67896,4407,1753,234,245,228,249,169,65,1259,76508,79378,7474,3400,539
SOSR203,2377,770,862,1052,1128,304,54,110,8229,0,3,6,0,0,0,3,0,0,25,36,1168,1611,2969,921,1024,1228,1328,389,74,206,10920,1424,757,540,72,79,73,65,27,9,57,3112,804,2095,1556,295,280,275,272,113,22,43,5746,20,174,228,63,49,53,43,15,8,16,674,3,0,4,0,0,3,0,0,0,0,7,827,2265,1788,357,333,327,317,128,31,57,6433,0,0,6,0,0,0,0,0,0,7,8,2252,3027,2331,430,408,393,380,152,44,120,9548,2481,486,284,31,28,28,28,19,10,72,3474,1040,814,409,68,69,67,51,33,11,25,2588,98,152,176,38,50,33,37,14,0,9,603,4,0,0,0,0,0,0,0,0,0,6,1145,972,585,103,122,96,86,46,9,33,3196,0,0,0,0,0,0,0,0,0,0,5,3628,1460,867,139,147,127,113,60,19,108,6667,3868,234,83,10,11,13,19,16,7,111,4366,1321,185,88,12
SOSR211,1562,392,350,386,367,76,52,59,5043,0,5,0,0,0,0,0,0,0,3,10,824,1558,1792,446,392,426,392,89,60,103,6077,535,259,154,27,24,26,16,13,4,19,1073,830,2276,1201,221,189,121,114,22,27,34,5042,40,174,157,21,23,35,38,8,3,10,507,3,4,5,0,0,0,0,0,0,0,10,874,2454,1365,243,216,154,149,37,30,42,5561,0,6,0,0,0,0,0,0,0,6,11,1401,2721,1520,268,238,183,168,43,34,62,6640,821,179,98,14,11,9,10,6,0,23,1169,825,631,328,62,39,29,26,13,5,22,1972,90,125,124,20,22,17,15,3,0,10,418,6,0,0,0,0,0,0,0,0,0,10,919,750,449,79,60,47,46,13,5,32,2403,3,0,0,0,0,0,0,0,0,5,9,1739,933,547,92,72,53,58,25,5,61,3573,1284,77,36,3,3,0,8,0,0,30,1450,755,170,76,18
SOSR212,1279,498,541,622,697,198,39,101,5050,0,0,0,0,0,0,0,0,0,8,8,825,989,1651,580,630,718,791,236,60,154,6635,1005,584,474,69,52,48,59,30,18,49,2377,642,1413,1020,235,202,187,239,70,38,47,4088,58,132,185,67,66,89,83,27,5,27,734,3,4,0,0,0,4,0,3,0,0,19,704,1551,1205,300,271,278,328,97,41,77,4844,0,0,0,0,0,0,0,0,0,3,12,1711,2131,1685,367,321,326,384,121,55,128,7237,1904,414,245,28,32,21,23,14,4,54,2727,743,532,325,64,42,53,65,35,8,24,1893,135,141,141,26,47,44,57,12,8,25,636,4,4,0,0,0,0,0,0,0,7,18,880,669,473,83,96,97,129,53,12,55,2545,4,0,0,0,0,0,0,0,0,12,12,2782,1083,715,111,120,123,151,68,12,120,5287,2866,200,97,5,8,5,8,0,8,81,3280,847,176,80,10
SOSR213,859,279,322,389,432,136,48,45,3160,3,0,0,0,0,0,0,0,0,91,95,631,705,1102,355,368,463,496,180,60,161,4509,846,464,275,33,35,28,26,11,7,38,1753,411,1062,665,144,127,152,121,53,19,26,2783,24,55,66,26,45,53,19,9,3,10,301,0,0,0,0,0,0,0,0,0,0,9,436,1120,733,165,167,205,133,63,23,36,3088,0,0,0,0,0,0,0,0,0,59,64,1280,1582,1009,201,206,234,161,78,33,130,4903,1630,363,184,27,24,19,20,6,3,53,2318,540,387,223,36,26,37,19,5,9,27,1312,45,71,57,11,11,7,19,7,0,9,247,0,3,0,0,0,0,0,0,0,0,8,593,461,284,50,39,48,40,12,7,31,1565,3,0,0,0,0,0,0,0,0,39,42,2225,825,460,72,61,68,55,20,17,131,3929,3091,166,60,10,3,10,14,5,3,84,3449,701,134,58,12
SOSR214,411,140,159,199,212,60,19,34,1520,0,0,0,0,0,0,0,0,0,0,0,288,314,557,179,202,229,242,75,25,58,2168,459,224,146,21,12,14,14,7,6,34,947,189,510,347,48,71,48,58,26,21,22,1330,11,21,28,4,4,12,24,3,3,3,116,0,0,0,0,0,0,0,0,0,0,0,200,531,375,58,74,59,88,31,17,23,1451,0,0,0,0,0,0,0,0,0,3,0,656,757,523,75,91,73,103,37,25,59,2403,932,163,109,13,3,14,3,0,5,37,1274,243,141,120,16,17,19,16,3,0,18,592,24,21,26,0,3,9,5,4,0,0,101,0,0,0,0,0,0,0,0,0,0,0,262,162,151,22,20,26,18,6,0,18,687,6,0,0,0,0,0,0,0,0,0,3,1196,323,256,34,29,37,29,10,0,55,1972,1936,120,47,4,7,7,5,3,0,57,2188,348,44,30,5
SOSR215,431,154,153,185,258,67,14,54,1678,5,0,0,0,0,0,0,0,0,3,9,451,430,662,204,206,237,308,85,24,96,2699,823,386,280,41,21,30,25,8,3,50,1667,233,525,334,55,66,62,52,29,11,39,1408,26,52,38,20,16,22,43,11,0,9,234,0,0,0,0,3,0,0,0,0,4,6,262,575,375,76,79,81,97,35,13,46,1647,4,0,0,0,0,0,0,0,0,6,7,1092,961,652,116,104,114,126,45,15,101,3319,1778,325,142,26,19,12,19,8,4,81,2415,392,197,127,27,20,14,7,10,7,17,821,52,44,23,9,14,9,21,10,0,7,191,0,0,0,0,0,0,0,0,0,4,5,442,245,153,38,34,26,26,18,7,26,1021,0,0,0,0,0,0,0,0,0,4,9,2227,570,295,62,56,35,44,27,9,111,3440,3292,158,59,8,14,9,15,3,0,127,3685,503,69,24,7
SOSR221,48,17,38,30,46,8,5,7,263,0,0,0,0,0,0,0,0,0,0,0,105,68,118,27,50,43,56,15,12,6,497,230,82,76,10,3,9,13,0,0,12,428,64,97,45,13,12,20,12,5,7,4,272,0,6,6,0,6,3,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,64,104,53,11,15,19,22,5,3,4,302,0,0,0,0,0,0,0,0,0,0,0,300,186,128,19,24,25,31,5,3,16,735,464,101,41,3,7,8,6,4,0,25,652,96,47,24,3,6,3,0,3,0,8,187,3,0,6,4,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,98,48,32,9,8,4,3,3,0,8,216,0,0,0,0,0,0,0,0,0,0,0,565,149,77,13,9,10,9,3,0,28,865,1105,68,33,0,0,5,3,3,0,48,1266,135,12,13,0
SOSR222,37,18,21,32,53,17,6,3,210,0,0,0,0,0,0,0,0,0,0,0,47,42,60,30,30,47,65,18,12,8,356,116,59,35,3,5,3,8,0,0,3,230,26,45,49,14,8,9,7,0,0,4,156,0,4,4,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,28,51,49,12,8,11,8,0,0,8,174,0,0,0,0,0,0,0,0,0,0,0,145,108,82,18,7,15,19,0,0,11,399,283,31,20,5,0,0,3,4,0,7,360,47,31,18,0,0,0,0,0,0,7,99,3,4,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,48,32,23,0,0,0,3,0,0,7,112,0,0,0,0,0,0,0,0,0,0,0,337,61,40,5,0,4,7,4,0,13,471,552,24,9,0,0,6,0,0,0,26,620,83,4,6,0
SOSR231,433,185,167,219,313,88,60,71,1914,0,0,0,0,0,0,4,0,0,242,256,582,459,768,260,233,303,441,136,78,367,3630,1394,639,370,46,40,41,41,15,14,78,2679,456,510,380,80,69,78,122,42,29,46,1809,20,40,75,21,21,22,23,6,9,21,258,0,0,4,0,6,0,0,0,0,6,11,476,545,454,103,92,95,150,55,33,71,2078,0,0,0,0,0,0,0,0,0,238,246,1877,1188,829,151,137,143,185,67,44,391,5001,3646,597,278,26,23,23,22,20,9,211,4852,797,276,167,40,29,19,31,13,4,32,1410,64,34,35,17,12,17,17,13,5,17,234,5,0,0,0,0,0,0,0,0,0,6,860,312,200,56,42,36,46,22,8,56,1652,6,0,0,4,0,0,0,0,0,155,165,4518,911,478,86,67,59,66,47,20,418,6667,6945,368,109,18,14,14,11,3,7,314,7798,1153,94,58,13
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,43,5,18,30,42,30,14,14,251,0,0,0,0,0,0,0,0,0,5,5,53,29,58,11,32,51,66,44,26,17,379,66,24,13,0,0,3,3,0,7,3,119,25,22,16,5,0,5,0,4,37,4,114,3,4,9,4,4,3,0,0,4,5,27,0,0,0,0,0,0,0,0,0,0,0,30,26,20,3,4,9,0,4,38,6,138,0,0,0,0,0,0,0,0,0,5,8,99,42,36,3,6,12,0,8,46,13,262,62,13,14,0,0,0,0,0,0,4,101,31,11,4,0,0,0,4,0,3,0,61,3,5,8,0,0,6,4,0,4,3,28,0,0,0,0,0,0,0,0,0,0,0,34,13,14,0,0,6,8,0,8,6,84,0,0,0,0,0,0,0,0,0,0,9,97,26,23,0,4,6,6,0,6,16,187,88,11,11,0,0,0,0,0,4,4,117,31,0,0,0
SOSR301,19898,5567,6002,7430,8895,2810,604,1112,75043,26,21,38,5,7,7,21,0,0,371,496,24191,22374,28279,7321,7747,9415,10987,3838,958,2379,117489,22889,12192,7952,1113,939,883,890,398,219,809,48278,18636,26062,16633,2992,2789,2669,2609,958,404,699,74464,703,2107,2142,457,448,517,599,230,67,181,7460,26,31,28,9,0,6,4,0,0,11,117,19372,28207,18803,3457,3239,3192,3211,1198,473,896,82046,23,25,16,0,4,7,5,3,0,301,383,42287,40422,26777,4563,4179,4074,4109,1598,695,2000,130709,36624,10438,4513,458,449,442,408,205,114,800,54447,19805,11818,5560,788,698,581,579,336,139,442,40755,2259,2114,1410,311,291,296,412,167,47,206,7520,25,11,10,0,3,5,0,0,0,18,79,22093,13944,6981,1108,999,885,991,505,186,663,48356,32,24,14,0,0,0,0,0,0,140,218,58748,24405,11509,1564,1442,1328,1396,717,296,1606,103024,41293,5111,1685,197,193,184,225,127,76,766,49847,18887,3445,1384,202
SOSR302,5182,1881,2015,2301,2631,780,135,336,19107,5,0,11,4,0,10,8,0,0,42,83,6657,5971,9114,2773,2865,3202,3635,1247,293,808,36564,9491,6061,3831,653,512,485,534,270,126,437,22394,3648,5841,4058,834,772,711,775,284,95,227,17246,120,333,361,80,108,109,140,72,11,33,1366,4,8,0,3,5,0,0,0,0,5,23,3772,6186,4422,916,888,820,917,357,110,261,18636,3,11,3,0,0,0,3,0,0,38,61,13270,12253,8253,1573,1399,1302,1451,627,228,730,41088,16719,5669,2666,349,316,269,269,154,104,469,26983,5164,2617,1370,241,229,173,169,100,35,120,10224,398,333,293,69,84,98,78,48,3,26,1434,10,8,0,0,0,0,0,0,0,3,27,5574,2961,1660,310,314,269,251,148,41,155,11677,9,10,0,0,0,0,0,0,0,29,52,22302,8634,4335,660,630,537,519,302,147,653,38709,21286,3313,1306,151,156,139,188,102,75,432,27149,5160,855,415,61
SOSR303,2167,599,732,878,1221,445,91,123,7951,0,3,0,3,0,0,0,0,0,26,40,2095,2016,3213,790,973,1146,1499,593,141,243,12716,2613,1434,849,134,109,122,117,47,31,103,5556,1091,2584,1878,325,312,310,338,125,46,84,7106,65,261,242,53,92,137,180,52,11,12,1105,0,9,4,0,0,4,0,0,0,3,25,1155,2853,2123,380,399,451,521,179,60,108,8227,4,0,4,0,0,0,0,0,0,16,32,3770,4292,2977,511,507,572,638,224,87,224,13804,5041,1111,526,60,56,55,63,27,11,161,7089,1944,1615,720,107,102,93,81,50,15,62,4792,172,230,164,38,50,80,142,26,0,13,908,3,0,0,0,0,0,0,0,0,8,19,2120,1847,877,149,157,169,226,73,19,88,5718,7,3,0,0,0,0,0,0,0,21,30,7166,2957,1405,206,208,221,279,96,32,266,12839,6648,669,262,24,27,22,43,22,13,124,7854,1858,483,175,18
SOSR311,782,243,296,336,478,195,68,59,3001,0,0,0,0,0,0,7,0,0,11,17,690,843,1160,334,389,420,607,256,80,105,4891,954,511,360,51,41,39,52,35,7,57,2123,270,1009,813,167,143,156,254,101,48,19,2976,15,92,74,12,36,37,43,23,6,16,350,0,0,0,0,0,0,0,0,0,4,10,285,1097,896,181,184,194,296,121,53,32,3340,0,0,0,0,0,0,0,0,0,5,8,1236,1614,1257,237,220,230,346,157,62,95,5469,2018,554,247,36,32,24,37,16,3,84,3042,432,759,352,45,53,48,48,21,11,27,1791,29,126,48,12,7,9,14,11,5,11,267,0,3,0,0,0,0,0,0,0,0,5,466,883,401,52,63,53,66,30,12,37,2071,0,0,0,0,0,0,0,0,0,3,9,2487,1437,648,90,92,85,99,48,23,123,5122,3277,398,149,23,10,20,25,22,8,96,4028,602,275,93,14
SOSR312,203,56,56,49,77,20,14,10,627,0,0,0,0,0,0,0,0,0,0,0,286,254,372,91,88,73,110,29,11,32,1348,467,215,179,30,29,16,20,4,3,47,1011,105,277,294,39,50,42,48,11,4,5,892,3,16,11,3,10,3,3,6,0,0,60,0,0,0,0,0,0,0,0,0,0,7,110,296,312,45,53,49,48,21,4,8,951,0,0,0,0,0,0,0,0,0,5,5,572,512,492,69,84,70,79,22,9,56,1964,1066,262,144,16,19,17,13,11,0,48,1584,195,237,163,18,12,8,11,11,4,8,661,20,12,8,5,0,0,0,5,0,3,61,0,0,0,0,0,0,0,0,0,0,3,211,253,172,25,18,10,10,11,4,13,722,0,0,0,0,0,0,0,0,0,0,4,1279,517,316,39,27,27,28,18,6,59,2312,1763,204,87,13,9,10,10,8,0,61,2171,234,60,31,3
SOSR313,434,123,143,181,321,123,58,42,1828,0,3,0,0,0,0,0,0,0,6,11,623,629,823,223,216,265,417,182,82,90,3545,827,426,329,28,27,39,43,26,19,30,1792,225,590,470,96,90,85,109,48,23,20,1757,15,28,27,3,4,3,10,9,0,8,101,0,0,3,0,0,0,0,0,0,0,6,237,618,494,105,95,88,116,52,24,34,1864,0,0,0,0,0,0,0,0,0,0,4,1067,1040,828,132,121,122,163,77,40,63,3657,1465,341,189,21,23,17,17,9,8,57,2147,284,392,208,20,15,27,31,8,0,10,1002,11,24,18,8,4,3,9,4,0,3,75,0,0,0,0,0,0,0,0,0,0,4,295,423,231,29,18,29,34,9,0,9,1084,0,0,0,0,0,0,0,0,0,0,4,1756,762,419,47,44,52,52,21,7,65,3231,2040,267,123,8,19,9,10,6,5,43,2524,344,154,65,4
SOSR314,544,179,238,426,716,226,115,90,2923,0,0,0,0,0,0,8,0,3,8,25,674,551,822,231,291,510,852,297,126,134,4472,932,447,311,28,34,40,27,5,5,54,1872,227,577,375,80,78,77,127,49,44,37,1666,17,42,46,3,15,25,40,3,20,8,216,5,0,0,0,0,0,3,0,4,0,14,244,620,424,83,95,106,167,49,65,40,1896,4,0,3,0,0,0,0,0,0,7,15,1183,1068,734,112,127,138,190,54,73,102,3787,1898,516,213,35,21,14,19,8,5,74,2800,337,330,200,25,21,26,29,9,9,11,1004,34,35,25,9,9,8,6,0,0,0,132,0,3,0,0,0,0,0,0,0,4,6,376,364,223,37,30,28,42,10,11,23,1141,6,0,0,0,0,0,0,0,0,4,3,2275,884,441,74,48,47,56,17,17,92,3948,2457,282,127,11,13,12,14,8,3,76,3004,409,115,65,4
SOSR315,440,157,161,308,585,229,60,79,2340,0,0,0,0,0,0,0,0,0,65,69,725,558,890,254,258,395,701,268,77,183,4299,1109,602,353,41,37,40,36,20,8,64,2304,236,494,416,90,83,82,121,47,17,45,1629,7,41,27,7,4,16,22,5,15,6,157,0,4,6,0,0,0,0,0,0,0,12,244,538,455,98,86,105,140,53,32,48,1797,3,0,4,0,0,0,0,0,0,59,63,1359,1136,805,140,121,143,178,73,40,167,4172,2632,597,270,24,15,28,20,18,4,115,3721,398,329,160,27,22,21,18,11,8,25,1020,22,35,18,8,5,3,13,0,0,10,116,0,0,0,0,0,0,0,0,0,0,10,426,361,177,34,32,29,28,20,9,35,1147,5,0,0,0,0,0,0,0,0,42,48,3062,962,447,59,45,51,51,31,14,187,4913,4286,440,154,24,13,20,16,18,9,170,5152,484,132,54,10
SOSR321,89,25,32,52,75,30,9,17,407,0,0,0,0,0,0,0,0,6,14,17,212,138,222,47,64,77,110,40,16,46,967,446,207,119,13,18,12,14,10,3,25,864,73,166,127,18,17,15,15,8,6,7,449,4,9,7,4,0,4,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,4,76,173,133,21,14,21,27,9,7,11,490,0,0,0,0,0,0,0,0,0,8,12,525,381,251,29,32,30,38,22,11,47,1367,1048,223,80,11,7,6,10,0,0,48,1444,160,111,57,12,9,3,0,0,0,8,367,0,0,4,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,165,115,61,15,9,7,5,0,0,5,388,0,0,0,0,0,0,0,0,0,4,9,1218,337,142,31,18,15,17,6,4,59,1843,1883,159,40,9,9,8,6,3,3,79,2201,216,52,19,0
SOSR322,35,22,8,21,30,15,6,5,161,0,0,0,0,0,0,0,0,0,0,0,73,58,79,30,20,38,51,25,6,7,375,150,77,37,4,0,8,0,0,0,15,288,21,48,45,8,5,6,10,0,0,9,158,0,4,6,0,3,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,19,51,47,12,14,10,8,0,0,13,175,0,0,0,0,0,0,0,0,0,5,5,171,128,84,18,16,13,15,0,0,29,464,341,72,28,5,3,0,0,4,4,15,479,62,23,20,3,3,3,7,0,0,11,131,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,61,25,21,3,3,3,7,0,3,12,139,0,0,0,0,0,0,0,0,0,0,0,403,102,48,11,7,7,11,4,4,22,616,739,59,14,3,4,5,5,0,4,24,863,103,19,5,0
SOSR331,344,112,107,177,421,161,101,100,1942,3,0,0,0,0,0,5,0,0,102,110,1024,685,831,200,194,274,563,212,119,293,4383,2048,1028,501,61,44,46,51,26,17,126,3955,461,593,438,85,57,54,96,60,37,58,1933,32,36,44,14,10,7,21,6,12,16,206,0,3,3,0,0,0,0,0,3,0,13,488,630,486,95,66,69,123,68,53,75,2146,0,0,0,0,0,0,0,0,0,102,105,2534,1659,991,159,111,116,174,92,70,304,6205,5360,1143,420,47,60,21,37,19,12,248,7355,761,461,195,31,33,24,29,11,4,38,1592,72,31,27,5,15,16,18,3,0,9,188,9,0,0,0,0,0,0,0,0,3,9,840,490,219,37,45,34,50,18,6,51,1793,8,0,0,0,0,0,0,0,0,51,64,6211,1636,641,81,106,60,84,38,18,352,9218,8613,645,231,26,27,23,29,9,6,396,10004,1167,152,60,4
