SOSR_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
SOSR201,16356,20272,11902,12779,15547,6693,4557,5032,1319,94448,24506,24339,21344,35769,27368,12954,8749,9942,2516,167488,33629,15990,116522,43182,34054,18897,22562,27298,5636,317778,1817,1220,2026,2857,3943,2452,1551,2414,241,18525,4359,3289,3369,5904,6854,3627,2402,3109,598,33515,2011,3944,1574,1496,1781,1046,940,1117,414,14322,3376,5063,3268,3864,4039,2519,2297,3131,5878,33437,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
SOSR203,1057,1627,780,1201,1076,388,225,320,84,6758,1776,2032,1460,3895,2217,893,495,726,150,13639,3777,1787,13996,7001,4283,2609,2784,3954,635,40829,185,109,227,348,415,379,178,425,23,2281,270,191,225,568,473,284,167,267,34,2465,101,218,75,105,91,36,39,83,27,787,194,329,274,428,252,232,191,312,361,2566,15082,39786,19259,18755,13802,6778,5119,7734,1824,128139
SOSR211,248,256,223,327,297,92,183,103,32,1757,478,516,409,1226,668,271,435,250,56,4308,922,521,3968,2107,1461,698,1394,1254,224,12546,45,13,72,105,118,97,108,125,4,688,62,43,59,176,147,78,113,101,21,804,32,44,30,37,29,17,40,26,9,257,57,77,94,131,92,64,109,127,130,876,3072,6561,5367,5484,3976,1723,2912,2378,601,32071
SOSR212,850,1120,482,857,777,247,124,222,60,4736,1407,1570,1040,2663,1557,601,285,528,129,9771,3168,1339,10510,4416,3271,1804,2013,2788,489,29790,133,73,131,235,293,260,100,275,12,1516,229,132,177,380,369,226,147,217,21,1899,60,133,60,76,71,32,35,66,17,547,208,275,168,281,208,177,137,315,266,2044,10891,24051,13704,11650,9083,4255,3160,5279,1293,83367
SOSR213,643,958,393,826,644,221,120,203,61,4072,1199,1347,833,2568,1369,484,250,464,121,8643,2830,1228,10356,4722,3096,1842,2345,3048,496,29965,134,68,160,249,293,223,123,281,8,1537,174,137,142,420,294,175,122,217,27,1711,53,92,59,87,64,25,27,56,8,473,162,235,181,295,202,156,154,304,259,1935,8425,18435,13040,11510,7830,3753,3431,5275,1192,72901
SOSR214,414,483,261,479,390,144,55,122,29,2382,610,602,454,1382,695,276,123,264,44,4453,1611,596,5514,2420,1493,953,1173,1792,284,15843,85,42,91,137,153,139,56,180,7,895,106,53,81,197,173,100,84,131,16,948,27,67,36,25,31,10,12,40,14,256,124,113,134,190,130,108,94,253,155,1289,4829,9276,7081,6081,4125,2135,1708,3238,698,39167
SOSR215,701,841,398,697,580,197,122,209,50,3795,1011,1042,680,2100,1140,410,192,436,98,7101,2949,1045,9928,3609,2413,1450,2326,2881,451,27049,133,70,150,231,268,212,120,227,17,1421,195,101,152,308,257,159,129,183,24,1504,63,81,37,43,62,21,25,46,10,390,185,177,241,275,181,192,178,305,214,1955,8743,15205,12382,9285,6591,3206,3288,4852,1080,64636
SOSR221,200,229,101,190,139,62,29,52,9,999,271,317,199,526,314,126,39,97,26,1921,893,288,2722,955,700,416,649,792,133,7538,30,17,35,63,71,50,17,74,4,357,48,32,35,72,62,38,28,48,11,378,14,20,14,11,11,8,3,3,10,92,58,70,66,85,53,62,57,113,53,610,2501,4291,3388,2438,1863,912,866,1314,292,17857
SOSR222,117,157,62,109,83,30,13,41,11,614,160,164,96,268,133,72,25,74,12,1000,504,161,1409,499,339,205,361,441,77,3987,23,13,27,36,37,24,11,48,0,230,23,19,28,59,30,19,25,24,4,225,7,16,6,11,4,0,0,4,0,61,37,32,31,46,23,30,35,38,31,291,1395,2249,1780,1314,915,476,502,802,170,9598
SOSR231,3222,1873,787,1290,1300,401,219,526,165,9787,3159,2078,1360,3043,2165,693,365,867,191,13915,11499,1864,18434,5418,4529,2262,4605,5590,946,55141,543,148,266,371,540,308,179,435,34,2819,841,217,349,507,608,273,249,404,60,3503,228,200,95,92,113,45,26,97,29,919,1266,481,465,480,482,380,327,673,512,5071,31773,30722,23365,14392,13381,5380,6323,9994,2443,137765
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
SOSR299,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
SOSR301,6721,8620,4247,5267,5907,2068,1424,1742,466,36458,14201,13925,9808,21520,17431,6896,3795,4995,1224,93795,22060,11984,71592,32837,28001,14163,16666,19965,3553,220817,1208,805,1573,2193,2771,2463,1388,2601,171,15171,2186,1805,1796,3336,4033,2180,1554,2087,260,19235,868,1699,652,756,889,485,422,598,179,6551,1580,2286,1459,2014,1935,1177,1186,1777,2760,16176,114217,272628,106875,97042,101978,44133,33063,44502,13137,827565
SOSR302,3260,3882,1681,2763,2544,1387,483,821,227,17046,5931,5715,4302,9836,6562,3672,1125,2181,538,39861,11137,4788,34064,14113,10788,7408,5720,9158,1672,98845,539,312,542,888,945,1080,320,911,73,5609,1117,782,793,1578,1740,1309,478,969,126,8892,385,619,306,358,362,240,121,273,63,2723,823,1022,783,1021,867,726,366,686,1158,7447,41510,83169,47450,41341,34239,21487,10395,18610,5336,303543
SOSR303,1033,1536,711,1267,913,337,230,294,70,6397,2338,2236,1708,4759,2836,955,486,738,222,16271,4771,2386,17302,9333,6111,3341,3739,4431,745,52170,274,158,381,677,564,649,271,654,30,3658,333,222,320,830,661,415,247,402,57,3496,112,231,115,182,117,64,49,106,13,984,270,387,317,530,321,287,208,400,478,3195,15720,40516,22925,22766,15687,7570,5901,8428,2086,141595
SOSR311,443,704,315,565,371,130,108,117,54,2797,940,1017,748,2210,1274,379,233,321,100,7221,2538,1254,11232,5276,3337,1855,2872,2720,556,31646,131,83,248,330,364,429,183,465,15,2245,161,111,182,461,308,227,191,259,19,1921,50,102,65,80,43,26,36,64,13,484,144,172,186,308,142,153,171,314,253,1841,6680,17618,13806,11076,7333,3625,4073,4829,1166,70208
SOSR312,188,270,136,187,153,54,37,58,21,1104,366,389,334,795,483,174,108,156,40,2865,932,459,4223,1893,1203,719,1163,1263,235,12080,43,39,78,148,140,176,89,183,6,916,52,46,67,157,126,84,61,124,9,733,16,47,24,28,16,18,10,26,0,194,50,55,76,92,74,81,69,130,89,716,2420,5467,5252,3979,2710,1509,1652,2123,484,25597
SOSR313,339,447,194,349,241,113,87,102,21,1908,740,670,493,1477,866,301,224,254,61,5078,1878,804,7624,2871,2257,1328,2430,1873,352,21420,140,64,156,226,238,294,143,296,16,1584,139,76,144,240,212,153,129,181,14,1285,39,75,40,42,35,24,32,40,9,339,117,115,129,203,118,95,137,233,167,1307,5085,10771,9317,6670,4992,2612,3372,3435,736,46982
SOSR314,340,482,256,403,303,97,72,121,23,2090,811,739,531,1371,925,286,232,410,98,5392,1939,923,7676,2782,2312,1176,2350,2115,422,21686,110,51,171,195,225,243,149,309,16,1459,159,75,143,260,245,146,139,219,18,1394,42,55,58,40,30,14,37,79,6,357,119,107,130,197,131,120,148,336,209,1506,5256,9886,9510,6370,5087,2384,3303,4427,920,47143
SOSR315,525,632,310,584,412,159,96,141,38,2899,1123,945,724,2132,1337,448,282,473,91,7555,2645,1245,11179,4404,3175,1679,3411,3230,552,31521,130,84,253,321,332,362,222,463,35,2201,227,119,197,354,314,208,232,316,33,1986,43,71,67,67,63,39,47,85,18,501,191,191,224,301,215,185,275,446,294,2310,7109,13345,13629,9955,7165,3491,4779,5969,1222,66646
SOSR321,214,300,109,240,178,53,39,73,18,1229,397,367,254,743,479,153,113,175,41,2716,1134,428,3927,1656,1198,640,1178,1186,192,11541,60,37,92,118,118,124,68,140,11,764,66,55,65,150,115,76,68,111,7,703,19,29,20,22,24,8,20,19,5,166,83,77,86,129,87,78,117,166,144,972,2914,5185,4808,3690,2704,1284,1665,2053,485,24786
SOSR322,99,122,44,102,67,26,15,29,3,498,167,138,95,280,174,49,34,63,20,1012,515,255,1582,662,440,221,564,556,100,4888,28,21,39,62,51,54,38,81,9,391,31,27,24,69,50,29,24,56,8,312,11,8,11,7,12,3,14,14,3,76,45,51,39,66,51,30,61,78,78,502,1276,1976,1918,1477,1017,454,762,972,251,10114
SOSR331,1946,1591,643,984,1049,287,235,367,107,7214,2891,1774,1282,2775,2475,679,482,854,192,13412,9253,2138,19657,6279,5363,2550,5799,6243,1137,58416,487,156,387,397,601,450,292,713,55,3533,928,247,347,609,627,331,404,526,70,4090,225,184,89,120,106,54,63,119,23,983,853,343,389,476,392,332,454,815,555,4618,24238,26457,24068,14118,13857,5515,8144,10926,2542,129867
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,12,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
SOSR399,16,16,3,12,11,5,6,10,3,96,20,37,16,44,33,26,11,41,4,242,53,34,208,112,56,46,102,146,19,777,9,4,4,11,13,17,3,21,0,65,0,3,7,8,0,0,8,15,0,51,0,0,0,0,0,0,3,4,0,19,3,7,8,8,3,9,3,23,14,90,210,448,278,310,181,120,161,430,60,2209
SOSR401,3691,5601,2270,4215,3514,1170,668,1003,248,22378,6157,6534,4684,9909,6499,2384,1615,2120,585,40485,11539,6484,37945,19300,15000,7433,7184,9471,1952,116310,674,498,950,1253,1531,1147,600,1273,98,8023,1204,868,954,2005,2115,1072,538,891,164,9805,393,872,380,531,452,220,184,341,79,3454,795,1144,748,1196,979,644,577,935,1095,8117,53745,134394,57055,58444,50426,21428,15320,23361,6455,420626
SOSR412,255,343,113,334,194,68,41,71,18,1438,495,510,289,823,484,190,87,124,31,3042,1183,606,4205,2180,1470,861,1163,981,191,12852,74,38,99,145,160,125,96,167,10,917,89,70,70,193,144,86,73,79,5,816,24,37,26,25,34,11,10,29,4,197,58,44,80,105,58,72,50,98,79,644,3386,6974,5230,4653,3173,1639,1631,1780,402,28862
SOSR413,230,332,75,259,165,65,22,41,16,1205,316,378,175,667,305,144,52,106,24,2168,939,469,2846,1825,941,597,649,914,138,9317,65,33,58,149,104,115,51,138,8,726,69,60,52,178,133,56,45,83,14,693,28,52,15,25,14,11,12,28,3,186,58,67,61,111,50,56,58,129,54,654,3003,6679,3561,3953,2274,1266,947,1678,327,23678
SOSR414,81,110,43,104,70,26,8,37,3,489,127,142,69,231,142,65,32,49,5,863,393,177,1206,543,432,250,271,435,50,3750,29,12,29,31,43,36,22,55,0,257,33,20,30,65,41,36,19,40,0,289,14,9,12,6,11,3,4,10,0,69,29,23,15,40,21,21,10,52,32,245,1017,1827,1486,1275,966,506,402,785,116,8388
SOSR415,305,398,161,367,250,81,36,93,15,1704,554,444,305,955,477,170,107,182,36,3235,1565,620,4652,2139,1430,841,1013,1519,238,14019,106,44,110,143,154,134,66,218,18,988,127,62,84,190,188,95,78,148,16,994,31,45,24,29,21,19,12,31,9,219,101,63,88,135,91,92,101,180,107,958,4102,6823,5778,4712,3250,1680,1501,2695,526,31061
SOSR421,93,116,46,106,68,20,16,18,6,491,132,114,66,239,125,51,29,50,17,836,517,163,1315,534,364,223,342,427,60,3943,31,9,25,41,61,35,23,53,6,274,40,17,28,49,54,18,16,45,6,277,18,11,0,4,6,0,3,12,0,60,42,27,29,46,33,18,28,68,35,319,1218,1751,1611,1215,894,444,477,769,152,8530
SOSR422,43,60,14,54,24,9,7,16,3,223,69,51,34,120,59,20,6,27,3,393,250,83,673,318,203,96,169,285,42,2118,23,8,21,25,25,21,13,39,0,167,22,3,14,38,25,12,15,24,4,150,9,3,0,0,4,0,4,9,0,29,23,21,25,34,19,12,29,50,19,248,609,813,824,694,434,207,245,492,82,4396
SOSR431,894,686,184,431,390,111,42,154,32,2917,1128,562,327,836,603,198,93,236,62,4043,3898,684,5490,2093,1715,867,1341,2108,321,18525,315,46,127,131,213,112,96,226,15,1280,504,77,122,199,213,96,78,166,25,1486,84,64,38,32,47,13,29,44,13,366,419,133,132,146,137,122,127,234,156,1616,10388,9340,6863,4771,4322,1821,1928,3672,763,43869
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,6,3,7,5,3,4,0,0,0,21,0,12,5,8,4,8,0,5,0,47,13,10,55,22,17,13,19,25,9,176,0,0,0,0,4,9,0,3,0,11,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,7,5,24,47,114,76,58,42,28,33,71,15,489
SOSR501,6814,10318,5806,6065,6409,2351,1860,2013,494,42118,10398,10807,10538,15698,11508,4901,3599,3992,859,72296,18147,10683,76831,30215,21197,10851,16610,15822,3132,203493,1105,719,1841,2803,2866,2639,1460,2756,174,16357,1836,1385,1882,3431,3823,1740,1278,1623,220,17222,1037,1963,1035,1033,1117,520,536,711,148,8104,1482,2284,1874,2348,2067,1229,1235,1701,2309,16524,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
SOSR511,189,290,162,191,138,58,64,51,11,1145,285,336,346,510,329,128,96,132,28,2191,707,487,4141,1553,1094,609,1117,953,166,10826,60,28,125,138,149,159,103,166,7,928,53,45,77,154,152,80,65,82,11,712,15,47,26,20,31,12,23,33,3,215,56,64,63,69,55,51,75,88,81,592,2168,5366,5245,3143,2432,1259,1670,1760,349,23383
SOSR512,315,508,196,318,253,103,95,107,28,1914,511,521,427,889,549,207,150,221,39,3513,1312,684,6312,2219,1497,868,1608,1346,217,16054,92,63,172,248,254,291,158,273,14,1558,111,67,95,224,188,95,113,137,8,1046,40,65,42,43,42,24,23,35,8,323,75,99,103,150,98,94,110,148,103,977,3788,8437,7785,4971,3553,1926,2446,2576,490,35974
SOSR513,205,260,168,168,151,61,54,57,13,1131,395,349,336,507,384,122,111,133,39,2368,877,484,4260,960,929,337,1032,759,223,9862,52,39,111,114,182,98,85,116,15,811,65,62,63,103,106,65,61,58,10,586,24,36,36,19,27,16,21,31,4,215,65,68,92,77,81,41,79,113,118,737,2717,4916,5481,2521,2488,929,1544,1507,486,22591
SOSR514,74,111,47,83,62,36,14,37,6,477,129,95,128,173,99,54,41,81,6,803,290,125,1451,472,259,171,326,357,60,3507,17,9,37,44,50,42,16,64,3,289,28,15,25,55,52,42,27,28,0,281,13,12,14,8,15,7,4,11,5,85,22,15,28,41,15,26,24,33,25,233,974,1760,1900,1105,727,485,499,738,121,8303
SOSR515,209,279,158,226,165,75,69,102,5,1300,319,314,283,604,349,137,148,155,27,2336,959,486,4702,1473,1070,491,1411,1063,214,11869,69,50,130,176,166,131,117,194,15,1049,68,44,80,119,122,69,87,111,7,697,30,30,30,22,26,16,15,45,8,229,78,90,97,128,76,88,114,170,121,956,2713,5030,5854,3383,2459,1156,2106,2228,473,25407
SOSR521,88,110,45,87,58,30,36,23,5,493,137,112,93,195,115,39,47,45,16,786,381,154,1478,492,368,174,514,385,91,4031,24,22,33,63,56,39,36,72,5,353,33,20,21,46,55,24,30,45,6,277,21,11,5,6,4,5,3,10,4,74,41,34,55,54,37,33,59,66,42,426,1140,1696,1824,1195,858,400,769,775,192,8852
SOSR522,37,52,31,36,26,14,6,15,3,220,66,55,38,101,64,22,24,38,3,414,235,82,677,270,162,65,238,215,37,1981,17,12,19,32,24,20,13,31,5,180,22,16,7,33,16,4,14,21,4,134,6,4,5,0,9,0,7,11,0,44,25,13,24,27,15,10,28,27,24,198,652,870,851,600,412,168,357,394,91,4387
SOSR531,1024,675,371,394,464,166,170,180,47,3493,1087,560,543,722,676,197,248,321,47,4397,3527,815,7720,1918,1650,672,2312,1971,361,20957,242,65,193,203,269,162,194,321,19,1659,400,95,145,200,273,113,139,209,24,1610,137,95,60,49,55,28,44,71,6,539,451,126,188,210,167,112,205,285,190,1941,10616,9541,9822,4533,4755,1771,3597,4040,840,49508
SOSR579,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
SOSR599,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
SOSR603,501,649,317,519,488,138,51,114,40,2812,929,918,686,1296,1037,352,132,276,95,5720,1921,1024,5752,3117,2322,988,784,1254,290,17447,97,66,141,287,255,221,70,198,22,1348,140,113,106,319,289,115,58,130,18,1287,54,116,47,104,53,48,21,57,18,514,128,202,133,228,141,119,80,172,160,1366,9094,22587,9164,10032,7899,3630,2002,4068,1089,69574
SOSR611,180,265,123,194,152,47,31,53,8,1042,359,361,230,623,404,135,69,128,26,2336,1018,407,2616,1551,1050,553,550,687,117,8547,42,21,75,136,124,115,50,145,9,728,56,49,60,130,126,76,37,60,8,600,19,59,18,38,38,16,10,27,4,224,37,72,50,92,67,49,47,96,74,588,3016,7475,3685,3979,2689,1380,1128,1769,355,25473
