SOSR_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,5,11,0,4,3,0,0,0,0,27,0,8,0,5,3,0,0,0,0,13,30,119,12,33,31,14,10,49,0,300,0,0,0,0,0,0,0,0,0,0,3,6,0,16,10,0,0,5,0,48,8,16,5,23,15,7,0,9,0,80,20,5,20,44,29,22,7,22,0,170,0,0,0,9,9,8,0,0,0,20,4,5,0,4,6,0,0,9,0,26,0,3,0,0,0,0,0,0,0,10,0,3,0,3,7,4,0,5,7,34,82,241,31,138,118,57,27,109,19,829,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,25,23,95,5,5,18,6,7,4,0,159,0,3,0,0,0,0,0,0,0,7,3,19,0,5,3,0,6,0,0,34,4,3,0,5,3,0,0,0,0,13,64,223,25,54,38,22,25,72,7,542,0,0,0,0,0,0,0,0,0,0
SOSR201,5487,22496,567,7132,4142,854,111,350,320,41456,1789,7065,133,525,1161,181,26,75,102,11064,44962,169311,10096,31988,49780,17808,2345,7927,4220,338428,96,126,63,372,211,117,15,61,30,1085,6443,10169,2539,8753,11674,3729,577,1896,601,46386,10357,12691,5349,27204,20632,7967,1276,3810,1250,90533,8164,6700,12489,31471,24037,9740,2649,6756,1431,103444,916,652,583,1923,3209,1607,316,1010,108,10330,1770,1521,887,4458,5573,2203,401,1412,305,18525,736,1990,319,979,1275,584,124,420,171,6604,1321,2741,694,2814,3055,1448,305,1242,2703,16313,104094,324195,36723,126409,140627,50668,9004,27477,13169,832364,691,2503,62,138,317,74,33,25,31,3873,4829,30938,521,467,1136,191,151,197,285,38726,44825,128925,8313,11766,23676,8895,6055,6190,3689,242327,1721,5021,246,462,831,318,225,208,158,9186,10150,34353,1410,8169,5702,1409,498,750,519,62962,3282,9432,381,873,1625,346,129,166,169,16398,106198,308523,31306,46885,74914,32321,14635,19615,8683,643071,200,200,267,470,256,168,130,131,60,1880
SOSR203,322,2103,42,688,290,49,8,21,22,3558,152,799,9,76,102,16,3,0,5,1156,2053,13032,528,2380,2543,852,106,453,173,22117,8,9,4,58,17,6,0,3,3,115,458,895,181,829,847,213,34,113,46,3625,771,1161,395,2935,1752,552,82,304,92,8047,1010,861,1766,5171,3261,1489,279,1165,153,15149,96,68,77,248,354,261,35,201,10,1349,119,77,83,422,418,186,37,108,17,1469,44,110,17,65,78,21,6,33,12,382,81,214,61,325,208,146,33,132,175,1373,5922,24154,3324,13643,10367,3964,666,2666,755,65465,28,222,4,8,14,0,0,3,0,281,183,1716,42,22,76,15,5,16,13,2090,1642,6012,371,600,703,330,352,412,116,10545,68,362,15,30,27,16,12,9,6,544,599,3071,118,834,387,78,28,50,35,5196,282,1035,25,120,138,22,4,5,8,1636,4894,21060,1651,3525,3621,1497,641,1138,329,38355,16,15,10,67,16,7,9,9,5,162
SOSR211,54,280,7,268,48,8,6,3,4,674,31,122,0,6,11,0,0,0,0,181,351,2192,120,550,561,161,56,122,46,4159,0,3,0,17,0,0,0,0,0,31,103,143,47,221,221,44,20,37,9,846,223,307,89,990,503,176,54,101,22,2458,260,240,411,1614,1106,406,178,337,61,4613,26,11,22,68,100,73,17,42,3,364,21,25,19,132,113,57,20,41,13,443,16,23,9,21,24,11,8,13,3,123,30,45,21,101,61,43,15,56,57,430,1232,4068,775,4129,2886,1047,387,791,237,15557,3,13,0,0,6,0,0,0,0,22,14,143,6,4,3,0,4,3,0,186,251,1003,85,236,223,99,133,76,34,2136,20,55,3,9,6,6,4,0,0,100,94,384,16,287,62,14,16,10,4,889,44,152,6,18,20,0,0,3,0,243,808,3320,394,803,840,286,359,294,85,7199,0,3,0,17,6,4,9,5,0,54
SOSR212,209,1373,22,445,155,33,6,30,13,2294,90,487,9,48,49,8,0,5,6,706,1395,8065,299,1252,1352,394,51,338,122,13275,10,11,0,28,9,3,0,3,0,73,370,634,130,597,608,152,25,97,35,2645,599,950,302,2006,1303,412,57,253,75,5950,735,633,1201,3319,2516,992,172,710,134,10409,68,48,45,163,255,180,15,115,3,897,83,71,57,286,325,143,20,99,13,1098,18,76,12,49,59,10,3,26,3,256,81,175,60,207,170,118,16,132,136,1098,4198,15189,2215,8602,7033,2511,363,1842,550,42493,15,119,6,10,6,0,0,0,0,152,101,725,25,13,33,0,0,3,5,907,1030,3359,147,238,297,111,52,80,42,5355,38,204,8,19,14,6,0,9,3,293,375,1894,69,504,199,47,24,45,21,3185,159,614,20,78,67,17,3,7,9,977,3104,12483,856,1856,1905,714,248,710,209,22075,13,15,9,39,9,5,4,8,5,108
SOSR213,162,1048,17,441,112,24,3,11,9,1832,69,384,3,28,36,7,3,10,4,545,908,6168,271,1043,1048,300,33,272,87,10126,5,17,4,26,7,9,0,6,4,75,275,527,87,606,515,120,9,72,31,2244,553,817,242,1987,1121,329,55,223,67,5398,697,594,1203,3703,2449,1060,175,861,111,10848,56,33,50,193,248,162,27,128,4,914,60,71,48,309,249,118,18,82,18,977,16,51,12,50,56,19,4,25,3,232,69,143,40,229,167,106,13,133,118,1013,3190,11853,2023,8784,6194,2286,356,1863,479,37031,12,90,6,11,8,0,0,0,0,118,66,549,9,9,31,0,3,8,4,673,635,2400,103,209,226,68,46,77,32,3810,37,145,9,16,8,3,0,0,4,222,304,1437,49,504,136,36,10,22,17,2513,122,470,17,58,56,7,8,11,10,747,2046,9251,729,1511,1396,488,218,580,143,16364,8,19,13,33,13,8,3,13,5,109
SOSR214,119,555,14,234,86,26,4,12,4,1048,29,187,0,13,37,0,0,5,4,275,580,3204,152,559,586,193,21,181,49,5515,5,3,0,18,5,4,0,0,0,37,198,285,58,360,318,81,7,52,15,1364,277,381,124,1103,585,194,19,132,29,2837,373,294,706,1832,1167,555,73,491,57,5533,51,26,46,111,136,106,9,93,0,576,40,31,25,156,155,71,7,63,12,548,9,40,11,15,27,6,5,16,4,139,56,69,22,147,113,60,8,120,72,677,1950,6021,1181,4633,3300,1325,151,1182,263,20003,7,35,0,3,3,0,0,0,0,59,30,221,5,11,14,0,0,0,6,298,401,1229,65,128,126,39,14,54,32,2090,13,66,3,5,4,0,0,3,0,101,183,768,34,273,110,37,10,21,13,1437,63,235,4,22,44,7,0,9,5,389,1159,4760,386,797,755,309,86,355,89,8688,5,3,3,17,6,5,0,3,0,47
SOSR215,215,916,20,397,137,30,6,23,17,1761,59,305,3,25,31,3,0,4,0,435,1012,5095,246,884,985,267,31,210,82,8807,6,11,0,28,8,3,0,4,0,62,332,504,94,524,455,129,17,93,28,2180,483,666,234,1695,970,276,36,235,64,4654,640,493,1119,2819,1891,864,174,773,96,8856,70,46,56,174,241,143,19,106,11,873,91,51,52,246,224,98,14,90,9,876,33,47,11,28,53,14,0,24,9,215,70,121,47,218,159,131,17,137,106,1005,3420,9953,1923,7152,5316,2004,322,1725,451,32263,17,65,0,6,9,4,0,0,0,101,102,446,9,13,14,7,3,3,10,597,734,2030,89,178,183,66,21,49,37,3385,23,115,6,11,19,0,0,5,0,183,341,1299,60,447,166,40,15,35,28,2434,103,366,15,48,44,8,0,4,0,599,2180,7525,608,1301,1238,439,153,456,140,14029,15,10,14,28,11,8,0,11,0,100
SOSR221,52,255,6,100,40,7,0,0,4,468,20,79,0,11,12,0,0,0,0,116,283,1480,80,240,304,83,14,57,23,2560,0,5,5,5,9,0,0,0,0,21,87,134,34,140,115,37,0,17,9,575,116,203,55,412,264,81,3,56,24,1208,177,132,259,754,564,248,42,197,29,2392,20,12,13,51,68,37,0,40,0,238,17,18,5,61,56,29,0,22,9,216,7,11,0,10,13,3,0,0,4,48,24,43,16,60,39,39,6,46,28,304,916,2819,474,1866,1524,580,72,445,123,8820,0,20,0,0,0,0,0,0,0,25,29,153,4,7,5,0,0,0,0,205,189,532,11,36,50,11,0,8,10,859,11,24,0,5,5,4,0,0,0,44,107,358,16,123,46,8,0,9,5,668,26,94,3,13,18,3,0,0,0,147,620,2135,181,340,382,122,43,122,37,3981,0,3,7,5,9,0,3,3,0,32
SOSR222,31,132,6,48,26,6,0,3,0,248,9,41,0,4,7,0,0,0,0,69,173,740,31,149,165,43,8,50,10,1369,0,0,0,8,0,0,0,0,0,10,51,106,20,75,70,14,4,21,7,359,75,117,31,214,108,55,5,34,11,649,103,69,162,367,264,122,26,123,15,1248,20,8,11,26,38,19,0,30,0,156,9,12,4,39,26,11,9,16,0,125,0,11,0,5,4,0,0,3,0,30,14,11,3,30,15,20,3,20,18,136,545,1481,272,982,749,298,47,305,62,4749,3,6,0,0,0,0,0,0,0,14,15,54,0,0,11,0,0,0,0,86,100,273,8,24,14,12,0,13,7,449,9,22,0,3,0,0,0,0,0,29,54,196,11,54,27,5,0,6,0,354,16,55,0,3,7,0,0,0,0,86,333,1088,102,206,196,73,28,106,25,2155,3,0,0,4,0,0,5,0,0,19
SOSR231,595,1903,54,546,315,45,12,51,23,3546,148,602,12,60,73,12,0,16,14,931,3510,10680,551,1597,2211,540,73,607,208,19966,11,25,9,35,14,13,0,5,12,124,1387,1187,237,979,1104,246,42,244,93,5526,1363,1338,489,2435,1881,469,79,462,117,8631,1984,841,1979,4161,3669,1223,302,1407,202,15766,280,89,109,290,498,240,40,222,16,1787,340,124,118,385,555,193,25,185,24,1951,88,134,26,70,92,27,6,39,13,488,504,332,119,374,418,267,40,290,233,2587,11321,20576,3768,11135,11146,3316,623,3583,1011,66474,39,151,0,8,7,0,0,0,0,213,311,1030,43,30,60,8,7,11,18,1508,1785,3638,131,225,378,72,31,99,74,6430,95,253,12,21,25,10,0,0,7,418,961,2507,108,633,374,70,23,98,35,4800,251,728,36,81,89,16,3,31,14,1246,7534,15522,1271,2155,2699,826,280,1153,358,31807,33,32,21,39,18,16,3,15,12,183
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR299,5,13,0,7,0,5,0,3,0,25,0,10,0,0,0,0,0,0,0,11,29,66,5,35,19,10,9,25,5,204,0,0,0,0,0,0,0,0,0,0,5,4,0,4,4,0,0,0,0,20,6,3,8,15,6,0,4,6,0,52,8,15,21,35,16,7,6,11,3,120,0,0,0,0,7,0,0,5,0,10,0,0,0,0,0,0,0,5,0,7,0,0,0,0,3,0,0,0,0,4,0,4,0,0,4,3,0,4,0,19,57,166,37,104,70,27,15,60,8,546,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,27,17,71,7,8,11,0,3,4,6,119,0,0,0,0,0,0,0,0,0,3,5,12,0,5,0,4,0,3,5,34,0,7,0,0,0,0,0,0,0,14,55,137,21,51,30,20,20,50,3,385,0,0,0,0,0,0,0,0,0,4
SOSR301,2080,9645,229,2799,1777,284,30,163,116,17135,1137,4446,70,325,729,84,12,46,55,6897,17763,85252,4026,14274,20703,6189,746,3891,1525,154366,51,70,29,230,108,38,6,30,13,587,2682,4560,845,3658,4450,1179,177,726,223,18497,6429,7225,2445,16185,13551,4263,668,2110,684,53561,6257,5364,8046,24068,20458,7771,1746,5379,987,80074,613,446,399,1495,2254,1656,246,949,91,8152,969,910,450,2557,3372,1389,208,850,140,10853,307,782,164,494,649,290,56,241,85,3077,640,1220,315,1464,1476,727,151,744,1288,8020,46410,152590,17952,70539,74344,25226,4217,15924,5783,412981,233,962,26,49,109,28,11,13,10,1431,1911,14215,259,227,413,100,70,97,127,17410,15992,45326,2389,3950,6875,2570,1383,1641,1032,81156,533,1708,55,161,272,67,49,55,45,2940,3895,14882,589,3269,2389,468,179,305,214,26186,2127,6174,247,541,1094,173,50,107,87,10591,40609,148127,12087,20645,29743,11218,4867,8457,2989,278737,97,113,96,287,126,66,35,68,30,919
SOSR302,506,2879,77,1085,474,146,21,76,41,5306,247,1355,19,88,176,27,0,17,22,1955,5656,27254,1319,5511,6008,2513,264,1409,541,50482,21,23,16,104,51,32,3,19,8,283,1336,2127,380,1986,2111,854,92,393,123,9407,2763,3215,1135,7671,5453,2396,226,985,313,24154,2900,2117,3895,10466,8346,3971,574,2333,426,35021,332,178,131,612,844,753,63,335,39,3278,533,375,225,1172,1533,856,82,376,72,5221,149,324,80,250,286,154,19,125,29,1417,340,586,182,724,737,459,54,284,576,3952,16694,49776,7663,30530,27144,12613,1436,6562,2357,154779,83,394,10,13,31,13,5,0,10,561,366,3311,43,60,84,29,11,26,38,3964,3967,11861,600,1209,1493,825,296,484,280,21026,144,581,29,46,53,35,13,25,16,927,928,4331,176,1254,604,233,72,140,68,7808,467,1731,60,155,227,61,11,34,33,2781,12323,43809,4033,7927,7881,4419,1358,2879,1019,85647,48,42,43,119,57,49,9,29,14,405
SOSR303,266,1574,31,598,219,44,3,29,22,2788,120,817,12,61,99,15,0,3,9,1135,2009,14921,585,2456,2436,736,86,508,175,23906,8,16,8,52,14,11,3,5,0,128,437,824,135,853,698,228,37,141,38,3404,1088,1228,445,3507,2302,642,77,369,117,9781,1444,1090,1893,6354,4814,1896,335,1353,217,19404,139,83,111,437,469,431,38,260,12,1980,144,107,81,599,566,286,22,165,26,2007,36,125,22,118,88,54,3,41,5,498,111,237,68,342,271,199,16,173,232,1651,6549,25366,3525,15805,12357,4666,638,3130,908,72946,21,145,6,5,3,3,0,0,0,195,217,1960,43,40,42,17,11,16,3,2350,1401,5169,272,577,494,211,121,203,94,8526,43,248,9,28,24,11,3,8,5,378,450,2271,81,705,294,60,23,55,31,3975,234,1037,46,86,126,18,4,12,19,1572,4201,22496,1623,3680,3168,1186,497,1088,308,38261,13,25,9,70,19,10,6,14,5,173
SOSR311,86,673,14,249,79,12,4,7,11,1132,64,331,4,29,42,0,0,0,0,471,727,6968,211,951,934,218,35,284,70,10390,3,8,5,23,7,0,0,4,0,45,213,420,57,415,306,86,26,57,23,1599,454,623,174,1738,1074,260,55,180,52,4601,738,566,1140,4011,2701,1095,266,853,160,11526,79,53,75,230,333,293,26,174,3,1268,73,58,45,356,282,152,25,109,13,1121,23,55,11,62,40,21,7,27,4,247,60,117,45,232,119,97,24,141,122,959,2733,11296,1807,8372,6013,2276,470,1860,466,35299,8,71,0,0,3,0,0,0,0,87,36,558,7,4,5,0,0,0,8,625,438,1887,80,138,141,52,42,46,28,2852,7,117,3,10,11,0,0,4,0,154,157,964,37,287,104,18,13,10,7,1597,109,424,19,42,57,3,5,4,0,667,1514,10140,680,1340,1162,346,215,492,112,16000,5,7,14,28,8,0,5,4,0,66
SOSR312,39,225,3,82,26,13,0,5,5,395,11,89,0,5,14,3,0,0,0,135,232,1988,70,353,293,101,16,99,40,3195,3,0,0,12,3,0,0,0,0,14,80,151,22,146,126,33,20,25,6,608,156,213,72,633,394,125,28,69,23,1721,282,223,485,1495,925,439,145,353,39,4401,29,16,28,113,121,123,17,60,4,524,29,30,15,109,111,61,5,56,6,426,6,26,3,18,16,13,6,14,0,88,24,35,16,72,61,51,4,57,37,363,964,3444,741,3079,2128,971,250,746,168,12492,5,15,0,3,6,0,0,0,0,24,12,115,4,4,3,0,4,5,0,151,157,586,36,57,58,31,9,6,6,947,3,23,0,5,0,0,0,0,0,33,67,332,16,100,35,13,8,9,5,576,38,111,9,8,19,3,0,0,3,198,486,2977,246,475,388,159,84,166,59,5042,0,0,4,11,7,0,0,5,0,31
SOSR313,82,453,23,181,52,12,3,13,5,822,25,201,0,18,25,0,3,4,0,283,553,4239,137,608,636,155,35,227,42,6627,4,0,3,24,10,0,0,4,0,50,136,262,39,247,202,82,16,43,12,1043,339,415,121,1119,753,205,49,133,35,3175,555,364,782,2267,1859,830,289,569,80,7589,86,34,44,161,208,224,37,107,6,897,59,46,48,193,185,89,24,73,3,724,13,31,5,30,26,15,0,11,5,140,47,72,17,153,93,71,21,106,89,674,2065,7058,1250,5079,4139,1706,475,1316,285,23375,3,44,0,0,0,0,0,0,0,54,37,238,0,4,9,0,0,4,0,290,322,1189,42,110,107,42,13,31,13,1876,13,60,5,3,7,0,0,0,0,94,147,622,37,219,65,12,4,20,13,1146,66,265,14,24,37,6,4,4,0,426,1087,6107,418,858,783,229,152,384,77,10113,3,0,14,30,10,3,3,5,0,65
SOSR314,77,412,7,191,52,9,3,17,3,784,32,161,3,13,30,3,0,6,0,240,551,3755,159,560,572,153,36,417,44,6249,7,11,0,21,9,0,4,4,0,55,145,295,45,304,254,59,18,55,10,1183,381,437,143,1071,808,188,64,198,48,3336,515,446,795,2246,1894,701,269,588,104,7567,63,34,59,152,194,185,36,123,8,842,74,42,45,206,218,103,16,97,8,819,24,34,10,30,27,9,4,40,0,176,49,73,25,163,110,88,13,153,104,774,2102,6528,1326,5016,4225,1535,463,1752,351,23295,7,31,0,0,7,0,0,0,0,46,35,196,4,0,8,4,4,0,0,253,342,1054,54,73,89,30,19,102,24,1791,10,47,4,5,3,4,0,3,0,83,132,577,25,208,64,17,14,25,3,1056,59,202,8,22,37,3,0,3,0,344,1142,5356,446,784,703,246,137,703,87,9611,9,6,6,21,13,0,7,6,4,70
SOSR315,103,580,11,264,87,25,9,18,7,1100,44,253,5,30,18,3,0,3,6,372,804,5089,185,901,848,227,55,383,66,8559,4,3,0,25,12,3,0,9,0,64,223,357,78,422,345,102,31,71,16,1652,580,562,212,1666,1142,335,89,277,53,4913,770,611,1233,3424,2573,1022,405,936,122,11096,72,47,74,256,299,271,63,181,15,1287,116,57,63,296,264,150,35,134,14,1124,16,37,9,46,53,24,3,38,9,239,86,119,50,226,174,130,44,200,133,1165,3028,8872,1948,7655,5914,2330,733,2273,451,33213,7,55,0,5,9,0,0,0,0,75,50,289,11,9,9,0,0,0,4,380,368,1350,52,121,123,40,18,48,17,2136,15,61,0,6,3,5,0,3,0,92,171,797,43,298,108,28,21,30,13,1509,93,311,21,55,26,5,4,4,11,526,1519,7180,530,1279,1039,324,165,699,116,12853,12,6,14,28,10,6,0,12,5,93
SOSR321,49,217,6,86,35,5,4,4,7,411,15,97,4,12,13,0,0,3,0,149,324,1903,97,311,298,82,21,103,27,3171,0,0,3,7,6,0,0,0,0,19,84,197,20,171,148,38,3,37,7,705,201,211,81,562,414,110,32,99,26,1736,327,184,393,1296,955,382,97,340,47,4014,33,24,28,84,99,87,16,64,8,437,28,30,18,119,101,58,9,53,6,420,4,12,3,17,18,5,0,7,0,79,37,47,16,104,77,57,12,74,76,500,1224,3390,679,2817,2214,830,187,780,210,12338,5,14,0,0,0,0,0,0,0,20,34,132,3,3,3,0,0,0,7,178,194,558,15,43,53,17,5,12,7,904,7,33,3,3,7,5,0,0,0,48,77,307,11,104,46,8,4,9,7,567,39,121,6,23,17,0,4,3,0,215,597,2718,205,454,373,124,52,151,45,4718,3,7,3,12,6,0,0,4,0,36
