SOSR_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
SOSR179,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,..,0,3,0,0,3,0,3,18,0,39,..,0,0,0,0,0,4,0,10,0,24,..,0,0,0,0,0,4,0,10,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,7,0,21,0,34,..,0,0,0,0,0,0,0,0,0,0,..,0,10,0,0,7,5,3,43,0,78,12,13,8,0,0,6,13,10,5,3,70,8,23,3,5,10,8,29,8,3,0,103,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,23,3,5,12,10,32,13,7,0,114,0,0,0,0,0,0,0,0,0,0,0,16,33,13,6,12,16,39,21,9,6,177,38,17,27,6,7,14,28,26,19,8,193,20,12,44,15,26,33,92,28,27,3,297,0,0,5,0,5,7,21,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,16,15
SOSR201,..,3340,9923,2448,2509,2364,2411,1184,690,1003,25868,..,4445,19379,6559,6848,6588,6444,2329,908,1574,55077,..,47,246,254,388,790,1449,864,761,468,5264,..,9,20,21,26,48,144,88,92,51,495,..,4495,19641,6828,7260,7430,8033,3280,1773,2096,60830,..,0,45,12,15,18,24,10,19,121,267,..,7836,29615,9286,9785,9806,10471,4475,2477,3219,86966,8623,13225,6143,1106,1287,1672,2209,1028,392,757,36451,7961,22163,22775,8016,9492,12558,16578,6541,707,1525,108323,189,192,575,469,720,1159,1410,502,191,186,5594,12,30,25,12,11,11,24,8,0,24,165,8160,22384,23375,8492,10223,13732,18019,7056,903,1736,114083,15,26,36,10,12,22,36,11,0,358,529,16796,35633,29561,9619,11524,15418,20262,8093,1301,2858,151064,21633,10479,15814,4395,4930,5489,5911,1925,712,1371,72670,25091,44260,62198,17972,20161,23406,23728,6483,1640,2789,227721,578,2463,5613,1859,2241,2662,2970,919,275,597,20178,31,52,77,20,23,41,40,15,0,56,362,25706,46773
SOSR203,..,168,543,114,93,121,126,65,32,51,1306,..,178,586,236,222,229,200,87,29,45,1808,..,3,13,13,23,33,46,31,15,21,194,..,0,0,0,0,6,4,6,4,0,16,..,179,600,243,239,261,252,124,47,66,2019,..,0,0,0,0,3,0,0,0,6,8,..,347,1142,359,338,382,380,194,80,124,3332,341,601,269,55,33,58,95,57,11,37,1564,138,771,797,255,271,380,582,300,20,69,3585,3,6,31,22,48,54,42,18,6,17,239,0,0,0,0,0,0,3,0,0,6,12,143,785,829,274,322,434,625,316,30,88,3836,0,4,0,0,0,0,0,0,0,13,17,482,1383,1104,328,357,491,721,377,35,136,5411,809,404,593,146,161,173,195,78,22,74,2650,348,1088,2193,719,799,996,1053,289,53,93,7613,15,114,179,54,64,54,76,22,7,15,598,0,0,4,0,4,0,4,0,0,6,18,361,1204
SOSR211,..,79,315,76,79,54,47,25,14,27,717,..,142,571,194,165,164,145,29,23,52,1495,..,0,4,5,17,25,38,18,13,11,136,..,0,6,0,0,0,0,3,0,0,12,..,141,579,195,189,195,193,47,43,71,1648,..,0,0,0,0,0,0,0,0,3,8,..,221,899,272,262,247,240,75,54,97,2368,147,310,166,26,23,19,19,12,4,17,742,156,607,517,139,111,165,210,63,12,28,2009,0,3,10,3,12,32,31,7,3,0,104,0,0,0,0,0,0,0,0,0,0,3,156,614,528,147,122,192,242,75,18,30,2116,0,4,0,0,0,0,0,0,0,3,12,303,929,700,170,145,216,255,80,22,52,2872,364,227,221,51,35,33,28,12,11,37,1026,456,1270,1428,363,323,334,311,69,41,50,4646,7,57,130,36,31,57,54,7,5,4,388,0,3,7,0,0,0,0,0,0,0,7,457,1328
SOSR212,..,127,375,87,69,82,102,46,24,41,958,..,91,383,141,120,198,267,57,38,39,1328,..,0,0,5,12,26,38,20,17,23,139,..,0,4,0,0,0,9,7,3,3,24,..,97,384,147,125,223,308,85,57,69,1488,..,0,0,0,0,0,0,0,0,4,9,..,218,760,237,195,311,409,135,79,113,2451,212,372,184,23,21,25,23,24,3,21,903,105,399,395,128,135,181,256,84,18,14,1719,5,7,14,9,38,38,54,18,3,13,186,0,0,0,0,0,0,0,0,0,0,4,111,409,412,140,168,222,308,107,24,24,1910,0,0,5,0,0,0,0,0,0,5,8,320,777,597,161,185,241,334,128,28,52,2829,482,253,372,78,87,94,93,39,24,52,1574,313,680,1145,409,407,489,517,152,29,62,4209,25,47,133,88,131,125,177,42,5,32,811,3,0,11,0,0,0,0,3,0,6,28,343,735
SOSR213,..,103,227,54,60,44,40,34,8,28,591,..,56,238,56,103,95,99,42,28,27,752,..,0,5,0,9,18,10,12,14,8,73,..,0,0,0,0,0,0,0,0,0,8,..,60,242,58,108,119,112,54,38,30,825,..,0,0,0,0,0,0,0,0,4,7,..,155,472,113,171,162,153,89,42,72,1429,156,308,167,25,18,23,26,6,3,21,761,54,240,207,53,68,103,112,59,12,18,915,0,0,13,4,9,16,9,13,4,0,64,0,5,0,0,0,0,0,0,0,0,5,56,243,217,56,78,116,124,68,12,18,987,0,0,0,0,0,0,0,0,0,14,20,215,554,380,82,99,130,151,72,20,57,1763,451,226,245,80,47,70,61,40,6,27,1266,175,450,790,246,273,292,334,117,44,40,2760,3,28,66,34,49,94,91,18,3,4,395,0,0,0,0,0,0,0,0,0,0,3,178,475
SOSR214,..,54,93,24,21,27,19,6,5,14,273,..,18,121,32,26,37,43,30,12,13,329,..,0,0,0,0,0,16,0,11,5,36,..,0,0,0,0,0,0,0,0,0,0,..,18,120,32,29,35,56,30,20,18,360,..,0,0,0,0,0,0,0,0,0,0,..,74,221,59,52,61,79,36,26,40,636,74,170,67,12,3,12,12,11,3,5,368,17,74,88,38,24,48,108,26,12,16,457,0,3,0,3,3,17,14,0,0,0,55,0,0,0,0,0,0,0,0,0,0,4,20,74,91,44,33,74,131,27,14,17,514,0,0,0,0,0,0,0,0,0,0,4,89,246,164,52,34,80,141,40,14,24,888,205,111,149,37,39,33,35,11,4,27,650,76,196,383,124,135,157,142,48,22,28,1306,3,6,30,14,34,35,67,14,0,8,206,0,0,0,0,0,0,0,0,0,0,10,81,205
SOSR215,..,86,187,31,37,42,25,28,5,19,454,..,25,96,28,34,33,40,13,6,17,302,..,0,0,0,6,0,8,8,8,5,31,..,0,0,0,0,0,0,0,0,0,5,..,28,99,28,47,33,50,18,19,22,339,..,0,0,3,0,0,0,0,0,0,0,..,116,285,63,80,79,69,43,22,38,798,139,247,92,13,12,19,18,3,0,13,568,23,106,81,28,38,49,51,14,10,7,409,0,0,0,5,16,7,17,3,5,3,59,0,0,0,0,0,0,0,0,0,4,6,20,107,81,30,51,59,72,17,15,16,470,0,0,0,0,0,0,0,0,0,4,0,164,349,175,49,65,81,94,22,18,34,1042,349,174,232,52,48,50,47,15,8,33,1011,87,229,390,130,125,166,193,50,10,37,1425,8,24,42,25,25,19,68,14,3,21,249,0,0,0,0,0,0,0,0,0,0,5,97,257
SOSR221,..,22,59,11,10,4,10,10,0,12,141,..,0,18,7,10,9,5,5,0,13,64,..,0,0,0,0,0,0,0,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,21,7,13,9,8,5,0,16,78,..,0,0,0,0,0,0,0,0,0,0,..,23,79,18,19,21,18,11,0,25,213,31,49,26,0,4,5,4,4,0,3,120,9,33,14,8,3,5,3,3,5,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,14,8,3,5,3,3,5,4,83,0,0,0,0,0,0,0,0,0,0,0,33,80,40,13,5,4,10,6,6,6,207,83,29,70,7,14,18,8,5,0,3,235,25,34,39,14,30,25,39,8,3,6,224,0,0,11,3,7,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,25,39
SOSR222,..,5,34,8,3,0,10,3,0,0,59,..,6,8,3,0,0,8,5,0,0,36,..,0,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,6,8,3,0,0,8,7,0,0,38,..,0,0,0,0,0,0,0,0,0,0,..,12,44,13,6,0,9,10,4,0,104,6,22,14,0,0,5,4,0,0,3,56,0,11,13,4,0,0,12,7,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,4,0,0,7,9,0,3,51,0,0,0,0,0,0,0,0,0,0,0,5,31,31,5,4,10,17,9,0,3,110,42,26,28,13,5,12,15,3,4,5,144,6,11,32,17,16,24,39,15,6,3,178,4,0,0,0,4,4,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,11,11
SOSR231,..,140,316,83,54,62,61,46,29,74,852,..,21,117,37,30,31,66,27,11,16,360,..,0,0,0,5,4,8,4,15,10,44,..,0,0,0,0,0,0,0,0,0,4,..,21,119,37,37,33,74,32,29,25,410,..,0,5,0,0,0,0,4,0,3,11,..,164,435,119,86,96,136,80,54,105,1270,219,433,155,26,20,20,35,19,21,53,998,55,156,129,32,51,40,90,35,16,3,606,3,0,6,6,11,14,21,0,0,3,65,0,0,0,0,0,0,0,0,0,0,4,63,161,128,38,63,54,106,34,22,8,677,0,0,0,0,0,0,0,0,0,47,47,280,591,284,61,83,75,143,57,39,106,1722,431,235,335,70,70,89,123,44,18,49,1456,140,205,352,136,120,164,263,68,50,43,1549,4,16,82,50,44,56,56,19,8,25,355,0,0,0,0,0,0,8,0,4,0,14,152,225
SOSR279,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,5,3,3,0,0,0,0,8,0,18,..,0,15,0,3,0,3,0,14,4,41,..,0,0,0,0,0,0,0,13,3,14,..,0,0,0,0,0,0,0,0,0,0,..,0,12,0,3,0,3,0,28,4,54,..,0,0,0,0,0,0,0,0,0,0,..,4,19,3,3,0,0,0,36,4,76,6,17,4,3,0,0,6,0,5,0,47,9,21,14,5,13,13,19,6,4,0,99,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,19,14,5,14,18,16,11,3,0,110,0,0,0,0,0,0,0,0,0,0,0,18,36,19,9,8,19,26,16,11,3,158,25,11,15,3,7,15,29,11,15,3,126,24,18,33,3,14,31,35,23,14,10,215,0,0,3,3,6,3,8,6,0,5,32,0,0,0,0,0,0,0,0,0,0,3,24,21
SOSR301,..,2691,7075,1591,1423,1590,1665,913,499,809,18249,..,1832,6757,2154,2088,2222,2378,984,401,650,19465,..,13,118,74,120,265,490,349,253,148,1827,..,6,17,12,10,18,38,40,25,23,183,..,1848,6887,2238,2219,2506,2904,1375,678,821,21470,..,0,25,5,3,4,16,8,6,60,131,..,4541,13981,3829,3644,4094,4582,2296,1182,1689,39844,6515,12502,5405,719,746,869,1039,589,290,752,29429,2652,8956,7935,2284,2730,3709,4967,1958,255,564,36003,76,74,160,137,160,253,531,190,53,66,1706,5,25,12,4,5,10,10,7,0,18,92,2733,9051,8101,2420,2898,3970,5505,2159,313,641,37800,13,18,21,3,8,8,17,6,3,152,246,9265,21572,13532,3144,3646,4849,6558,2758,604,1546,67468,15621,8171,8339,1740,1747,1980,2079,1023,352,907,41952,8297,13584,18400,5034,5434,6621,7682,2423,523,922,68917,236,578,1476,525,566,801,1196,379,81,168,6001,11,24,22,8,4,12,20,7,0,18,129,8543,14185
SOSR302,..,1154,2993,738,647,713,766,493,263,319,8103,..,328,1281,422,469,502,570,277,101,155,4109,..,0,9,13,20,31,95,69,34,34,313,..,0,3,0,0,8,8,13,9,5,35,..,331,1296,430,487,537,675,357,144,195,4460,..,0,0,0,0,0,0,4,4,26,40,..,1490,4297,1173,1136,1253,1440,853,410,542,12595,2299,5377,2521,367,385,453,502,317,153,310,12680,554,1506,1378,473,615,851,1014,461,71,136,7051,8,9,26,15,23,34,72,33,4,11,238,0,0,0,0,0,0,0,0,0,4,10,570,1511,1406,487,642,891,1077,498,73,149,7305,0,0,3,3,0,0,0,0,0,32,48,2873,6894,3933,859,1026,1342,1583,809,223,488,20033,5249,3534,3922,891,845,894,995,465,154,436,17377,1353,2384,4907,1783,1914,2151,2409,715,126,309,18051,50,52,267,90,106,141,226,72,5,27,1021,0,3,7,3,3,0,3,0,0,5,28,1407,2433
SOSR303,..,329,761,153,170,172,193,98,59,99,2030,..,217,743,232,306,464,598,160,45,109,2888,..,0,19,3,18,98,212,82,29,58,527,..,0,0,0,0,3,8,6,0,8,34,..,224,768,242,325,567,822,241,74,179,3451,..,0,0,0,0,3,0,0,3,12,14,..,555,1530,390,495,740,1017,345,137,287,5489,596,1215,578,92,90,97,116,74,41,74,2976,251,1100,1014,200,321,475,678,254,27,85,4407,13,15,17,3,16,61,158,21,3,8,319,0,0,6,0,0,5,7,0,0,5,18,263,1114,1026,207,335,543,847,276,32,103,4742,0,3,8,0,0,0,0,4,0,15,31,858,2326,1613,302,424,643,959,355,76,188,7747,1495,897,1050,190,245,273,277,148,57,95,4722,570,1080,2009,543,642,745,1027,398,75,105,7196,34,36,150,52,79,122,187,42,8,11,725,0,0,6,3,0,3,9,4,0,11,30,603,1114
SOSR311,..,144,396,72,82,56,111,90,36,29,1014,..,71,258,82,86,89,158,76,37,22,877,..,3,5,3,5,0,27,18,18,3,78,..,0,4,0,0,0,4,3,0,0,11,..,69,262,83,90,90,190,99,56,27,969,..,0,0,0,0,3,0,0,0,4,8,..,222,659,157,170,149,303,190,92,60,1989,202,526,260,22,38,32,43,36,8,30,1205,54,359,346,83,99,95,105,60,14,22,1238,4,6,7,4,10,13,24,9,0,7,74,0,0,0,0,0,0,0,0,0,0,4,54,369,356,88,110,104,125,69,15,30,1317,0,0,5,0,0,0,0,3,0,11,15,254,894,622,111,147,137,179,106,23,70,2536,553,423,376,93,94,88,126,61,15,35,1872,128,395,705,216,254,279,361,150,59,48,2589,8,22,78,27,40,58,112,33,11,10,400,0,0,0,0,0,0,0,6,0,0,8,141,415
SOSR312,..,57,176,49,31,42,46,12,7,22,442,..,26,116,31,40,34,23,13,4,8,298,..,0,0,0,0,6,7,3,4,6,18,..,0,0,0,0,0,0,0,0,0,0,..,26,116,31,43,34,26,17,10,15,317,..,0,0,0,0,0,0,0,0,0,0,..,89,291,82,73,74,69,32,13,35,754,104,239,139,16,16,15,21,12,9,18,586,15,96,114,39,34,14,36,7,3,3,363,0,0,0,0,0,3,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,15,100,115,39,34,22,40,7,5,6,375,0,0,0,0,0,0,0,0,0,0,0,117,341,256,59,43,31,54,17,13,27,967,239,149,165,36,32,19,33,13,3,22,719,38,99,197,50,57,47,70,18,14,10,593,0,0,8,6,8,0,7,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,38,108
SOSR313,..,98,274,55,71,64,72,46,27,37,743,..,42,144,49,49,46,85,30,16,14,482,..,0,0,0,0,5,4,9,10,4,32,..,0,0,0,0,0,0,3,0,0,3,..,42,146,49,49,51,94,36,31,22,516,..,0,0,0,0,0,0,0,0,0,0,..,136,427,103,123,119,168,80,58,59,1259,150,360,239,27,32,29,37,23,12,34,944,23,183,187,28,53,57,73,27,14,10,664,0,0,3,0,4,0,11,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,23,186,193,35,60,65,84,33,13,10,692,0,0,0,0,0,0,0,0,0,5,5,174,547,429,53,96,95,119,56,25,50,1645,487,357,390,94,76,84,98,52,23,40,1706,129,261,422,122,136,150,248,111,53,33,1656,6,7,18,5,3,32,65,16,6,6,160,0,0,0,0,0,0,0,0,0,5,3,133,274
SOSR314,..,105,283,52,69,70,59,31,15,27,701,..,37,128,41,49,57,76,28,34,16,466,..,0,0,0,3,7,19,4,8,3,48,..,0,0,0,0,0,0,0,0,0,4,..,37,130,41,50,62,103,38,45,22,521,..,0,0,0,0,0,0,0,0,0,4,..,140,411,93,118,130,160,65,58,46,1229,192,427,196,20,31,18,47,31,12,35,1018,26,148,139,44,51,71,127,58,21,30,715,0,6,0,0,5,16,26,16,14,6,84,0,0,0,0,0,0,0,0,0,0,3,22,147,145,44,56,87,155,70,32,37,799,0,0,0,0,0,0,0,0,0,8,9,216,578,340,67,86,110,203,107,45,77,1826,525,306,276,55,51,82,122,67,10,40,1527,122,224,482,163,197,313,506,162,79,57,2318,24,20,64,15,43,109,208,56,31,24,587,0,0,0,0,0,0,6,6,3,6,18,146,240
SOSR315,..,119,308,61,52,44,46,36,21,48,744,..,18,119,28,50,49,67,31,23,21,399,..,0,0,3,0,6,9,7,15,5,44,..,0,0,0,0,0,4,4,0,0,8,..,18,123,26,49,52,78,45,32,30,455,..,0,0,0,0,0,0,0,0,4,5,..,142,435,91,96,96,120,79,58,81,1197,205,433,195,24,18,13,49,19,14,46,1020,36,133,155,42,44,52,101,41,4,19,632,6,0,7,0,3,6,23,3,8,4,54,0,0,3,0,0,0,0,0,0,0,11,33,134,165,39,44,53,120,51,15,27,691,0,0,0,0,0,0,0,0,0,28,33,242,567,356,67,67,70,173,69,30,100,1739,609,361,443,93,93,84,118,41,13,46,1895,107,186,411,134,144,264,507,195,45,65,2047,5,14,33,22,21,46,79,36,18,6,270,0,0,5,0,0,0,0,0,4,5,17,114,196
SOSR321,..,48,96,24,18,20,30,10,16,18,274,..,9,38,10,18,6,14,5,0,7,117,..,0,0,0,0,0,0,0,5,0,9,..,0,0,0,0,0,0,0,0,0,0,..,9,38,10,20,12,13,5,0,7,121,..,0,0,0,0,0,0,0,0,3,3,..,56,134,38,40,24,45,18,14,29,395,67,129,48,8,8,8,3,11,7,8,294,6,49,39,3,16,17,13,4,4,8,160,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,49,39,4,16,17,16,4,6,3,166,0,0,0,0,0,0,0,0,0,0,5,76,184,89,14,24,23,24,12,9,14,468,178,95,134,24,25,19,33,8,3,17,539,27,45,84,20,30,49,68,27,6,5,373,0,0,4,4,0,3,11,4,3,4,36,0,0,0,0,0,0,0,0,0,0,3,27,45
SOSR322,..,8,23,5,5,0,12,0,0,4,58,..,0,13,7,8,0,0,0,0,3,33,..,0,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,13,7,4,3,10,0,0,3,42,..,0,0,0,0,0,0,0,0,0,0,..,10,36,11,13,7,14,5,4,11,99,17,27,14,6,5,0,11,8,0,4,87,6,10,13,0,6,0,7,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,0,6,0,7,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,23,38,30,3,4,0,19,14,0,9,136,68,38,45,9,12,14,20,5,0,0,210,4,14,35,16,9,15,33,15,6,4,150,0,0,0,5,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,4,15
SOSR331,..,211,413,78,60,74,54,42,17,84,1040,..,45,153,40,34,44,66,20,18,23,447,..,0,0,0,3,3,4,0,8,3,32,..,0,0,0,0,0,0,0,0,0,0,..,45,159,43,38,48,70,22,30,26,472,..,0,0,0,0,0,0,0,0,11,9,..,262,571,123,95,128,126,62,44,119,1525,369,765,276,19,43,30,65,40,19,63,1697,54,204,118,20,42,51,84,52,27,25,665,5,0,4,0,0,3,3,7,12,7,47,0,0,0,0,0,0,0,0,4,0,5,61,203,122,21,38,52,92,61,41,35,718,0,0,0,0,0,0,0,0,0,43,47,431,970,398,45,86,86,157,100,63,140,2464,837,440,480,89,83,97,139,49,24,90,2324,186,221,295,92,101,158,369,139,69,70,1698,0,25,45,14,3,23,52,19,19,23,222,0,0,3,0,0,0,0,4,8,4,16,185,244
