SOSR_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
SOSR201,73044,139561,106805,704892,7841,1032156,1145,2154,1206,22735,382,27623,378051,5604,10954,8940,2000,405539,25362,3858,2088,7994,259,39563,28196,9867,6191,21002,272,65519,266609,115193,85575,660803,8763,1136942,68261,1656,6492,1374,233,78020,15500,2368,1778,7180,130,26953,40765,12510,8830,64819,833,127753,98583,15804,8359,43589,1020,167350,11300,2311,1347,4233,134,19322,241337,4385,3148,2358,493,251720,63605,29321,20260,258741,1969,373902,143570,34425,16396,109758,1774,305926,18122,214,756,226,51,19368,29919,6779,3170,6248,236,46353,30069,4092,2326,7769,252,44509,30333,7214,4284,19280,347,61452,15161,2128,1583,1056,152,20075,17108,5705,4230,2309,145,29489,29296,5030,3885,10880,252,49337,17612,1564,1673,2767,139,23754,16991,1433,652,271,203,19556,62624,28164,21575,204334,1590,318286,19779,2038,1275,2315,198,25606,15765,2599,2104,925,66,21470,17830,1435,1231,2910,118,23527,40260,2754,1943,2126,152,47240,108478,1867,3574,1758,525,116202,8163,2361,1694,8880,65,21163,728378,48551,40632,55795,4942,878302,39609,2405,1878,12131,188843,244869,2331856,296213,218046,1521511,217917,4585537
SOSR203,2208,11976,8534,119898,1539,144160,55,262,152,6041,100,6610,5089,208,323,1331,40,6988,2633,440,235,1118,36,4470,3140,1387,866,3742,45,9172,15845,11033,7866,116716,1570,153020,2968,111,552,129,32,3787,521,157,107,894,9,1683,2810,1246,798,11994,124,16973,1089,341,133,1072,17,2651,611,163,89,364,8,1230,6935,219,112,173,20,7458,3889,2847,1854,43357,349,52296,3838,1481,588,8385,93,14380,350,16,36,16,0,411,200,89,32,172,5,497,1089,174,93,365,9,1737,586,281,137,931,17,1949,510,207,120,159,11,997,796,508,375,315,11,2006,1384,358,229,1029,26,3026,558,87,89,229,8,969,146,56,24,16,0,245,4480,3122,2197,35114,283,45200,1044,149,72,205,18,1477,633,164,106,119,14,1035,743,127,115,363,10,1358,667,95,56,91,6,914,955,39,80,25,0,1097,620,308,188,1272,13,2402,22276,2582,2000,5122,256,32235,994,134,117,2728,17279,21252,74967,23089,16052,251078,21046,386231
SOSR211,1876,3445,2368,27521,348,35558,40,116,60,2330,20,2565,1275,45,71,165,10,1569,596,97,74,206,3,975,590,232,135,540,3,1506,5237,2770,2091,23453,336,33881,2695,51,259,40,11,3053,172,31,14,165,8,394,1093,375,274,2864,43,4646,435,152,77,371,12,1039,200,47,17,99,4,365,5458,102,43,49,14,5656,923,579,353,6812,61,8727,1148,523,256,2074,28,4032,113,0,8,0,0,125,240,50,16,86,0,393,409,79,40,123,5,648,1575,445,292,1350,39,3700,612,68,92,50,4,822,433,147,130,105,3,818,461,99,58,324,9,954,92,15,8,56,0,179,1578,77,42,11,8,1718,1278,609,496,5661,38,8080,552,73,35,98,6,762,147,31,23,20,9,222,387,33,20,90,7,531,410,32,10,24,0,469,902,25,63,25,4,1021,176,52,21,212,0,458,17403,960,677,1282,120,20439,942,57,44,595,6444,8087,42087,6634,4719,53357,7385,114187
SOSR212,1964,8363,6014,80641,1038,98012,49,288,121,6172,126,6755,2969,131,189,505,23,3815,665,187,83,434,11,1379,1864,792,500,1991,30,5174,12286,7342,5404,75989,1063,102083,2077,86,371,85,18,2631,373,92,76,561,0,1096,1942,747,579,7420,80,10760,1027,298,101,981,13,2420,339,87,55,230,9,718,3930,143,73,110,5,4263,2846,1845,1148,27538,233,33613,4447,1452,646,7237,86,13875,182,12,24,6,0,221,148,46,11,144,0,346,310,62,29,186,5,589,1239,459,280,1446,12,3440,546,145,134,104,6,939,690,381,290,209,3,1573,786,242,121,711,10,1865,193,53,36,99,4,389,473,77,27,18,7,602,3383,1925,1404,21771,186,28672,269,50,23,92,3,439,532,105,74,45,6,754,412,80,44,233,0,771,413,58,38,66,7,578,745,20,46,15,12,830,404,130,122,672,11,1340,16394,1886,1333,3384,193,23188,818,147,99,1847,13251,16155,53878,15985,11166,167677,15828,264540
SOSR213,1546,8213,5743,81729,1251,98481,27,182,118,4780,92,5199,1887,80,164,492,17,2640,660,149,46,330,14,1205,2438,859,511,2204,47,6065,12554,7507,5395,76124,1331,102911,2050,74,331,85,32,2571,354,87,58,533,8,1034,2080,786,568,8209,106,11742,707,237,109,635,14,1705,423,101,37,207,5,776,2558,133,47,105,7,2851,2654,1723,1047,23857,277,29551,3395,1167,454,5626,95,10743,90,0,13,12,0,114,130,42,17,111,0,306,196,66,21,148,0,436,1192,333,153,1061,15,2761,395,134,70,105,10,707,553,336,253,204,8,1357,919,205,100,615,7,1845,273,47,31,164,7,519,234,39,16,25,6,318,3425,2013,1424,21085,229,28170,330,54,39,109,0,523,474,91,41,51,3,660,365,55,34,201,9,664,357,80,42,41,3,523,536,12,38,13,6,609,481,175,100,702,5,1469,9978,1568,1110,2939,152,15749,679,124,122,2164,12799,15877,44156,15325,10463,164704,15766,250413
SOSR214,947,4613,3266,47502,855,57178,12,93,55,2342,38,2539,1074,40,72,255,10,1447,316,85,33,176,8,607,1383,447,271,1002,23,3128,8032,4370,3168,44405,963,60931,936,21,133,34,13,1134,217,38,41,306,11,606,1239,478,349,4332,88,6491,570,108,59,298,10,1055,215,55,23,99,4,406,1372,61,34,50,12,1526,1699,947,662,14680,214,18202,2136,675,239,3202,69,6319,48,0,8,0,0,60,82,25,13,49,0,176,133,32,21,84,3,273,648,188,74,461,13,1385,294,74,50,71,12,499,343,215,111,115,4,784,444,96,55,286,10,889,126,27,20,81,4,255,86,16,16,6,3,131,2087,1157,847,12952,197,17243,129,27,20,27,0,207,182,48,34,31,8,300,158,27,30,117,4,345,122,22,17,25,0,183,172,13,18,15,0,214,268,85,47,424,3,834,4697,772,618,1671,90,7847,280,72,43,1218,7786,9403,24861,8618,6008,95842,9865,145199
SOSR215,1226,7835,5460,76192,1318,92045,21,171,95,3567,84,3927,1046,70,89,423,18,1647,417,119,59,208,4,804,2282,773,530,1900,56,5537,12782,7284,5334,68177,1337,94913,1062,25,242,63,19,1417,373,91,66,480,8,1008,2087,799,498,6458,103,9942,560,173,70,516,15,1337,323,77,39,141,10,591,1106,104,57,69,3,1342,2638,1743,1143,22872,336,28730,2541,914,409,4313,80,8265,56,0,8,6,0,62,75,41,16,82,0,212,152,46,18,96,0,310,645,261,156,768,15,1836,349,90,89,96,9,638,583,309,221,164,11,1285,690,183,99,445,16,1429,194,34,34,106,3,369,130,38,23,19,0,205,3240,1924,1339,19270,256,26033,155,40,13,58,3,267,302,74,45,54,7,484,205,46,29,183,0,470,179,48,28,46,0,304,385,14,48,11,4,461,519,150,96,622,8,1393,6948,1381,1051,2550,136,12071,460,126,92,1874,12740,15291,35051,14386,10069,149358,15820,224681
SOSR221,321,2089,1432,20831,342,25019,9,33,17,874,16,957,206,17,28,155,7,406,139,33,6,110,0,282,624,218,145,520,9,1523,3697,1978,1450,18918,399,26439,222,14,54,4,3,298,93,33,10,127,8,266,594,213,123,1822,33,2781,148,55,23,109,5,333,102,24,3,37,0,174,264,22,10,18,0,316,778,463,309,6488,84,8118,550,230,72,1154,18,2026,11,0,0,0,0,10,12,5,5,26,0,45,41,13,5,22,0,77,282,90,43,228,9,654,102,36,17,6,0,163,150,61,53,35,5,307,186,50,38,116,0,394,55,19,9,18,0,107,23,5,0,0,0,39,891,541,356,5648,82,7516,42,10,0,15,0,70,102,19,11,9,0,144,73,10,9,61,0,154,30,10,12,14,0,75,59,0,8,8,0,68,137,34,32,181,0,383,1562,356,281,731,29,2963,103,29,33,516,3537,4213,9276,3883,2671,41427,4363,61615
SOSR222,148,1030,773,11304,215,13470,8,17,16,543,13,592,172,3,20,71,0,262,47,21,8,37,0,116,325,127,72,268,4,789,1806,1033,779,9981,208,13802,199,0,29,5,5,247,69,11,23,62,0,166,317,107,76,1054,24,1574,92,26,8,67,0,193,47,14,10,16,0,86,70,18,11,18,0,117,378,246,165,3383,66,4229,323,99,63,565,15,1064,13,0,5,0,0,17,16,8,7,10,0,39,23,4,4,11,0,42,80,36,20,72,0,211,47,10,11,21,0,84,78,37,14,19,0,147,98,23,20,60,0,200,27,5,3,22,0,63,0,0,0,0,0,5,448,291,171,2971,44,3931,30,7,9,9,0,49,37,10,10,0,0,60,56,12,5,31,0,101,8,10,5,7,0,29,17,0,3,0,0,27,67,20,19,89,0,197,800,186,122,378,25,1511,44,16,6,352,2307,2724,4690,1970,1407,22179,2807,33052
SOSR231,2107,12916,9905,145935,1904,172765,42,201,137,5060,87,5530,1805,115,186,812,30,2946,1022,211,94,465,22,1811,4602,1616,1012,3411,86,10727,21316,11982,9312,128444,2157,173210,1488,22,372,72,26,1976,672,126,131,955,17,1908,4151,1345,1057,13220,204,19982,1470,370,148,1007,31,3024,617,162,81,246,10,1118,1093,100,91,126,8,1417,4474,2857,2003,43863,599,53793,6149,1953,766,8801,172,17834,92,7,15,6,0,124,351,117,69,155,4,693,470,80,24,191,15,786,1912,516,305,1329,23,4094,549,128,115,112,10,902,1147,498,425,287,22,2378,1269,319,208,760,21,2576,442,71,51,206,7,779,202,20,13,10,3,251,5444,3129,2513,39219,445,50749,481,75,36,111,3,708,623,109,129,74,4,939,450,65,62,325,11,917,240,88,46,69,5,452,434,34,59,13,14,551,771,227,159,1172,16,2347,10406,2176,1766,4676,226,19247,650,197,163,3524,32595,37136,61884,24325,18115,287216,37363,428903
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
SOSR299,61,230,123,1415,47,1874,7,9,6,208,5,242,179,7,4,13,0,206,18,0,0,0,0,24,53,31,5,42,0,126,370,173,124,1249,35,1952,54,0,8,0,0,55,25,5,0,14,0,47,74,23,13,136,4,250,34,18,4,18,0,77,11,0,0,6,0,21,95,0,4,3,0,99,106,48,23,445,7,626,72,22,20,106,3,222,4,0,0,0,0,7,27,6,0,8,0,38,10,0,0,8,0,19,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,65,23,6,3,19,0,52,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,572,22,0,0,0,0,23,14,0,0,0,0,21,20,3,0,3,0,29,19,5,0,0,0,26,48,0,3,0,0,48,14,5,5,15,4,37,595,69,42,93,19,810,32,9,4,45,3572,3671,1800,426,258,2909,3693,9089
SOSR301,24867,90508,72711,512441,5491,706018,787,4335,2557,52938,799,61417,101592,2492,4754,6010,567,115417,4590,1058,582,2033,37,8297,16273,5759,3611,10934,166,36739,195128,79311,59576,477520,5819,817348,31090,1058,5322,1256,178,38906,8164,1537,1104,4501,84,15396,24442,9034,6496,84251,702,124929,6990,2734,1305,8028,97,19149,4096,917,511,1476,34,7031,62577,1894,1353,1413,177,67418,44006,18942,13208,177169,1254,254584,21062,8007,3950,31492,335,64843,15995,129,713,151,36,17023,2371,857,419,2020,18,5683,1209,227,154,320,15,1925,2143,1110,658,3620,34,7569,27398,3807,2808,1583,248,35841,18406,6507,4782,2378,208,32281,8476,1835,1444,5250,90,17091,5795,748,779,2157,75,9568,24558,2283,1138,444,272,28695,50469,19795,14738,142454,1086,228543,4611,566,355,665,42,6237,14178,1867,1453,565,67,18131,9315,925,728,2036,63,13075,5324,433,343,433,22,6559,25361,721,1181,668,120,28046,6591,1743,1144,6789,61,16322,225981,22296,21518,35804,2204,307805,13163,1270,1157,9846,99375,124813,810546,168254,131862,1061816,115418,2287896
SOSR302,8526,36601,30494,204396,2324,282346,278,1302,846,15751,177,18357,19818,620,1071,1995,153,23662,2610,498,258,889,32,4299,7780,2125,1451,4065,67,15491,108936,32450,26183,201370,2823,371763,7822,335,1594,361,66,10188,4344,632,499,2009,46,7535,12403,3347,2622,27565,310,46239,2604,957,510,2478,41,6587,2293,376,179,566,26,3442,10381,486,282,378,26,11549,21529,6726,4843,65327,580,99009,10905,3127,1549,11228,174,26984,4836,28,224,55,11,5161,942,292,133,793,13,2171,612,117,72,182,4,986,1655,622,388,1710,32,4401,12264,1754,1037,621,93,15770,10148,3074,2146,927,92,16390,3977,611,530,1703,25,6838,2657,249,294,632,24,3860,2467,420,162,90,27,3170,26760,7589,5929,54847,497,95622,1808,217,125,278,23,2450,6668,781,615,248,30,8342,3981,342,319,906,28,5576,804,127,85,133,5,1156,2061,61,212,76,12,2420,3596,678,457,2224,31,6985,63770,8446,8521,11813,601,93144,4178,656,574,4512,47397,57311,288554,66917,54362,427956,54008,891797
SOSR303,3262,13534,12331,117344,1359,147822,126,1350,734,25619,391,28229,5142,277,435,1613,38,7503,478,171,57,483,5,1193,2724,862,612,2021,25,6238,26255,12293,10024,108188,1233,157996,5707,188,1109,338,50,7392,1283,200,182,957,10,2631,4428,1691,1331,20466,185,28102,680,319,149,1256,8,2417,499,146,58,248,5,954,5557,186,133,217,12,6106,5466,2873,2148,38746,287,49516,3643,1873,888,10880,98,17381,1584,16,94,12,0,1712,130,52,39,271,0,492,51,8,11,39,0,113,359,214,119,791,9,1489,1667,472,405,311,20,2878,1869,908,677,538,31,4028,1024,225,169,788,16,2216,448,95,105,303,9,960,674,167,75,107,17,1029,7012,3170,2443,31242,244,44109,207,51,21,82,0,365,1311,170,163,85,3,1734,1161,166,93,639,9,2067,588,65,30,70,0,760,960,36,76,38,9,1116,934,283,197,1283,15,2712,32437,4113,4460,16179,644,57834,1360,194,194,2425,30506,34687,95828,26670,22408,256212,34191,435301
SOSR311,1390,7321,5935,81581,1093,97322,45,520,308,13223,192,14295,2012,91,183,807,20,3122,176,53,22,131,5,387,1522,489,300,1128,20,3459,14566,6662,5184,75827,1073,103322,3653,91,616,163,23,4548,480,90,51,462,3,1091,2045,889,611,13863,118,17524,174,110,27,393,8,708,253,56,18,121,7,451,2216,89,38,123,7,2469,2638,1339,889,21430,203,26491,1243,658,216,3760,38,5908,334,11,29,12,0,388,53,28,10,108,4,196,20,12,0,7,0,40,653,310,145,1413,19,2538,1006,266,212,222,10,1720,913,479,331,339,13,2084,410,96,52,373,12,943,236,60,42,250,4,593,233,55,16,35,10,342,3663,1670,1243,19423,158,26165,106,22,13,44,0,188,1040,100,86,41,7,1275,454,54,36,235,5,782,230,20,14,37,0,303,569,9,23,15,0,624,462,144,98,665,8,1383,8970,1513,1277,7467,206,19430,676,117,100,2231,16373,19495,41978,13596,10476,168687,18960,253701
SOSR312,595,3288,2626,31119,485,38113,12,212,125,4451,68,4871,473,45,44,296,6,860,119,22,15,51,0,203,728,198,137,478,15,1551,7682,3130,2398,29059,612,42887,1247,34,203,54,7,1540,222,47,21,200,6,490,944,411,270,5482,79,7183,98,53,14,193,13,365,141,32,10,63,9,250,674,23,20,50,0,765,1498,644,380,8435,98,11063,461,232,72,1109,17,1891,50,3,22,4,0,77,16,5,3,36,0,72,10,5,0,4,0,20,90,42,9,129,0,274,543,115,77,78,3,815,569,201,155,102,9,1037,253,43,41,190,6,525,113,33,11,88,4,249,125,20,16,8,0,174,1961,797,537,7461,84,10836,45,10,3,8,0,69,407,50,45,10,0,508,187,20,11,86,4,302,69,5,0,16,0,88,70,0,21,0,0,99,248,66,36,290,3,653,3143,640,506,1986,61,6327,273,58,53,760,5172,6318,17968,6080,4549,63460,6415,98469
SOSR313,898,4969,4266,53308,547,63991,29,401,249,10704,166,11555,853,58,93,546,10,1549,123,48,25,102,0,298,1010,299,215,746,7,2276,9316,4605,3584,46726,607,64833,2033,56,378,118,16,2602,336,45,45,309,0,736,1319,587,438,9414,71,11832,112,76,29,261,4,478,156,51,33,93,4,334,946,47,33,79,6,1116,1910,936,702,14400,104,18056,633,321,139,1949,22,3062,148,4,24,4,0,182,31,17,12,85,0,147,13,8,0,10,0,32,114,85,33,251,4,489,1351,268,197,142,12,1975,900,429,347,266,11,1954,268,69,59,316,5,714,136,28,23,108,6,300,488,66,25,26,3,611,2442,1114,810,12266,98,16723,67,18,3,27,4,116,713,84,74,36,3,911,315,37,28,173,0,557,94,19,3,15,0,136,205,8,24,6,0,243,277,108,71,433,11,889,5849,1046,845,3026,96,10864,440,108,67,1294,10146,12057,26075,9271,7390,107972,11557,162262
SOSR314,1025,5324,4311,51079,607,62349,52,417,255,10698,179,11608,1401,53,109,519,13,2086,222,56,13,114,4,405,1033,352,228,693,15,2315,11043,4983,3672,44243,702,64633,1475,26,303,80,16,1895,453,52,73,333,4,916,1445,609,449,8046,59,10612,206,96,31,295,10,636,190,55,32,78,3,363,1221,67,36,63,10,1396,2225,958,690,13307,143,17327,1923,674,254,3632,63,6547,225,7,14,3,0,255,27,9,0,53,0,92,16,7,4,14,0,39,163,87,41,320,3,618,962,212,161,142,15,1488,881,399,286,181,13,1760,290,89,68,269,10,716,177,32,21,124,3,357,198,69,21,23,0,320,2802,1107,848,11731,115,16596,71,13,4,17,0,105,705,75,82,38,0,904,377,75,30,209,7,695,89,12,16,23,0,143,219,8,19,9,0,259,338,93,63,407,10,908,7129,1082,985,4046,152,13389,529,91,101,1377,12916,15012,30972,9971,7639,103949,14578,167109
SOSR315,1255,7719,6256,78754,1298,95281,59,541,312,21519,321,22755,894,80,104,759,20,1854,212,60,21,155,4,452,1737,480,320,1049,24,3604,16590,7024,5590,67946,1295,98440,2355,73,464,175,44,3105,650,91,87,501,3,1336,2277,877,682,13582,171,17590,185,109,44,344,5,682,304,69,27,145,5,549,775,69,46,125,3,1017,3305,1401,1060,20436,239,26430,2070,804,330,4198,56,7459,249,0,25,5,0,278,52,19,8,71,0,152,28,10,3,26,0,66,301,157,67,596,10,1128,1199,251,192,174,26,1838,1281,567,398,271,19,2526,446,125,77,439,6,1090,228,42,42,172,9,489,254,45,26,47,3,371,4339,1652,1342,17685,181,25196,114,20,17,49,6,202,652,101,84,46,12,897,540,69,39,262,11,909,71,21,14,22,0,128,327,10,24,11,3,370,545,148,98,667,10,1461,7054,1461,1332,8126,312,18288,506,117,112,2156,20256,23144,39468,14140,11092,167347,23460,255514
SOSR321,484,2889,2266,29592,489,35725,15,249,108,9787,182,10343,253,28,38,263,6,584,79,31,10,53,3,169,677,200,122,334,5,1338,6638,2765,2045,25917,505,37875,595,11,117,64,5,792,215,39,32,165,0,458,917,353,249,4972,57,6550,59,26,14,153,7,263,90,30,13,31,0,164,229,33,24,43,0,329,1202,536,389,7920,118,10161,537,288,108,1406,19,2355,48,0,0,3,0,50,19,19,8,39,0,85,14,3,5,5,0,23,127,63,20,224,7,442,277,72,61,58,5,468,426,179,146,75,3,835,173,55,23,172,7,430,83,19,12,65,0,178,53,9,8,19,0,94,1666,711,471,6712,99,9655,36,9,11,7,0,58,304,33,21,15,0,372,123,12,12,93,0,244,29,3,9,21,0,65,44,0,6,0,0,56,186,47,45,231,5,515,2488,583,448,3303,100,6922,184,67,53,776,7692,8777,14202,5454,4027,64711,8962,97351
SOSR322,193,1065,808,12783,218,15071,12,114,57,4656,118,4955,72,9,18,150,0,249,40,9,3,33,0,77,261,66,47,135,0,516,2248,971,727,10985,262,15194,183,3,32,20,3,248,91,11,7,83,0,201,404,148,113,2183,31,2883,27,11,0,57,0,99,37,11,3,21,0,73,75,8,3,14,0,109,463,194,170,3371,45,4244,370,159,62,775,28,1400,15,0,6,0,0,17,5,0,0,11,0,15,8,0,0,0,0,3,61,12,16,124,0,215,116,18,25,17,0,173,157,62,37,37,7,296,74,20,8,69,0,180,38,10,4,27,3,76,11,3,3,9,0,22,590,250,169,2951,38,4007,18,0,4,4,0,30,81,3,5,7,0,98,59,13,0,27,0,94,6,0,0,4,0,9,10,0,0,0,0,14,60,18,7,75,0,156,977,269,261,4561,137,6204,84,14,9,359,3382,3846,5266,2091,1539,30334,4067,43299
SOSR331,2241,12994,11018,148284,1887,176418,78,638,371,15420,254,16767,1458,147,203,1171,23,3003,443,140,49,322,13,968,3346,1101,668,1912,59,7087,28541,12164,9937,128316,2078,181032,1777,37,502,136,35,2485,1051,179,146,833,18,2226,4505,1692,1354,27832,275,35658,351,194,80,655,7,1282,466,126,43,167,3,805,938,98,91,174,3,1310,5372,2621,1971,39339,430,49737,3482,1689,721,8368,133,14393,162,9,22,19,0,209,92,40,23,141,4,304,40,19,9,21,0,86,774,343,206,1575,20,2910,1175,291,195,232,16,1914,1946,805,675,402,37,3867,869,209,158,725,17,1974,400,94,82,334,17,928,242,61,39,27,0,380,6982,3110,2344,35499,384,48326,179,40,12,55,8,289,1533,197,172,86,12,2004,614,115,81,487,16,1308,111,23,32,45,0,204,506,15,55,12,7,591,948,249,181,1203,18,2602,11351,2304,2195,7509,276,23637,707,229,203,3742,40101,44987,63947,24498,19556,295820,44756,448574
