SOSR_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR413,11,79,4,28,5,4,125,9,160,21,30,4,4,234,105,881,92,129,61,8,1281,735,453,123,341,98,13,1768,538,182,29,359,52,4,1161,1460,161,37,506,74,9,2250,1351,75,15,473,48,4,1968,567,7,7,199,20,4,799,129,5,0,56,6,0,204,55,0,5,19,7,0,87,28,3,0,6,0,0,37,7,0,0,3,0,0,10,7,0,0,3,0,0,12,7,0,0,3,4,0,16,62,137,20,92,41,36,396,5068,2156,361,2253,417,81,10342
SOSR414,3,0,0,17,0,0,17,6,8,11,3,0,0,26,20,53,9,56,15,0,152,64,65,98,70,40,5,342,66,23,30,86,11,3,220,260,45,31,203,32,0,576,633,11,12,263,22,3,948,456,9,4,100,9,0,570,37,0,0,8,4,0,51,7,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,6,6,13,8,9,77,1570,222,206,813,146,30,2988
SOSR415,11,37,19,41,17,0,130,19,98,22,31,30,0,199,134,541,116,236,226,15,1269,583,331,160,532,267,29,1909,550,134,79,517,157,14,1455,1331,138,50,639,127,13,2302,1401,27,20,566,65,10,2089,810,16,7,239,23,6,1104,176,4,7,33,15,3,233,40,0,0,11,3,0,49,5,0,0,0,0,0,5,8,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,7,0,0,12,86,78,24,134,80,40,437,5156,1416,499,2999,1009,126,11211
SOSR421,0,15,9,16,16,0,57,5,50,10,12,11,4,87,22,108,61,89,34,5,322,111,59,41,265,58,8,537,97,16,15,172,17,0,315,221,17,8,190,23,0,461,158,0,3,117,12,0,298,92,0,0,52,5,0,158,17,0,0,12,0,0,36,4,0,0,7,0,0,7,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,26,8,51,25,7,123,732,297,158,989,200,33,2410
SOSR422,0,51,10,21,14,0,102,0,117,30,12,6,3,171,9,91,19,81,41,0,241,72,22,17,163,23,5,299,55,0,3,116,16,0,194,96,0,4,109,6,0,218,72,0,0,53,0,0,128,29,0,0,19,0,0,53,3,0,0,9,0,0,15,0,0,0,0,0,0,9,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,21,8,29,35,6,99,361,312,100,610,150,13,1539
SOSR431,0,51,41,137,153,8,398,0,60,28,95,43,0,232,43,85,28,488,168,6,818,165,26,34,551,158,9,936,143,5,7,412,73,6,637,310,6,4,447,92,7,868,387,0,3,390,56,3,845,290,0,0,237,34,0,565,101,0,0,66,15,0,183,31,0,0,32,0,0,71,17,0,0,7,6,0,28,6,0,0,9,0,0,12,0,0,0,0,0,0,5,4,0,0,11,5,0,20,19,22,34,303,293,22,691,1514,258,185,3178,1104,63,6308
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,126,691,81,233,31,14,1178,29,1134,144,168,34,12,1522,421,7195,604,1423,234,73,9959,1390,3336,1377,2154,344,71,8666,2614,1289,373,2553,310,51,7185,9334,1770,546,5224,1075,59,18008,28709,1284,379,12614,1468,144,44597,45353,553,289,14873,1513,163,62737,19956,97,63,5235,423,43,25811,7155,18,11,1717,106,16,9018,3117,21,15,737,50,7,3949,1656,19,4,390,40,0,2112,922,12,5,194,23,0,1162,1501,8,4,347,45,8,1911,1750,1096,285,2272,497,470,6368,124036,18516,4185,50123,6184,1142,204186
SOSR511,4,21,3,8,8,0,40,3,48,11,4,9,0,80,29,319,39,54,9,5,453,52,202,118,83,31,6,493,121,85,42,155,10,4,414,433,105,24,313,37,4,913,1316,50,19,728,54,6,2167,1648,15,24,492,54,6,2235,335,0,0,64,5,0,413,66,0,0,16,4,0,82,16,0,0,11,0,0,24,5,3,0,0,0,0,8,0,0,0,6,0,0,6,4,0,0,0,0,0,8,62,46,22,72,33,20,252,4104,904,298,1999,244,50,7594
SOSR512,5,51,6,24,7,0,100,6,80,7,27,17,0,141,74,637,113,135,83,14,1055,251,393,168,261,116,19,1209,295,175,40,349,116,3,973,688,302,78,517,153,10,1748,1829,234,53,928,194,10,3246,2261,63,16,777,107,5,3219,755,14,4,166,18,5,958,203,4,0,40,4,0,254,45,3,0,9,0,0,60,9,3,0,3,3,0,21,0,0,0,0,0,0,4,7,0,0,6,0,0,17,101,112,35,136,80,24,485,6529,2068,523,3381,899,92,13496
SOSR513,47,54,6,10,844,0,960,11,70,5,6,63,0,152,25,348,35,42,546,7,997,60,285,37,82,194,5,664,89,209,20,75,193,0,591,201,339,42,139,273,5,997,539,304,41,272,245,4,1402,801,97,24,304,147,4,1388,660,21,0,130,91,0,910,447,3,0,66,47,3,570,310,4,0,52,37,0,404,198,5,0,38,27,0,271,144,3,0,23,26,0,198,198,0,0,27,47,0,275,169,154,24,66,394,28,833,3913,1900,232,1343,3176,57,10612
SOSR514,0,6,0,0,0,0,14,0,14,5,3,0,0,17,5,124,11,30,9,0,171,34,83,7,46,19,0,194,71,45,3,83,9,0,212,208,60,4,128,14,0,415,231,40,6,145,38,0,458,321,7,0,229,11,0,569,212,0,0,96,8,0,323,65,0,0,27,0,0,96,15,0,0,6,13,0,32,4,0,0,0,0,0,7,0,0,0,3,0,0,4,3,0,0,0,0,0,8,16,38,6,42,14,3,116,1189,422,40,839,130,11,2632
SOSR515,27,97,83,20,1020,4,1247,11,95,82,10,145,6,349,63,525,102,128,598,9,1435,216,430,180,191,319,11,1336,237,217,35,289,167,8,951,489,301,54,425,218,5,1492,1028,173,49,595,132,5,1988,869,49,20,442,79,10,1475,275,18,6,110,33,0,438,120,6,0,44,11,0,180,43,4,0,18,8,0,71,24,0,0,7,6,0,39,10,0,0,10,0,0,14,17,0,0,17,9,0,46,80,132,42,94,209,21,573,3500,2043,660,2393,2954,81,11635
SOSR521,9,152,67,15,78,6,325,0,107,40,18,34,0,198,18,254,129,102,113,9,628,89,163,55,168,70,3,550,59,82,23,170,53,0,382,144,82,28,235,64,8,557,219,73,12,211,50,5,561,152,19,3,119,20,0,315,54,5,0,23,8,0,88,15,0,0,12,5,0,28,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,5,0,8,27,68,24,68,113,6,309,779,999,392,1152,610,36,3972
SOSR522,0,241,120,12,92,6,467,9,131,130,10,61,4,343,6,194,96,56,48,7,410,32,98,89,101,52,5,376,43,31,9,94,22,4,206,67,57,20,85,29,4,265,64,19,9,68,22,0,182,32,4,5,28,12,5,81,10,0,0,6,0,0,16,6,0,0,4,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,6,8,62,22,35,86,4,224,274,845,503,495,424,38,2588
SOSR531,0,175,222,109,112,4,631,5,117,86,50,61,4,315,22,93,102,361,165,5,745,63,34,54,369,145,6,667,79,12,6,340,115,0,560,124,20,19,420,125,5,713,238,18,9,447,92,8,803,381,4,0,397,54,6,843,205,0,0,214,13,4,437,114,0,0,81,10,0,209,59,0,0,33,4,0,102,24,0,0,24,8,0,55,10,0,0,9,3,0,22,9,0,0,13,18,0,46,47,27,37,357,477,22,969,1389,505,535,3237,1394,59,7116
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,11,119,16,23,3,0,174,10,197,26,19,0,3,254,60,1434,143,161,32,18,1852,169,857,387,372,64,11,1866,198,415,140,341,32,9,1135,622,481,183,660,72,20,2030,1985,310,133,1321,139,21,3904,4320,157,54,1757,202,25,6508,2561,18,20,859,107,6,3564,1089,3,3,320,23,5,1444,352,3,7,134,11,0,504,134,3,0,55,5,0,194,56,0,0,23,5,0,89,50,0,0,44,3,0,100,167,202,48,205,54,58,739,11770,4197,1155,6288,760,177,24347
SOSR611,3,29,11,17,8,0,72,7,75,37,21,8,0,148,53,451,99,133,23,15,776,298,305,198,284,42,9,1142,360,148,103,316,13,0,937,971,158,194,522,49,11,1906,1839,67,38,671,61,9,2693,1616,14,10,440,40,7,2128,447,6,0,106,12,4,572,97,0,0,22,4,0,120,26,0,0,7,0,0,30,10,0,0,5,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,82,62,27,91,19,29,310,5812,1324,728,2628,270,84,10842
SOSR612,0,37,4,7,4,0,52,0,76,10,5,3,0,94,44,399,37,81,28,3,593,231,339,87,170,41,3,869,215,207,65,223,35,9,751,739,258,54,437,66,7,1565,939,62,20,436,56,9,1525,323,11,5,120,28,3,493,46,0,4,24,4,0,79,10,3,0,9,3,0,21,0,3,0,0,0,0,6,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,7,35,77,17,52,16,16,221,2592,1482,293,1557,298,51,6273
SOSR613,0,9,7,0,0,0,16,0,12,3,3,6,0,25,4,93,4,15,7,3,128,28,57,14,42,3,5,153,42,34,32,66,5,0,182,99,65,13,117,16,4,312,146,13,0,157,9,3,330,64,0,5,51,4,0,122,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,6,19,0,9,53,397,317,83,464,53,22,1334
SOSR614,0,11,5,0,0,0,23,0,30,4,3,0,0,40,0,156,37,21,5,0,223,28,59,30,53,16,3,189,40,26,21,74,3,0,171,103,39,5,92,8,3,243,246,23,0,142,19,0,438,193,5,0,97,5,4,313,34,0,0,12,4,0,52,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,4,8,19,4,18,3,6,59,667,372,108,528,71,16,1765
SOSR615,5,19,11,17,33,0,86,4,49,19,14,0,0,85,58,356,71,98,33,7,620,191,200,118,209,39,16,774,216,100,49,266,42,6,682,622,112,41,417,45,15,1247,906,44,6,491,49,11,1508,706,6,3,265,43,3,1031,219,3,0,60,4,0,287,37,0,0,16,0,0,52,4,0,0,3,0,0,7,4,0,0,0,0,0,8,6,0,0,0,0,0,5,0,0,0,5,0,0,3,40,42,12,85,24,20,215,3015,935,331,1939,316,77,6605
SOSR621,5,6,0,9,41,0,66,3,9,5,4,5,0,29,20,31,28,36,26,5,149,87,22,26,97,20,3,257,47,3,5,81,14,5,149,120,16,3,136,21,0,298,168,4,3,144,12,0,341,104,0,0,94,7,0,209,42,0,0,24,0,0,71,6,0,0,12,0,0,17,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,26,16,9,63,620,104,69,668,160,22,1647
SOSR622,0,0,0,9,3,0,9,0,5,4,4,0,0,14,0,18,5,14,6,0,39,19,4,5,31,3,0,69,16,0,3,48,3,0,73,42,0,0,56,0,0,99,63,0,0,57,0,0,126,38,0,0,29,4,0,66,8,0,0,8,0,0,15,9,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,4,0,21,201,30,21,265,27,9,549
SOSR631,7,7,6,75,81,4,170,3,0,3,44,13,0,68,17,23,13,243,83,4,385,82,14,13,326,94,10,536,85,4,0,312,73,6,479,200,0,0,377,66,4,653,340,0,7,404,55,3,801,334,0,0,291,28,0,656,124,0,0,64,7,0,196,41,0,0,13,4,0,64,8,0,0,11,0,0,15,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,10,24,3,4,165,148,14,355,1252,61,46,2345,646,46,4402
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,6,133,17,7,9,0,174,9,353,7,9,0,3,383,33,682,45,51,29,3,845,104,388,26,125,26,7,670,160,152,41,162,38,5,553,651,213,44,241,707,14,1862,1864,163,36,644,311,9,3020,3297,93,15,1016,204,10,4631,2644,64,3,625,108,9,3465,1592,12,0,278,40,3,1928,694,3,0,105,8,3,819,266,0,0,53,9,0,330,129,5,0,20,3,0,154,111,4,0,31,8,0,153,210,327,25,156,128,41,890,11759,2583,261,3523,1639,117,19883
SOSR712,4,66,10,0,8,0,90,0,143,7,0,4,0,150,0,220,30,12,26,3,292,8,101,24,24,21,0,174,12,49,15,26,15,0,116,70,54,18,41,20,0,200,296,31,20,92,22,0,457,517,21,4,190,18,4,758,418,10,0,197,27,0,659,217,3,0,92,14,0,329,98,0,0,28,4,0,128,40,0,0,18,3,0,59,19,0,0,8,0,0,29,15,0,0,14,0,0,30,52,77,9,27,95,8,263,1763,784,121,774,283,16,3738
SOSR714,0,4,0,0,0,0,12,0,18,0,0,0,0,20,4,77,17,3,14,0,106,3,47,6,5,29,3,101,10,21,19,8,9,0,63,23,19,4,8,41,0,93,72,11,4,13,21,0,124,175,6,0,50,14,0,250,122,6,0,25,8,0,168,38,3,0,6,0,0,52,16,0,0,3,0,0,15,12,0,0,0,0,0,16,3,0,0,0,0,0,4,4,0,0,0,0,0,3,16,30,3,6,21,4,88,500,247,57,131,161,8,1113
SOSR715,3,296,268,0,188,16,765,0,193,96,0,23,8,321,11,210,110,0,46,0,379,14,181,54,13,65,0,323,7,82,11,0,26,0,127,8,79,14,13,28,0,144,22,13,9,18,20,0,75,25,13,0,26,16,0,81,15,7,0,6,13,0,47,3,0,0,0,8,0,11,0,0,0,3,4,0,14,3,0,0,0,6,0,9,0,0,0,0,0,0,0,3,0,0,3,0,0,6,17,76,27,14,202,5,346,141,1152,590,97,634,39,2645
SOSR721,3,393,226,5,131,5,754,0,193,102,0,150,0,438,0,180,38,0,132,0,350,0,74,11,4,55,0,149,0,18,11,0,60,0,94,0,13,3,4,23,0,45,4,5,7,8,18,0,47,12,6,0,3,7,0,25,6,0,0,3,7,0,19,3,0,0,6,0,0,8,4,0,0,0,0,0,4,0,0,0,3,0,0,11,0,0,0,0,0,0,4,0,0,0,3,6,0,3,4,53,13,8,111,6,190,43,929,410,41,699,20,2143
SOSR722,0,447,119,3,36,8,610,0,263,68,0,11,3,352,0,195,76,8,16,0,291,0,136,51,11,12,0,206,0,25,9,10,6,0,45,0,28,6,12,0,0,57,3,8,0,19,8,0,42,9,9,0,6,0,0,31,4,4,0,4,4,0,13,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,31,5,60,0,162,25,1186,368,88,145,20,1830
SOSR731,0,217,243,12,30,14,517,0,86,42,3,17,0,147,0,40,37,27,36,3,138,0,30,12,31,19,0,89,3,12,6,40,16,0,71,8,18,4,73,142,0,245,24,7,4,86,44,0,162,69,0,0,122,15,3,214,76,0,0,84,12,0,174,78,0,0,35,6,0,112,27,0,0,20,0,0,50,9,0,0,8,0,0,15,0,0,0,6,0,0,8,5,0,0,6,0,0,9,10,51,55,60,109,10,292,307,457,398,599,454,38,2250
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,12,414,19,38,14,0,503,0,468,41,23,7,3,545,37,3203,113,166,34,12,3557,94,1185,170,301,71,9,1823,76,594,71,288,46,11,1081,289,638,108,452,506,3,2004,1100,596,179,893,549,9,3328,6677,643,185,2577,630,13,10732,9592,248,45,2663,348,13,12905,5886,42,16,1505,207,13,7672,2533,14,8,623,79,7,3269,958,11,3,296,32,0,1291,413,10,0,98,14,3,533,564,4,3,153,13,4,739,381,478,65,420,157,113,1615,28618,8556,1012,10491,2717,208,51598
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,27
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,5,0,0,0,0,5,0,6,0,0,0,4,0,0,4,0,4,0,0,0,0,7,0,0,0,3,0,0,14,0,0,0,8,6,0,12,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,7,8,9,0,22,18,0,57
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,9,0,0,23,0,35,0,13,0,0,3,0,26,0,23,0,3,6,0,35,0,23,0,5,3,0,32,0,0,0,11,0,0,13,0,3,0,6,0,0,12,0,3,0,10,0,0,13,0,0,0,13,7,0,16,0,0,0,5,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,14,0,86,5,58,52,0,204
SOSR921,0,0,0,3,0,0,3,0,0,0,3,0,0,5,0,0,0,17,0,0,16,10,0,0,17,4,0,31,8,0,0,23,0,0,38,12,0,0,24,3,0,33,29,0,0,17,0,0,50,13,0,0,5,0,0,20,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,7,0,14,80,0,0,115,22,0,220
SOSR922,0,7,0,0,12,0,18,0,0,0,0,0,0,0,0,8,0,3,0,0,11,3,0,0,0,0,0,7,0,0,0,0,0,0,0,7,15,3,0,0,0,28,0,6,0,0,9,0,8,0,0,0,0,5,0,3,0,0,3,0,4,0,6,4,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,13,17,47,9,3,32,0,111
SOSR931,0,0,23,4,0,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,6,0,0,4,6,0,0,0,0,0,8,9,0,0,4,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,28,27,4,0,70
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
