SOSR_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR615,407,9,8,0,0,421,315,4,3,0,0,324,323,8,6,0,0,337,621,6,9,0,0,642,839,16,6,0,0,863,2235,38,16,5,4,2298,1785,21,7,3,0,1821,1068,11,3,3,8,1084,240,3,4,0,0,245,165,0,0,0,0,171,83,5,0,0,0,90,407,5,5,0,0,416,8499,129,62,20,10,8712
SOSR621,140,3,0,0,0,146,121,3,0,0,0,127,122,0,0,0,0,126,229,0,0,0,0,237,312,0,0,0,0,308,644,9,0,0,0,655,539,3,0,4,0,546,365,0,0,3,0,370,120,0,0,0,0,124,99,0,0,0,0,103,47,0,0,0,0,50,169,0,0,0,0,173,2907,27,4,13,10,2957
SOSR622,67,0,0,0,0,73,59,0,0,0,0,61,62,0,0,0,0,62,113,0,0,0,0,121,138,0,0,0,0,136,309,0,0,0,3,313,177,0,0,0,0,183,100,0,0,0,0,100,40,0,0,0,0,40,32,0,0,0,0,32,18,0,0,0,0,16,64,0,0,0,0,67,1195,5,0,4,0,1204
SOSR631,869,0,0,4,3,881,554,0,0,6,0,557,526,0,0,7,0,538,950,3,0,4,3,967,1197,10,0,5,4,1214,3111,8,10,11,0,3138,2648,4,0,0,0,2661,2400,4,0,5,0,2410,826,0,0,0,0,829,624,5,0,0,0,628,383,0,0,4,0,394,756,0,0,3,3,760,14850,44,12,42,24,14967
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,334,25,73,0,0,436,102,10,29,0,0,144,84,15,34,0,0,133,218,42,77,0,0,336,260,47,131,4,0,446,989,196,380,4,0,1562,1529,220,436,3,0,2186,2961,217,394,0,3,3573,1721,93,166,0,0,1975,1321,51,122,0,0,1495,826,35,70,0,0,930,562,51,86,0,0,696,10910,1007,1988,15,0,13918
SOSR712,64,14,0,0,0,83,36,10,0,0,0,47,24,6,0,0,0,31,38,24,5,0,0,73,93,48,9,0,0,149,248,154,7,0,0,412,526,156,7,0,0,687,705,86,4,0,4,803,314,23,0,0,0,333,194,19,0,0,0,216,105,3,0,0,4,113,113,24,4,0,0,136,2460,567,43,7,15,3084
SOSR714,8,0,0,0,0,8,4,3,0,0,0,10,4,0,0,0,0,4,15,3,0,0,0,21,23,6,0,0,0,27,91,6,0,0,0,98,124,3,0,0,0,127,73,0,0,0,0,73,17,0,0,0,0,17,7,0,0,0,0,3,7,0,0,0,0,4,23,4,0,0,0,22,398,20,0,0,0,424
SOSR715,12,0,0,0,0,14,7,0,0,0,0,7,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,39,0,0,0,0,39,19,0,0,0,0,22,16,0,0,0,0,16,3,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7,133,0,0,3,0,135
SOSR721,7,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,5,6,0,0,0,0,9,17,5,0,0,0,20,15,0,0,0,0,15,35,5,0,0,0,38,35,0,0,0,0,35,36,0,0,0,0,36,28,0,0,0,0,28,18,0,0,0,0,14,198,11,0,4,3,213
SOSR722,7,0,0,0,0,7,6,0,0,0,0,6,7,0,0,0,0,7,8,0,0,0,0,8,14,0,0,0,0,12,35,5,0,0,0,37,33,0,0,0,0,30,32,0,0,0,0,37,15,0,0,0,0,17,14,0,0,0,0,13,13,0,0,0,0,13,15,0,0,0,0,17,197,3,0,12,0,212
SOSR731,111,0,0,4,0,118,31,0,0,0,0,32,49,0,0,3,0,50,63,0,0,3,0,66,96,0,0,3,0,97,341,0,0,9,0,350,374,0,0,0,6,378,729,0,0,3,0,736,526,0,0,6,0,529,495,0,0,4,6,505,283,0,0,6,0,289,208,0,0,6,4,215,3303,5,0,42,27,3374
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,2144,350,235,0,0,2729,612,96,71,0,0,775,527,115,96,0,0,733,886,215,226,0,0,1334,1190,313,385,0,0,1889,3746,1229,1936,0,3,6912,5669,2352,2383,0,6,10405,11764,2757,1985,0,0,16507,7960,956,602,0,5,9519,7220,693,512,0,6,8432,4967,404,302,0,4,5676,2084,355,283,0,0,2713,48749,9831,9001,4,32,67622
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,13,0,0,0,0,13,21,0,0,0,0,21,18,0,0,0,0,18,23,0,0,0,0,23,14,0,0,0,0,14,0,0,0,0,0,0,102,0,0,0,0,102
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,32,0,0,0,0,32
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,3,0,0,5,0,0,0,0,0,0,6,0,0,0,0,5,0,4,0,0,0,5,0,0,0,0,0,3,10,8,6,0,0,20,11,0,0,0,0,11,10,4,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,40,12,6,0,0,63
SOSR921,7,0,0,0,0,11,6,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,13,15,0,0,0,0,15,35,0,0,0,0,35,32,0,0,0,0,32,26,0,0,0,0,27,4,0,0,0,0,4,5,0,0,0,0,5,4,0,0,0,0,3,18,0,0,0,0,18,174,5,0,0,3,174
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SOSR931,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
