SOSR_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,95,154,428,259,226,183,41,0,0,1382,105,130,265,203,242,371,298,88,19,1722,87,134,331,282,204,147,61,21,7,1273,279,418,1022,749,666,698,404,104,32,4381,31,112,408,278,214,148,25,4,0,1229,66,97,287,141,133,136,50,0,0,910,17,24,91,51,49,39,5,0,0,284,6,10,23,15,18,9,6,5,0,87,123,245,809,492,412,338,86,6,0,2511,22,50,98,111,85,47,8,0,0,419,26,41,48,35,32,36,7,0,0,224,46,86,148,147,116,80,18,4,0,647,169,336,963,640,530,423,103,8,0,3161,186,224,484,446,514,772,759,216,33,3630,175,266,745,770,637,460,190,58,18,3319,532,829,2187,1859,1678,1648,1055,277,49,10112
SOSR201,60884,116060,294256,267966,229534,150762,35634,3300,238,1158643,58456,28109,61826,65590,59543,92751,154264,108892,51502,680943,4570,7028,19536,15074,11210,8951,8607,7927,7108,90007,123919,151199,375628,348635,300286,252467,198500,120121,58840,1929594,11036,85276,382901,365715,306174,187843,34688,2377,119,1376124,72256,110794,155239,147694,125508,102267,41653,6484,417,762318,10607,14300,29403,22256,13907,13981,5332,823,96,110713,1400,4773,11933,8291,5503,3438,1141,370,129,36970,95299,215141,579478,543945,451095,307531,82816,10048,767,2286127,2732,9432,18541,13532,11908,8370,1132,62,11,65732,19153,12351,10346,7700,6275,5865,1693,190,18,63586,21893,21785,28885,21239,18186,14230,2824,250,35,129322,117186,236925,608363,565184,469280,321767,85639,10300,798,2415445,127539,57792,95760,94133,92407,148936,271005,195520,83840,1166937,9542,15210,41095,31369,23547,18433,16185,14213,10854,180448,254272,309933,745220,690688,585234,489125,372835,220034,95489,3762827
SOSR203,6494,10402,22754,19823,18423,14196,3150,240,29,95512,4088,2177,4780,4448,4547,8369,16765,11463,5581,62209,523,675,1441,1156,1006,869,968,922,795,8364,11105,13252,28973,25426,23981,23437,20876,12629,6406,166091,1804,8674,28011,23624,22740,15109,2479,151,14,102606,7916,9053,13441,12582,10676,10221,3854,468,35,68243,973,1213,2704,1715,1222,1644,562,58,9,10093,163,333,728,467,372,285,102,57,18,2525,10851,19271,44884,38388,35009,27260,6997,729,72,183465,334,751,1218,801,797,564,75,3,0,4547,1361,736,781,528,441,448,147,15,5,4469,1695,1488,2002,1328,1233,1012,221,19,5,9016,12545,20764,46886,39724,36248,28272,7219,752,74,192474,8856,4136,7341,6617,7436,13845,29688,20423,8865,107209,1039,1443,3040,2293,2103,1832,1846,1615,1209,16422,22438,26344,57266,48628,45780,43953,38749,22789,10152,316110
SOSR211,1684,2389,6429,5861,4512,3077,647,43,4,24647,1403,711,2445,2125,1598,2389,4004,2032,699,17405,218,219,643,556,370,257,251,171,73,2762,3305,3319,9515,8546,6478,5722,4900,2255,780,44812,665,2476,8139,8078,6113,3670,647,21,0,29808,1800,1783,3614,3372,2412,1998,706,80,8,15764,236,252,708,461,327,358,109,17,3,2472,73,141,374,248,135,97,19,6,0,1101,2770,4654,12837,12160,8983,6120,1485,122,14,49147,165,319,537,424,298,208,30,0,0,1979,463,223,307,225,146,127,33,5,3,1525,623,537,843,655,449,336,60,5,3,3506,3394,5188,13681,12809,9428,6454,1546,126,10,52651,3014,1235,3296,2960,2556,3896,7264,3796,1132,29145,443,478,1255,1113,760,538,481,313,117,5498,6850,6904,18229,16879,12751,10892,9296,4235,1265,87292
SOSR212,4433,5591,13761,13797,13503,10369,2335,164,22,63969,2602,1137,3139,2914,2929,5777,11838,7707,3561,41607,380,385,1053,944,788,797,804,745,599,6493,7411,7109,17952,17655,17225,16943,14981,8611,4177,112074,1478,5590,17391,16635,17012,11540,2013,124,14,71802,5337,4131,7253,8376,7487,7171,2798,346,17,42908,730,590,1692,1257,926,1201,414,38,7,6864,140,243,498,465,373,252,78,35,13,2106,7683,10558,26843,26729,25802,20165,5304,536,49,123674,233,479,689,528,522,367,49,3,0,2866,861,362,416,370,280,318,77,8,7,2691,1093,841,1102,898,804,689,120,12,4,5565,8777,11400,27948,27627,26607,20854,5423,545,54,129242,5676,2150,4697,4330,4784,9430,21205,13959,5664,71879,811,837,2093,1899,1675,1578,1528,1308,921,12654,15267,14390,34739,33856,33063,31866,28154,15815,6635,213775
SOSR213,3955,4919,12146,11733,12006,9626,2294,184,24,56885,2361,1084,3085,2823,2954,5975,12540,8999,4028,43837,324,359,859,804,703,687,824,875,777,6201,6636,6360,16087,15359,15658,16290,15650,10056,4820,106926,1402,5115,15120,14112,14337,10315,1867,134,12,62424,4905,3643,6878,7434,7120,6937,2802,372,34,40134,562,464,1436,981,836,1203,413,53,9,5950,128,214,481,357,314,250,104,49,11,1913,7006,9437,23915,22889,22607,18709,5185,609,63,110423,254,448,681,456,517,439,68,3,4,2868,695,276,418,319,301,320,92,15,0,2428,949,721,1096,776,819,755,155,16,4,5298,7952,10162,25018,23665,23425,19465,5346,621,68,115719,5200,2043,4616,4321,4967,10063,22754,16337,6453,76756,678,742,1744,1547,1483,1350,1589,1513,1194,11852,13824,12946,31377,29543,29876,30880,29687,18476,7715,204331
SOSR214,1954,2419,5980,6020,6661,5937,1622,159,22,30773,1360,528,1485,1427,1707,3963,9212,6296,2988,28969,185,158,454,464,423,519,666,701,514,4082,3501,3105,7917,7912,8788,10424,11496,7159,3524,63822,728,2554,7386,6852,7657,5841,1180,87,11,32301,2307,1823,3445,3865,4023,4563,2040,291,16,22375,362,304,831,624,528,792,322,50,9,3808,107,121,257,209,193,177,83,33,17,1193,3500,4804,11921,11550,12398,11376,3626,463,47,59685,125,186,293,242,283,240,31,0,0,1406,283,138,175,148,177,209,66,11,3,1205,412,323,467,392,459,455,92,11,3,2614,3909,5128,12390,11939,12858,11827,3723,473,49,62297,3018,1072,2228,2280,2927,6743,16726,11806,4835,51642,391,346,927,936,891,1063,1284,1276,809,7928,7320,6544,15546,15155,16679,19633,21732,13555,5699,121867
SOSR215,2982,3543,9423,9963,10619,9577,2424,271,25,48833,2261,748,2307,2289,2550,5895,12343,8190,3826,40417,342,294,767,780,862,821,969,862,590,6289,5588,4582,12503,13034,14035,16302,15740,9321,4441,95544,1167,3933,11705,11747,12750,10011,2008,199,14,53532,3505,2573,5431,6413,6386,7166,3070,467,32,35043,543,390,1372,961,916,1321,471,81,13,6068,186,226,443,355,405,261,147,56,17,2096,5397,7120,18955,19473,20458,18755,5698,800,75,96731,172,281,459,361,420,422,67,0,0,2182,458,186,238,236,214,345,98,13,0,1784,632,471,697,593,636,768,161,16,0,3970,6030,7590,19653,20063,21094,19521,5857,820,76,100697,4859,1371,3325,3426,4280,9987,22955,15340,6167,71700,719,663,1522,1613,1719,1738,1958,1520,914,12370,11608,9623,24498,25102,27085,31245,30765,17677,7150,184765
SOSR221,824,843,2292,2600,3081,2882,720,66,6,13320,609,190,557,597,719,1795,3497,1954,814,10734,98,70,164,236,230,309,263,214,187,1772,1537,1103,3016,3431,4032,4990,4478,2240,1002,25825,363,982,2752,3009,3608,2874,585,55,5,14240,937,638,1353,1770,1916,2353,943,115,7,10032,159,86,359,286,236,391,156,15,6,1693,58,44,119,110,113,98,35,10,4,587,1513,1748,4590,5170,5872,5720,1724,204,18,26552,38,57,106,81,136,136,21,0,0,580,88,44,55,53,72,97,27,4,0,438,126,99,163,131,206,236,45,4,0,1016,1637,1849,4748,5306,6077,5954,1772,206,18,27569,1278,345,786,929,1241,3242,6918,3929,1351,20013,189,153,340,450,510,629,620,421,287,3598,3103,2351,5867,6681,7831,9819,9308,4555,1658,51183
SOSR222,439,511,1209,1391,1699,1597,391,41,4,7275,331,102,289,335,365,1018,1667,955,343,5412,65,78,126,141,149,187,134,106,68,1053,831,685,1631,1872,2212,2803,2187,1106,414,13745,163,509,1430,1599,2023,1706,386,44,0,7868,454,375,762,899,1038,1228,499,64,7,5328,90,79,171,155,174,236,87,12,0,1001,34,38,76,57,61,51,29,13,0,362,739,1007,2438,2717,3304,3220,997,127,10,14558,26,44,69,54,82,95,16,0,0,385,45,23,44,38,41,64,20,0,0,265,68,68,113,91,121,154,32,0,0,653,810,1074,2552,2811,3428,3377,1030,129,10,15215,731,198,438,515,646,1789,3353,1887,598,10149,148,159,285,280,339,400,327,212,110,2245,1684,1426,3270,3606,4415,5566,4713,2229,714,27613
SOSR231,6819,6818,14028,18025,24569,22478,7347,1305,129,101508,4895,1298,2943,3598,4607,10575,18112,8809,2464,57304,903,647,1422,1803,2207,2451,2036,1208,438,13123,12624,8759,18401,23422,31378,35508,27492,11317,3033,171931,3356,8170,17725,22409,31094,26615,8427,1696,157,119657,7859,4989,7860,11379,14515,16806,8441,1857,237,73932,1219,742,1904,1578,2073,2868,1135,209,38,11764,491,430,765,760,1041,912,595,321,70,5376,12922,14329,28255,36121,48723,47196,18600,4083,499,210724,247,428,588,467,702,741,94,4,4,3267,874,299,303,272,403,614,173,23,0,2963,1120,729,886,738,1109,1349,266,29,0,6227,14043,15048,29141,36857,49824,48548,18867,4113,507,216956,10452,2710,5589,6343,8330,18765,36292,18653,4634,111759,1875,1437,2931,3648,4614,5173,4543,2523,822,27568,26374,19202,37655,46846,62773,72485,59700,25286,5963,356286
