SOSR_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR201,1102854,3201336,156608,323779,126620,312906,283230,636687,85159,154126,52785,86616,62551,102756,74315,128371,914,1992,275722,473854,360,447,1205,1523,13,32,3635,7117,5212,9122,1691,3380,1668713,4324380,188947,..,1857654,4324380
SOSR203,128909,322151,14717,23560,2647,5217,17364,28778,3156,4808,269,419,306,450,134,229,39,59,3902,5968,62,81,219,313,0,7,203,456,484,861,240,493,150904,358250,11552,..,162458,358250
SOSR211,35469,99877,3056,5146,362,794,3418,5936,345,525,0,0,0,0,0,0,21,51,370,575,42,44,0,0,6,3,17,59,63,113,35,94,39352,106598,2464,..,41818,106598
SOSR212,86012,223503,7347,11753,1404,2772,8748,14522,3769,5600,117,164,24,28,0,0,30,54,3936,5843,75,115,242,407,17,37,242,380,577,946,148,290,99425,245101,10914,..,110340,245101
SOSR213,86269,213762,7950,11719,560,960,8512,12676,2497,3558,49,92,0,0,0,0,34,60,2577,3707,131,188,351,498,15,30,93,201,595,914,103,218,98057,231273,8678,..,106733,231273
SOSR214,52627,122307,4946,7221,468,905,5412,8129,588,844,39,54,6,5,0,0,30,42,664,951,156,225,245,364,3,7,121,243,517,838,126,268,59350,132487,14820,..,74176,132487
SOSR215,81547,194679,3775,5563,481,1005,4250,6564,1240,1803,9,20,16,25,7,20,36,80,1302,1948,301,446,295,418,19,27,204,421,818,1319,172,358,88095,204865,17285,..,105378,204865
SOSR221,23075,53941,481,731,69,137,556,866,131,174,0,4,166,251,0,0,13,20,315,454,143,213,75,105,5,9,109,231,338,563,38,55,24321,55878,9261,..,33585,55878
SOSR222,12323,28609,132,231,28,56,162,288,92,169,15,50,15,38,9,18,8,10,142,289,49,79,30,60,12,21,60,124,151,281,31,63,12809,29527,4954,..,17761,29527
SOSR231,146332,381391,443,978,143,344,587,1327,117,207,0,5,0,3,5,14,64,134,189,354,636,943,887,1422,83,158,99,227,1712,2748,393,825,149218,386645,29150,..,178369,386645
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR301,591786,1708733,29846,51730,69935,154312,99786,206037,34874,58017,34709,60444,30894,55444,30735,54149,1480,2932,132694,230981,891,1182,1393,1904,30,67,269,581,2580,3732,1418,2649,828265,2152135,56848,..,885110,2152135
SOSR302,198337,567299,24767,46276,39491,88268,64255,134542,14291,25223,17891,31814,15736,28871,17994,32619,464,978,66380,119499,1163,1720,505,767,23,46,162,339,1852,2868,999,1878,331829,826097,40938,..,372762,826097
SOSR303,121712,324628,13586,22363,7629,13422,21216,35787,8840,15008,4694,8152,1966,3537,1041,1842,48,110,16593,28648,395,615,308,521,48,60,121,248,864,1448,604,1057,160993,391565,16281,..,177274,391565
SOSR311,78969,202042,7285,11771,3399,5760,10687,17534,4211,6647,202,317,431,752,296,537,54,111,5199,8364,610,1001,422,612,19,29,77,147,1123,1793,365,691,96341,230424,9473,..,105821,230424
SOSR312,31559,78288,2433,3697,2336,3927,4765,7624,2060,3099,398,579,307,501,89,132,27,57,2879,4362,201,275,223,327,7,10,18,25,447,631,78,141,39721,91039,4553,..,44277,91039
SOSR313,49466,131933,3963,6461,1267,2341,5234,8795,2681,4463,377,695,321,555,8,14,11,16,3398,5745,242,442,122,228,164,201,56,136,590,1010,266,497,58955,147978,7717,..,66667,147978
SOSR314,51468,136406,3909,6623,1225,2316,5140,8939,1604,2804,76,129,65,113,0,0,79,158,1824,3209,513,810,115,193,48,86,98,212,769,1300,155,270,59355,150122,7138,..,66490,150122
SOSR315,81789,209355,3634,6370,1400,2752,5030,9124,2809,4706,115,178,20,44,0,0,85,136,3030,5067,861,1476,317,513,133,258,147,301,1462,2549,611,1117,91922,227205,14219,..,106136,227205
SOSR321,33031,83179,701,1364,142,300,842,1665,522,898,11,30,6,10,0,4,49,107,579,1051,340,596,135,210,95,184,74,141,640,1133,168,344,35262,87374,6210,..,41470,87374
SOSR322,15157,36232,321,610,96,167,416,769,271,412,0,4,0,0,0,0,7,6,280,425,291,486,122,199,44,78,52,98,502,858,121,260,16473,38547,4835,..,21306,38547
SOSR331,144641,385665,979,2437,203,495,1186,2936,364,713,8,23,0,3,6,20,299,637,681,1405,1414,2557,669,1163,415,944,200,501,2692,5169,1146,2595,150350,397766,24183,..,174533,397766
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,..,3,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR401,353909,934969,61080,113406,23541,50782,84626,164192,29531,49584,4326,7010,5604,9336,3677,6185,267,578,43409,72691,375,586,256,359,0,9,431,921,1066,1871,1103,2173,484112,1175897,36353,..,520465,1175897
SOSR412,30213,75838,7022,12576,207,396,7224,12971,1434,1988,39,52,18,25,0,0,18,33,1505,2093,52,80,17,16,0,0,6,23,73,112,89,174,39103,91190,3799,..,42900,91190
SOSR413,31451,74112,3348,5757,275,557,3624,6314,985,1348,45,68,16,28,0,0,19,48,1059,1493,86,141,62,121,0,5,31,65,181,324,122,223,36441,82470,6277,..,42715,82470
SOSR414,12092,27743,726,1064,57,124,789,1191,93,111,0,0,0,0,0,0,0,0,93,114,28,37,48,68,0,0,10,20,86,125,49,91,13105,29261,2675,..,15784,29261
SOSR415,41686,98435,3346,5093,103,195,3450,5289,695,961,0,0,0,0,0,0,13,25,702,986,227,378,83,130,23,42,60,144,391,696,147,284,46376,105690,10654,..,57023,105690
SOSR421,11845,27343,391,590,11,25,405,613,96,130,0,0,0,0,0,0,5,5,102,132,130,242,23,47,8,21,41,93,204,401,43,82,12593,28572,2690,..,15282,28572
SOSR422,7451,16532,148,237,7,7,152,243,47,69,0,0,0,0,0,0,0,5,52,74,48,81,26,41,3,13,35,62,109,198,45,84,7812,17130,4355,..,12173,17130
SOSR431,50354,127840,321,780,50,121,373,902,29,49,46,52,0,5,3,11,20,49,104,169,275,517,251,402,41,89,94,224,664,1224,286,550,51767,130687,17024,..,68796,130687
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR501,582882,1589002,79026,148105,30958,62484,109986,210592,18883,30468,14370,22805,16121,26200,9300,16017,735,1509,59408,96994,851,1188,927,1305,66,126,355,714,2198,3329,744,1425,755215,1901339,70264,..,825485,1901339
SOSR511,23878,61713,2775,4318,438,802,3206,5124,450,682,104,160,15,27,32,53,9,12,610,933,133,185,90,135,12,7,12,20,238,350,50,87,27979,68201,2864,..,30845,68201
SOSR512,38228,95813,4488,7301,712,1393,5195,8696,378,583,15,14,20,27,0,0,55,99,461,727,133,192,287,405,18,32,42,78,473,710,88,167,44443,106110,7347,..,51795,106110
SOSR513,17733,49988,2101,4229,665,1372,2764,5601,565,908,148,222,114,195,137,198,12,15,967,1544,232,450,42,61,20,36,43,105,328,653,127,241,21923,58030,4624,..,26552,58030
SOSR514,9451,23028,530,952,162,323,689,1275,138,211,0,0,0,3,0,0,3,5,141,224,30,46,29,74,0,3,0,4,60,126,37,77,10381,24727,3042,..,13419,24727
SOSR515,29247,72704,2185,3521,231,432,2415,3952,367,613,24,38,0,0,0,0,9,14,397,668,409,698,113,166,31,61,73,187,623,1120,159,290,32849,78732,8336,..,41190,78732
SOSR521,12540,29971,543,947,54,90,589,1034,146,217,9,7,0,0,0,0,9,14,153,236,175,301,23,38,15,22,54,116,267,477,100,154,13658,31873,4531,..,18191,31873
SOSR522,6988,17531,223,363,11,26,233,390,52,75,0,0,0,0,0,0,5,0,55,82,129,225,17,31,7,15,21,56,174,325,83,154,7539,18479,3575,..,11118,18479
SOSR531,48095,125173,323,817,36,88,357,905,65,116,5,12,0,0,4,4,92,196,163,332,838,1545,347,563,169,373,132,337,1485,2812,635,1361,50741,130583,13513,..,64253,130583
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR603,63101,159580,3026,5068,2464,4979,5489,10054,5882,10532,1035,1711,593,1040,31,46,128,252,7664,13585,40,57,65,106,0,0,158,359,263,524,163,313,76686,184049,5336,..,82017,184049
SOSR611,26181,64485,2279,3757,890,1875,3166,5633,2589,4075,112,178,31,44,9,18,107,202,2846,4519,6,6,0,0,5,12,97,171,106,184,67,119,32366,74945,2508,..,34878,74945
SOSR612,16333,38314,1679,2416,301,469,1985,2891,80,118,43,44,46,70,0,0,3,5,171,238,73,103,60,98,3,0,28,64,163,270,22,43,18667,41757,1544,..,20213,41757
SOSR613,4614,10685,571,794,21,42,590,837,17,21,0,0,0,0,0,0,6,6,26,30,39,59,31,48,0,0,19,34,89,143,8,14,5328,11701,367,..,5697,11701
SOSR614,6285,14716,318,439,35,51,356,487,73,116,0,0,0,0,0,0,5,4,79,123,19,29,11,19,0,8,15,32,45,87,8,8,6771,15417,746,..,7522,15417
SOSR615,24187,56267,1243,1791,143,320,1386,2113,596,926,0,0,0,0,0,0,12,24,613,951,137,200,45,82,9,27,83,174,276,477,51,113,26520,59934,3445,..,29968,59934
SOSR621,8375,19191,190,258,34,80,225,338,72,109,0,0,0,0,0,0,6,13,81,123,52,83,29,59,3,3,24,46,103,188,38,71,8823,19914,3019,..,11837,19914
SOSR622,3625,8092,37,63,0,0,38,59,23,34,0,0,0,0,0,0,3,4,25,36,9,8,23,32,5,10,12,19,44,76,16,37,3758,8299,1576,..,5335,8299
SOSR631,38858,96713,121,292,37,81,160,375,47,101,0,0,0,0,0,0,24,55,78,150,162,275,91,177,25,48,21,52,297,560,109,212,39495,98012,10634,..,50132,98012
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR703,24542,73783,2701,5293,2187,4881,4886,10174,4029,8148,1919,4070,3253,6908,2592,5218,22,39,11815,24383,240,523,73,119,32,48,19,43,355,732,124,210,41727,109282,4217,..,45942,109282
SOSR712,5410,15903,1647,3441,838,1803,2483,5253,345,553,22,38,0,0,0,0,6,21,372,612,98,189,3,12,11,13,10,15,123,219,127,230,8519,22220,1146,..,9672,22220
SOSR714,1368,4059,300,592,126,287,428,879,51,116,0,0,6,3,0,0,0,0,53,116,10,19,0,0,6,6,0,12,19,39,34,53,1897,5137,370,..,2265,5137
SOSR715,3122,14242,296,1061,40,62,344,1124,124,221,0,0,12,28,0,0,7,9,140,264,3,9,15,26,11,52,7,19,38,109,35,70,3684,15812,633,..,4311,15812
SOSR721,2099,9316,569,1453,0,3,571,1459,174,316,0,0,0,0,0,0,0,0,174,316,45,96,8,14,5,9,0,12,63,132,61,95,2967,11319,761,..,3730,11319
SOSR722,2316,9839,174,574,3,12,182,589,41,161,0,0,0,0,0,0,0,7,43,167,55,132,5,16,9,21,5,9,76,177,43,95,2661,10866,645,..,3310,10866
SOSR731,8354,26889,76,228,7,30,79,252,31,86,0,0,0,0,0,0,9,17,34,102,286,574,88,153,114,287,8,17,506,1034,238,482,9202,28764,2631,..,11838,28764
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,..,3,12
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR802,106123,302857,13741,27057,15163,34960,28906,62016,5628,10224,7745,14238,12642,22199,6206,11000,442,862,32669,58520,45,64,105,181,0,0,12,30,163,275,202,427,168058,424095,11952,..,180011,424095
SOSR822,188,568,13,16,3,3,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,589,15,..,217,589
SOSR831,126,392,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,138,421,25,..,162,421
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR915,191,520,83,214,11,29,95,244,76,127,51,136,5,13,0,0,0,0,127,275,0,0,0,0,0,0,0,0,3,3,6,3,416,1044,109,..,533,1044
SOSR921,698,1422,7,18,4,3,11,17,3,8,0,0,0,0,0,0,9,13,10,19,0,0,0,0,0,0,0,0,0,0,13,19,727,1475,163,..,888,1475
SOSR922,155,573,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,6,3,5,156,588,29,..,185,588
SOSR931,219,535,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,4,11,227,548,31,..,253,548
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
