SOSR_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
SOSR201,4378,31760,52165,39915,34928,31798,28056,16032,5306,244328,2912,34854,78487,55939,48395,40275,24591,10684,3539,299670,1406,29915,99446,69978,58239,47034,22918,7947,2174,339047,400,15740,85176,60158,46938,35208,14804,4525,1247,264202,221,7034,73057,59860,46587,32476,11655,3827,1211,235927,88,2788,47312,49256,37358,24713,7863,2276,660,172312,93,2216,68458,101420,74421,43847,11792,3154,917,306326,51,410,11120,26425,21225,11892,3310,977,332,75748,112,629,11244,43176,47586,25753,8074,2691,941,140204,12985,19214,47638,36891,29564,23839,21359,19691,16910,228090,254272,309933,745220,690688,585234,489125,372835,220034,95489,3762827
SOSR203,603,3374,4840,3470,3164,3353,3348,1902,611,24664,361,3660,7099,4735,4384,4029,2701,1129,406,28493,156,2674,8187,5720,5135,4691,2240,719,202,29717,40,1370,6316,4518,4041,3344,1291,341,89,21352,18,600,5367,4403,3750,2818,928,320,136,18351,6,232,3247,3422,3105,2016,556,144,46,12770,11,176,4030,5841,5260,3299,722,164,50,19554,7,36,533,1135,1123,707,167,55,22,3774,13,59,584,1686,1987,1104,417,168,60,6076,1379,1700,3383,2587,2527,2323,2557,2347,1977,20773,22438,26344,57266,48628,45780,43953,38749,22789,10152,316110
SOSR211,205,820,1608,1274,916,773,732,310,65,6695,171,1034,2364,1905,1370,1120,516,174,31,8678,102,815,2702,2251,1673,1197,468,79,24,9323,13,373,1873,1795,1241,809,272,42,13,6438,7,149,1436,1454,937,646,177,41,10,4867,3,69,731,1011,739,427,109,12,4,3106,0,35,783,1293,1027,562,114,11,0,3826,0,9,105,177,152,83,17,8,0,550,0,16,110,188,180,119,41,25,12,687,537,543,1386,1203,885,674,600,460,204,6499,6850,6904,18229,16879,12751,10892,9296,4235,1265,87292
SOSR212,436,1956,2966,2430,2317,2344,2544,1249,334,16585,233,2118,4206,3375,3137,2913,1895,805,268,18949,100,1610,5111,3902,3683,3411,1764,484,130,20191,30,757,3874,3155,3026,2500,974,278,68,14660,14,403,3297,3045,2864,2138,676,226,90,12745,4,141,1931,2367,2256,1518,459,91,35,8809,7,114,2296,4045,3865,2590,558,140,45,13658,0,23,338,820,852,532,148,42,9,2769,13,34,310,1191,1429,907,313,117,47,4358,1096,985,2307,2173,2069,1911,2008,1779,1391,15718,15267,14390,34739,33856,33063,31866,28154,15815,6635,213775
SOSR213,436,1757,2746,2326,2342,2419,2538,1479,480,16513,253,2053,4091,3110,3045,2995,1955,773,277,18561,130,1481,4511,3614,3675,3273,1590,543,149,18966,37,711,3370,2827,2542,2110,919,255,67,12835,11,290,2706,2602,2349,1820,652,198,66,10682,6,132,1607,1817,1822,1340,358,93,34,7197,5,103,1899,3018,2949,2079,439,110,42,10642,5,14,253,550,579,412,106,30,7,1960,9,23,280,656,859,678,256,106,41,2903,969,926,2217,1996,1904,1779,2194,2054,1737,15764,13824,12946,31377,29543,29876,30880,29687,18476,7715,204331
SOSR214,226,952,1471,1258,1436,1581,1836,1068,317,10134,151,998,1992,1601,1728,1865,1362,598,192,10492,59,747,2284,1813,1960,2005,1143,412,106,10533,14,354,1528,1392,1415,1366,562,187,56,6875,6,156,1352,1282,1262,1110,463,175,79,5891,6,69,756,888,905,749,276,74,24,3750,9,51,921,1401,1510,996,295,85,27,5301,0,3,123,256,280,251,77,24,6,1029,4,6,103,277,405,354,168,116,37,1468,604,419,1067,1071,1124,1295,1635,1710,1367,10299,7320,6544,15546,15155,16679,19633,21732,13555,5699,121867
SOSR215,337,1389,2124,1920,2110,2472,2525,1349,378,14600,184,1499,2967,2476,2842,2936,1911,824,240,15875,95,1064,3560,2991,3082,3251,1699,546,123,16419,25,543,2667,2451,2346,2200,898,264,68,11460,9,264,2205,2171,2060,1758,635,245,81,9433,0,107,1150,1538,1567,1210,378,105,34,6086,0,98,1467,2476,2606,1935,505,118,31,9238,0,16,223,496,506,415,142,40,14,1842,14,30,239,715,886,691,307,122,47,3042,1050,783,1756,1837,2042,2179,2492,2067,1420,15621,11608,9623,24498,25102,27085,31245,30765,17677,7150,184765
SOSR221,91,326,527,493,592,756,817,348,74,4016,53,361,698,646,790,914,545,220,50,4273,29,287,818,797,883,948,487,139,20,4408,9,137,639,618,729,664,270,82,11,3162,7,49,529,559,590,560,200,49,19,2551,0,27,302,386,442,366,116,29,0,1674,0,12,328,679,714,532,177,48,7,2502,0,3,51,121,136,97,54,16,6,475,10,0,49,180,250,203,107,32,15,845,319,187,402,515,602,730,786,568,389,4497,3103,2351,5867,6681,7831,9819,9308,4555,1658,51183
SOSR222,56,214,295,311,358,420,370,155,33,2217,32,219,431,356,407,507,266,103,25,2349,20,123,469,417,496,543,233,53,14,2367,6,64,319,319,399,396,152,41,3,1690,0,30,244,290,325,310,82,31,12,1331,0,15,127,206,241,203,79,12,0,881,4,10,138,316,401,323,77,15,0,1289,0,0,20,54,71,50,17,10,0,220,0,0,25,98,127,87,51,19,9,414,232,172,307,315,390,463,424,274,164,2742,1684,1426,3270,3606,4415,5566,4713,2229,714,27613
SOSR231,898,2455,2932,3334,4335,5350,4882,1959,346,26491,573,2862,4244,4220,5687,6361,4137,1360,236,29675,292,2197,5112,5031,6899,7261,3853,1005,163,31807,82,1122,3717,4021,5283,5180,2279,639,88,22409,38,538,3018,3767,4978,4570,1807,520,93,19331,19,188,1780,2898,3576,3161,1130,295,52,13108,16,148,2238,4680,6227,4876,1697,406,75,20373,6,29,349,1132,1595,1203,460,147,27,4946,12,48,513,1803,2926,2625,1221,430,94,9670,2765,1949,4468,5137,6079,6571,5808,3236,1073,37086,26374,19202,37655,46846,62773,72485,59700,25286,5963,356286
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
SOSR299,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
SOSR301,4249,19818,27572,20302,16770,15475,14378,7831,2236,128636,2746,22192,40951,28887,24818,20104,12214,5060,1434,158411,1263,17757,47846,36525,31209,24856,11346,3519,897,175208,411,10198,38778,31098,25944,18833,7043,1807,471,134585,170,4787,33339,30021,24855,16733,5294,1513,451,117170,67,1751,21274,25068,21350,13327,3513,873,211,87442,61,1460,29016,48203,42151,23093,4891,1126,313,150314,29,233,4595,11034,10220,5322,1269,365,103,33165,79,317,4514,17909,21238,11329,3156,1019,330,59879,7381,10377,23015,18162,14613,11219,9738,8807,7746,111048,142815,163409,350151,332576,296180,240341,182994,100251,38897,1847605
SOSR302,1708,7635,10698,8646,8220,8231,7797,4328,1246,58514,949,7765,15143,11635,11888,10179,6485,2832,771,67655,391,5350,16509,14415,13918,11678,6041,2199,530,71038,116,2454,11779,11149,10698,8095,3457,1188,255,49189,53,1143,9298,10418,9841,6935,2791,1002,298,41768,33,456,5842,7979,7909,5188,1830,558,115,29920,15,412,7343,13332,13568,7883,2450,770,160,45933,10,70,1236,2873,3142,1960,716,220,63,10294,28,116,1476,4800,5958,3950,1708,682,158,18869,3127,4034,9362,7871,7536,6347,6108,5614,4522,54513,51749,52677,115654,117521,118890,107542,95649,56766,20942,737390
SOSR303,1070,3686,5090,4041,3714,3470,3213,1642,460,26391,712,4296,7409,5681,5426,4726,2621,1022,279,32184,284,3316,8342,6851,6415,5541,2496,698,131,34077,126,2308,6599,5475,5274,4034,1362,346,83,25614,51,1081,5743,5164,4906,3470,1075,301,71,21868,26,438,3458,3917,4159,2782,714,155,32,15676,21,359,4166,6257,6691,4208,895,136,55,22783,5,44,528,1118,1193,871,214,56,19,4046,18,51,539,1543,1946,1370,453,161,65,6139,2227,3290,6322,5051,4511,3604,2932,2299,1468,31699,28337,30179,61474,56737,56401,50383,39374,21445,7954,352278
SOSR311,668,1966,2690,2180,2225,2157,2122,1276,340,15622,409,2238,3828,3041,2996,2745,1552,670,200,17680,154,1562,3972,3330,3385,3030,1404,465,83,17395,51,937,2811,2746,2506,2107,740,199,52,12143,25,527,2414,2423,2351,1877,549,196,72,10449,14,264,1712,1937,1932,1453,338,60,28,7742,10,307,2426,3344,3313,2260,461,91,19,12218,0,41,451,778,759,490,103,30,13,2654,14,47,350,851,1058,730,229,108,37,3440,1108,1331,2885,2598,2632,2384,2136,2259,1408,18735,15119,14374,31099,30005,30685,31956,28630,18205,6854,206931
SOSR312,174,696,988,850,867,975,1045,578,160,6329,131,662,1231,1061,1126,1075,706,360,71,6428,72,451,1250,1187,1291,1205,631,221,45,6357,30,274,913,910,909,877,328,84,20,4343,12,156,806,839,867,677,221,101,39,3725,6,86,522,651,670,510,144,31,11,2623,4,86,721,1066,1240,913,187,40,4,4262,0,10,118,211,244,211,44,13,0,854,0,11,89,241,325,268,92,24,7,1061,395,357,797,800,863,838,814,771,526,6152,5574,4896,10567,10884,12032,13539,13363,8024,2822,81697
SOSR313,449,1215,1803,1497,1377,1280,1292,694,173,9780,307,1502,2699,1969,1788,1559,913,370,87,11213,165,1099,2812,2293,2052,1825,806,267,46,11367,45,724,1948,1732,1504,1276,446,102,23,7807,24,388,1726,1567,1491,1125,381,95,28,6825,15,216,1201,1321,1279,914,215,66,9,5228,11,293,2050,2559,2473,1620,325,57,19,9402,0,30,332,595,536,381,61,23,3,1962,5,24,307,618,623,445,132,55,13,2224,743,817,2046,1764,1544,1349,1112,852,501,10735,10032,9324,22086,20381,19187,18587,15650,8949,3127,127325
SOSR314,417,1137,1966,1485,1474,1391,1261,705,185,10039,308,1420,2798,2020,1937,1682,997,352,111,11621,145,1035,2664,2321,2356,2032,862,249,58,11708,52,563,1914,1803,1775,1354,395,120,24,8008,35,342,1611,1698,1689,1202,342,121,39,7080,6,172,1090,1304,1376,899,217,54,10,5121,14,239,1562,2262,2300,1499,267,67,23,8225,3,18,328,589,555,347,79,17,8,1949,14,25,318,602,639,417,115,56,16,2197,1034,1073,2499,2039,1995,1638,1441,1215,793,13736,10301,9031,21617,20825,21204,19722,16817,9787,3636,132939
SOSR315,583,1553,2546,2196,2395,2447,2280,1071,270,15350,387,1862,3505,2848,2938,2839,1636,563,162,16746,183,1332,3612,3212,3339,3215,1297,359,73,16616,78,728,2554,2476,2478,2173,827,185,38,11543,43,407,2111,2285,2305,1841,551,203,56,9815,16,256,1455,1770,1812,1353,330,69,13,7071,13,325,2259,2939,3071,2175,455,83,15,11323,0,30,412,673,722,463,134,28,10,2468,12,25,312,695,742,557,245,89,21,2700,1577,1635,4031,3299,3173,3072,2659,2006,1224,22674,14444,12864,30481,29715,31642,34435,31515,16331,5464,206897
SOSR321,224,494,811,786,960,1091,906,419,79,5772,128,552,1034,1009,1083,1252,656,245,44,6007,79,429,1123,1191,1330,1334,594,161,26,6275,27,225,818,888,1058,882,325,65,13,4290,7,156,627,802,906,763,250,88,20,3620,7,79,452,596,677,539,138,31,6,2519,6,72,562,967,1186,781,187,43,8,3815,0,9,110,222,205,184,45,7,0,788,8,14,107,282,313,259,108,36,13,1127,713,587,1353,1281,1318,1366,1172,814,257,8860,5498,4316,9775,10899,12880,14911,12997,6404,1556,79232
SOSR322,65,203,396,377,438,505,453,182,32,2651,51,245,488,415,513,591,303,105,21,2732,29,186,467,416,563,714,281,76,14,2748,9,109,335,319,402,470,151,44,11,1857,5,69,222,289,379,332,117,30,3,1454,3,21,192,211,270,262,66,10,0,1031,0,51,242,383,452,370,96,18,0,1609,0,3,51,83,100,87,20,8,0,350,0,7,34,77,101,104,45,6,4,382,290,206,522,480,574,710,629,392,137,3947,2051,1970,4384,4381,5469,7289,6268,3024,702,35541
SOSR331,1232,2430,3350,3569,4546,5151,3973,1737,265,26257,774,2797,4414,4510,5938,6172,3380,1059,183,29223,419,2265,4966,5279,6795,6844,3133,898,134,30735,122,1184,3525,4066,5093,4638,1802,427,48,20895,57,619,2941,3980,5073,4213,1422,380,79,18766,27,323,1928,2963,3897,2967,909,201,47,13262,22,334,2631,5313,6494,4558,1185,271,33,20833,3,32,525,1274,1627,1110,343,125,17,5054,17,52,496,1777,2813,2031,816,295,34,8336,2992,2762,6377,6556,7841,7681,5836,3103,761,43919,27016,19762,41750,51750,67583,74122,58073,25367,5145,370559
SOSR379,0,5,3,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,52,36,8,0,0,0,136,0,16,49,64,45,5,3,0,0,183
SOSR399,12,79,182,98,85,130,143,27,5,765,12,103,303,112,106,131,103,12,0,886,9,47,230,115,95,119,70,12,0,690,0,17,126,90,66,93,28,0,0,421,0,16,105,75,46,70,26,6,0,351,0,3,52,48,42,46,17,0,0,217,0,12,75,94,58,63,13,0,0,310,0,3,14,19,16,12,0,0,0,64,0,0,21,36,29,29,3,6,0,121,113,243,661,545,470,410,298,70,13,2817,566,934,2649,2077,1929,2468,2124,444,44,13234
SOSR401,1421,9268,14845,11791,10144,10163,10298,5797,2221,75940,826,9832,21698,16527,14494,13011,8447,3947,1493,90271,426,8075,26674,21031,18254,16005,8001,2901,813,102171,124,4204,19960,16859,14456,11552,4820,1473,399,73850,75,1819,15658,15053,12880,9817,3574,1154,423,60455,26,696,9264,11862,10386,7392,2247,668,195,42751,26,476,11057,19203,18023,11862,3167,890,243,64936,15,89,1536,3724,3756,2471,791,268,90,12730,37,182,1581,5614,7175,5224,1994,725,257,22795,2984,3913,8724,7363,6567,5938,5601,5312,4575,50970,69374,83229,178542,167621,155078,148698,124690,73023,33293,1033551
