SOSR_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SOSR179,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOSR199,0,8,..,40,3,36,0,36,..,9,0,11,0,12,..,0,5,3,0,3,..,0,0,0,0,0,..,9,5,11,0,11,..,3,0,3,0,3,..,5,0,5,0,5,..,12,0,12,0,12,..,6,0,6,0,6,..,14,0,14,0,14,..,6,0,12,0,6,..,6,0,3,0,3,..,4,0,4,0,4,..,8,0,8,0,8,..,12,0,12,0,12,..,5,0,5,0,5,..,9,0,10,0,17,..,38,3,39,0,43,..,27,3,28,0,28,..,6,0,6,0,6,..,9,0,6,0,8,..,0,0,5,0,5,..,13,8,20,0,20,..,79,15,98,0,102,..,488,80,573,10,579,..,16,0,16,1514,1530,2889,505,80,589,1519,4997,6417,..,..,..,..,6417,..,6,0,6,0,6,..,83,9,87,8,90,..,13,0,17,0,18,..,46,11,51,0,51,..,106,49,151,0,152
SOSR201,55,5832,..,129236,10895,140129,1414,141541,..,36917,6918,43840,269,44106,..,5645,682,6329,61,6385,..,5612,3458,9076,59,9137,..,6684,1878,8562,64,8628,..,11103,2539,13647,95,13743,..,9871,582,10451,104,10554,..,8607,1605,10208,81,10285,..,6046,843,6891,37,6927,..,3942,375,4314,48,4363,..,8044,1645,9688,61,9746,..,5407,370,5773,57,5834,..,6715,1484,8201,54,8253,..,10742,277,11015,78,11089,..,8324,709,9040,108,9145,..,13637,398,14036,73,14110,..,4882,524,5408,44,5450,..,37593,1902,39494,300,39796,..,18133,2229,20368,168,20538,..,14139,1264,15402,167,15569,..,6734,1443,8176,44,8223,..,12802,3662,16460,106,16564,..,40435,20920,61357,427,61787,..,90045,21086,111131,1885,113015,..,688817,146622,835441,7554,842997,..,11663,2999,14663,92327,106992,1379759,700478,149625,850103,99890,2329751,2734902,..,..,..,..,2734902,..,4327,56,4381,21,4403,..,72742,12631,85374,612,85988,..,534,34,567,13,577,..,61574,18071,79640,547,80188,..,156048,53534,209588,1847,211433
SOSR203,0,112,..,3332,255,3591,43,3634,..,854,140,992,8,1002,..,212,17,231,0,234,..,47,19,61,0,61,..,143,26,165,0,165,..,395,117,510,0,510,..,722,47,771,9,785,..,212,47,265,4,265,..,215,33,244,0,245,..,148,7,157,5,163,..,171,34,210,0,211,..,22,0,27,0,27,..,312,92,397,3,408,..,560,11,568,5,570,..,200,11,206,0,206,..,554,19,575,5,576,..,217,17,230,0,230,..,1530,53,1577,13,1589,..,457,68,526,6,532,..,263,22,285,0,285,..,309,68,379,3,375,..,134,31,164,0,164,..,414,131,543,4,554,..,3312,1127,4437,75,4514,..,17469,3179,20649,242,20892,..,615,109,719,9007,9724,169651,18081,3286,21373,9249,200267,325808,..,..,..,..,325808,..,294,5,302,0,302,..,984,129,1107,21,1125,..,106,0,106,0,106,..,577,127,703,6,712,..,2612,721,3331,37,3368
SOSR211,0,54,..,4037,572,4610,78,4686,..,204,14,222,0,225,..,27,0,25,0,25,..,21,9,35,0,35,..,41,15,61,0,61,..,141,23,166,3,171,..,162,12,178,0,178,..,27,9,29,0,29,..,62,16,79,0,79,..,52,10,65,4,62,..,29,4,34,0,34,..,518,44,557,9,568,..,176,33,216,4,218,..,472,13,489,4,491,..,85,3,88,0,88,..,555,14,566,0,568,..,120,7,125,0,128,..,1234,35,1263,7,1276,..,311,43,357,0,357,..,177,30,203,0,208,..,106,29,130,0,130,..,132,23,154,0,153,..,347,190,537,7,541,..,2714,729,3438,62,3505,..,11780,2083,13859,190,14048,..,313,93,402,3306,3713,40424,12095,2174,14269,3489,58179,79209,..,..,..,..,79209,..,83,0,83,3,84,..,792,104,898,3,902,..,33,3,33,0,38,..,142,39,182,4,185,..,335,138,472,3,476
SOSR212,0,65,..,2184,282,2465,26,2495,..,931,158,1089,13,1098,..,110,14,128,6,125,..,31,19,47,0,47,..,71,11,83,0,83,..,97,14,112,0,112,..,412,28,448,6,453,..,57,32,87,0,87,..,87,10,100,0,102,..,112,4,112,3,119,..,49,3,52,4,58,..,160,10,165,0,171,..,69,10,76,0,72,..,367,15,381,0,381,..,111,7,118,6,122,..,435,9,447,7,454,..,324,91,413,3,415,..,1234,132,1361,15,1371,..,265,25,289,7,296,..,165,14,179,0,182,..,236,74,310,0,310,..,276,135,412,0,413,..,262,171,430,5,436,..,2303,571,2874,72,2944,..,11763,2538,14304,208,14510,..,420,63,480,6963,7447,114701,12184,2600,14786,7170,136657,221516,..,..,..,..,221516,..,315,4,325,0,324,..,1346,393,1742,27,1767,..,143,3,149,5,149,..,326,126,446,5,451,..,1232,913,2145,43,2192
SOSR213,0,30,..,1491,133,1628,18,1646,..,753,140,893,11,897,..,82,3,87,0,87,..,23,3,27,0,27,..,46,14,57,0,57,..,76,6,83,0,84,..,224,12,240,4,244,..,35,5,32,0,32,..,118,17,133,3,135,..,41,5,48,0,48,..,68,3,67,0,67,..,78,10,90,0,90,..,76,15,90,0,91,..,370,19,387,0,387,..,83,10,96,0,102,..,442,13,454,0,458,..,194,39,233,0,237,..,1092,82,1176,9,1175,..,195,27,220,4,229,..,107,18,121,0,126,..,191,44,238,0,236,..,91,15,109,0,107,..,221,117,336,5,346,..,1431,283,1718,51,1765,..,8187,1324,9516,121,9636,..,365,55,422,6687,7098,112589,8551,1380,9930,6806,129324,217698,..,..,..,..,217698,..,273,9,279,0,283,..,418,69,491,15,508,..,83,4,88,6,92,..,225,54,274,4,280,..,829,427,1255,10,1262
SOSR214,0,15,..,713,67,783,13,792,..,471,63,529,12,540,..,44,7,51,0,51,..,23,11,29,0,29,..,22,0,28,0,28,..,39,0,44,0,44,..,118,16,133,3,137,..,7,0,10,0,10,..,48,4,50,4,55,..,26,4,26,0,26,..,37,0,37,0,37,..,33,5,32,0,32,..,37,4,42,0,42,..,164,4,170,0,175,..,41,5,44,0,44,..,178,11,178,3,190,..,55,4,62,0,62,..,444,20,464,4,468,..,131,12,145,0,144,..,37,3,38,0,38,..,129,19,147,0,147,..,27,6,30,0,30,..,80,33,107,0,112,..,676,87,762,21,779,..,4103,623,4724,68,4794,..,203,15,218,4293,4512,65860,4313,635,4943,4362,75164,127101,..,..,..,..,127101,..,96,6,104,0,104,..,174,40,206,3,211,..,32,0,32,0,32,..,93,35,124,4,127,..,489,347,836,6,846
SOSR215,0,18,..,609,65,671,10,674,..,489,69,556,5,570,..,81,9,89,0,89,..,39,30,72,0,72,..,22,0,23,0,23,..,29,4,33,0,32,..,85,0,83,0,83,..,4,0,4,0,4,..,76,10,88,0,91,..,44,3,44,0,44,..,49,3,52,0,57,..,23,0,21,0,21,..,18,7,26,0,26,..,188,11,198,0,198,..,57,7,64,0,64,..,197,11,203,0,203,..,125,30,155,0,153,..,570,51,622,3,622,..,170,11,176,0,176,..,44,10,48,0,48,..,157,43,205,0,205,..,70,9,79,0,79,..,122,114,236,12,245,..,1022,188,1208,26,1234,..,4851,829,5682,84,5766,..,294,30,320,6786,7109,101986,5147,857,6010,6866,114859,199372,..,..,..,..,199372,..,125,0,123,0,129,..,131,26,157,8,164,..,63,4,66,0,70,..,110,56,166,3,165,..,405,251,652,9,658
SOSR221,0,0,..,93,8,101,0,102,..,86,9,97,0,95,..,12,0,12,0,12,..,0,4,5,0,5,..,0,4,4,0,4,..,11,0,10,0,10,..,38,7,41,0,42,..,0,0,0,0,0,..,14,0,12,0,14,..,13,0,14,0,17,..,14,0,14,0,16,..,0,0,0,0,0,..,6,0,13,0,13,..,31,0,30,0,30,..,8,3,10,0,10,..,47,3,46,0,47,..,29,8,36,0,36,..,110,12,126,0,128,..,67,7,71,0,71,..,3,0,3,0,3,..,42,13,51,0,51,..,12,6,17,0,17,..,20,7,27,0,27,..,254,28,284,7,287,..,1062,129,1190,16,1201,..,63,9,71,1883,1956,27746,1127,136,1263,1899,30906,55356,..,..,..,..,55356,..,37,0,37,0,37,..,33,3,41,0,41,..,11,0,11,0,11,..,23,7,26,0,29,..,84,36,122,0,126
SOSR222,0,0,..,36,0,35,0,38,..,42,0,42,6,44,..,8,0,6,0,6,..,4,3,7,0,7,..,5,0,5,0,5,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,12,0,14,0,14,..,0,0,0,0,0,..,9,0,9,0,11,..,0,0,0,0,0,..,6,3,5,0,5,..,39,0,40,5,41,..,10,0,10,0,13,..,37,3,43,0,43,..,9,6,12,0,12,..,91,10,97,6,100,..,44,4,49,0,49,..,0,0,0,0,0,..,17,6,23,0,26,..,6,0,9,0,9,..,10,4,16,0,16,..,136,12,149,5,152,..,604,73,674,14,693,..,26,0,32,1163,1194,14517,633,74,706,1175,16396,29166,..,..,..,..,29166,..,7,0,7,0,7,..,21,5,24,0,24,..,5,0,5,0,5,..,17,4,16,0,16,..,80,26,112,0,112
SOSR231,0,3,..,431,58,490,0,492,..,1118,104,1218,15,1234,..,115,6,122,0,127,..,55,27,82,0,82,..,28,7,36,0,36,..,154,19,173,0,173,..,33,0,36,4,39,..,29,4,30,0,30,..,132,13,144,0,151,..,43,9,46,0,51,..,86,15,100,0,100,..,27,0,28,0,28,..,128,22,148,0,148,..,273,7,282,5,285,..,81,11,95,0,94,..,216,8,225,3,225,..,165,40,210,7,215,..,737,74,808,13,819,..,258,16,275,4,276,..,43,3,43,0,43,..,250,91,341,8,352,..,124,26,148,0,148,..,158,71,230,4,234,..,1666,198,1863,29,1892,..,8047,1162,9207,101,9307,..,372,38,415,14785,15201,182593,8421,1198,9617,14883,207104,375179,..,..,..,..,375179,..,361,3,368,0,365,..,593,57,646,5,652,..,62,3,67,0,67,..,182,55,235,5,243,..,762,430,1199,10,1209
SOSR279,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,0,0,0,0,3,6,13,..,..,..,..,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOSR299,0,0,..,37,0,41,0,41,..,7,3,14,0,14,..,3,0,4,0,4,..,0,0,3,0,3,..,0,3,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,12,0,13,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,4,4,7,0,7,..,3,5,7,0,7,..,7,4,12,0,12,..,7,3,7,0,11,..,3,0,3,0,3,..,3,0,8,0,8,..,23,9,30,0,33,..,25,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,10,7,14,0,14,..,14,7,21,0,21,..,85,25,108,0,112,..,388,94,482,7,492,..,13,0,16,1371,1385,2041,406,94,496,1374,3915,4485,..,..,..,..,4485,..,10,0,10,0,10,..,60,4,66,0,66,..,0,0,0,0,0,..,15,7,22,0,22,..,69,44,111,0,108
SOSR301,15,1516,..,31583,2640,34227,327,34553,..,4216,451,4668,46,4709,..,3883,486,4375,24,4401,..,794,373,1162,13,1176,..,5856,1991,7845,61,7909,..,413,56,464,0,467,..,3848,188,4042,37,4075,..,2765,470,3242,31,3268,..,1665,170,1838,18,1852,..,3317,302,3619,44,3667,..,2362,287,2644,21,2668,..,7096,559,7657,75,7733,..,1539,246,1786,11,1799,..,4444,137,4579,39,4619,..,1889,155,2045,17,2064,..,6721,167,6891,35,6924,..,1669,59,1726,6,1737,..,14725,518,15238,103,15337,..,8834,1008,9839,83,9930,..,2503,190,2692,29,2722,..,3003,665,3671,23,3698,..,682,125,808,6,814,..,9401,4605,14010,94,14098,..,29366,6002,35365,678,36049,..,193749,33752,227500,2287,229783,..,4768,830,5600,46938,52537,882604,198519,34578,233093,49227,1164925,1741424,..,..,..,..,1741424,..,7012,99,7109,39,7147,..,10031,1689,11725,114,11839,..,1445,65,1509,17,1523,..,17041,4245,21288,163,21452,..,48804,13988,62788,583,63376
SOSR302,0,178,..,4961,362,5324,38,5364,..,1476,92,1571,10,1581,..,3179,561,3737,22,3760,..,102,19,125,0,127,..,1773,599,2370,21,2386,..,187,25,218,4,219,..,744,60,808,8,821,..,560,66,625,5,627,..,770,58,824,4,829,..,3027,234,3263,42,3304,..,1066,133,1197,12,1200,..,344,16,361,3,361,..,576,92,669,0,671,..,1195,27,1221,8,1230,..,598,44,643,7,647,..,1679,45,1722,9,1729,..,451,23,466,3,473,..,3922,134,4054,24,4080,..,2977,243,3228,27,3259,..,243,12,255,0,255,..,1395,237,1628,0,1635,..,286,46,336,3,343,..,894,224,1119,8,1126,..,6824,720,7543,138,7682,..,49489,6437,55923,514,56436,..,1602,191,1792,23695,25487,379441,51090,6624,57721,24210,461370,736868,..,..,..,..,736868,..,2540,35,2578,11,2586,..,1832,177,2005,20,2028,..,310,10,318,0,317,..,2894,757,3644,26,3670,..,9774,2830,12607,105,12710
SOSR303,0,80,..,2897,468,3362,35,3396,..,718,85,801,12,819,..,1421,195,1620,6,1628,..,63,10,74,0,74,..,552,189,745,9,745,..,9,0,13,0,13,..,829,46,874,12,890,..,126,20,152,0,152,..,118,15,132,0,132,..,285,36,320,0,320,..,169,25,192,0,192,..,142,10,160,0,158,..,49,0,49,0,49,..,881,35,917,10,929,..,254,22,276,4,279,..,1384,50,1436,15,1446,..,298,12,312,0,308,..,2815,117,2934,29,2965,..,686,51,740,5,739,..,238,12,252,3,257,..,550,126,677,4,677,..,33,11,40,0,40,..,396,137,534,7,541,..,6663,1543,8209,137,8346,..,23262,3766,27027,311,27337,..,1237,209,1442,13860,15303,179536,24494,3970,28471,14168,222171,350925,..,..,..,..,350925,..,988,13,998,3,1000,..,1107,213,1321,11,1332,..,2253,139,2382,47,2432,..,859,220,1074,11,1087,..,2092,573,2661,29,2692
SOSR311,0,37,..,1128,89,1217,14,1234,..,192,15,210,0,208,..,93,17,114,4,117,..,11,3,19,0,19,..,132,45,172,0,171,..,7,0,7,0,7,..,301,21,321,0,325,..,34,12,40,4,44,..,46,4,53,0,49,..,108,31,140,0,144,..,82,6,88,0,88,..,32,4,40,0,40,..,20,4,25,0,25,..,553,21,569,9,576,..,61,9,68,0,68,..,848,30,874,11,887,..,161,28,191,0,189,..,1623,84,1703,16,1723,..,177,15,192,0,193,..,111,18,120,0,127,..,281,93,371,0,376,..,35,12,46,0,46,..,216,141,357,5,359,..,1534,151,1685,38,1724,..,7940,1075,9022,120,9133,..,447,65,513,7600,8112,112586,8390,1138,9528,7722,129830,218991,..,..,..,..,218991,..,861,14,876,3,880,..,182,30,212,3,220,..,385,9,395,12,407,..,246,87,329,0,334,..,893,395,1292,12,1301
SOSR312,0,19,..,281,26,312,7,312,..,75,0,79,0,79,..,51,5,53,0,52,..,30,6,30,0,30,..,23,8,29,0,29,..,4,0,4,0,4,..,59,3,62,0,62,..,12,0,16,0,16,..,39,4,40,0,39,..,15,0,14,0,14,..,34,3,36,0,36,..,24,0,24,0,22,..,9,0,9,0,16,..,247,11,261,3,261,..,45,4,52,0,52,..,293,10,293,0,301,..,46,3,55,0,55,..,622,33,661,8,658,..,86,5,92,0,92,..,60,10,65,0,65,..,110,29,139,0,141,..,9,0,9,0,9,..,36,16,56,0,52,..,463,64,524,18,542,..,2607,260,2862,40,2909,..,145,13,152,2525,2680,44852,2748,272,3016,2567,50437,87634,..,..,..,..,87634,..,313,3,319,3,323,..,65,3,65,0,67,..,65,0,71,0,70,..,81,28,103,0,103,..,150,47,198,7,205
SOSR313,0,14,..,512,40,554,4,563,..,79,6,86,0,83,..,77,3,80,3,79,..,20,10,28,0,28,..,50,26,74,0,76,..,3,0,3,0,3,..,86,5,99,0,98,..,18,3,18,0,18,..,57,6,60,0,60,..,41,0,46,0,46,..,48,4,49,0,49,..,87,7,93,0,93,..,19,0,19,0,19,..,369,19,388,0,393,..,63,4,64,0,64,..,434,14,447,9,454,..,104,0,112,4,109,..,974,40,1013,9,1022,..,153,15,165,0,163,..,34,4,37,0,39,..,147,24,172,0,172,..,11,0,15,0,15,..,88,34,121,0,121,..,1024,94,1122,24,1144,..,4636,490,5131,60,5189,..,270,27,300,4643,4945,72467,4913,518,5432,4704,82601,141698,..,..,..,..,141698,..,730,25,752,0,750,..,110,9,115,0,120,..,250,15,268,11,277,..,105,37,143,0,143,..,392,163,559,4,560
SOSR314,0,9,..,694,101,797,12,803,..,410,88,502,11,511,..,120,29,146,4,150,..,3,3,6,0,6,..,65,36,102,0,103,..,0,0,0,0,0,..,55,6,64,0,64,..,22,0,24,0,24,..,44,0,44,0,44,..,48,8,60,0,57,..,53,7,63,0,63,..,29,4,32,0,32,..,17,0,20,0,20,..,233,14,248,0,251,..,81,6,85,0,90,..,335,14,352,3,353,..,79,8,87,0,87,..,735,38,775,10,781,..,205,30,234,3,237,..,30,4,35,0,35,..,164,25,189,0,189,..,17,3,21,0,21,..,86,45,127,0,134,..,1219,172,1395,35,1426,..,5356,932,6290,85,6372,..,311,20,330,5974,6299,71888,5666,950,6615,6056,84562,141140,..,..,..,..,141140,..,533,4,534,5,540,..,195,48,239,0,238,..,353,19,371,17,386,..,175,49,228,0,224,..,645,449,1098,10,1110
SOSR315,0,6,..,324,51,377,3,381,..,363,74,432,4,434,..,118,14,137,0,134,..,22,6,28,0,28,..,82,34,116,0,116,..,3,0,3,0,3,..,62,0,65,0,65,..,16,0,23,0,23,..,48,4,48,0,48,..,73,20,95,3,97,..,87,12,91,0,90,..,41,13,57,4,58,..,21,4,27,0,27,..,429,20,451,3,451,..,67,6,73,0,73,..,397,17,417,3,425,..,137,10,144,0,147,..,1027,57,1079,13,1095,..,394,21,411,0,411,..,16,0,22,0,22,..,195,41,231,3,235,..,6,0,5,0,5,..,103,80,179,0,178,..,3852,352,4205,109,4315,..,8085,904,8992,158,9150,..,468,32,501,8831,9330,109459,8556,939,9496,8990,127941,216445,..,..,..,..,216445,..,433,11,447,10,457,..,80,13,100,5,96,..,5049,544,5600,161,5754,..,107,41,150,5,150,..,386,118,501,9,512
SOSR321,0,11,..,97,10,106,0,106,..,64,6,73,0,72,..,39,0,43,0,43,..,7,0,8,0,8,..,16,7,24,0,24,..,3,0,3,0,3,..,10,0,10,0,10,..,6,0,6,0,6,..,21,5,20,0,20,..,32,4,33,0,37,..,20,4,26,0,23,..,6,0,6,0,6,..,9,4,11,0,11,..,96,0,101,0,101,..,10,0,13,0,13,..,111,4,111,0,109,..,23,3,24,0,24,..,239,7,249,0,253,..,54,5,58,3,62,..,5,0,5,0,5,..,72,8,80,0,80,..,9,0,4,0,4,..,36,4,35,0,38,..,1443,138,1582,64,1644,..,2642,246,2892,81,2971,..,161,21,178,3469,3647,41571,2803,260,3068,3552,48190,83194,..,..,..,..,83194,..,204,3,208,0,209,..,39,0,45,0,45,..,2108,233,2342,105,2444,..,26,5,36,0,37,..,100,22,123,3,123
SOSR322,0,3,..,39,3,42,0,42,..,81,18,94,0,91,..,21,0,18,0,21,..,0,0,0,0,0,..,5,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,8,4,12,0,12,..,0,0,0,0,0,..,0,0,4,0,4,..,29,0,29,0,29,..,13,0,13,0,13,..,43,0,43,0,43,..,7,0,11,0,11,..,89,3,95,0,95,..,30,0,30,0,30,..,0,0,0,0,0,..,27,10,37,0,37,..,0,0,0,0,0,..,0,3,6,0,6,..,1824,311,2141,71,2207,..,2320,371,2688,76,2764,..,72,15,89,1691,1781,16841,2390,386,2781,1772,21390,34224,..,..,..,..,34224,..,63,0,60,0,64,..,6,0,12,0,12,..,3223,634,3861,147,4009,..,4,0,4,0,4,..,39,12,48,0,50
